PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
32426,-4.222720,0.813958,9.114603,-0.018184,-0.153640,0.264314,0.007003,0.007551,-0.000095,-0.042224,0.008136,0.091148,1.000000,0.000035,0.000038,-0.000000,0.421458,0.215430,0.062074,-0.878698,4.608306,25.525824,-127.707203
32427,-4.186262,0.798940,9.077317,-0.038119,-0.158647,0.213985,-0.000338,0.007593,0.002781,-0.041859,0.007989,0.090775,1.000000,-0.000002,0.000038,0.000014,0.421443,0.215431,0.062044,-0.878707,4.611172,25.524536,-127.708716
32428,-4.215522,0.808928,9.060315,-0.009330,-0.139016,0.212026,0.004821,0.006652,0.002029,-0.042152,0.008087,0.090605,1.000000,0.000024,0.000033,0.000010,0.421414,0.215458,0.062006,-0.878717,4.615983,25.525530,-127.711075
32429,-4.196433,0.759096,9.068452,-0.061187,-0.122608,0.207508,-0.000299,0.008009,0.005489,-0.041961,0.007590,0.090686,1.000000,-0.000001,0.000040,0.000027,0.421411,0.215462,0.061974,-0.878720,4.619628,25.524357,-127.710849
32430,-4.219489,0.750178,9.065561,-0.054944,-0.099430,0.214194,0.003729,0.006202,0.003091,-0.042192,0.007499,0.090657,1.000000,0.000019,0.000031,0.000015,0.421388,0.215485,0.061939,-0.878727,4.624093,25.525045,-127.712558
32431,-4.167622,0.756991,9.050742,-0.073958,-0.135456,0.179021,0.007062,0.002575,0.003503,-0.041675,0.007566,0.090508,1.000000,0.000035,0.000013,0.000018,0.421370,0.215480,0.061866,-0.878743,4.631290,25.520865,-127.713869
32432,-4.217393,0.811019,9.059257,-0.008490,-0.136068,0.212067,0.005613,0.003912,0.005525,-0.042172,0.008106,0.090594,1.000000,0.000028,0.000020,0.000028,0.421357,0.215497,0.061815,-0.878748,4.637447,25.520132,-127.714155
32433,-4.217263,0.857700,9.120931,0.006861,-0.182783,0.270908,0.000773,0.002652,0.002607,-0.042172,0.008576,0.091210,1.000000,0.000004,0.000013,0.000013,0.421341,0.215479,0.061770,-0.878763,4.640802,25.516041,-127.716028
32434,-4.231371,0.842699,9.064650,0.021540,-0.146493,0.225270,-0.004028,0.001808,0.002397,-0.042313,0.008428,0.090647,1.000000,-0.000020,0.000009,0.000012,0.421325,0.215466,0.061761,-0.878775,4.640537,25.514252,-127.718401
32435,-4.225416,0.823274,9.078703,-0.000705,-0.141963,0.233935,-0.007042,0.003234,-0.001684,-0.042253,0.008236,0.090787,1.000000,-0.000035,0.000016,-0.000008,0.421298,0.215433,0.061756,-0.878796,4.638275,25.510696,-127.722952
