PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41085,-9.694039,-2.360685,-1.223261,-0.148539,0.128151,0.237442,-0.017613,0.003370,-0.046954,-0.096946,-0.023585,-0.012229,1.000000,-0.000088,0.000017,-0.000235,0.036966,-0.742617,-0.126293,0.656660,-121.419763,75.007090,65.885587
41086,-9.734181,-2.329869,-1.231288,-0.139926,0.085334,0.270555,0.001261,-0.004685,-0.040787,-0.097346,-0.023279,-0.012315,1.000000,0.000006,-0.000023,-0.000204,0.037126,-0.742568,-0.126432,0.656681,-121.356719,74.988166,65.947062
41087,-9.672046,-2.287897,-1.120844,-0.234797,0.043243,0.186425,0.005284,-0.010293,-0.038042,-0.096724,-0.022860,-0.011214,1.000000,0.000026,-0.000051,-0.000190,0.037282,-0.742503,-0.126552,0.656722,-121.286137,74.972171,66.014900
41088,-9.645908,-2.374889,-1.169666,-0.194245,0.135310,0.187099,-0.008098,-0.013455,-0.032243,-0.096462,-0.023734,-0.011702,1.000000,-0.000040,-0.000067,-0.000161,0.037373,-0.742431,-0.126692,0.656771,-121.222214,74.960002,66.082847
41089,-9.599325,-2.587057,-1.128646,-0.257922,0.343898,0.183760,-0.001522,-0.005298,-0.021562,-0.095996,-0.025860,-0.011289,1.000000,-0.000008,-0.000026,-0.000108,0.037453,-0.742394,-0.126773,0.656793,-121.183039,74.950566,66.122188
41090,-9.543738,-2.655003,-1.179949,-0.209658,0.426382,0.152176,0.022750,-0.005871,-0.014084,-0.095439,-0.026542,-0.011805,1.000000,0.000114,-0.000029,-0.000070,0.037604,-0.742354,-0.126742,0.656836,-121.135447,74.945023,66.154929
41091,-9.529970,-2.549217,-1.231419,-0.141652,0.332261,0.122340,0.016266,-0.001129,0.000037,-0.095300,-0.025491,-0.012317,1.000000,0.000081,-0.000006,0.000000,0.037682,-0.742340,-0.126683,0.656858,-121.117495,74.944926,66.161722
41092,-9.557593,-2.407177,-1.292242,-0.065288,0.195504,0.125597,-0.017259,0.013651,0.009008,-0.095576,-0.024077,-0.012914,1.000000,-0.000086,0.000068,0.000045,0.037621,-0.742386,-0.126695,0.656807,-121.153870,74.944920,66.131250
41093,-9.614372,-2.522773,-1.365929,-0.016866,0.302848,0.215986,-0.029352,0.020387,0.017667,-0.096143,-0.025238,-0.013646,1.000000,-0.000147,0.000102,0.000088,0.037486,-0.742463,-0.126717,0.656724,-121.220687,74.947077,66.077314
41094,-9.548349,-2.466471,-1.400807,0.029830,0.270007,0.144366,-0.008665,0.021435,0.028339,-0.095481,-0.024679,-0.013997,1.000000,-0.000043,0.000107,0.000142,0.037398,-0.742545,-0.126626,0.656654,-121.287702,74.954210,66.010015
41095,-9.427244,-2.578809,-1.492992,0.115748,0.420367,0.064666,0.013564,0.020051,0.043939,-0.094268,-0.025808,-0.014922,1.000000,0.000068,0.000100,0.000220,0.037335,-0.742630,-0.126410,0.656603,-121.358504,74.969285,65.926490
41096,-9.375842,-2.558124,-1.470430,0.100460,0.414464,0.007226,0.042751,0.020838,0.063684,-0.093752,-0.025608,-0.014700,1.000000,0.000214,0.000104,0.000318,0.037322,-0.742722,-0.126019,0.656574,-121.434499,74.993839,65.819402
41097,-9.274872,-2.541575,-1.353502,-0.002725,0.415035,-0.109979,0.059347,0.021446,0.073797,-0.092741,-0.025446,-0.013533,1.000000,0.000297,0.000107,0.000369,0.037333,-0.742821,-0.125542,0.656553,-121.515371,75.023019,65.698310
41098,-9.242447,-2.416547,-1.308355,-0.027301,0.303416,-0.175183,0.069941,0.021129,0.085104,-0.092416,-0.024200,-0.013082,1.000000,0.000350,0.000106,0.000426,0.037350,-0.742923,-0.124982,0.656544,-121.601045,75.057865,65.565108
41099,-9.231050,-2.278036,-1.175192,-0.139182,0.165233,-0.234789,0.060252,0.018672,0.093756,-0.092301,-0.022820,-0.011750,1.000000,0.000301,0.000093,0.000469,0.037297,-0.743025,-0.124428,0.656537,-121.699722,75.097507,65.425087
41100,-9.173463,-2.200549,-1.177819,-0.120642,0.112378,-0.307167,0.046276,0.010312,0.100099,-0.091724,-0.022049,-0.011779,1.000000,0.000231,0.000052,0.000500,0.037171,-0.743104,-0.123893,0.656555,-121.797291,75.142806,65.293656
41101,-9.246065,-2.070387,-1.178348,-0.111199,-0.021359,-0.265338,0.030176,0.010931,0.104022,-0.092451,-0.020750,-0.011782,1.000000,0.000151,0.000055,0.000520,0.036967,-0.743192,-0.123400,0.656560,-121.912057,75.189654,65.154858
41102,-9.256269,-1.918691,-1.255366,-0.017018,-0.152916,-0.277901,0.006883,0.003913,0.102033,-0.092553,-0.019234,-0.012553,1.000000,0.000034,0.000020,0.000510,0.036684,-0.743259,-0.122988,0.656578,-122.024132,75.237704,65.031823
41103,-9.204762,-1.918477,-1.418052,0.147427,-0.114770,-0.305630,-0.027914,0.004039,0.093586,-0.092039,-0.019230,-0.014176,1.000000,-0.000140,0.000020,0.000468,0.036295,-0.743328,-0.122726,0.656570,-122.148994,75.281442,64.917058
41104,-9.251504,-1.837736,-1.467108,0.200069,-0.189789,-0.270992,-0.030534,0.002049,0.087580,-0.092507,-0.018420,-0.014667,1.000000,-0.000153,0.000010,0.000438,0.035919,-0.743386,-0.122491,0.656569,-122.263748,75.322924,64.813469
41105,-9.184375,-1.893057,-1.577721,0.307356,-0.100775,-0.308952,-0.027805,0.001473,0.085092,-0.091836,-0.018972,-0.015774,1.000000,-0.000139,0.000007,0.000425,0.035556,-0.743442,-0.122260,0.656569,-122.375211,75.363217,64.712543
41106,-9.149887,-1.987016,-1.616387,0.334856,0.009953,-0.316944,-0.007731,0.013010,0.083547,-0.091492,-0.019909,-0.016157,1.000000,-0.000039,0.000065,0.000418,0.035285,-0.743529,-0.121963,0.656540,-122.493668,75.399274,64.591661
41107,-9.184925,-1.925586,-1.653652,0.374340,-0.046359,-0.290975,0.012686,0.012510,0.077737,-0.091843,-0.019291,-0.016532,1.000000,0.000063,0.000063,0.000389,0.035103,-0.743609,-0.121625,0.656522,-122.594853,75.432511,64.477406
41108,-9.213646,-1.856051,-1.534486,0.262149,-0.126651,-0.293964,0.020664,0.008153,0.070642,-0.092131,-0.018591,-0.015343,1.000000,0.000103,0.000041,0.000353,0.034977,-0.743667,-0.121284,0.656526,-122.673697,75.463736,64.380678
41109,-9.199384,-1.615718,-1.396069,0.158754,-0.365289,-0.377139,0.017848,0.009591,0.062730,-0.091989,-0.016185,-0.013958,1.000000,0.000089,0.000048,0.000314,0.034863,-0.743727,-0.120985,0.656520,-122.749437,75.490555,64.289684
41110,-9.220231,-1.528872,-1.306061,0.077520,-0.459047,-0.387234,-0.046967,0.021708,0.043616,-0.092200,-0.015312,-0.013047,1.000000,-0.000235,0.000109,0.000218,0.034582,-0.743824,-0.120964,0.656427,-122.860528,75.504485,64.199696
41111,-9.357479,-1.490095,-1.279229,0.037735,-0.526666,-0.265938,-0.107607,0.024793,0.029153,-0.093574,-0.014921,-0.012773,1.000000,-0.000538,0.000124,0.000146,0.034120,-0.743936,-0.121200,0.656282,-122.996606,75.510341,64.120717
41112,-9.453376,-1.452841,-1.243667,-0.007402,-0.585170,-0.185575,-0.152913,0.030594,0.017466,-0.094534,-0.014546,-0.012411,1.000000,-0.000765,0.000153,0.000087,0.033536,-0.744064,-0.121622,0.656088,-123.153598,75.508830,64.046022
41113,-9.536173,-1.771087,-1.358608,0.047313,-0.280811,-0.022893,-0.180650,0.030428,0.004629,-0.095363,-0.017725,-0.013556,1.000000,-0.000903,0.000152,0.000023,0.032886,-0.744191,-0.122187,0.655873,-123.312294,75.501074,63.986853
41114,-9.547476,-2.039305,-1.464074,0.107221,-0.010417,0.058735,-0.147585,0.018544,0.000113,-0.095476,-0.020404,-0.014617,1.000000,-0.000738,0.000093,0.000001,0.032372,-0.744268,-0.122658,0.655723,-123.422707,75.494962,63.957113
41115,-9.530029,-2.140067,-1.490079,0.116800,0.095107,0.066533,-0.109399,0.005432,-0.000539,-0.095301,-0.021409,-0.014886,1.000000,-0.000547,0.000027,-0.000003,0.031988,-0.744297,-0.123012,0.655643,-123.487954,75.492576,63.952327
41116,-9.481627,-2.120689,-1.510614,0.142666,0.090537,0.018486,-0.090199,0.003045,0.001065,-0.094816,-0.021214,-0.015095,1.000000,-0.000451,0.000015,0.000005,0.031675,-0.744314,-0.123294,0.655585,-123.537968,75.491803,63.951012
41117,-9.590268,-2.205839,-1.492493,0.099186,0.147333,0.138943,-0.062310,-0.002214,0.003339,-0.095902,-0.022065,-0.014919,1.000000,-0.000312,-0.000011,0.000017,0.031449,-0.744312,-0.123481,0.655563,-123.566827,75.493684,63.955923
41118,-9.638020,-2.153637,-1.470833,0.079644,0.084467,0.171273,-0.032784,-0.006743,0.006262,-0.096379,-0.021542,-0.014708,1.000000,-0.000164,-0.000034,0.000031,0.031327,-0.744291,-0.123557,0.655578,-123.572244,75.498493,63.966693
41119,-9.664384,-2.206557,-1.428927,0.028172,0.126045,0.202020,-0.023152,-0.008389,0.012254,-0.096642,-0.022073,-0.014291,1.000000,-0.000116,-0.000042,0.000061,0.031214,-0.744269,-0.123584,0.655604,-123.578220,75.506586,63.972099
41120,-9.726310,-2.376773,-1.433203,0.001815,0.278967,0.298020,-0.006215,-0.008167,0.020058,-0.097260,-0.023778,-0.014335,1.000000,-0.000031,-0.000041,0.000100,0.031144,-0.744247,-0.123521,0.655644,-123.582694,75.518432,63.968119
41121,-9.700004,-2.379237,-1.364322,-0.062466,0.281402,0.263479,0.032493,-0.004628,0.027228,-0.096996,-0.023803,-0.013649,1.000000,0.000162,-0.000023,0.000136,0.031191,-0.744238,-0.123309,0.655692,-123.582089,75.532473,63.947376
41122,-9.698747,-2.204753,-1.351767,-0.047945,0.113690,0.224179,0.056835,-0.011120,0.030604,-0.096983,-0.022059,-0.013529,1.000000,0.000284,-0.000056,0.000153,0.031320,-0.744203,-0.123001,0.655783,-123.557930,75.550289,63.935660
41123,-9.732563,-1.894010,-1.298333,-0.057949,-0.198438,0.184962,0.053873,-0.009970,0.029043,-0.097322,-0.018951,-0.012993,1.000000,0.000269,-0.000050,0.000145,0.031437,-0.744174,-0.122713,0.655865,-123.537411,75.566886,63.922885
41124,-9.803087,-1.804389,-1.297335,-0.051358,-0.298728,0.234578,0.036986,-0.025710,0.027552,-0.098027,-0.018055,-0.012989,1.000000,0.000185,-0.000129,0.000138,0.031493,-0.744092,-0.122484,0.655997,-123.493735,75.587862,63.943066
41125,-9.813191,-1.646853,-1.297481,-0.026712,-0.451638,0.211763,0.034585,-0.030208,0.013154,-0.098129,-0.016473,-0.012992,1.000000,0.000173,-0.000151,0.000066,0.031578,-0.743990,-0.122321,0.656140,-123.426994,75.603271,63.989380
41126,-9.714946,-1.658647,-1.403913,0.091172,-0.405774,0.133633,0.035454,-0.036106,-0.002055,-0.097147,-0.016583,-0.014060,1.000000,0.000177,-0.000181,-0.000010,0.031719,-0.743856,-0.122209,0.656305,-123.328200,75.613347,64.067367
41127,-9.688156,-1.722204,-1.519637,0.203940,-0.325979,0.136573,0.062481,-0.039434,-0.009420,-0.096879,-0.017213,-0.015221,1.000000,0.000312,-0.000197,-0.000047,0.031977,-0.743705,-0.122040,0.656496,-123.200286,75.620814,64.160249
41128,-9.600973,-1.718612,-1.636737,0.334902,-0.298846,0.067078,0.086042,-0.040798,-0.019984,-0.096008,-0.017169,-0.016394,1.000000,0.000430,-0.000204,-0.000100,0.032362,-0.743537,-0.121828,0.656706,-123.041576,75.623668,64.270163
41129,-9.470691,-1.706908,-1.629600,0.349796,-0.285095,-0.062842,0.093014,-0.043522,-0.030354,-0.094706,-0.017047,-0.016325,1.000000,0.000465,-0.000218,-0.000152,0.032799,-0.743354,-0.121638,0.656927,-122.862902,75.622220,64.397483
