// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
19866,-9.258594,2.113093,0.114108,-0.351458,0.166678,-0.323304,0.185196,-0.065051,-0.231484,-0.092562,0.021237,0.001131,0.999999,0.000926,-0.000325,-0.001157,-0.208387,-0.712082,-0.035136,0.669537,93.800913,75.506076,-66.206631
19867,-9.663088,2.767790,-0.133541,0.064014,-0.272750,0.235956,0.245838,-0.062778,-0.225936,-0.096599,0.027789,-0.001332,0.999999,0.001229,-0.000314,-0.001130,-0.206740,-0.712090,-0.035041,0.670043,93.837791,75.638819,-66.317119
19868,-9.985379,3.884638,-0.400917,0.657951,-1.150237,0.827000,0.140446,-0.081979,-0.247817,-0.099804,0.038973,-0.004023,0.999999,0.000702,-0.000410,-0.001239,-0.205397,-0.711916,-0.035354,0.670625,93.770311,75.784828,-66.473242
19869,-10.209583,4.017386,-0.220362,0.525781,-1.307750,1.070179,-0.061688,-0.082267,-0.289891,-0.102037,0.040321,-0.002258,0.999999,-0.000308,-0.000411,-0.001449,-0.204634,-0.711527,-0.036497,0.671209,93.592447,75.954770,-66.623311
19870,-10.043697,3.198948,-0.475281,0.535812,-0.536668,0.711561,-0.163365,-0.066699,-0.315558,-0.100385,0.032144,-0.004813,0.999998,-0.000817,-0.000333,-0.001578,-0.204140,-0.711076,-0.038085,0.671749,93.388580,76.138773,-66.740374
19871,-9.651069,2.304453,-0.727666,0.536917,0.254591,0.118574,-0.143332,-0.061274,-0.308159,-0.096473,0.023188,-0.007323,0.999999,-0.000717,-0.000306,-0.001541,-0.203601,-0.710668,-0.039588,0.672258,93.206802,76.318195,-66.846052
19872,-9.493719,1.687123,-0.719052,0.356088,0.756405,-0.179666,-0.001316,-0.043274,-0.294969,-0.094911,0.017011,-0.007211,0.999999,-0.000007,-0.000216,-0.001475,-0.202596,-0.710460,-0.040582,0.672721,93.141188,76.489518,-66.916223
19873,-9.345751,1.413517,-0.788696,0.355850,0.973862,-0.384642,0.147511,-0.021383,-0.257226,-0.093438,0.014261,-0.007886,0.999999,0.000738,-0.000107,-0.001286,-0.201186,-0.710488,-0.040967,0.673092,93.210601,76.638489,-66.934817
19874,-9.143053,1.133024,-0.723611,0.227157,1.141831,-0.644953,0.323841,0.004198,-0.224738,-0.091418,0.011445,-0.007216,0.999998,0.001619,0.000021,-0.001124,-0.199251,-0.710779,-0.040665,0.673379,93.436614,76.768106,-66.896674
19875,-8.915920,0.810503,-0.681746,0.104577,1.353529,-0.937311,0.502621,0.041877,-0.183441,-0.089153,0.008204,-0.006778,0.999996,0.002513,0.000209,-0.000917,-0.196812,-0.711384,-0.039655,0.673517,93.857407,76.872640,-66.763336
19876,-8.773982,0.832620,-0.623561,0.066182,1.262886,-1.068230,0.654365,0.085124,-0.161070,-0.087736,0.008417,-0.006171,0.999994,0.003272,0.000426,-0.000805,-0.193897,-0.712277,-0.038093,0.673509,94.469199,76.962365,-66.523589
19877,-8.889125,1.019732,-0.515438,0.004097,1.058174,-0.913121,0.750393,0.102761,-0.127453,-0.088887,0.010273,-0.005070,0.999993,0.003752,0.000514,-0.000637,-0.190749,-0.713324,-0.036109,0.673409,95.181966,77.031393,-66.236402
19878,-9.266977,1.724644,-0.333323,0.001887,0.406578,-0.389471,0.786179,0.071740,-0.103842,-0.092662,0.017307,-0.003232,0.999992,0.003931,0.000359,-0.000519,-0.187554,-0.714289,-0.033886,0.673399,95.834121,77.087918,-66.032870
19879,-9.668520,2.542124,-0.103872,-0.021937,-0.359424,0.178496,0.685057,0.033328,-0.108855,-0.096672,0.025477,-0.000935,0.999994,0.003425,0.000167,-0.000544,-0.184708,-0.715024,-0.031988,0.673499,96.340881,77.149160,-65.918756
19880,-9.758519,2.829132,0.413128,-0.450636,-0.783793,0.315784,0.529632,0.001545,-0.141004,-0.097565,0.028349,0.004207,0.999996,0.002648,0.000008,-0.000705,-0.182312,-0.715491,-0.030696,0.673716,96.687353,77.230594,-65.878072
19881,-9.656101,2.501651,0.443622,-0.572231,-0.526321,0.141752,0.357938,-0.002259,-0.186576,-0.096538,0.025099,0.004480,0.999998,0.001790,-0.000011,-0.000933,-0.180377,-0.715782,-0.030145,0.673952,96.945272,77.338143,-65.826989
