// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
39706,-8.615518,4.073166,-1.423821,-0.966007,0.722120,-0.252858,0.322698,-0.560020,0.266031,-0.086169,0.040640,-0.014414,0.999994,0.001613,-0.002800,0.001330,-0.193257,0.598261,-0.521309,-0.577038,125.000492,63.116946,-117.597573
39707,-8.734635,3.844734,-1.587551,-0.630809,0.698405,-0.184069,0.286351,-0.569604,0.300638,-0.087358,0.038339,-0.016069,0.999994,0.001432,-0.002848,0.001503,-0.194710,0.595511,-0.522489,-0.578325,124.425667,63.159375,-118.423118
39708,-8.784994,3.884981,-1.620234,-0.597802,0.652629,-0.111611,0.295587,-0.588660,0.331651,-0.087866,0.038728,-0.016404,0.999993,0.001478,-0.002943,0.001658,-0.196148,0.592610,-0.523770,-0.579659,123.818805,63.188580,-119.291410
39709,-8.803428,3.992497,-1.667043,-0.618223,0.556641,-0.038889,0.272008,-0.606034,0.368350,-0.088057,0.039786,-0.016883,0.999993,0.001360,-0.003030,0.001842,-0.197453,0.589575,-0.525059,-0.581143,123.155338,63.202176,-120.206589
39710,-8.960215,3.946183,-1.719365,-0.470084,0.566792,0.100513,0.258934,-0.614286,0.400070,-0.089628,0.039305,-0.017418,0.999992,0.001295,-0.003071,0.002000,-0.198645,0.586438,-0.526397,-0.582698,122.459003,63.197386,-121.151393
39711,-9.151052,3.861647,-1.777442,-0.273773,0.596884,0.256168,0.268389,-0.636550,0.430713,-0.091536,0.038443,-0.018014,0.999992,0.001342,-0.003183,0.002154,-0.199832,0.583135,-0.527812,-0.584325,121.726289,63.179941,-122.141842
39712,-9.178167,3.814631,-1.815881,-0.153628,0.564853,0.274165,0.300165,-0.669329,0.456191,-0.091807,0.037964,-0.018409,0.999991,0.001501,-0.003347,0.002281,-0.201119,0.579629,-0.529360,-0.585968,120.968991,63.153247,-123.181716
39713,-9.180145,3.812170,-1.751996,-0.123018,0.592643,0.262554,0.332913,-0.701626,0.474369,-0.091830,0.037933,-0.017779,0.999990,0.001665,-0.003508,0.002372,-0.202530,0.575934,-0.531005,-0.587635,120.187844,63.121434,-124.268295
39714,-9.149667,3.874049,-1.704291,-0.146040,0.570668,0.251204,0.336463,-0.728834,0.481829,-0.091527,0.038549,-0.017311,0.999989,0.001682,-0.003644,0.002409,-0.203996,0.572125,-0.532652,-0.589356,119.382919,63.086139,-125.385470
39715,-9.046596,3.830681,-1.567899,-0.137404,0.633180,0.114705,0.315436,-0.762910,0.486657,-0.090498,0.038112,-0.015964,0.999989,0.001577,-0.003815,0.002433,-0.205474,0.568208,-0.534195,-0.591232,118.529526,63.051277,-126.542458
39716,-8.938965,3.743556,-1.598004,-0.016382,0.563576,-0.006841,0.278879,-0.775636,0.490049,-0.089418,0.037239,-0.016275,0.999989,0.001394,-0.003878,0.002450,-0.206868,0.564272,-0.535623,-0.593221,117.646402,63.009499,-127.711081
39717,-8.904513,3.731277,-1.626180,0.060588,0.493841,-0.034690,0.256720,-0.797286,0.495955,-0.089072,0.037113,-0.016569,0.999988,0.001284,-0.003986,0.002480,-0.208234,0.560262,-0.536957,-0.595333,116.726432,62.962727,-128.905832
39718,-8.927991,3.854612,-1.560524,-0.001438,0.478224,0.024644,0.213968,-0.822041,0.493981,-0.089310,0.038342,-0.015931,0.999988,0.001070,-0.004110,0.002470,-0.209548,0.556218,-0.538129,-0.597602,115.764783,62.913668,-130.121828
39719,-8.832279,3.885269,-1.554000,0.008738,0.396262,-0.047354,0.117036,-0.846735,0.478586,-0.088349,0.038651,-0.015891,0.999988,0.000585,-0.004234,0.002393,-0.210699,0.552227,-0.538920,-0.600181,114.730985,62.869647,-131.355503
39720,-8.930952,3.697774,-1.497505,0.241405,0.493930,-0.046668,0.055726,-0.837384,0.472504,-0.089333,0.036771,-0.015339,0.999988,0.000279,-0.004187,0.002363,-0.211669,0.548333,-0.539517,-0.602867,113.681402,62.815760,-132.569466
