PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
47601,-4.240129,4.015209,7.985514,-0.030542,0.091195,0.079723,0.030493,0.004870,0.004761,-0.042400,0.040139,0.079862,1.000000,0.000152,0.000024,0.000024,0.493270,-0.085438,0.302491,0.811100,26.862098,25.913689,123.677994
47602,-4.254167,4.048362,7.991612,-0.048761,0.074000,0.104226,0.025796,0.006483,-0.000319,-0.042539,0.040473,0.079923,1.000000,0.000129,0.000032,-0.000002,0.493245,-0.085385,0.302564,0.811094,26.873887,25.911835,123.682550
47603,-4.256649,4.034528,7.971716,-0.037458,0.066309,0.083723,0.021902,0.007105,-0.003634,-0.042563,0.040337,0.079723,1.000000,0.000110,0.000036,-0.000018,0.493230,-0.085358,0.302636,0.811079,26.883926,25.912736,123.685941
47604,-4.258905,4.020389,7.952097,-0.026160,0.058293,0.063220,0.019494,-0.000202,-0.002422,-0.042589,0.040197,0.079525,1.000000,0.000097,-0.000001,-0.000012,0.493221,-0.085296,0.302667,0.811080,26.890750,25.908009,123.687376
47605,-4.274210,4.042298,7.999534,-0.028192,0.067423,0.116877,0.021993,0.005702,-0.000524,-0.042740,0.040414,0.080001,1.000000,0.000110,0.000029,-0.000003,0.493194,-0.085258,0.302737,0.811074,26.901436,25.907386,123.692130
47606,-4.313907,4.006657,8.001929,0.024122,0.051416,0.121634,0.027394,0.004512,0.003216,-0.043138,0.040055,0.080026,1.000000,0.000137,0.000023,0.000016,0.493159,-0.085188,0.302814,0.811074,26.914791,25.903607,123.698133
47607,-4.265955,3.974437,7.993197,0.028808,0.093869,0.080547,0.035743,0.000663,0.007100,-0.042661,0.039729,0.079939,1.000000,0.000179,0.000003,0.000036,0.493115,-0.085084,0.302930,0.811068,26.934611,25.898430,123.705762
47608,-4.260567,4.019414,7.988083,-0.009908,0.080656,0.092412,0.034324,-0.000165,0.009788,-0.042608,0.040178,0.079888,1.000000,0.000172,-0.000001,0.000049,0.493063,-0.084968,0.303026,0.811076,26.952972,25.890560,123.714143
47609,-4.244658,4.007588,7.997825,-0.002946,0.102978,0.088447,0.038119,0.000624,0.009997,-0.042448,0.040059,0.079986,1.000000,0.000191,0.000003,0.000050,0.493008,-0.084854,0.303153,0.811074,26.974862,25.884605,123.723401
47610,-4.243271,4.021088,7.955341,-0.019094,0.075909,0.059284,0.030546,0.006406,0.005473,-0.042431,0.040198,0.079561,1.000000,0.000153,0.000032,0.000027,0.492962,-0.084781,0.303249,0.811074,26.990815,25.881209,123.731224
