// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
24152,-0.702215,8.671279,9.386694,2.270140,4.168376,2.072819,-0.101881,-0.290504,-0.506469,-0.006939,0.086778,0.093813,0.999996,-0.000509,-0.001453,-0.002532,-0.967531,-0.205686,-0.145876,-0.017225,24.785841,15.973559,5.571634
24153,-1.575942,5.908737,7.330591,0.772608,2.385478,-0.601451,-0.146210,-0.010489,-0.118806,-0.015728,0.059150,0.073262,1.000000,-0.000731,-0.000052,-0.000594,-0.967714,-0.204845,-0.145901,-0.016785,24.678043,15.992108,5.507374
24154,-3.005469,3.983804,8.356881,-0.345084,0.099891,-0.085821,-0.094169,0.166846,0.114680,-0.030008,0.039860,0.083575,0.999999,-0.000471,0.000834,0.000573,-0.967687,-0.204431,-0.146559,-0.017617,24.649623,16.048066,5.614311
24155,-3.245191,2.178087,9.242110,-0.353740,-1.918106,0.030465,-0.073219,0.154490,0.137591,-0.032396,0.021792,0.092438,0.999999,-0.000366,0.000772,0.000688,-0.967650,-0.204120,-0.147125,-0.018534,24.633789,16.091095,5.730071
24156,-2.624496,1.549519,9.324021,0.258784,-2.468283,-0.322327,0.056466,0.110847,0.058374,-0.026198,0.015461,0.093259,1.000000,0.000282,0.000554,0.000292,-0.967513,-0.204398,-0.147583,-0.018926,24.679516,16.131364,5.792599
24157,-2.711037,2.177655,9.347309,0.207171,-1.919964,-0.028267,0.155736,0.089028,-0.036496,-0.027065,0.021709,0.093502,1.000000,0.000779,0.000445,-0.000182,-0.967307,-0.205066,-0.148032,-0.018764,24.763567,16.181985,5.797631
24158,-3.012449,2.918521,9.126077,-0.117535,-1.196527,0.158892,0.164207,0.060415,-0.160568,-0.030074,0.029134,0.091294,0.999999,0.000821,0.000302,-0.000803,-0.967117,-0.205708,-0.148480,-0.017966,24.834532,16.248490,5.729081
24159,-3.115085,3.555506,9.035865,-0.214314,-0.594513,0.365370,0.126316,0.017829,-0.274600,-0.031094,0.035541,0.090384,0.999999,0.000632,0.000089,-0.001373,-0.967013,-0.206060,-0.148826,-0.016600,24.860117,16.319448,5.587278
24160,-3.310199,3.913481,8.829208,-0.439828,-0.205352,0.384962,0.115720,-0.020840,-0.325343,-0.033048,0.039138,0.088311,0.999999,0.000579,-0.000104,-0.001627,-0.966944,-0.206351,-0.149046,-0.014958,24.872278,16.383489,5.409091
24161,-2.899175,4.739968,8.369486,-0.144956,0.770212,0.202629,0.093386,-0.039203,-0.302721,-0.028936,0.047404,0.083711,0.999999,0.000467,-0.000196,-0.001514,-0.966914,-0.206525,-0.149143,-0.013421,24.870258,16.431744,5.237639
