PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28024,-3.810096,2.833753,8.692998,0.069143,-0.038444,0.092309,-0.003205,-0.001427,-0.011611,-0.038100,0.028341,0.086929,1.000000,-0.000016,-0.000007,-0.000058,0.967847,0.152223,0.199767,-0.013878,18.306934,23.011327,2.114164
28025,-3.824416,2.806608,8.710173,0.058653,-0.069010,0.105080,-0.003940,-0.001785,-0.007050,-0.038244,0.028069,0.087101,1.000000,-0.000020,-0.000009,-0.000035,0.967871,0.152177,0.199691,-0.013859,18.300908,23.002320,2.113602
28026,-3.796007,2.859183,8.676283,0.075846,-0.006969,0.079566,0.002337,-0.004090,-0.009493,-0.037960,0.028593,0.086762,1.000000,0.000012,-0.000020,-0.000047,0.967881,0.152153,0.199657,-0.013870,18.297274,22.998669,2.111050
28027,-3.816777,2.809700,8.687485,0.055087,-0.057696,0.083183,-0.000730,-0.000782,-0.006467,-0.038167,0.028099,0.086875,1.000000,-0.000004,-0.000004,-0.000032,0.967901,0.152123,0.199586,-0.013851,18.293281,22.990154,2.111024
28028,-3.803828,2.855179,8.699187,0.075091,-0.016990,0.101498,0.005970,-0.000054,-0.008533,-0.038037,0.028551,0.086993,1.000000,0.000030,-0.000000,-0.000043,0.967905,0.152117,0.199571,-0.013857,18.292259,22.988525,2.109828
28029,-3.804570,2.893333,8.653039,0.058852,0.033477,0.072485,0.001716,0.000835,-0.010643,-0.038044,0.028935,0.086531,1.000000,0.000009,0.000004,-0.000053,0.967921,0.152094,0.199511,-0.013860,18.288810,22.981693,2.107647
28030,-3.817560,2.809458,8.687220,0.052391,-0.056672,0.083203,0.002725,0.000340,-0.007406,-0.038174,0.028095,0.086873,1.000000,0.000014,0.000002,-0.000037,0.967927,0.152074,0.199497,-0.013857,18.286220,22.980076,2.107195
28031,-3.803629,2.835947,8.670092,0.059672,-0.025567,0.070454,0.004470,0.000203,-0.008730,-0.038035,0.028359,0.086702,1.000000,0.000022,0.000001,-0.000044,0.967941,0.152067,0.199432,-0.013854,18.284734,22.972609,2.106019
28032,-3.812373,2.851328,8.721723,0.072189,-0.026349,0.123449,0.003593,-0.004466,-0.007776,-0.038125,0.028513,0.087217,1.000000,0.000018,-0.000022,-0.000039,0.967952,0.152050,0.199395,-0.013857,18.282189,22.968444,2.104411
28033,-3.819567,2.866727,8.669737,0.045697,0.003944,0.085265,0.005415,0.002078,-0.013102,-0.038193,0.028667,0.086699,1.000000,0.000027,0.000010,-0.000066,0.967963,0.152043,0.199344,-0.013875,18.280367,22.962833,2.101015
28034,-3.834125,2.840270,8.686578,0.036279,-0.026513,0.098027,0.004224,0.000084,-0.007209,-0.038340,0.028402,0.086866,1.000000,0.000021,0.000000,-0.000036,0.967968,0.152030,0.199328,-0.013873,18.278661,22.961041,2.100629
28035,-3.839605,2.798673,8.651856,0.012794,-0.055921,0.057797,0.008337,-0.005115,-0.008706,-0.038397,0.027985,0.086519,1.000000,0.000042,-0.000026,-0.000044,0.967985,0.152041,0.199239,-0.013878,18.278972,22.950784,2.098426
28036,-3.833995,2.841033,8.686386,0.034153,-0.025861,0.098036,0.009768,-0.002577,-0.005091,-0.038340,0.028407,0.086865,1.000000,0.000049,-0.000013,-0.000025,0.967989,0.152056,0.199208,-0.013873,18.280727,22.947164,2.098772
28037,-3.812690,2.852702,8.721135,0.066350,-0.024751,0.123494,0.008057,-0.003837,-0.005476,-0.038128,0.028525,0.087212,1.000000,0.000040,-0.000019,-0.000027,0.968005,0.152069,0.199123,-0.013861,18.281702,22.937084,2.098722
28038,-3.782744,2.848861,8.704249,0.086516,-0.022393,0.095952,0.007013,-0.001945,-0.007004,-0.037827,0.028487,0.087043,1.000000,0.000035,-0.000010,-0.000035,0.968010,0.152070,0.199098,-0.013862,18.281487,22.934151,2.098062
28039,-3.811606,2.834425,8.692117,0.052599,-0.033605,0.092428,0.006978,-0.000548,-0.005295,-0.038116,0.028342,0.086922,1.000000,0.000035,-0.000003,-0.000026,0.968023,0.152077,0.199029,-0.013846,18.282123,22.925875,2.098757
28040,-3.768781,2.876111,8.686879,0.093264,0.009109,0.083211,0.007223,-0.000428,-0.006816,-0.037687,0.028759,0.086870,1.000000,0.000036,-0.000002,-0.000034,0.968026,0.152079,0.199010,-0.013845,18.282187,22.923734,2.098504
28041,-3.835237,2.862269,8.714365,0.040013,-0.014745,0.129142,0.008968,-0.000565,-0.008140,-0.038351,0.028620,0.087145,1.000000,0.000045,-0.000003,-0.000041,0.968038,0.152094,0.198944,-0.013845,18.283298,22.916006,2.097515
28042,-3.805794,2.858243,8.697320,0.060189,-0.012385,0.101607,0.003599,0.005008,-0.008361,-0.038055,0.028582,0.086975,1.000000,0.000018,0.000025,-0.000042,0.968039,0.152077,0.198953,-0.013844,18.281344,22.917100,2.097410
28043,-3.792289,2.884861,8.679953,0.067503,0.018739,0.088856,0.008623,0.003081,-0.012520,-0.037920,0.028847,0.086801,1.000000,0.000043,0.000015,-0.000063,0.968046,0.152085,0.198908,-0.013861,18.281518,22.912196,2.094543
28044,-3.827766,2.809433,8.707790,0.039010,-0.062739,0.105218,0.010367,0.002945,-0.013844,-0.038274,0.028092,0.087080,1.000000,0.000052,0.000015,-0.000069,0.968044,0.152096,0.198911,-0.013895,18.282024,22.913153,2.090797
28045,-3.820708,2.813919,8.684391,0.036102,-0.051798,0.083303,0.019365,0.001412,-0.012663,-0.038205,0.028133,0.086847,1.000000,0.000097,0.000007,-0.000063,0.968045,0.152156,0.198857,-0.013926,18.288184,22.907419,2.087519
28046,-3.830276,2.868780,8.689371,0.033886,-0.002383,0.107238,0.021910,-0.000734,-0.010937,-0.038302,0.028680,0.086897,1.000000,0.000110,-0.000004,-0.000055,0.968037,0.152225,0.198840,-0.013960,18.295693,22.905853,2.084772
28047,-3.813373,2.782549,8.706241,0.047316,-0.090636,0.090472,0.027283,0.003170,-0.011303,-0.038131,0.027816,0.087067,1.000000,0.000136,0.000016,-0.000057,0.968030,0.152325,0.198793,-0.013990,18.306824,22.900887,2.082638
28048,-3.815593,2.841968,8.687904,0.043711,-0.030568,0.092481,0.031711,0.005202,-0.007295,-0.038153,0.028407,0.086885,1.000000,0.000159,0.000026,-0.000036,0.968009,0.152445,0.198801,-0.014012,18.321236,22.901895,2.083200
28049,-3.779634,2.825051,8.721800,0.087837,-0.058249,0.103221,0.036037,0.010997,-0.009191,-0.037790,0.028237,0.087225,1.000000,0.000180,0.000055,-0.000046,0.967988,0.152590,0.198791,-0.014035,18.338442,22.900860,2.083838
28050,-3.811219,2.870122,8.691030,0.051868,-0.009706,0.101657,0.034292,0.011135,-0.007867,-0.038106,0.028688,0.086917,1.000000,0.000171,0.000056,-0.000039,0.967960,0.152722,0.198827,-0.014057,18.354654,22.905197,2.085226
28051,-3.796895,2.842026,8.689868,0.062280,-0.038259,0.086908,0.031639,0.017477,-0.004472,-0.037961,0.028407,0.086906,1.000000,0.000158,0.000087,-0.000022,0.967936,0.152851,0.198846,-0.014048,18.370906,22.906881,2.089919
28052,-3.828288,2.848917,8.705102,0.040968,-0.039869,0.114429,0.032720,0.014190,-0.004647,-0.038276,0.028476,0.087058,1.000000,0.000164,0.000071,-0.000023,0.967905,0.152979,0.198895,-0.014051,18.387191,22.912297,2.093809
28053,-3.821947,2.855173,8.680779,0.038103,-0.028923,0.092509,0.030765,0.012811,-0.003510,-0.038213,0.028539,0.086815,1.000000,0.000154,0.000064,-0.000018,0.967887,0.153104,0.198890,-0.014040,18.402792,22.911318,2.098154
28054,-3.810155,2.903370,8.690981,0.057965,0.011844,0.110845,0.032509,0.012674,-0.004832,-0.038095,0.029020,0.086917,1.000000,0.000163,0.000063,-0.000024,0.967858,0.153231,0.198932,-0.014045,18.418800,22.915941,2.101641
28055,-3.812959,2.962738,8.672233,0.053381,0.071835,0.112840,0.023093,0.011167,-0.006391,-0.038124,0.029619,0.086728,1.000000,0.000115,0.000056,-0.000032,0.967846,0.153316,0.198923,-0.014042,18.429212,22.914640,2.103964
28056,-3.811471,2.887676,8.660052,0.044345,0.002973,0.079760,0.012596,0.012947,-0.007778,-0.038108,0.028873,0.086605,1.000000,0.000063,0.000065,-0.000039,0.967832,0.153343,0.198970,-0.014041,18.433156,22.919944,2.105767
28057,-3.848410,2.832324,8.716358,0.026564,-0.069053,0.127219,0.018730,0.006774,-0.002784,-0.038481,0.028316,0.087168,1.000000,0.000094,0.000034,-0.000014,0.967829,0.153410,0.198937,-0.014019,18.441567,22.915651,2.109360
28058,-3.776448,2.870606,8.693704,0.087957,-0.024288,0.090549,0.013432,0.009542,-0.006432,-0.037759,0.028701,0.086941,1.000000,0.000067,0.000048,-0.000032,0.967818,0.153443,0.198966,-0.014015,18.446039,22.918859,2.111289
28059,-3.805169,2.837597,8.652222,0.042596,-0.045095,0.055866,0.016849,0.012069,-0.005663,-0.038046,0.028370,0.086527,1.000000,0.000084,0.000060,-0.000028,0.967810,0.153498,0.198962,-0.014001,18.453098,22.918013,2.114221
28060,-3.794483,2.903580,8.691561,0.073984,0.005246,0.105306,0.015140,0.010805,-0.006047,-0.037939,0.029030,0.086920,1.000000,0.000076,0.000054,-0.000030,0.967796,0.153540,0.198997,-0.013996,18.458734,22.921839,2.116626
28061,-3.802067,2.881630,8.685022,0.062330,-0.014649,0.096148,0.008405,0.011473,-0.002281,-0.038015,0.028813,0.086854,1.000000,0.000042,0.000057,-0.000011,0.967796,0.153557,0.198988,-0.013958,18.461678,22.920102,2.121435
28062,-3.833455,2.924476,8.654860,0.026311,0.033855,0.094517,0.008442,0.010071,-0.003987,-0.038330,0.029242,0.086552,1.000000,0.000042,0.000050,-0.000020,0.967788,0.153568,0.199019,-0.013937,18.463893,22.923154,2.124912
28063,-3.791506,2.965845,8.649274,0.066013,0.076567,0.085367,-0.004217,0.008951,-0.004429,-0.037911,0.029661,0.086494,1.000000,-0.000021,0.000045,-0.000022,0.967800,0.153522,0.199001,-0.013899,18.458917,22.920487,2.127958
28064,-3.796103,2.865813,8.632276,0.046868,-0.012516,0.043129,-0.010140,0.007164,-0.008636,-0.037957,0.028664,0.086323,1.000000,-0.000051,0.000036,-0.000043,0.967809,0.153439,0.199022,-0.013884,18.449194,22.922803,2.128118
28065,-3.848431,2.838779,8.689144,0.017166,-0.055693,0.105322,-0.015032,0.003939,-0.000285,-0.038483,0.028394,0.086890,1.000000,-0.000075,0.000020,-0.000001,0.967834,0.153344,0.198978,-0.013819,18.438594,22.916708,2.132625
28066,-3.788869,2.828800,8.656088,0.058205,-0.051315,0.050349,-0.014673,-0.000148,-0.006922,-0.037888,0.028296,0.086559,1.000000,-0.000073,-0.000001,-0.000035,0.967854,0.153240,0.198962,-0.013797,18.426107,22.914739,2.132358
28067,-3.880441,2.897333,8.689056,-0.008777,0.002674,0.134773,-0.013212,0.001000,-0.005017,-0.038803,0.028980,0.086889,1.000000,-0.000066,0.000005,-0.000025,0.967880,0.153149,0.198908,-0.013759,18.415218,22.907956,2.133490
28068,-3.792013,2.902260,8.668051,0.064591,0.018633,0.083426,-0.016911,-0.000243,-0.002560,-0.037920,0.029030,0.086678,1.000000,-0.000085,-0.000001,-0.000013,0.967902,0.153038,0.198889,-0.013713,18.402444,22.905146,2.135779
28069,-3.777641,2.888983,8.697621,0.086668,-0.000320,0.099825,-0.018964,0.002132,-0.007332,-0.037774,0.028899,0.086974,1.000000,-0.000095,0.000011,-0.000037,0.967931,0.152917,0.198842,-0.013680,18.387813,22.899451,2.135768
28070,-3.792682,2.898272,8.669093,0.062606,0.019321,0.083438,-0.024679,0.001864,-0.011354,-0.037924,0.028996,0.086688,1.000000,-0.000123,0.000009,-0.000057,0.967957,0.152760,0.198841,-0.013668,18.368731,22.899377,2.133282
28071,-3.804623,2.792816,8.675577,0.044036,-0.080483,0.063152,-0.025478,0.003870,-0.014405,-0.038043,0.027942,0.086753,1.000000,-0.000127,0.000019,-0.000072,0.967988,0.152601,0.198809,-0.013661,18.348876,22.895944,2.129438
28072,-3.809208,2.885604,8.716136,0.063321,-0.001250,0.127323,-0.024641,0.000465,-0.013059,-0.038090,0.028869,0.087158,1.000000,-0.000123,0.000002,-0.000065,0.968015,0.152442,0.198802,-0.013658,18.329316,22.895415,2.125671
