PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
33458,-3.809146,2.810665,8.698851,0.102517,-0.131957,0.089409,-0.033906,-0.034910,-0.023279,-0.038103,0.028126,0.086977,1.000000,-0.000170,-0.000175,-0.000116,-0.650891,-0.245784,-0.033576,0.717498,17.219139,23.353775,-91.988834
33459,-3.831354,2.789793,8.717928,0.082070,-0.112376,0.109264,-0.031267,-0.034510,-0.015483,-0.038326,0.027915,0.087168,1.000000,-0.000156,-0.000173,-0.000077,-0.650917,-0.245522,-0.033600,0.717564,17.192654,23.334434,-92.000482
33460,-3.807466,2.731556,8.730349,0.026320,-0.126802,0.094907,-0.030230,-0.034344,-0.018185,-0.038087,0.027332,0.087293,1.000000,-0.000151,-0.000172,-0.000091,-0.650931,-0.245264,-0.033614,0.717638,17.166845,23.314760,-92.013662
33461,-3.855506,2.735402,8.701186,0.044742,-0.069525,0.089391,-0.028988,-0.032779,-0.016912,-0.038567,0.027370,0.087002,1.000000,-0.000145,-0.000164,-0.000085,-0.650948,-0.245016,-0.033637,0.717706,17.141471,23.296599,-92.025820
33462,-3.850828,2.747852,8.722086,0.053631,-0.080140,0.109261,-0.020917,-0.033556,-0.015333,-0.038521,0.027491,0.087212,1.000000,-0.000105,-0.000168,-0.000077,-0.650961,-0.244791,-0.033617,0.717772,17.121749,23.276854,-92.037134
33463,-3.821493,2.778173,8.725963,0.083489,-0.109960,0.109280,-0.019472,-0.030592,-0.010080,-0.038227,0.027792,0.087251,1.000000,-0.000097,-0.000153,-0.000050,-0.650990,-0.244583,-0.033604,0.717817,17.103609,23.258730,-92.044801
33464,-3.797335,2.740316,8.722489,0.050512,-0.121950,0.086478,-0.020195,-0.028671,-0.001432,-0.037986,0.027412,0.087217,1.000000,-0.000101,-0.000143,-0.000007,-0.651052,-0.244380,-0.033580,0.717832,17.087948,23.239302,-92.046915
33465,-3.792013,2.810956,8.696890,0.127829,-0.125344,0.080981,-0.011321,-0.023098,-0.011033,-0.037929,0.028117,0.086963,1.000000,-0.000057,-0.000115,-0.000055,-0.651066,-0.244226,-0.033564,0.717872,17.074805,23.225439,-92.053764
33466,-3.764795,2.766093,8.761411,0.066507,-0.164827,0.114834,-0.014375,-0.019484,-0.004227,-0.037656,0.027668,0.087608,1.000000,-0.000072,-0.000097,-0.000021,-0.651109,-0.244074,-0.033552,0.717885,17.062500,23.211499,-92.055851
33467,-3.786847,2.823375,8.718017,0.137137,-0.135414,0.100856,-0.014212,-0.012584,-0.004135,-0.037873,0.028241,0.087176,1.000000,-0.000071,-0.000063,-0.000021,-0.651150,-0.243949,-0.033572,0.717890,17.050085,23.202233,-92.056659
33468,-3.787067,2.765166,8.764656,0.069129,-0.142106,0.126238,-0.008437,-0.007527,-0.005659,-0.037873,0.027656,0.087644,1.000000,-0.000042,-0.000038,-0.000028,-0.651178,-0.243859,-0.033579,0.717894,17.041722,23.195067,-92.057406
33469,-3.787859,2.806069,8.700277,0.129245,-0.122913,0.080993,-0.006291,-0.008549,-0.008422,-0.037881,0.028065,0.087000,1.000000,-0.000031,-0.000043,-0.000042,-0.651194,-0.243774,-0.033589,0.717909,17.033131,23.188731,-92.060028
33470,-3.733659,2.870277,8.704951,0.188480,-0.182872,0.081043,-0.009551,-0.006332,-0.005589,-0.037339,0.028708,0.087047,1.000000,-0.000048,-0.000032,-0.000028,-0.651223,-0.243685,-0.033604,0.717911,17.024246,23.182194,-92.060511
