PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
25103,-9.421234,1.650776,-1.607091,0.003219,0.055930,-0.114011,0.018976,0.007440,-0.006794,-0.094212,0.016512,-0.016066,1.000000,0.000095,0.000037,-0.000034,0.584845,-0.199512,0.738234,0.270486,135.613255,76.272322,174.726489
25104,-9.394960,1.656237,-1.575656,0.017895,0.080799,-0.143963,0.016478,0.010089,-0.005641,-0.093950,0.016566,-0.015750,1.000000,0.000082,0.000050,-0.000028,0.584841,-0.199453,0.738270,0.270440,135.619320,76.268945,174.723515
25105,-9.419632,1.709032,-1.567522,-0.001670,0.126626,-0.112618,0.007185,0.015280,-0.007404,-0.094197,0.017094,-0.015667,1.000000,0.000036,0.000076,-0.000037,0.584811,-0.199437,0.738306,0.270416,135.632599,76.264319,174.733604
25106,-9.395705,1.688638,-1.584080,-0.006863,0.101019,-0.136436,-0.005078,0.008350,-0.009389,-0.093957,0.016890,-0.015837,1.000000,-0.000025,0.000042,-0.000047,0.584798,-0.199451,0.738304,0.270440,135.629628,76.263148,174.733936
25107,-9.395701,1.687759,-1.585045,-0.006741,0.099869,-0.136424,0.007731,0.011720,-0.008875,-0.093957,0.016882,-0.015844,1.000000,0.000039,0.000059,-0.000044,0.584784,-0.199434,0.738329,0.270414,135.639842,76.260570,174.740548
25108,-9.386987,1.614637,-1.597916,0.026713,0.036106,-0.154847,0.009995,0.018976,-0.015286,-0.093870,0.016154,-0.015969,1.000000,0.000050,0.000095,-0.000076,0.584753,-0.199445,0.738372,0.270357,135.673059,76.257402,174.769857
25109,-9.403035,1.594704,-1.601719,0.040455,0.019348,-0.141925,0.016945,0.019605,-0.015733,-0.094031,0.015956,-0.016007,1.000000,0.000085,0.000098,-0.000079,0.584728,-0.199437,0.738426,0.270269,135.712939,76.254332,174.801574
25110,-9.417693,1.634489,-1.563609,0.049075,0.075583,-0.127583,0.026941,0.019037,-0.017269,-0.094177,0.016355,-0.015625,1.000000,0.000135,0.000095,-0.000086,0.584718,-0.199402,0.738490,0.270142,135.758992,76.251904,174.833744
25111,-9.467752,1.645874,-1.582979,0.040011,0.072727,-0.073788,0.024286,0.018515,-0.012750,-0.094678,0.016467,-0.015819,1.000000,0.000121,0.000093,-0.000064,0.584700,-0.199361,0.738554,0.270036,135.796260,76.248079,174.858442
25112,-9.405541,1.691303,-1.626160,-0.034202,0.083510,-0.119341,0.016633,0.023038,-0.015870,-0.094056,0.016922,-0.016249,1.000000,0.000083,0.000115,-0.000079,0.584661,-0.199360,0.738616,0.269949,135.840886,76.243474,174.895615
25113,-9.422490,1.705350,-1.635946,-0.045483,0.089308,-0.098892,0.007497,0.016612,-0.015665,-0.094225,0.017061,-0.016351,1.000000,0.000037,0.000083,-0.000078,0.584638,-0.199375,0.738649,0.269899,135.870291,76.241587,174.922124
25114,-9.376849,1.638852,-1.716249,-0.075897,-0.011130,-0.140523,0.001483,0.015708,-0.011733,-0.093769,0.016394,-0.017155,1.000000,0.000007,0.000079,-0.000059,0.584605,-0.199394,0.738674,0.269889,135.887136,76.238269,174.939864
25115,-9.358859,1.587851,-1.704149,-0.039354,-0.041790,-0.168500,-0.006482,0.018649,-0.016529,-0.093589,0.015886,-0.017033,1.000000,-0.000032,0.000093,-0.000083,0.584562,-0.199457,0.738692,0.269886,135.913283,76.235883,174.971265
25116,-9.368845,1.598598,-1.736508,-0.067360,-0.053458,-0.151484,-0.011326,0.017341,-0.010724,-0.093689,0.015990,-0.017358,1.000000,-0.000057,0.000087,-0.000054,0.584509,-0.199511,0.738706,0.269923,135.923942,76.231551,174.990023
25117,-9.421980,1.619151,-1.808791,-0.121321,-0.084266,-0.084108,-0.035300,0.014929,-0.011592,-0.094220,0.016194,-0.018084,1.000000,-0.000176,0.000075,-0.000058,0.584444,-0.199634,0.738680,0.270044,135.919217,76.228726,175.006639
25118,-9.478017,1.601764,-1.797730,-0.088589,-0.092348,-0.034451,-0.022883,0.010259,-0.007619,-0.094780,0.016019,-0.017974,1.000000,-0.000114,0.000051,-0.000038,0.584403,-0.199697,0.738661,0.270137,135.906271,76.226087,175.007242
25119,-9.489629,1.635131,-1.704164,-0.035089,-0.008170,-0.033649,-0.014137,0.008637,-0.004372,-0.094897,0.016352,-0.017039,1.000000,-0.000071,0.000043,-0.000022,0.584373,-0.199723,0.738652,0.270208,135.891319,76.222974,175.000844
25120,-9.531877,1.610137,-1.738758,-0.035851,-0.051128,0.009156,-0.004602,-0.001687,-0.005745,-0.095318,0.016104,-0.017389,1.000000,-0.000023,-0.000008,-0.000029,0.584392,-0.199710,0.738625,0.270251,135.866295,76.224483,174.978347
25121,-9.442907,1.629269,-1.740186,-0.070544,-0.036693,-0.073851,-0.001392,-0.014498,-0.004863,-0.094427,0.016295,-0.017409,1.000000,-0.000007,-0.000072,-0.000024,0.584460,-0.199670,0.738565,0.270296,135.821807,76.231074,174.934021
25122,-9.400102,1.619272,-1.698535,-0.044468,-0.018699,-0.124207,0.007435,-0.014657,-0.008268,-0.093999,0.016197,-0.016992,1.000000,0.000037,-0.000073,-0.000041,0.584542,-0.199612,0.738514,0.270300,135.786643,76.238897,174.893888
25123,-9.362655,1.591407,-1.758681,-0.083205,-0.079052,-0.154961,0.000874,-0.017014,-0.004399,-0.093625,0.015916,-0.017595,1.000000,0.000004,-0.000085,-0.000022,0.584622,-0.199560,0.738450,0.270341,135.738481,76.246320,174.844446
25124,-9.384754,1.636544,-1.693676,-0.057819,-0.005408,-0.137097,0.015244,-0.020768,-0.000108,-0.093846,0.016367,-0.016945,1.000000,0.000076,-0.000104,-0.000001,0.584722,-0.199444,0.738400,0.270348,135.684173,76.253358,174.780300
25125,-9.278003,1.605929,-1.680605,-0.056102,-0.020396,-0.248106,0.020168,-0.022757,-0.004158,-0.092778,0.016063,-0.016815,1.000000,0.000101,-0.000114,-0.000021,0.584842,-0.199327,0.738345,0.270324,135.637146,76.263018,174.720650
25126,-9.265105,1.585126,-1.594640,0.017092,0.016851,-0.278690,0.020238,-0.011274,-0.007743,-0.092650,0.015856,-0.015950,1.000000,0.000101,-0.000056,-0.000039,0.584924,-0.199234,0.738322,0.270278,135.613864,76.269239,174.685035
25127,-9.205148,1.559235,-1.545969,0.054533,0.028026,-0.349484,0.006568,-0.007664,-0.006933,-0.092050,0.015596,-0.015463,1.000000,0.000033,-0.000038,-0.000035,0.584978,-0.199187,0.738291,0.270281,135.588363,76.273818,174.655567
25128,-9.248489,1.567604,-1.586356,0.028763,0.007621,-0.299140,-0.002660,0.008999,-0.012292,-0.092485,0.015682,-0.015860,1.000000,-0.000013,0.000045,-0.000061,0.584967,-0.199210,0.738291,0.270290,135.592808,76.273463,174.662774
25129,-9.364790,1.574598,-1.623551,0.024158,-0.012792,-0.178695,-0.009070,0.014822,-0.010256,-0.093648,0.015750,-0.016229,1.000000,-0.000045,0.000074,-0.000051,0.584926,-0.199251,0.738301,0.270319,135.600813,76.270168,174.677021
25130,-9.422790,1.624587,-1.624564,0.006883,0.024175,-0.113882,-0.004611,0.008083,-0.012613,-0.094228,0.016251,-0.016242,1.000000,-0.000023,0.000040,-0.000063,0.584916,-0.199281,0.738295,0.270336,135.603341,76.270331,174.683592
25131,-9.406847,1.641697,-1.623259,-0.006616,0.038670,-0.126751,-0.007418,0.004138,-0.014668,-0.094068,0.016423,-0.016231,1.000000,-0.000037,0.000021,-0.000073,0.584923,-0.199320,0.738271,0.270356,135.602154,76.273178,174.687403
25132,-9.417151,1.652393,-1.654081,-0.034620,0.026960,-0.109740,-0.005069,-0.001677,-0.012452,-0.094170,0.016529,-0.016542,1.000000,-0.000025,-0.000008,-0.000062,0.584951,-0.199332,0.738237,0.270380,135.587962,76.277344,174.676172
25133,-9.474494,1.668158,-1.647703,-0.026912,0.041382,-0.052499,-0.003656,-0.007220,-0.013722,-0.094743,0.016688,-0.016481,1.000000,-0.000018,-0.000036,-0.000069,0.585002,-0.199340,0.738187,0.270401,135.568682,76.284460,174.659139
25134,-9.468834,1.697085,-1.676319,-0.068536,0.045317,-0.048354,0.001880,-0.001039,-0.012895,-0.094687,0.016977,-0.016764,1.000000,0.000009,-0.000005,-0.000064,0.585035,-0.199335,0.738163,0.270398,135.560318,76.288559,174.649814
25135,-9.531812,1.776530,-1.605379,-0.049189,0.150178,0.013999,0.010546,0.000647,-0.011405,-0.095317,0.017772,-0.016053,1.000000,0.000053,0.000003,-0.000057,0.585068,-0.199304,0.738157,0.270365,135.558207,76.291526,174.642079
25136,-9.522878,1.797725,-1.580402,-0.045899,0.182044,0.004616,-0.002100,-0.004335,-0.006890,-0.095228,0.017980,-0.015806,1.000000,-0.000011,-0.000022,-0.000034,0.585100,-0.199286,0.738124,0.270399,135.532161,76.294528,174.617351
25137,-9.491168,1.739751,-1.612626,-0.042883,0.116597,-0.030350,-0.007181,-0.000756,-0.007876,-0.094911,0.017401,-0.016127,1.000000,-0.000036,-0.000004,-0.000039,0.585116,-0.199292,0.738094,0.270444,135.511656,76.296652,174.601137
