PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
26876,-7.482562,1.752638,7.956225,0.891812,0.417272,1.205132,0.224209,-0.393438,0.122368,-0.074993,0.017391,0.079434,0.999997,0.001121,-0.001967,0.000612,-0.219461,0.298378,-0.200900,-0.906888,17.480105,39.003684,159.025580
26877,-6.692349,2.048767,7.672526,0.354311,0.255257,0.563320,0.369416,-0.579986,0.184340,-0.067164,0.020284,0.076568,0.999994,0.001847,-0.002900,0.000922,-0.219694,0.295136,-0.202196,-0.907605,17.693051,38.651035,159.033963
26878,-5.798602,2.878936,7.459244,-0.560241,-0.277369,0.044348,0.400778,-0.636932,0.214969,-0.058254,0.028578,0.074465,0.999992,0.002004,-0.003185,0.001075,-0.219889,0.291565,-0.203613,-0.908394,17.928050,38.261910,159.049086
26879,-5.027984,3.280220,7.210364,-1.156378,-0.509099,-0.515746,0.302148,-0.575664,0.212065,-0.050522,0.032640,0.072008,0.999994,0.001511,-0.002878,0.001060,-0.219887,0.288381,-0.204644,-0.909179,18.112669,37.906648,159.074162
26880,-4.861017,3.289763,7.155170,-1.206050,-0.496358,-0.650408,0.175886,-0.446980,0.191677,-0.048801,0.032788,0.071472,0.999997,0.000879,-0.002235,0.000958,-0.219663,0.285938,-0.205210,-0.909877,18.233150,37.625023,159.112928
26881,-5.004940,3.147269,7.342136,-1.065128,-0.330675,-0.452252,0.054769,-0.333971,0.156331,-0.050196,0.031413,0.073346,0.999998,0.000274,-0.001670,0.000782,-0.219308,0.284176,-0.205299,-0.910494,18.284786,37.411049,159.152532
26882,-5.047828,2.710113,7.464854,-0.829373,0.069480,-0.439504,-0.005067,-0.255710,0.135489,-0.050592,0.027069,0.074583,0.999999,-0.000025,-0.001279,0.000677,-0.218883,0.282858,-0.205170,-0.911036,18.303683,37.243516,159.195141
26883,-5.031034,2.348338,7.513728,-0.652300,0.388902,-0.501118,0.016498,-0.204428,0.108275,-0.050400,0.023450,0.075088,0.999999,0.000082,-0.001022,0.000541,-0.218559,0.281775,-0.205158,-0.911452,18.330884,37.108496,159.230828
26884,-5.008618,2.486643,7.644654,-0.775782,0.344497,-0.379245,0.057488,-0.152652,0.087991,-0.050155,0.024822,0.076415,1.000000,0.000287,-0.000763,0.000440,-0.218332,0.280905,-0.205359,-0.911730,18.379774,37.005541,159.263995
26885,-4.975511,2.653153,7.756989,-0.917424,0.274003,-0.270725,0.065848,-0.108331,0.061634,-0.049805,0.026491,0.077552,1.000000,0.000329,-0.000542,0.000308,-0.218190,0.280253,-0.205611,-0.911908,18.428911,36.931037,159.289357
26886,-5.117959,2.636825,7.886334,-0.845047,0.313750,-0.090133,0.064465,-0.070368,0.042223,-0.051213,0.026332,0.078854,1.000000,0.000322,-0.000352,0.000211,-0.218097,0.279798,-0.205869,-0.912012,18.474084,36.881059,159.309795
26887,-5.376696,2.584367,8.036180,-0.677218,0.362207,0.166199,0.083567,-0.059054,0.047906,-0.053797,0.025797,0.080357,1.000000,0.000418,-0.000295,0.000240,-0.217991,0.279363,-0.206236,-0.912087,18.534345,36.835649,159.336859
26888,-5.523216,2.627249,8.105183,-0.606215,0.326357,0.317876,0.110748,-0.077489,0.075316,-0.055273,0.026207,0.081045,1.000000,0.000554,-0.000387,0.000377,-0.217819,0.278791,-0.206743,-0.912189,18.618386,36.775727,159.377957
26889,-5.756136,2.933271,8.281827,-0.646484,0.105493,0.670477,0.115604,-0.099518,0.091998,-0.057616,0.029258,0.082807,1.000000,0.000578,-0.000498,0.000460,-0.217598,0.278090,-0.207273,-0.912335,18.709142,36.700102,159.425436
26890,-5.704591,3.016333,8.330480,-0.728756,0.080030,0.699211,0.049254,-0.154072,0.106530,-0.057126,0.030112,0.083268,1.000000,0.000246,-0.000770,0.000533,-0.217278,0.277202,-0.207459,-0.912639,18.759800,36.592791,159.469787
26891,-5.439586,2.633316,8.303721,-0.699394,0.452508,0.423585,0.013283,-0.189118,0.095156,-0.054487,0.026302,0.082987,0.999999,0.000066,-0.000946,0.000476,-0.216993,0.276199,-0.207429,-0.913018,18.780671,36.467808,159.498567
26892,-5.217865,2.463650,8.269060,-0.743665,0.632060,0.223271,0.032719,-0.193401,0.083947,-0.052269,0.024601,0.082644,0.999999,0.000164,-0.000967,0.000420,-0.216792,0.275173,-0.207466,-0.913367,18.807155,36.343297,159.518403
