// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
37505,-9.662943,0.075362,-0.949163,0.123790,-0.056930,-0.103903,0.031061,0.001001,-0.027661,-0.096629,0.000768,-0.009491,1.000000,0.000155,0.000005,-0.000138,-0.341433,-0.635440,-0.380259,0.578828,-176.281617,84.435487,65.168094
37506,-9.644836,0.075747,-0.911175,0.108591,-0.089116,-0.125629,0.029476,0.000148,-0.026391,-0.096448,0.000772,-0.009112,1.000000,0.000147,0.000001,-0.000132,-0.341312,-0.635442,-0.380215,0.578926,-176.175439,84.438353,65.258657
37507,-9.648471,0.039552,-0.984848,0.113627,-0.008052,-0.114672,0.022848,-0.000741,-0.026956,-0.096485,0.000410,-0.009849,1.000000,0.000114,-0.000004,-0.000135,-0.341209,-0.635427,-0.380193,0.579018,-176.062792,84.441817,65.359367
37508,-9.651415,0.015541,-0.934506,0.070264,-0.040990,-0.116465,0.028140,-0.002076,-0.025741,-0.096514,0.000169,-0.009346,1.000000,0.000141,-0.000010,-0.000129,-0.341099,-0.635421,-0.380148,0.579120,-175.959234,84.445952,65.448078
37509,-9.690609,-0.015330,-0.960030,0.055987,-0.007446,-0.074792,0.032307,-0.005858,-0.030762,-0.096906,-0.000137,-0.009603,1.000000,0.000162,-0.000029,-0.000154,-0.340964,-0.635400,-0.380101,0.579253,-175.816319,84.452144,65.573751
37510,-9.673945,-0.066580,-0.978884,0.022870,0.035094,-0.089205,0.033681,-0.004781,-0.025148,-0.096739,-0.000652,-0.009791,1.000000,0.000168,-0.000024,-0.000126,-0.340843,-0.635396,-0.380034,0.579372,-175.711665,84.457816,65.660479
37511,-9.641326,-0.096094,-0.975831,-0.001087,0.049654,-0.121754,0.045846,-0.006593,-0.023989,-0.096413,-0.000947,-0.009762,1.000000,0.000229,-0.000033,-0.000120,-0.340686,-0.635409,-0.379926,0.579521,-175.600033,84.464673,65.746926
37512,-9.641360,-0.098660,-0.975242,-0.001768,0.050707,-0.121760,0.048797,-0.004660,-0.019648,-0.096413,-0.000975,-0.009755,1.000000,0.000244,-0.000023,-0.000098,-0.340534,-0.635441,-0.379799,0.579659,-175.518592,84.470494,65.801817
37513,-9.703716,-0.135478,-1.004665,-0.020685,0.088839,-0.056587,0.050370,-0.003807,-0.020924,-0.097037,-0.001342,-0.010049,1.000000,0.000252,-0.000019,-0.000105,-0.340367,-0.635475,-0.379672,0.579803,-175.423354,84.475872,65.869188
37514,-9.685614,-0.134246,-0.966074,-0.035851,0.056632,-0.078318,0.059019,-0.005832,-0.013159,-0.096856,-0.001333,-0.009664,1.000000,0.000295,-0.000029,-0.000066,-0.340200,-0.635534,-0.379490,0.579954,-175.373037,84.482637,65.886516
