PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
12791,-9.845976,-1.175412,-1.090274,0.989261,-1.331276,0.024111,0.161895,0.061244,-0.032167,-0.098465,-0.011729,-0.010882,1.000000,0.000809,0.000306,-0.000161,0.622973,-0.243144,0.699867,0.250944,153.727404,83.734302,-165.310704
12792,-10.113835,-1.176151,-1.604581,0.628455,-1.654222,0.341930,0.436822,0.048999,-0.060539,-0.101146,-0.011696,-0.016047,0.999998,0.002184,0.000245,-0.000303,0.623411,-0.242003,0.700487,0.249223,154.291198,83.724162,-164.994471
12793,-10.337785,-0.390214,-1.997012,-0.166689,-1.295251,0.642197,0.680067,0.000490,-0.094289,-0.103380,-0.003785,-0.019983,0.999994,0.003400,0.000002,-0.000471,0.624357,-0.240175,0.701207,0.246585,155.068491,83.748256,-164.604060
12794,-10.297810,0.289503,-1.504129,-0.255631,-0.445710,0.585728,0.946066,-0.106658,-0.115174,-0.102968,0.003026,-0.015082,0.999989,0.004730,-0.000533,-0.000576,0.626006,-0.237438,0.701888,0.243089,155.847235,83.831336,-164.365232
12795,-9.899765,0.972215,-0.784900,-0.205883,0.537267,0.149016,1.028565,-0.221655,-0.125182,-0.098983,0.009825,-0.007908,0.999986,0.005143,-0.001108,-0.000626,0.628160,-0.234348,0.702275,0.239387,156.511030,83.977893,-164.289899
12796,-9.559732,1.256022,-0.472699,-0.198300,0.949312,-0.208055,0.904386,-0.234283,-0.105740,-0.095585,0.012632,-0.004782,0.999989,0.004522,-0.001171,-0.000529,0.630166,-0.231543,0.702485,0.236206,156.969699,84.125363,-164.349011
12797,-9.569699,1.398605,-0.340881,-0.199628,1.145036,-0.205375,0.756078,-0.211962,-0.076283,-0.095688,0.014036,-0.003457,0.999992,0.003780,-0.001060,-0.000381,0.631883,-0.229139,0.702605,0.233593,157.272263,84.255759,-164.479882
12798,-9.577300,1.469945,-0.308268,-0.230166,1.222030,-0.198422,0.611295,-0.178322,-0.078378,-0.095764,0.014746,-0.003123,0.999995,0.003056,-0.000892,-0.000392,0.633303,-0.227221,0.702656,0.231457,157.555580,84.367642,-164.546380
12799,-9.492877,1.415045,-0.383873,-0.275866,1.133863,-0.278398,0.460098,-0.118342,-0.117544,-0.094918,0.014215,-0.003862,0.999997,0.002300,-0.000592,-0.000588,0.634387,-0.226002,0.702667,0.229642,158.130759,84.457432,-164.232891
12800,-9.509689,1.337318,-0.580931,-0.393931,0.961586,-0.248158,0.264574,-0.051141,-0.175097,-0.095084,0.013464,-0.005816,0.999999,0.001323,-0.000256,-0.000875,0.635071,-0.225667,0.702603,0.228271,159.046961,84.521810,-163.463912
