PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
47957,-9.497234,1.619281,-0.781130,0.075196,-0.029295,-0.147121,0.008069,0.033668,0.003897,-0.094974,0.016191,-0.007795,1.000000,0.000040,0.000168,0.000019,0.636349,0.357462,0.645275,-0.225612,118.336360,79.276319,69.410102
47958,-9.457661,1.683237,-0.753588,0.144756,-0.005020,-0.177981,0.003259,0.040394,0.004022,-0.094578,0.016831,-0.007517,1.000000,0.000016,0.000202,0.000020,0.636252,0.357554,0.645355,-0.225511,118.407038,79.259685,69.480837
47959,-9.452877,1.696531,-0.789295,0.132471,0.027534,-0.177348,-0.005664,0.043801,0.005226,-0.094531,0.016963,-0.007873,1.000000,-0.000028,0.000219,0.000026,0.636164,0.357624,0.645451,-0.225372,118.477327,79.241693,69.556561
47960,-9.488270,1.678431,-0.806019,0.106762,0.018412,-0.144062,-0.011357,0.048352,0.004528,-0.094885,0.016782,-0.008038,1.000000,-0.000057,0.000242,0.000023,0.636068,0.357680,0.645572,-0.225209,118.559507,79.222594,69.647538
47961,-9.517543,1.695642,-0.845411,0.093042,0.049834,-0.108956,-0.010531,0.049580,0.003930,-0.095178,0.016954,-0.008431,1.000000,-0.000053,0.000248,0.000020,0.635967,0.357743,0.645690,-0.225054,118.643478,79.203624,69.738802
47962,-9.476268,1.781926,-0.809344,0.185723,0.081890,-0.138559,-0.016503,0.050320,-0.002489,-0.094764,0.017820,-0.008071,1.000000,-0.000083,0.000252,-0.000012,0.635866,0.357763,0.645836,-0.224893,118.737397,79.187460,69.844743
47963,-9.458253,1.763838,-0.837535,0.156567,0.090870,-0.156686,-0.017268,0.052857,-0.002396,-0.094585,0.017639,-0.008352,1.000000,-0.000086,0.000264,-0.000012,0.635761,0.357783,0.645986,-0.224726,118.834652,79.170698,69.954380
47964,-9.487545,1.780438,-0.877240,0.142899,0.122235,-0.121575,-0.031243,0.056380,-0.004847,-0.094877,0.017805,-0.008748,1.000000,-0.000156,0.000282,-0.000024,0.635664,0.357755,0.646171,-0.224514,118.938796,79.153972,70.079343
47965,-9.461297,1.663621,-0.925652,0.027563,0.084295,-0.162157,-0.038046,0.058705,-0.012608,-0.094615,0.016640,-0.009232,1.000000,-0.000190,0.000294,-0.000063,0.635565,0.357682,0.646382,-0.224301,119.053613,79.140622,70.219113
47966,-9.555985,1.662481,-0.850221,0.073487,0.007272,-0.076255,-0.034049,0.060130,-0.016524,-0.095561,0.016631,-0.008476,1.000000,-0.000170,0.000301,-0.000083,0.635448,0.357611,0.646603,-0.224110,119.182216,79.128601,70.370629
47967,-9.543473,1.731762,-0.900081,0.096368,0.088097,-0.072566,-0.032532,0.060684,-0.020578,-0.095436,0.017326,-0.008975,1.000000,-0.000163,0.000303,-0.000103,0.635324,0.357533,0.646828,-0.223938,119.316585,79.118616,70.526920
47968,-9.545480,1.863711,-0.907265,0.193417,0.175287,-0.048232,-0.036773,0.055464,-0.022366,-0.095455,0.018646,-0.009050,1.000000,-0.000184,0.000277,-0.000112,0.635220,0.357429,0.647047,-0.223765,119.439488,79.110693,70.674231
47969,-9.430757,1.920820,-0.945800,0.220659,0.259499,-0.147946,-0.044655,0.043386,-0.030858,-0.094307,0.019221,-0.009442,1.000000,-0.000223,0.000217,-0.000154,0.635165,0.357249,0.647255,-0.223605,119.536373,79.110436,70.801390
47970,-9.361301,1.878554,-0.992903,0.165155,0.278697,-0.218740,-0.056192,0.046833,-0.034602,-0.093612,0.018799,-0.009912,1.000000,-0.000281,0.000234,-0.000173,0.635110,0.357034,0.647490,-0.223423,119.643585,79.110948,70.944055
47971,-9.450019,1.700299,-1.005836,0.021314,0.156362,-0.159674,-0.061034,0.052622,-0.035884,-0.094500,0.017017,-0.010039,1.000000,-0.000305,0.000263,-0.000179,0.635048,0.356801,0.647752,-0.223214,119.762345,79.110465,71.102357
47972,-9.546256,1.517931,-0.946461,-0.077264,-0.023642,-0.100614,-0.058949,0.050611,-0.046258,-0.095461,0.015199,-0.009445,1.000000,-0.000295,0.000253,-0.000231,0.634972,0.356544,0.648023,-0.223054,119.895052,79.115582,71.272592
47973,-9.596035,1.401991,-0.928439,-0.150337,-0.121490,-0.072354,-0.042507,0.050788,-0.045566,-0.095960,0.014040,-0.009263,1.000000,-0.000213,0.000254,-0.000228,0.634868,0.356347,0.648269,-0.222950,120.034139,79.120320,71.438715
47974,-9.589103,1.385855,-0.842467,-0.100059,-0.195120,-0.089871,-0.018817,0.047920,-0.046809,-0.095890,0.013880,-0.008403,1.000000,-0.000094,0.000240,-0.000234,0.634729,0.356212,0.648487,-0.222926,120.184012,79.126326,71.603009
47975,-9.535810,1.436945,-0.797406,-0.024232,-0.186585,-0.138136,-0.005539,0.045083,-0.040864,-0.095357,0.014389,-0.007953,1.000000,-0.000028,0.000225,-0.000204,0.634583,0.356139,0.648667,-0.222936,120.323090,79.130300,71.747988
