// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
43182,-6.103727,7.536838,-0.770297,-0.032499,0.201121,-0.085855,0.144541,-0.063315,0.031831,-0.061047,0.075364,-0.007668,1.000000,0.000723,-0.000317,0.000159,0.415616,-0.022116,0.739296,0.529354,97.018391,39.638480,148.067307
43183,-6.246796,7.323166,-0.604980,0.265740,0.184426,-0.173570,0.126573,-0.055867,0.029547,-0.062477,0.073226,-0.006021,1.000000,0.000633,-0.000279,0.000148,0.415755,-0.021536,0.739500,0.528983,97.057969,39.619501,148.016793
43184,-6.278889,7.203469,-0.731955,0.274376,0.021467,-0.232791,0.170721,-0.040744,0.020443,-0.062795,0.072034,-0.007271,1.000000,0.000854,-0.000204,0.000102,0.415866,-0.020939,0.739854,0.528425,97.131148,39.604939,147.978657
43185,-6.333832,7.204094,-0.876566,0.230504,-0.110281,-0.183592,0.143120,-0.027778,0.008980,-0.063340,0.072044,-0.008723,1.000000,0.000716,-0.000139,0.000045,0.415955,-0.020476,0.740157,0.527948,97.194475,39.595630,147.950957
43186,-6.343557,7.339027,-0.847140,0.196974,-0.023110,-0.077168,0.201655,-0.037769,-0.005955,-0.063432,0.073401,-0.008409,0.999999,0.001008,-0.000189,-0.000030,0.416128,-0.019921,0.740595,0.527219,97.288337,39.595934,147.917450
43187,-6.337438,7.706425,-0.789333,0.060840,0.197325,0.193936,0.149483,-0.029865,-0.012429,-0.063368,0.077074,-0.007845,1.000000,0.000747,-0.000149,-0.000062,0.416283,-0.019517,0.740907,0.526673,97.355689,39.599134,147.889977
43188,-6.344688,7.765194,-0.706557,0.090653,0.293097,0.235118,0.104174,-0.035718,-0.021767,-0.063437,0.077663,-0.007036,1.000000,0.000521,-0.000179,-0.000109,0.416479,-0.019228,0.741090,0.526271,97.395620,39.608332,147.859489
43189,-6.236611,7.801287,-0.652004,0.037116,0.402176,0.188182,0.072351,-0.006261,-0.034822,-0.062352,0.078026,-0.006494,1.000000,0.000362,-0.000031,-0.000174,0.416596,-0.019131,0.741246,0.525962,97.431316,39.622362,147.851882
43190,-6.237686,7.813187,-0.798227,-0.054854,0.295700,0.212348,0.027182,0.030036,-0.040048,-0.062362,0.078145,-0.007962,1.000000,0.000136,0.000150,-0.000200,0.416589,-0.019243,0.741361,0.525801,97.459186,39.637092,147.871663
43191,-6.273750,7.813611,-0.909192,-0.099454,0.195106,0.246693,-0.029148,0.017199,-0.039128,-0.062723,0.078147,-0.009098,1.000000,-0.000146,0.000086,-0.000196,0.416622,-0.019434,0.741300,0.525855,97.448127,39.651961,147.881511
