PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
48277,-5.187655,8.234158,-2.904016,-0.384868,-0.507326,0.323433,-0.011524,0.077470,0.073061,-0.051918,0.082321,-0.029025,1.000000,-0.000058,0.000387,0.000365,0.365586,0.054331,0.780888,0.503596,105.264199,31.080465,148.061346
48278,-5.244144,8.015484,-2.951550,-0.300000,-0.672153,0.183255,0.190767,0.015546,0.061378,-0.052468,0.080167,-0.029435,0.999999,0.000954,0.000078,0.000307,0.365319,0.054939,0.781362,0.502988,105.369263,31.039315,148.054016
48279,-5.137147,8.075945,-2.755126,-0.255070,-0.430487,0.134745,0.400722,-0.032079,0.053614,-0.051389,0.080801,-0.027398,0.999998,0.002004,-0.000160,0.000268,0.365199,0.056020,0.782277,0.501532,105.579465,31.009610,148.017270
48280,-5.073617,7.987728,-2.507638,-0.101359,-0.236235,-0.026602,0.437970,-0.072188,0.061936,-0.050752,0.079916,-0.024920,0.999997,0.002190,-0.000361,0.000310,0.365204,0.057302,0.783206,0.499931,105.796928,30.981789,147.953098
48281,-4.896431,7.936943,-2.400851,-0.128590,-0.076750,-0.183997,0.454205,-0.091479,0.066759,-0.048980,0.079407,-0.023851,0.999997,0.002271,-0.000457,0.000334,0.365264,0.058680,0.784135,0.498268,106.016802,30.954407,147.875534
48282,-4.699840,8.170771,-2.177587,-0.173440,0.316814,-0.145146,0.401883,-0.080878,0.077634,-0.047021,0.081733,-0.021631,0.999998,0.002009,-0.000404,0.000388,0.365270,0.059978,0.784946,0.496830,106.209190,30.919734,147.802682
48283,-4.694210,8.170575,-1.948631,-0.015549,0.501390,-0.203347,0.197267,-0.058374,0.085898,-0.046972,0.081705,-0.019419,0.999999,0.000986,-0.000292,0.000429,0.365227,0.060880,0.785285,0.496216,106.290923,30.876915,147.742630
48284,-4.637838,7.827520,-2.012029,0.005097,0.309935,-0.499697,0.040088,-0.031054,0.092000,-0.046411,0.078258,-0.020112,1.000000,0.000200,-0.000155,0.000460,0.365110,0.061450,0.785281,0.496237,106.291049,30.826511,147.698934
48285,-4.609661,7.618418,-2.203185,-0.073972,0.072079,-0.640304,-0.026207,0.030177,0.092910,-0.046135,0.076160,-0.022035,1.000000,-0.000131,0.000151,0.000465,0.364770,0.061752,0.785225,0.496540,106.273207,30.765641,147.694302
48286,-4.778650,7.763529,-2.315367,-0.053624,-0.023593,-0.407085,-0.050026,0.053071,0.099656,-0.047831,0.077606,-0.023160,1.000000,-0.000250,0.000265,0.000498,0.364330,0.061979,0.785148,0.496955,106.248593,30.697502,147.703090
48287,-4.827196,7.925150,-2.324049,-0.060814,0.016208,-0.246756,-0.149966,0.075663,0.094286,-0.048318,0.079211,-0.023282,1.000000,-0.000750,0.000378,0.000471,0.363846,0.061947,0.784865,0.497760,106.174607,30.628593,147.727388
48288,-4.951613,7.739469,-2.383516,0.043755,-0.193429,-0.322711,-0.210519,0.087357,0.075824,-0.049556,0.077351,-0.023895,0.999999,-0.001053,0.000437,0.000379,0.363381,0.061703,0.784458,0.498771,106.071515,30.568132,147.762686
48289,-5.021522,7.755445,-2.438146,0.057249,-0.272970,-0.261280,-0.146673,0.076454,0.054187,-0.050246,0.077523,-0.024419,1.000000,-0.000733,0.000382,0.000271,0.362991,0.061518,0.784196,0.499489,106.003482,30.521243,147.795074
48290,-5.049558,7.742675,-2.597622,-0.018679,-0.421133,-0.220140,-0.142680,0.081870,0.020003,-0.050514,0.077403,-0.026011,1.000000,-0.000713,0.000409,0.000100,0.362665,0.061191,0.783964,0.500130,105.942703,30.492483,147.837235
48291,-5.144271,7.448730,-2.590258,0.132228,-0.611911,-0.417762,-0.105197,0.043477,-0.012650,-0.051444,0.074477,-0.025931,1.000000,-0.000526,0.000217,-0.000063,0.362559,0.060902,0.783765,0.500554,105.893942,30.487661,147.860820
48292,-5.013539,7.195664,-2.690221,0.041143,-0.749210,-0.670072,0.094503,0.013562,-0.047028,-0.050120,0.071981,-0.026865,1.000000,0.000473,0.000068,-0.000235,0.362596,0.060913,0.784023,0.500123,105.953130,30.506619,147.871571
