PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
48277,0.713517,4.029578,8.442181,-0.106579,-0.387112,-0.439546,0.168640,-0.162615,-0.149945,0.007097,0.040219,0.084462,0.999999,0.000843,-0.000813,-0.000750,0.249903,0.029595,-0.205353,-0.945782,23.807760,-2.674160,-150.961951
48278,0.835563,4.140889,8.487842,-0.173463,-0.501421,-0.346587,0.157003,-0.061984,-0.157189,0.008362,0.041336,0.084913,0.999999,0.000785,-0.000310,-0.000786,0.249128,0.029628,-0.206117,-0.945819,23.897549,-2.674060,-151.052980
48279,0.830138,4.227073,8.731061,-0.178369,-0.466323,-0.089550,0.111807,0.032736,-0.162317,0.008350,0.042215,0.087333,1.000000,0.000559,0.000164,-0.000812,0.248434,0.030054,-0.206553,-0.945893,23.960923,-2.623528,-151.124652
48280,0.780856,4.267429,8.955608,-0.167879,-0.387877,0.129392,0.075803,0.105585,-0.158793,0.007890,0.042634,0.089568,0.999999,0.000379,0.000528,-0.000794,0.247836,0.030780,-0.206725,-0.945989,24.002362,-2.535183,-151.177453
48281,0.504742,4.399878,9.255981,0.068205,-0.249576,0.444988,0.050608,0.137613,-0.141903,0.005142,0.043972,0.092567,0.999999,0.000253,0.000688,-0.000710,0.247356,0.031606,-0.206744,-0.946083,24.028939,-2.434415,-151.213866
48282,-0.037103,4.555489,9.562052,0.548205,-0.001739,0.764937,0.030726,0.093209,-0.117504,-0.000300,0.045540,0.095628,1.000000,0.000154,0.000466,-0.000588,0.246947,0.032174,-0.206725,-0.946175,24.043632,-2.362160,-151.247843
48283,-0.185494,4.705644,9.667332,0.722444,-0.012691,0.916372,0.000375,-0.020838,-0.083849,-0.001845,0.047057,0.096673,1.000000,0.000002,-0.000104,-0.000419,0.246586,0.032128,-0.206711,-0.946274,24.041618,-2.357837,-151.290822
48284,-0.001471,4.577818,9.593763,0.521053,-0.025785,0.804494,-0.012453,-0.150012,-0.049694,-0.000075,0.045784,0.095935,1.000000,-0.000062,-0.000750,-0.000248,0.246253,0.031423,-0.206798,-0.946365,24.032499,-2.428614,-151.346109
48285,0.162858,4.222324,9.246909,0.288181,0.055670,0.349678,0.020484,-0.254252,-0.009145,0.001513,0.042214,0.092475,0.999999,0.000102,-0.001271,-0.000046,0.246000,0.030220,-0.207179,-0.946387,24.042780,-2.563868,-151.404492
48286,0.440548,4.289002,8.878429,0.154588,-0.253285,0.052808,0.062361,-0.306627,0.009188,0.004267,0.042863,0.088804,0.999999,0.000312,-0.001533,0.000046,0.245772,0.028805,-0.207821,-0.946349,24.077064,-2.730275,-151.465608
