PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
55901,-2.947025,1.887003,9.241523,-0.064681,-0.018351,0.068960,0.037839,0.025095,0.020260,-0.029461,0.018850,0.092422,1.000000,0.000189,0.000125,0.000101,0.984010,0.096540,0.149335,0.010133,11.642865,16.973990,2.923237
55902,-2.965101,1.962292,9.240087,-0.080618,0.051117,0.087440,0.035008,0.012600,0.021647,-0.029647,0.019604,0.092406,1.000000,0.000175,0.000063,0.000108,0.983988,0.096703,0.149368,0.010284,11.665096,16.975561,2.944370
55903,-3.015968,1.903891,9.195677,-0.143068,-0.003932,0.049404,0.031977,-0.000796,0.024988,-0.030162,0.019020,0.091960,1.000000,0.000160,-0.000004,0.000125,0.983976,0.096854,0.149335,0.010448,11.685675,16.969353,2.965837
55904,-2.990625,1.904934,9.198520,-0.119702,-0.005724,0.044848,0.030876,-0.015335,0.032732,-0.029916,0.019030,0.091986,1.000000,0.000154,-0.000077,0.000164,0.983976,0.097006,0.149225,0.010643,11.706441,16.953949,2.990080
55905,-2.989039,1.941652,9.234314,-0.110319,0.020511,0.085006,0.020991,-0.026168,0.034210,-0.029906,0.019402,0.092341,1.000000,0.000105,-0.000131,0.000171,0.983988,0.097111,0.149062,0.010847,11.721390,16.932437,3.013862
55906,-2.913044,1.936447,9.244487,-0.039163,0.014598,0.071362,0.020105,-0.041633,0.039212,-0.029153,0.019349,0.092441,1.000000,0.000101,-0.000208,0.000196,0.984012,0.097216,0.148819,0.011070,11.736136,16.901511,3.038688
55907,-2.903890,1.957101,9.229045,-0.040391,0.035473,0.058240,0.022756,-0.051024,0.033005,-0.029066,0.019556,0.092285,1.000000,0.000114,-0.000255,0.000165,0.984041,0.097331,0.148535,0.011255,11.750986,16.866193,3.058716
55908,-2.922013,1.962729,9.227135,-0.064828,0.037828,0.062780,0.018839,-0.063410,0.033172,-0.029253,0.019614,0.092264,1.000000,0.000094,-0.000317,0.000166,0.984082,0.097427,0.148187,0.011438,11.763174,16.823746,3.077320
55909,-2.959123,1.988734,9.206002,-0.113862,0.062814,0.058738,0.023593,-0.071235,0.030198,-0.029627,0.019872,0.092052,1.000000,0.000118,-0.000356,0.000151,0.984126,0.097544,0.147805,0.011598,11.777285,16.777415,3.093211
55910,-2.887007,1.931432,9.232258,-0.046187,0.002807,0.051271,0.021187,-0.087426,0.025311,-0.028913,0.019301,0.092312,1.000000,0.000106,-0.000437,0.000127,0.984184,0.097647,0.147343,0.011729,11.788607,16.722410,3.104248
55911,-2.922526,1.990539,9.247607,-0.085364,0.053746,0.087386,0.018115,-0.100870,0.028645,-0.029275,0.019893,0.092463,1.000000,0.000091,-0.000504,0.000143,0.984252,0.097738,0.146815,0.011872,11.798245,16.659643,3.115579
55912,-2.888378,1.990292,9.253327,-0.062008,0.051992,0.082842,0.019408,-0.105615,0.025521,-0.028935,0.019890,0.092520,1.000000,0.000097,-0.000528,0.000128,0.984323,0.097833,0.146264,0.011996,11.807916,16.594408,3.124486
55913,-2.829766,2.003552,9.280164,-0.009796,0.061184,0.093845,0.012460,-0.118606,0.019272,-0.028355,0.020027,0.092786,1.000000,0.000062,-0.000593,0.000096,0.984407,0.097891,0.145653,0.012088,11.812108,16.522798,3.128138
55914,-2.791540,2.070381,9.323120,0.027587,0.118978,0.136424,0.017460,-0.110053,0.018702,-0.027969,0.020693,0.093218,1.000000,0.000087,-0.000550,0.000094,0.984482,0.097972,0.145083,0.012178,11.819350,16.455873,3.132492
55915,-2.784847,2.037732,9.324515,0.022879,0.085731,0.129467,0.008660,-0.108192,0.011662,-0.027900,0.020372,0.093231,1.000000,0.000043,-0.000541,0.000058,0.984559,0.098004,0.144527,0.012241,11.820467,16.390993,3.132957
55916,-2.786135,1.935865,9.323207,0.009793,-0.014633,0.108603,0.009841,-0.106461,-0.001645,-0.027911,0.019354,0.093218,1.000000,0.000049,-0.000532,-0.000008,0.984636,0.098033,0.143984,0.012238,11.820105,16.328469,3.125850
55917,-2.769042,2.005301,9.328582,0.017632,0.052800,0.122510,0.008689,-0.097230,0.001079,-0.027736,0.020049,0.093273,1.000000,0.000043,-0.000486,0.000005,0.984706,0.098057,0.143486,0.012254,11.819883,16.270975,3.121472
