PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
60211,-9.725162,-4.979378,-1.397907,-1.397298,1.435682,1.018445,-0.064480,-0.179862,-0.277368,-0.097308,-0.049663,-0.014051,0.999999,-0.000322,-0.000899,-0.001387,-0.083854,-0.696179,-0.314836,0.639673,-120.364588,70.640029,92.871266
60212,-9.439105,-4.239863,-1.117506,-1.211143,0.786233,0.494440,-0.138710,-0.138004,-0.260890,-0.094439,-0.042283,-0.011211,0.999999,-0.000694,-0.000690,-0.001304,-0.083772,-0.695266,-0.316099,0.640054,-120.038751,70.557518,93.302632
60213,-9.458089,-3.663171,-1.739176,-0.361774,0.634390,0.452090,-0.304051,-0.095729,-0.242381,-0.094617,-0.036543,-0.017381,0.999998,-0.001520,-0.000479,-0.001212,-0.084254,-0.694443,-0.317836,0.640024,-119.882972,70.471989,93.653324
60214,-9.241425,-2.752440,-1.289960,-0.236458,-0.258368,-0.090488,-0.548081,-0.085991,-0.234084,-0.092441,-0.027452,-0.012864,0.999995,-0.002740,-0.000430,-0.001170,-0.085597,-0.693560,-0.320334,0.639558,-119.890879,70.387134,93.979823
60215,-8.843788,-1.621349,-3.186279,1.943557,-0.011142,-0.473731,-1.147619,0.067643,-0.156686,-0.088461,-0.016327,-0.031739,0.999983,-0.005738,0.000338,-0.000783,-0.089015,-0.693018,-0.324533,0.637558,-120.516168,70.297446,94.014725
60216,-9.700459,-1.479237,-0.870436,0.116688,-1.655082,-0.102291,-1.612973,-0.230781,-0.245272,-0.097013,-0.014744,-0.008697,0.999966,-0.008065,-0.001154,-0.001226,-0.094246,-0.691141,-0.330380,0.635838,-120.925531,70.251080,94.563287
60217,-8.604841,-4.088446,-1.360751,-1.037660,0.964167,-0.294086,-2.138751,-0.447508,-0.207824,-0.086061,-0.040939,-0.013362,0.999940,-0.010694,-0.002237,-0.001039,-0.101760,-0.688322,-0.337629,0.633927,-121.368110,70.289187,95.395603
60218,-8.365741,-6.363832,-4.120142,-0.234589,4.306880,0.620669,-1.000323,-0.047238,-0.112941,-0.083684,-0.063796,-0.040902,0.999987,-0.005002,-0.000236,-0.000565,-0.104976,-0.687463,-0.341129,0.632460,-121.785162,70.255152,95.563057
60219,-9.691073,-4.837359,-1.349401,-1.514439,1.110934,0.939525,-0.014774,0.092069,-0.216103,-0.096969,-0.048270,-0.013446,0.999999,-0.000074,0.000460,-0.001081,-0.104236,-0.687375,-0.341928,0.632247,-121.738173,70.129504,95.622655
60220,-9.586335,-3.584433,-2.697111,0.316712,0.974288,0.721582,0.154429,0.055362,-0.052938,-0.095880,-0.035798,-0.026972,1.000000,0.000772,0.000277,-0.000265,-0.103495,-0.687538,-0.341620,0.632357,-121.682866,70.093829,95.588983
60221,-9.859114,-2.792956,-2.025583,0.267424,-0.100671,0.628771,-0.213361,-0.008244,-0.110915,-0.098606,-0.027896,-0.020230,0.999999,-0.001067,-0.000041,-0.000555,-0.103942,-0.687209,-0.342634,0.632093,-121.702888,70.049633,95.698377
