// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
35468,-9.537854,0.738514,-1.510226,0.099586,-0.116350,-0.129021,0.041481,-0.004108,-0.010240,-0.095378,0.007393,-0.015103,1.000000,0.000207,-0.000021,-0.000051,0.586312,-0.263248,0.712683,0.281106,149.219925,79.644526,-165.307099
35469,-9.542584,0.737364,-1.406295,0.171540,-0.043593,-0.140514,0.058772,-0.013117,-0.007819,-0.095425,0.007382,-0.014067,1.000000,0.000294,-0.000066,-0.000039,0.586455,-0.263037,0.712713,0.280931,149.214036,79.653233,-165.347353
35470,-9.553200,0.786821,-1.435120,0.117428,-0.029356,-0.121060,0.026248,-0.007714,-0.011276,-0.095531,0.007875,-0.014354,1.000000,0.000131,-0.000039,-0.000056,0.586541,-0.262942,0.712706,0.280856,149.206711,79.660463,-165.369935
35471,-9.521560,0.857628,-1.341568,0.125541,0.084878,-0.160098,0.007094,-0.002840,-0.012037,-0.095215,0.008582,-0.013417,1.000000,0.000035,-0.000014,-0.000060,0.586585,-0.262912,0.712688,0.280840,149.199075,79.665353,-165.381862
35472,-9.486121,0.841613,-1.381145,0.103742,0.043968,-0.190334,-0.017342,0.022297,-0.006902,-0.094862,0.008418,-0.013802,1.000000,-0.000087,0.000111,-0.000035,0.586501,-0.262971,0.712714,0.280894,149.203219,79.656529,-165.367398
35473,-9.581598,0.833784,-1.422741,0.098904,0.014844,-0.090732,0.002143,0.039116,-0.014621,-0.095818,0.008345,-0.014209,1.000000,0.000011,0.000196,-0.000073,0.586393,-0.263024,0.712808,0.280832,149.267047,79.641528,-165.303792
35474,-9.508255,0.837798,-1.422478,0.085139,0.016151,-0.162571,-0.001960,0.022449,-0.007287,-0.095084,0.008381,-0.014214,1.000000,-0.000010,0.000112,-0.000036,0.586329,-0.263040,0.712856,0.280830,149.281192,79.632739,-165.288120
35475,-9.504432,0.819689,-1.476612,0.061638,-0.034046,-0.159629,-0.007852,0.031706,-0.007482,-0.095046,0.008200,-0.014751,1.000000,-0.000039,0.000159,-0.000037,0.586224,-0.263086,0.712923,0.280834,149.308019,79.619290,-165.256299
35476,-9.534841,0.833667,-1.544265,0.012369,-0.069450,-0.117948,-0.014988,0.029925,-0.010470,-0.095350,0.008341,-0.015429,1.000000,-0.000075,0.000150,-0.000052,0.586120,-0.263162,0.712970,0.280859,149.335102,79.607745,-165.219883
35477,-9.541256,0.798322,-1.523762,0.054196,-0.078624,-0.118069,-0.028608,0.024074,-0.005884,-0.095414,0.007984,-0.015227,1.000000,-0.000143,0.000120,-0.000029,0.586013,-0.263253,0.712989,0.280953,149.333483,79.597590,-165.204887
35478,-9.514640,0.782379,-1.541883,0.049870,-0.103369,-0.142903,-0.014277,0.023602,-0.008123,-0.095148,0.007827,-0.015408,1.000000,-0.000071,0.000118,-0.000041,0.585930,-0.263309,0.713021,0.280990,149.344527,79.588474,-165.185190
35479,-9.505183,0.782245,-1.566643,0.032688,-0.120672,-0.148364,0.001384,0.022324,-0.006613,-0.095053,0.007826,-0.015656,1.000000,0.000007,0.000112,-0.000033,0.585869,-0.263312,0.713075,0.280977,149.359227,79.579396,-165.171077
35480,-9.507352,0.815776,-1.568719,0.008943,-0.097704,-0.142812,0.021009,0.014012,-0.008881,-0.095074,0.008164,-0.015680,1.000000,0.000105,0.000070,-0.000044,0.585868,-0.263254,0.713128,0.280899,149.377245,79.575227,-165.164843
35481,-9.515558,0.901020,-1.519222,-0.015002,-0.001512,-0.134594,0.020088,0.015413,-0.007468,-0.095156,0.009015,-0.015184,1.000000,0.000100,0.000077,-0.000037,0.585857,-0.263196,0.713188,0.280825,149.393973,79.569803,-165.159568
35482,-9.561283,0.966055,-1.511714,-0.046994,0.052392,-0.084803,-0.003307,0.016322,-0.012207,-0.095613,0.009666,-0.015109,1.000000,-0.000017,0.000082,-0.000061,0.585820,-0.263224,0.713209,0.280822,149.410608,79.565463,-165.140576
35483,-9.572796,0.998752,-1.490597,-0.053226,0.091522,-0.073765,-0.013632,0.011207,-0.017281,-0.095728,0.009995,-0.014901,1.000000,-0.000068,0.000056,-0.000086,0.585794,-0.263294,0.713195,0.280845,149.427611,79.564975,-165.115372
35484,-9.505422,0.984333,-1.517050,-0.073337,0.060022,-0.137233,-0.025757,0.010342,-0.023053,-0.095054,0.009852,-0.015167,1.000000,-0.000129,0.000052,-0.000115,0.585764,-0.263418,0.713153,0.280897,149.450961,79.566744,-165.076471
35485,-9.540997,0.997563,-1.479300,-0.050916,0.098530,-0.106927,-0.047611,0.015369,-0.027821,-0.095410,0.009985,-0.014788,1.000000,-0.000238,0.000077,-0.000139,0.585694,-0.263631,0.713090,0.281006,149.483308,79.567266,-165.015864
35486,-9.510394,0.981103,-1.415007,-0.001071,0.131594,-0.148574,-0.078989,0.009531,-0.028518,-0.095103,0.009819,-0.014149,1.000000,-0.000395,0.000048,-0.000143,0.585604,-0.263930,0.712964,0.281233,149.489553,79.571019,-164.963345
35487,-9.488529,0.963177,-1.512019,-0.059561,0.049129,-0.156594,-0.084299,0.010441,-0.029670,-0.094885,0.009639,-0.015119,1.000000,-0.000421,0.000052,-0.000148,0.585505,-0.264249,0.712832,0.281473,149.498050,79.574505,-164.905614
35488,-9.529142,0.958179,-1.687207,-0.169326,-0.077005,-0.089790,-0.029655,0.011026,-0.013644,-0.095292,0.009586,-0.016868,1.000000,-0.000148,0.000055,-0.000068,0.585454,-0.264352,0.712799,0.281566,149.495046,79.573193,-164.891241
35489,-9.512528,1.010675,-1.600802,-0.150025,0.020543,-0.114786,-0.031430,0.009796,-0.019036,-0.095125,0.010113,-0.016005,1.000000,-0.000157,0.000049,-0.000095,0.585412,-0.264478,0.712754,0.281649,149.504280,79.573902,-164.863561
35490,-9.563452,0.850752,-1.493638,0.044995,-0.013380,-0.096096,-0.032897,-0.000692,-0.013390,-0.095634,0.008511,-0.014938,1.000000,-0.000164,-0.000003,-0.000067,0.585398,-0.264574,0.712682,0.281770,149.480212,79.578300,-164.868717
35491,-9.540311,0.782028,-1.538063,0.058372,-0.095117,-0.118241,-0.044416,-0.002968,-0.018950,-0.095402,0.007826,-0.015384,1.000000,-0.000222,-0.000015,-0.000095,0.585384,-0.264719,0.712581,0.281917,149.461589,79.585284,-164.861795
35492,-9.550962,0.832120,-1.566703,0.004285,-0.080905,-0.098713,-0.049770,-0.003520,-0.016569,-0.095509,0.008325,-0.015671,1.000000,-0.000249,-0.000018,-0.000083,0.585362,-0.264871,0.712473,0.282092,149.431883,79.592003,-164.862853
35493,-9.505100,0.765201,-1.575538,0.036850,-0.137104,-0.148598,-0.040907,0.000386,-0.018513,-0.095050,0.007658,-0.015757,1.000000,-0.000205,0.000002,-0.000093,0.585341,-0.265009,0.712388,0.282223,149.419406,79.597205,-164.851731
35494,-9.528564,0.831715,-1.530348,0.024085,-0.057729,-0.126443,-0.024479,0.001179,-0.016983,-0.095285,0.008323,-0.015304,1.000000,-0.000122,0.000006,-0.000085,0.585336,-0.265096,0.712329,0.282301,149.412746,79.601727,-164.844091
35495,-9.491891,0.832971,-1.620903,-0.045583,-0.123394,-0.148327,-0.007928,0.003991,-0.012160,-0.094919,0.008335,-0.016207,1.000000,-0.000040,0.000020,-0.000061,0.585336,-0.265120,0.712309,0.282329,149.407840,79.603301,-164.844484
35496,-9.568552,0.843612,-1.573246,-0.007358,-0.078249,-0.079353,0.009308,0.008304,-0.014152,-0.095686,0.008444,-0.015728,1.000000,0.000047,0.000042,-0.000071,0.585347,-0.265107,0.712322,0.282285,149.424251,79.603484,-164.833069
35497,-9.536766,0.844598,-1.560323,-0.005349,-0.069995,-0.112537,0.007557,-0.007689,-0.011569,-0.095367,0.008452,-0.015607,1.000000,0.000038,-0.000038,-0.000058,0.585409,-0.265068,0.712290,0.282274,149.408084,79.610646,-164.853932
35498,-9.519735,0.827157,-1.553509,0.007803,-0.078552,-0.131948,0.014612,0.000469,-0.014196,-0.095197,0.008279,-0.015534,1.000000,0.000073,0.000002,-0.000071,0.585455,-0.265028,0.712288,0.282222,149.415199,79.614705,-164.855057
35499,-9.528536,0.911905,-1.502108,-0.016091,0.017631,-0.123502,0.012879,-0.001655,-0.009252,-0.095285,0.009124,-0.015021,1.000000,0.000064,-0.000008,-0.000046,0.585498,-0.264974,0.712284,0.282191,149.405448,79.618216,-164.872496
35500,-9.504813,0.929333,-1.518232,-0.044456,0.017112,-0.142740,0.011469,-0.001401,-0.019816,-0.095047,0.009304,-0.015182,1.000000,0.000057,-0.000007,-0.000099,0.585555,-0.264961,0.712264,0.282136,149.422924,79.624836,-164.861258
35501,-9.508743,0.944560,-1.466259,-0.020308,0.064989,-0.145544,-0.001781,-0.005806,-0.020434,-0.095086,0.009455,-0.014665,1.000000,-0.000009,-0.000029,-0.000102,0.585609,-0.264983,0.712214,0.282130,149.428254,79.633654,-164.854829
