PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
65351,-9.080810,-1.332886,0.480225,0.339777,-1.788338,-0.804107,-1.983254,0.196037,0.304935,-0.090783,-0.013418,0.005024,0.999949,-0.009916,0.000980,0.001525,0.513964,0.397812,0.644114,-0.403365,-142.880662,79.429547,147.767108
65352,-9.223155,-1.532254,0.176793,0.066295,-1.642656,-0.607109,-1.897598,0.215613,0.334539,-0.092204,-0.015458,0.002014,0.999953,-0.009488,0.001078,0.001673,0.517740,0.394449,0.647763,-0.395927,-145.205670,79.448849,146.508675
65353,-9.301177,-1.493150,0.081224,0.066207,-1.601933,-0.529522,-1.726676,0.193302,0.367648,-0.092983,-0.015094,0.001032,0.999961,-0.008633,0.000966,0.001838,0.521273,0.391593,0.650895,-0.388927,-147.519433,79.479981,145.163053
65354,-9.244028,-1.304439,-0.094288,0.147035,-1.413500,-0.585410,-1.510663,0.235490,0.377803,-0.092416,-0.013225,-0.000735,0.999969,-0.007553,0.001177,0.001889,0.524228,0.389352,0.653650,-0.382533,-149.778169,79.483872,143.746714
65355,-9.743684,-1.405749,0.026610,0.153875,-1.669846,-0.111971,-1.378474,0.196742,0.403932,-0.097408,-0.014252,0.000460,0.999974,-0.006892,0.000984,0.002020,0.527075,0.387480,0.655961,-0.376519,-152.007012,79.504262,142.284630
65356,-10.260443,-1.654397,-0.276728,-0.144889,-1.605088,0.458279,-1.136462,0.111379,0.417895,-0.102571,-0.016773,-0.002615,0.999982,-0.005682,0.000557,0.002089,0.529733,0.386079,0.657535,-0.371447,-153.991937,79.562321,140.928940
65357,-10.476552,-1.915809,-0.550255,-0.495221,-1.538294,0.728633,-0.696303,0.084371,0.388498,-0.104730,-0.019380,-0.005391,0.999992,-0.003482,0.000422,0.001942,0.531566,0.385720,0.658257,-0.367907,-155.653462,79.619251,139.646663
65358,-10.223524,-2.378486,-1.165481,-1.232437,-1.196339,0.607757,-0.545742,0.110330,0.328813,-0.102202,-0.023984,-0.011533,0.999995,-0.002729,0.000552,0.001644,0.532901,0.385574,0.658880,-0.365002,-157.072208,79.642845,138.522899
65359,-10.173945,-2.601209,-2.173381,-1.892490,-0.429366,0.734016,-0.647711,0.095078,0.288637,-0.101712,-0.026229,-0.021601,0.999994,-0.003239,0.000475,0.001443,0.534409,0.385022,0.659714,-0.361859,-158.448377,79.660614,137.502585
65360,-10.119907,-2.253962,-2.060532,-1.573674,-0.409002,0.632154,-0.487196,0.077292,0.362989,-0.101166,-0.022773,-0.020511,0.999995,-0.002436,0.000386,0.001815,0.535789,0.385078,0.660064,-0.359111,-159.907493,79.698900,136.303864
65361,-10.349380,-1.749757,-2.352960,-1.256464,0.009509,0.870417,0.006561,0.171232,0.460049,-0.103473,-0.017735,-0.023442,0.999997,0.000033,0.000856,0.002300,0.536082,0.386970,0.659584,-0.357518,-161.504515,79.698326,134.678177
65362,-10.860934,-1.678896,-3.407885,-1.611593,0.870798,1.546737,0.326704,0.338917,0.444156,-0.108629,-0.016975,-0.033922,0.999995,0.001634,0.001695,0.002221,0.535167,0.389936,0.659009,-0.356726,-162.995731,79.596448,132.972658
65363,-10.791970,-1.434168,-4.428646,-1.852257,1.845726,1.645872,0.049220,0.378697,0.291312,-0.107982,-0.014488,-0.044086,0.999997,0.000246,0.001893,0.001457,0.534385,0.391751,0.659327,-0.355318,-164.216880,79.439527,131.703419
65364,-11.334067,-2.176622,-2.389558,-1.591678,-0.408859,1.858132,-0.707814,0.137261,0.062698,-0.113350,-0.021886,-0.023740,0.999993,-0.003539,0.000686,0.000313,0.535470,0.390330,0.660787,-0.352525,-164.947548,79.378551,131.373321
65365,-12.073152,-3.514455,0.586742,-1.426188,-3.748168,2.119361,-0.768817,-0.471408,0.111605,-0.120725,-0.035190,0.005718,0.999990,-0.003844,-0.002357,0.000558,0.538760,0.387854,0.660621,-0.350552,-165.401012,79.659572,131.361434
65366,-10.133467,-3.475362,0.253322,-1.806590,-3.134839,0.273836,0.208529,-0.679122,0.200351,-0.101308,-0.034857,0.002153,0.999993,0.001043,-0.003396,0.001002,0.540990,0.387907,0.657995,-0.351995,-165.383744,80.070268,131.258258
65367,-8.257141,-1.510213,-0.817749,-0.772019,-1.021642,-1.476619,1.854954,0.090018,0.215044,-0.082559,-0.015114,-0.008280,0.999956,0.009275,0.000450,0.001075,0.537492,0.393817,0.654493,-0.357280,-165.126567,80.055612,130.441495
65368,-9.328900,1.953886,0.617127,3.068101,-0.990658,-0.822089,2.521286,0.767149,0.313240,-0.093294,0.019310,0.006774,0.999912,0.012606,0.003836,0.001566,0.530573,0.402975,0.651339,-0.363126,-165.310385,79.681607,128.787951
65369,-10.766304,5.784572,2.137934,7.320004,-1.098715,0.144966,1.038339,0.243499,0.259008,-0.107711,0.057594,0.021810,0.999985,0.005192,0.001217,0.001295,0.528194,0.407052,0.649531,-0.365281,-165.740227,79.587636,127.747334
