PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08453,-9.456996,0.526378,-2.371246,0.321981,-0.058265,-0.054225,-0.003601,-0.003870,-0.084352,-0.094567,0.005303,-0.023714,1.000000,-0.000018,-0.000019,-0.000422,0.154147,0.762131,0.165846,-0.606539,171.140458,77.331260,17.459026
08454,-9.696287,0.352734,-2.211362,0.060405,0.006400,0.138636,-0.035489,-0.011803,-0.095050,-0.096960,0.003569,-0.022120,1.000000,-0.000177,-0.000059,-0.000475,0.154047,0.761979,0.166263,-0.606642,171.324134,77.348792,17.668787
08455,-9.485695,0.308428,-2.279115,0.151600,0.084899,-0.053707,0.031054,-0.069328,-0.088523,-0.094848,0.003130,-0.022824,1.000000,0.000155,-0.000347,-0.000443,0.153761,0.761707,0.166409,-0.607015,171.508225,77.398349,17.839875
08456,-9.366452,0.349958,-2.226011,0.157686,0.026091,-0.180322,0.126057,-0.039180,-0.105969,-0.093658,0.003563,-0.022276,1.000000,0.000630,-0.000196,-0.000530,0.153035,0.761586,0.166356,-0.607365,171.803819,77.431963,18.069450
08457,-9.352671,0.514810,-2.083501,0.116652,-0.191840,-0.219563,0.153163,-0.032521,-0.099817,-0.093521,0.005211,-0.020846,1.000000,0.000766,-0.000163,-0.000499,0.152219,0.761510,0.166203,-0.607707,172.102986,77.461192,18.286706
08458,-9.462477,0.333150,-1.992131,-0.056456,-0.083050,-0.137567,0.128900,-0.068533,-0.085290,-0.094617,0.003385,-0.019952,1.000000,0.000644,-0.000343,-0.000426,0.151569,0.761318,0.166040,-0.608154,172.339835,77.509363,18.454306
08459,-9.484348,0.027311,-1.644272,-0.488174,0.034725,-0.199275,0.135170,-0.082954,-0.086362,-0.094837,0.000325,-0.016482,1.000000,0.000676,-0.000415,-0.000432,0.150904,0.761085,0.165851,-0.608663,172.579714,77.565808,18.621326
08460,-9.535714,-0.104650,-1.851402,-0.363801,0.232910,-0.107953,0.207001,-0.048211,-0.093063,-0.095353,-0.000983,-0.018538,0.999999,0.001035,-0.000241,-0.000465,0.149916,0.761007,0.165495,-0.609102,172.891391,77.602683,18.819631
08461,-9.543759,0.229511,-1.856458,-0.207028,-0.075881,-0.089837,0.245123,-0.019109,-0.102399,-0.095435,0.002367,-0.018571,0.999999,0.001226,-0.000096,-0.000512,0.148731,0.761035,0.165080,-0.609469,173.259660,77.623531,19.053553
08462,-9.446749,0.540031,-1.741132,-0.147216,-0.408597,-0.201465,0.122945,-0.019985,-0.111209,-0.094463,0.005464,-0.017417,1.000000,0.000615,-0.000100,-0.000556,0.147984,0.760963,0.165071,-0.609744,173.581565,77.645034,19.311728
08463,-9.312120,0.489182,-1.611318,-0.249507,-0.416635,-0.362006,-0.030828,-0.021862,-0.109335,-0.093117,0.004940,-0.016124,1.000000,-0.000154,-0.000109,-0.000547,0.147829,0.760772,0.165521,-0.609898,173.810827,77.667342,19.565164
08464,-9.406006,-0.026875,-1.626025,-0.473424,0.041492,-0.278970,-0.028655,0.000986,-0.098684,-0.094060,-0.000225,-0.016260,1.000000,-0.000143,0.000005,-0.000493,0.147680,0.760661,0.165941,-0.609958,174.020607,77.675678,19.797345
08465,-9.603922,-0.343704,-1.791507,-0.502145,0.375759,-0.057197,0.041297,0.031383,-0.090358,-0.096044,-0.003390,-0.017901,1.000000,0.000206,0.000157,-0.000452,0.147265,0.760701,0.166138,-0.609955,174.257047,77.666108,20.015814
08466,-9.566517,-0.164911,-2.115202,-0.131573,0.347190,-0.020770,0.057334,0.033526,-0.078306,-0.095669,-0.001606,-0.021136,1.000000,0.000287,0.000168,-0.000392,0.146823,0.760769,0.166243,-0.609948,174.471523,77.654377,20.202418
08467,-9.425362,-0.148624,-2.287695,0.055534,0.410056,-0.121359,-0.031094,0.034632,-0.061268,-0.094258,-0.001461,-0.022860,1.000000,-0.000155,0.000173,-0.000306,0.146769,0.760790,0.166553,-0.609850,174.590813,77.641047,20.343440
08468,-9.339987,-0.216746,-2.293042,0.046582,0.476735,-0.204829,-0.095644,0.029960,-0.044708,-0.093404,-0.002158,-0.022915,1.000000,-0.000478,0.000150,-0.000224,0.147015,0.760763,0.166993,-0.609704,174.628836,77.629363,20.439123
08469,-9.329392,-0.152299,-2.259496,0.043798,0.402492,-0.220912,-0.046416,0.066855,-0.032385,-0.093302,-0.001513,-0.022563,1.000000,-0.000232,0.000334,-0.000162,0.147080,0.760894,0.167264,-0.609451,174.671639,77.596045,20.510842
08470,-9.457364,-0.449465,-2.325849,-0.057432,0.687292,-0.087583,-0.092437,0.045566,-0.010715,-0.094579,-0.004500,-0.023235,1.000000,-0.000462,0.000228,-0.000054,0.147404,0.760945,0.167577,-0.609223,174.626872,77.573618,20.519912
08471,-9.471035,-0.819959,-2.256228,-0.286249,0.991442,-0.096798,-0.096369,0.015111,0.005617,-0.094712,-0.008213,-0.022551,1.000000,-0.000482,0.000076,0.000028,0.147819,0.760914,0.167817,-0.609096,174.529940,77.567777,20.477862
08472,-9.397895,-0.744402,-2.451056,-0.069289,1.014021,-0.125107,0.092459,0.014336,0.014967,-0.093980,-0.007440,-0.024507,1.000000,0.000462,0.000072,0.000075,0.147543,0.761027,0.167446,-0.609122,174.517379,77.561754,20.411403
08473,-9.380864,-0.159719,-2.212225,-0.022667,0.385599,-0.180924,0.216213,0.042045,0.031959,-0.093813,-0.001588,-0.022104,0.999999,0.001081,0.000210,0.000160,0.146826,0.761330,0.166654,-0.609135,174.538250,77.539104,20.306580
08474,-9.464943,0.204709,-2.079752,-0.000687,-0.006044,-0.119784,0.168667,0.016208,0.047864,-0.094652,0.002042,-0.020788,1.000000,0.000843,0.000081,0.000239,0.146359,0.761532,0.165927,-0.609193,174.485262,77.530205,20.154071
08475,-9.408246,0.299551,-2.117107,0.082333,-0.069467,-0.165130,0.075216,0.013286,0.042472,-0.094084,0.002983,-0.021164,1.000000,0.000376,0.000066,0.000212,0.146235,0.761651,0.165503,-0.609189,174.391385,77.523335,20.014456
08476,-9.499751,0.271551,-2.026786,-0.030447,-0.086494,-0.095771,0.054884,0.020378,0.042259,-0.095000,0.002701,-0.020257,1.000000,0.000274,0.000102,0.000211,0.146180,0.761778,0.165147,-0.609141,174.289037,77.512272,19.878087
08477,-9.583984,0.106766,-1.948167,-0.189945,0.026268,-0.034000,0.013182,0.003724,0.037909,-0.095840,0.001051,-0.019480,1.000000,0.000066,0.000019,0.000190,0.146285,0.761818,0.164922,-0.609126,174.169160,77.511006,19.748236
08478,-9.452618,-0.047777,-2.050548,-0.140834,0.222475,-0.143680,0.048800,0.000897,0.035167,-0.094526,-0.000489,-0.020505,1.000000,0.000244,0.000004,0.000176,0.146247,0.761875,0.164596,-0.609152,174.076707,77.511361,19.625364
08479,-9.352598,0.204230,-2.076040,0.008676,0.015151,-0.230285,0.136044,0.016221,0.037683,-0.093528,0.002039,-0.020751,1.000000,0.000680,0.000081,0.000188,0.145874,0.762043,0.164007,-0.609190,174.031219,77.502901,19.499603
08480,-9.449318,0.510088,-2.055481,0.099580,-0.276031,-0.133396,0.138115,0.016810,0.036141,-0.094496,0.005098,-0.020543,1.000000,0.000691,0.000084,0.000181,0.145486,0.762214,0.163418,-0.609228,173.991871,77.494077,19.378813
