PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
54908,-9.500366,2.767478,-1.481511,-0.344930,0.049689,0.186779,-0.064856,0.002346,-0.036219,-0.094999,0.027687,-0.014823,1.000000,-0.000324,0.000012,-0.000181,0.485989,-0.353123,0.667674,0.439694,120.025085,73.636966,-170.979824
54909,-9.472064,2.714759,-1.517632,-0.320026,-0.005732,0.151784,-0.054245,0.003813,-0.038257,-0.094716,0.027162,-0.015182,1.000000,-0.000271,0.000019,-0.000191,0.485965,-0.353341,0.667495,0.439817,120.014304,73.651784,-170.958166
54910,-9.492290,2.613975,-1.528689,-0.229567,-0.052039,0.148132,-0.024604,0.011371,-0.030780,-0.094920,0.026152,-0.015285,1.000000,-0.000123,0.000057,-0.000154,0.485951,-0.353480,0.667416,0.439840,120.028788,73.660690,-170.928580
54911,-9.524230,2.542617,-1.462392,-0.136035,-0.014304,0.152037,0.005103,0.006350,-0.033828,-0.095238,0.025443,-0.014620,1.000000,0.000026,0.000032,-0.000169,0.486014,-0.353544,0.667382,0.439771,120.052091,73.672501,-170.906927
54912,-9.495190,2.444845,-1.377554,-0.029194,0.029158,0.088416,0.028299,0.011722,-0.023111,-0.094950,0.024461,-0.013767,1.000000,0.000141,0.000059,-0.000116,0.486076,-0.353529,0.667435,0.439634,120.090022,73.677497,-170.884495
54913,-9.553715,2.322946,-1.297264,0.122963,0.063726,0.103625,0.039550,0.011377,-0.016595,-0.095536,0.023240,-0.012963,1.000000,0.000198,0.000057,-0.000083,0.486145,-0.353463,0.667518,0.439483,120.124494,73.679400,-170.871775
54914,-9.543954,2.172359,-1.348063,0.237587,-0.036959,0.064845,0.041627,0.011263,-0.022742,-0.095438,0.021737,-0.013471,1.000000,0.000208,0.000056,-0.000114,0.486232,-0.353414,0.667600,0.439304,120.168954,73.684336,-170.850499
54915,-9.570180,2.155401,-1.287935,0.279448,0.016028,0.077436,0.047105,0.016118,-0.021823,-0.095700,0.021567,-0.012867,1.000000,0.000236,0.000081,-0.000109,0.486307,-0.353359,0.667703,0.439108,120.221473,73.687258,-170.823254
54916,-9.483358,2.246586,-1.251788,0.184657,0.081229,0.011136,0.021643,0.017383,-0.025019,-0.094832,0.022479,-0.012507,1.000000,0.000108,0.000087,-0.000125,0.486343,-0.353379,0.667751,0.438979,120.267119,73.691546,-170.788813
54917,-9.444876,2.245601,-1.065976,0.237449,0.253989,-0.052368,-0.008077,0.031958,-0.018902,-0.094448,0.022465,-0.010646,1.000000,-0.000040,0.000160,-0.000095,0.486264,-0.353482,0.667776,0.438945,120.311449,73.688604,-170.737351
54918,-9.536217,2.283832,-1.097041,0.218174,0.244620,0.048924,-0.057014,0.027336,-0.013603,-0.095362,0.022842,-0.010964,1.000000,-0.000285,0.000137,-0.000068,0.486103,-0.353677,0.667696,0.439089,120.317580,73.684355,-170.697123
54919,-9.544058,2.225137,-1.152681,0.255398,0.171303,0.050090,-0.122054,0.028098,-0.003665,-0.095442,0.022246,-0.011527,1.000000,-0.000610,0.000140,-0.000018,0.485803,-0.353996,0.667488,0.439478,120.274868,73.675128,-170.668522
54920,-9.615095,2.144439,-1.163032,0.346153,0.134224,0.100106,-0.156189,0.035109,-0.002642,-0.096153,0.021437,-0.011630,1.000000,-0.000781,0.000176,-0.000013,0.485416,-0.354413,0.667228,0.439966,120.226480,73.663223,-170.625891
54921,-9.658349,2.197070,-1.264442,0.278823,0.058583,0.168718,-0.192583,0.030953,-0.006808,-0.096585,0.021962,-0.012651,1.000000,-0.000963,0.000155,-0.000034,0.484986,-0.354921,0.666866,0.440579,120.151287,73.654575,-170.588680
54922,-9.518314,2.207165,-1.259660,0.233846,0.057246,0.036103,-0.218031,0.028290,-0.018740,-0.095183,0.022067,-0.012607,0.999999,-0.001090,0.000141,-0.000094,0.484546,-0.355525,0.666423,0.441245,120.071775,73.652637,-170.541554
54923,-9.448693,2.171014,-1.219748,0.261443,0.076784,-0.045157,-0.162308,0.052928,-0.020188,-0.094488,0.021710,-0.012190,1.000000,-0.000812,0.000265,-0.000101,0.484126,-0.356052,0.666155,0.441685,120.064308,73.644415,-170.451978
54924,-9.415310,2.253534,-1.399518,0.119963,-0.061768,-0.031741,-0.153376,0.072796,-0.022526,-0.094156,0.022535,-0.013978,1.000000,-0.000767,0.000364,-0.000113,0.483661,-0.356610,0.665955,0.442046,120.100660,73.631580,-170.322703
54925,-9.505154,2.375148,-1.507898,0.001296,-0.112907,0.099440,-0.134857,0.077723,-0.028948,-0.095054,0.023755,-0.015058,1.000000,-0.000674,0.000389,-0.000145,0.483225,-0.357155,0.665792,0.442329,120.159142,73.620460,-170.180588
54926,-9.661575,2.527239,-1.425001,-0.064615,0.028385,0.274861,-0.106926,0.052424,-0.031304,-0.096616,0.025280,-0.014238,1.000000,-0.000535,0.000262,-0.000157,0.482929,-0.357585,0.665629,0.442551,120.196156,73.617779,-170.078348
54927,-9.805630,2.685646,-1.371006,-0.151064,0.142506,0.443998,-0.092510,0.025920,-0.042305,-0.098052,0.026871,-0.013710,1.000000,-0.000463,0.000130,-0.000212,0.482772,-0.357956,0.665409,0.442752,120.204617,73.628281,-170.013809
54928,-10.066822,2.798331,-1.317796,-0.166093,0.244837,0.714450,-0.086669,0.020470,-0.057203,-0.100662,0.028006,-0.013180,1.000000,-0.000433,0.000102,-0.000286,0.482675,-0.358352,0.665167,0.442900,120.224898,73.647618,-169.941115
54929,-10.311103,3.272912,-1.377592,-0.552483,0.366765,1.072569,-0.125118,0.012298,-0.084517,-0.103098,0.032764,-0.013790,1.000000,-0.000626,0.000061,-0.000423,0.482598,-0.358912,0.664767,0.443132,120.233362,73.682863,-169.857091
54930,-10.342224,3.621076,-1.353742,-0.859814,0.508646,1.183148,-0.202843,-0.008350,-0.102455,-0.103403,0.036250,-0.013578,0.999999,-0.001014,-0.000042,-0.000512,0.482488,-0.359675,0.664116,0.443609,120.183197,73.732918,-169.788469
