PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
65254,-2.225533,1.058588,9.608607,-0.013526,0.008518,0.106923,-0.001273,0.023857,-0.016290,-0.022243,0.010588,0.096089,1.000000,-0.000006,0.000119,-0.000081,0.987130,0.064568,0.106368,-0.100454,6.248725,12.883514,-10.915088
65255,-2.240271,1.028711,9.563814,-0.040627,-0.010811,0.063639,0.002257,0.024447,-0.018350,-0.022390,0.010288,0.095641,1.000000,0.000011,0.000122,-0.000092,0.987118,0.064551,0.106475,-0.100471,6.245390,12.895745,-10.916872
65256,-2.222748,0.991914,9.568953,-0.028738,-0.050662,0.060811,0.007688,0.020454,-0.014203,-0.022217,0.009917,0.095692,1.000000,0.000038,0.000102,-0.000071,0.987108,0.064560,0.106559,-0.100472,6.245636,12.905478,-10.916508
65257,-2.242853,1.017000,9.583978,-0.038417,-0.024960,0.082525,0.004894,0.012424,-0.014182,-0.022422,0.010169,0.095841,1.000000,0.000024,0.000062,-0.000071,0.987104,0.064552,0.106604,-0.100474,6.244181,12.910602,-10.916626
65258,-2.250883,1.008563,9.550964,-0.053648,-0.026790,0.051439,0.007471,0.009862,-0.013018,-0.022503,0.010084,0.095511,1.000000,0.000037,0.000049,-0.000065,0.987100,0.064555,0.106636,-0.100472,6.244307,12.914229,-10.916247
65259,-2.252975,1.021148,9.529607,-0.057040,-0.011105,0.032549,0.009357,0.000572,-0.015380,-0.022529,0.010209,0.095297,1.000000,0.000047,0.000003,-0.000077,0.987100,0.064562,0.106621,-0.100486,6.245082,12.912680,-10.917824
65260,-2.240698,1.051303,9.573810,-0.030752,0.009284,0.075830,0.010368,-0.005739,-0.015596,-0.022409,0.010510,0.095738,1.000000,0.000052,-0.000029,-0.000078,0.987103,0.064571,0.106575,-0.100503,6.246308,12.907581,-10.919949
65261,-2.253527,1.034691,9.508509,-0.060825,0.005086,0.013654,0.015041,-0.014793,-0.015938,-0.022541,0.010342,0.095084,1.000000,0.000075,-0.000074,-0.000080,0.987108,0.064598,0.106481,-0.100528,6.250047,12.897317,-10.922836
65262,-2.238365,1.053397,9.574126,-0.031544,0.010316,0.075826,0.020054,-0.021289,-0.024110,-0.022393,0.010527,0.095740,1.000000,0.000100,-0.000106,-0.000121,0.987112,0.064642,0.106356,-0.100597,6.255492,12.883894,-10.930932
65263,-2.243118,1.045804,9.541792,-0.046777,0.008468,0.044737,0.015030,-0.027289,-0.022469,-0.022443,0.010453,0.095416,1.000000,0.000075,-0.000136,-0.000112,0.987121,0.064659,0.106203,-0.100658,6.258197,12.866924,-10.938438
65264,-2.233604,1.055807,9.574972,-0.032336,0.011349,0.075823,0.022088,-0.033896,-0.024549,-0.022351,0.010550,0.095747,1.000000,0.000110,-0.000169,-0.000123,0.987130,0.064706,0.106015,-0.100735,6.264574,12.846349,-10.947599
65265,-2.237037,1.048670,9.542904,-0.047565,0.009494,0.044732,0.023989,-0.043172,-0.026917,-0.022390,0.010478,0.095425,1.000000,0.000120,-0.000216,-0.000135,0.987143,0.064757,0.105780,-0.100828,6.271615,12.820614,-10.958724
65266,-2.229774,1.026170,9.586053,-0.041940,-0.020320,0.082521,0.021085,-0.050947,-0.018213,-0.022321,0.010254,0.095856,1.000000,0.000105,-0.000255,-0.000091,0.987164,0.064795,0.105506,-0.100878,6.278002,12.789934,-10.965283
65267,-2.205025,0.990871,9.592722,-0.029992,-0.060151,0.079721,0.019805,-0.053551,-0.017781,-0.022075,0.009901,0.095922,1.000000,0.000099,-0.000268,-0.000089,0.987188,0.064825,0.105220,-0.100927,6.283687,12.757720,-10.971745
65268,-2.200712,1.067658,9.664859,-0.001255,0.003025,0.156893,0.019610,-0.056332,-0.018644,-0.022033,0.010669,0.096643,1.000000,0.000098,-0.000282,-0.000093,0.987213,0.064852,0.104920,-0.100981,6.289104,12.724001,-10.978907
65269,-2.146561,1.049359,9.679063,0.043663,-0.026884,0.156791,0.022268,-0.052750,-0.018570,-0.021490,0.010485,0.096786,1.000000,0.000111,-0.000264,-0.000093,0.987235,0.064894,0.104637,-0.101034,6.296115,12.692294,-10.985783
65270,-2.191046,1.070895,9.666697,-0.002050,0.004084,0.156892,0.019086,-0.046077,-0.015770,-0.021932,0.010701,0.096663,1.000000,0.000095,-0.000230,-0.000079,0.987255,0.064925,0.104387,-0.101070,6.301751,12.664237,-10.990612
65271,-2.163376,1.068644,9.663405,0.018706,-0.003020,0.147394,0.024503,-0.039176,-0.024299,-0.021651,0.010677,0.096631,1.000000,0.000123,-0.000196,-0.000121,0.987266,0.064982,0.104171,-0.101149,6.309507,12.640621,-10.999962
65272,-2.189122,1.053553,9.656486,-0.014649,-0.012407,0.144701,0.023166,-0.035418,-0.016255,-0.021907,0.010526,0.096562,1.000000,0.000116,-0.000177,-0.000081,0.987280,0.065038,0.103972,-0.101186,6.317571,12.618665,-11.004392
65273,-2.155750,1.060103,9.685546,0.020931,-0.017107,0.166298,0.019875,-0.024011,-0.025034,-0.021568,0.010594,0.096854,1.000000,0.000099,-0.000120,-0.000125,0.987284,0.065080,0.103834,-0.101261,6.322801,12.603735,-11.013195
65274,-2.151738,1.106446,9.654899,0.026298,0.031293,0.140684,0.018462,-0.018594,-0.017952,-0.021525,0.011057,0.096548,1.000000,0.000092,-0.000093,-0.000090,0.987289,0.065121,0.103721,-0.101298,6.328193,12.591468,-11.017532
65275,-2.128753,1.058920,9.681954,0.041303,-0.023659,0.156809,0.017971,-0.014733,-0.022673,-0.021293,0.010583,0.096819,1.000000,0.000090,-0.000074,-0.000113,0.987290,0.065159,0.103628,-0.101358,6.332767,12.581672,-11.024359
65276,-2.128092,1.060019,9.681979,0.040911,-0.023120,0.156812,0.013820,-0.003443,-0.018681,-0.021282,0.010595,0.096820,1.000000,0.000069,-0.000017,-0.000093,0.987289,0.065184,0.103593,-0.101391,6.335622,12.578080,-11.028140
65277,-2.109728,1.036189,9.666402,0.049890,-0.047765,0.135137,0.013212,0.000660,-0.014712,-0.021096,0.010357,0.096665,1.000000,0.000066,0.000003,-0.000074,0.987288,0.065210,0.103576,-0.101404,6.338698,12.576546,-11.029325
65278,-2.123563,1.082857,9.693029,0.051909,-0.004474,0.169006,0.013668,0.012367,-0.014089,-0.021229,0.010823,0.096932,1.000000,0.000068,0.000062,-0.000070,0.987280,0.065245,0.103617,-0.101410,6.342272,12.581666,-11.029403
65279,-2.110464,1.026078,9.686876,0.052136,-0.061831,0.154054,0.010543,0.017358,-0.010313,-0.021096,0.010257,0.096871,1.000000,0.000053,0.000087,-0.000052,0.987274,0.065269,0.103683,-0.101394,6.344614,12.589360,-11.026936
65280,-2.138017,1.042609,9.669146,0.027554,-0.038534,0.144636,0.006187,0.025852,-0.007176,-0.021367,0.010424,0.096695,1.000000,0.000031,0.000129,-0.000036,0.987265,0.065277,0.103792,-0.101357,6.344972,12.601722,-11.022105
