PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11479,-9.459006,-0.713098,-1.816583,-0.006064,0.012462,-0.154474,0.020979,0.024365,-0.017296,-0.094593,-0.007121,-0.018155,1.000000,0.000105,0.000122,-0.000086,0.618344,0.130252,0.759318,-0.155308,-158.211345,78.378109,178.367909
11480,-9.565419,-0.966782,-1.864762,-0.124822,-0.201563,-0.022231,0.005027,0.025623,-0.020501,-0.095658,-0.009658,-0.018636,1.000000,0.000025,0.000128,-0.000103,0.618260,0.130243,0.759381,-0.155346,-158.202178,78.365676,178.374423
11481,-9.513480,-1.066340,-1.960725,-0.258444,-0.253694,-0.047613,0.025607,0.020444,-0.026564,-0.095138,-0.010648,-0.019599,1.000000,0.000128,0.000102,-0.000133,0.618181,0.130271,0.759413,-0.155482,-158.160327,78.355271,178.402407
11482,-9.413739,-1.080793,-1.896314,-0.224586,-0.290555,-0.156201,0.051503,0.021991,-0.020566,-0.094141,-0.010793,-0.018956,1.000000,0.000258,0.000110,-0.000103,0.618080,0.130403,0.759428,-0.155698,-158.120687,78.344755,178.412846
11483,-9.428903,-0.938962,-1.794942,-0.073942,-0.199766,-0.170991,0.096149,0.020551,-0.002156,-0.094291,-0.009380,-0.017944,1.000000,0.000481,0.000103,-0.000011,0.617973,0.130741,0.759389,-0.156027,-158.101421,78.339475,178.376572
11484,-9.424505,-0.590508,-1.724013,0.125918,0.091642,-0.214877,0.087673,0.019566,0.008630,-0.094246,-0.005902,-0.017233,1.000000,0.000438,0.000098,0.000043,0.617881,0.131094,0.759349,-0.156292,-158.113790,78.336484,178.312746
11485,-9.485719,-0.527648,-1.748704,0.141342,0.158033,-0.155033,0.058703,0.020300,0.006539,-0.094859,-0.005274,-0.017479,1.000000,0.000294,0.000101,0.000033,0.617806,0.131349,0.759333,-0.156451,-158.138077,78.333191,178.253914
11486,-9.475374,-0.480675,-1.775354,0.134740,0.210972,-0.163699,0.013859,0.021280,-0.005573,-0.094756,-0.004803,-0.017744,1.000000,0.000069,0.000106,-0.000028,0.617744,0.131421,0.759365,-0.156479,-158.157885,78.326251,178.225676
11487,-9.489632,-0.534412,-1.908486,-0.001961,0.214123,-0.120671,-0.013954,0.017513,-0.009128,-0.094898,-0.005341,-0.019076,1.000000,-0.000070,0.000088,-0.000046,0.617715,0.131391,0.759407,-0.156413,-158.180596,78.321099,178.210741
11488,-9.422427,-0.472956,-1.765598,0.137580,0.212489,-0.217945,-0.030134,0.018819,-0.002640,-0.094226,-0.004731,-0.017646,1.000000,-0.000151,0.000094,-0.000013,0.617694,0.131336,0.759464,-0.156267,-158.230564,78.316086,178.177442
11489,-9.612139,-0.870927,-1.839067,-0.046292,-0.126080,0.011561,-0.056380,0.002288,0.002563,-0.096121,-0.008716,-0.018387,1.000000,-0.000282,0.000011,0.000013,0.617760,0.131210,0.759484,-0.156015,-158.292103,78.321515,178.147410
11490,-9.591691,-0.982412,-2.069370,-0.301146,-0.137211,0.043196,-0.015132,0.005488,-0.016352,-0.095918,-0.009818,-0.020690,1.000000,-0.000076,0.000027,-0.000082,0.617768,0.131139,0.759497,-0.155977,-158.284466,78.320682,178.164158
11491,-9.476593,-0.703074,-1.941267,-0.100307,0.069107,-0.114553,0.014643,-0.002125,-0.013263,-0.094766,-0.007023,-0.019414,1.000000,0.000073,-0.000011,-0.000066,0.617792,0.131168,0.759459,-0.156046,-158.259959,78.325077,178.180571
