PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
17054,-9.594106,-0.844327,-1.192294,-0.031884,0.054141,-0.108186,0.097521,0.041207,-0.173403,-0.095951,-0.008354,-0.011907,0.999999,0.000488,0.000206,-0.000867,-0.220103,-0.683516,-0.305878,0.625139,-146.134707,81.585264,77.658133
17055,-9.576794,-0.839091,-1.265914,0.036515,0.089582,-0.116698,0.097162,0.013473,-0.187733,-0.095777,-0.008295,-0.012657,0.999999,0.000486,0.000067,-0.000939,-0.219206,-0.683373,-0.306189,0.625458,-145.528287,81.524819,78.215017
17056,-9.769839,-0.660245,-1.343574,0.222982,-0.028532,0.068623,0.172858,0.047817,-0.199286,-0.097708,-0.006493,-0.013418,0.999999,0.000864,0.000239,-0.000996,-0.217962,-0.683403,-0.306338,0.625787,-144.926980,81.443669,78.722976
17057,-9.976458,-0.443338,-1.129701,0.225375,-0.375638,0.227759,0.153214,0.014153,-0.187984,-0.099769,-0.004331,-0.011293,0.999999,0.000766,0.000071,-0.000940,-0.216872,-0.683322,-0.306475,0.626188,-144.307057,81.381104,79.261244
17058,-9.669761,-0.974925,-1.274043,-0.015868,0.135557,-0.011703,0.067951,0.015493,-0.191798,-0.096708,-0.009652,-0.012736,0.999999,0.000340,0.000077,-0.000959,-0.216059,-0.683146,-0.306891,0.626457,-143.736595,81.315905,79.798983
17059,-9.888169,-0.880098,-1.410500,0.154207,0.112133,0.212459,0.165272,0.060474,-0.191464,-0.098894,-0.008695,-0.014082,0.999999,0.000826,0.000302,-0.000957,-0.214845,-0.683216,-0.307051,0.626720,-143.219077,81.229240,80.226858
17060,-9.588694,-1.102263,-1.216742,-0.119652,0.169617,-0.086672,0.103533,0.022980,-0.193656,-0.095899,-0.010923,-0.012162,0.999999,0.000518,0.000115,-0.000968,-0.213892,-0.683098,-0.307369,0.627018,-142.656981,81.158449,80.735725
17061,-9.612946,-1.156404,-1.252126,-0.119733,0.213634,-0.052881,0.173477,0.053277,-0.192667,-0.096144,-0.011461,-0.012506,0.999999,0.000867,0.000266,-0.000963,-0.212657,-0.683149,-0.307499,0.627319,-142.133295,81.073418,81.165265
17062,-9.587547,-0.982113,-1.203214,-0.022835,0.043224,-0.100278,0.206005,0.038169,-0.187732,-0.095887,-0.009719,-0.012024,0.999999,0.001030,0.000191,-0.000939,-0.211349,-0.683195,-0.307491,0.627714,-141.581035,80.996412,81.604960
17063,-9.622531,-1.012880,-0.984587,-0.191460,-0.102577,-0.089456,0.210725,0.041647,-0.188101,-0.096237,-0.010028,-0.009836,0.999999,0.001054,0.000208,-0.000941,-0.210018,-0.683255,-0.307475,0.628105,-141.040447,80.916978,82.030192
