PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
17054,-4.564332,0.891356,8.679872,0.014765,-0.057779,0.034356,-0.018685,-0.005402,-0.028362,-0.045644,0.008928,0.086797,1.000000,-0.000093,-0.000027,-0.000142,0.961544,0.079504,0.232075,-0.123504,6.200636,27.771014,-13.104089
17055,-4.602836,0.881277,8.741960,0.005272,-0.070031,0.105966,-0.010089,-0.004178,-0.027775,-0.046029,0.008824,0.087418,1.000000,-0.000050,-0.000021,-0.000139,0.961551,0.079398,0.232055,-0.123558,6.185885,27.767574,-13.114181
17056,-4.518070,1.021034,8.677566,0.089004,0.062983,0.023152,-0.017112,-0.008632,-0.031959,-0.045183,0.010225,0.086773,1.000000,-0.000086,-0.000043,-0.000160,0.961563,0.079250,0.232017,-0.123626,6.165675,27.761573,-13.127322
17057,-4.585912,1.001822,8.710713,0.039360,0.054807,0.082069,-0.026031,-0.005680,-0.030491,-0.045860,0.010037,0.087105,1.000000,-0.000130,-0.000028,-0.000152,0.961576,0.079063,0.232001,-0.123675,6.140930,27.757438,-13.139263
17058,-4.585486,1.041010,8.678192,0.036853,0.103429,0.056930,-0.037043,-0.006093,-0.033682,-0.045856,0.010434,0.086779,1.000000,-0.000185,-0.000030,-0.000168,0.961593,0.078819,0.231988,-0.123727,6.108877,27.752976,-13.153328
17059,-4.574440,1.018814,8.693340,0.047209,0.082581,0.062969,-0.055893,-0.008921,-0.034703,-0.045747,0.010220,0.086929,1.000000,-0.000279,-0.000045,-0.000174,0.961619,0.078481,0.231976,-0.123763,6.065661,27.747238,-13.168197
17060,-4.647147,0.939623,8.707156,-0.030663,0.025726,0.101536,-0.066638,-0.008539,-0.035831,-0.046474,0.009434,0.087066,1.000000,-0.000333,-0.000043,-0.000179,0.961648,0.078090,0.231971,-0.123792,6.015943,27.741494,-13.183800
17061,-4.616347,0.811501,8.711983,-0.036492,-0.096516,0.079592,-0.067529,-0.010093,-0.032919,-0.046167,0.008152,0.087115,1.000000,-0.000338,-0.000050,-0.000165,0.961680,0.077698,0.231960,-0.123807,5.966567,27.734960,-13.197587
17062,-4.550744,0.791825,8.732685,0.023934,-0.125686,0.065555,-0.058448,-0.010847,-0.031642,-0.045511,0.007951,0.087322,1.000000,-0.000292,-0.000054,-0.000158,0.961712,0.077351,0.231937,-0.123826,5.922731,27.727632,-13.210637
17063,-4.517780,0.735706,8.776408,0.055995,-0.188590,0.083687,-0.051882,-0.009387,-0.032277,-0.045181,0.007387,0.087760,1.000000,-0.000259,-0.000047,-0.000161,0.961737,0.077035,0.231919,-0.123855,5.882542,27.721443,-13.223950
17064,-4.476883,0.765788,8.787551,0.104457,-0.165020,0.077299,-0.032651,-0.007137,-0.029878,-0.044771,0.007679,0.087873,1.000000,-0.000163,-0.000036,-0.000149,0.961755,0.076815,0.231897,-0.123895,5.854127,27.716108,-13.235612
17065,-4.538543,0.760036,8.749045,0.033450,-0.146138,0.071610,-0.021423,-0.005372,-0.033051,-0.045387,0.007617,0.087488,1.000000,-0.000107,-0.000027,-0.000165,0.961764,0.076648,0.231880,-0.123961,5.831288,27.712241,-13.249151
17066,-4.591501,0.624581,8.718316,-0.062517,-0.256045,0.057041,-0.007437,-0.004168,-0.023125,-0.045916,0.006254,0.087182,1.000000,-0.000037,-0.000021,-0.000116,0.961773,0.076559,0.231854,-0.123996,5.819426,27.708192,-13.256271
17067,-4.582355,0.537065,8.693440,-0.089866,-0.336253,0.023022,0.025344,-0.003691,-0.015620,-0.045825,0.005363,0.086934,1.000000,0.000127,-0.000018,-0.000078,0.961773,0.076637,0.231810,-0.124033,5.828654,27.704266,-13.258474
17068,-4.569787,0.594641,8.746676,-0.041684,-0.297720,0.069140,0.060169,0.005123,0.000682,-0.045696,0.005920,0.087470,1.000000,0.000301,0.000026,0.000003,0.961760,0.076907,0.231778,-0.124028,5.862915,27.704128,-13.249668
17069,-4.500393,0.731825,8.719467,0.042822,-0.181320,0.025173,0.085543,0.010291,0.010186,-0.045000,0.007279,0.087200,1.000000,0.000428,0.000051,0.000051,0.961736,0.077314,0.231753,-0.124005,5.914788,27.706655,-13.234336
17070,-4.610113,0.689631,8.740243,-0.055751,-0.212962,0.090449,0.111451,0.021183,0.018828,-0.046093,0.006843,0.087411,1.000000,0.000557,0.000106,0.000094,0.961695,0.077861,0.231759,-0.123966,5.984348,27.714575,-13.212780
17071,-4.612732,0.916845,8.697382,-0.015002,0.002482,0.074785,0.129595,0.023804,0.016385,-0.046118,0.009108,0.086985,1.000000,0.000648,0.000119,0.000082,0.961642,0.078495,0.231770,-0.123959,6.063751,27.724398,-13.192531
17072,-4.665892,0.909954,8.670393,-0.075245,0.000286,0.075113,0.126759,0.025191,0.012387,-0.046649,0.009042,0.086716,1.000000,0.000634,0.000126,0.000062,0.961586,0.079110,0.231788,-0.123967,6.140294,27.734945,-13.174821
17073,-4.681307,0.996394,8.639844,-0.078987,0.080545,0.063628,0.127871,0.019290,0.021511,-0.046806,0.009904,0.086409,1.000000,0.000639,0.000096,0.000108,0.961541,0.079739,0.231775,-0.123935,6.220119,27.741831,-13.151554
17074,-4.609715,1.036964,8.657988,-0.000117,0.089544,0.050248,0.117814,0.014883,0.019703,-0.046092,0.010314,0.086589,1.000000,0.000589,0.000074,0.000099,0.961505,0.080313,0.231747,-0.123902,6.293412,27.746016,-13.129826
17075,-4.692202,1.149155,8.627064,-0.055216,0.209737,0.072478,0.099348,0.011448,0.020064,-0.046918,0.011444,0.086279,1.000000,0.000497,0.000057,0.000100,0.961479,0.080798,0.231715,-0.123846,6.356214,27.748475,-13.108028
17076,-4.665585,1.267532,8.607417,-0.010182,0.313467,0.054611,0.080004,-0.002110,0.015812,-0.046658,0.012637,0.086079,1.000000,0.000400,-0.000011,0.000079,0.961474,0.081176,0.231629,-0.123795,6.406125,27.743195,-13.090010
17077,-4.705736,1.410304,8.587946,-0.016469,0.457098,0.070456,0.039071,-0.017095,0.006581,-0.047065,0.014085,0.085878,1.000000,0.000195,-0.000085,0.000033,0.961498,0.081338,0.231503,-0.123746,6.429391,27.730235,-13.078948
17078,-4.698109,1.296360,8.617108,-0.032071,0.339144,0.081315,0.006519,-0.028053,-0.000695,-0.046993,0.012961,0.086165,1.000000,0.000033,-0.000140,-0.000003,0.961542,0.081328,0.231345,-0.123699,6.431401,27.711238,-13.073421
17079,-4.655677,1.459529,8.653396,0.061474,0.481304,0.109580,-0.029868,-0.041357,-0.011773,-0.046574,0.014611,0.086522,1.000000,-0.000149,-0.000207,-0.000059,0.961610,0.081122,0.231152,-0.123669,6.408857,27.685639,-13.075922
17080,-4.679375,1.516451,8.665946,0.058426,0.544878,0.136909,-0.079673,-0.054283,-0.028635,-0.046815,0.015206,0.086641,1.000000,-0.000398,-0.000271,-0.000143,0.961703,0.080649,0.230932,-0.123667,6.352298,27.653496,-13.090213
17081,-4.620648,1.466035,8.709053,0.110146,0.488475,0.142035,-0.135593,-0.066558,-0.049165,-0.046232,0.014731,0.087065,1.000000,-0.000678,-0.000333,-0.000246,0.961819,0.079876,0.230698,-0.123705,6.257229,27.615895,-13.118481
17082,-4.597928,1.231020,8.698844,0.058229,0.279391,0.099162,-0.181389,-0.068152,-0.070177,-0.046005,0.012405,0.086962,0.999999,-0.000907,-0.000341,-0.000351,0.961941,0.078857,0.230491,-0.123791,6.129687,27.578382,-13.160292
17083,-4.515881,0.966109,8.779565,0.088831,0.014073,0.106949,-0.201768,-0.070090,-0.077416,-0.045186,0.009767,0.087770,0.999999,-0.001009,-0.000350,-0.000387,0.962068,0.077731,0.230292,-0.123889,5.988317,27.540369,-13.206756
17084,-4.577675,0.799944,8.791932,-0.005968,-0.112801,0.131169,-0.194592,-0.060745,-0.076210,-0.045800,0.008102,0.087898,0.999999,-0.000973,-0.000304,-0.000381,0.962181,0.076647,0.230131,-0.123986,5.851812,27.507258,-13.251716
17085,-4.514611,0.553755,8.822390,-0.006629,-0.346822,0.107120,-0.178501,-0.053462,-0.067357,-0.045168,0.005631,0.088207,1.000000,-0.000893,-0.000267,-0.000337,0.962284,0.075654,0.229993,-0.124055,5.727411,27.477949,-13.290401
17086,-4.498901,0.391933,8.813681,-0.041210,-0.486179,0.078552,-0.128863,-0.033587,-0.054111,-0.045003,0.003988,0.088127,1.000000,-0.000644,-0.000168,-0.000271,0.962353,0.074928,0.229912,-0.124111,5.636022,27.458901,-13.319256
17087,-4.439660,0.656265,8.800604,0.077187,-0.230009,0.063193,-0.091056,-0.016528,-0.050221,-0.044402,0.006614,0.087999,1.000000,-0.000455,-0.000083,-0.000251,0.962389,0.074398,0.229891,-0.124184,5.567953,27.449582,-13.344480
17088,-4.558512,0.412679,8.744365,-0.114807,-0.418963,0.047614,-0.062609,-0.002818,-0.035544,-0.045586,0.004162,0.087442,1.000000,-0.000313,-0.000014,-0.000178,0.962409,0.074031,0.229911,-0.124215,5.520918,27.446986,-13.359442
17089,-4.473489,0.777070,8.818081,0.090808,-0.096449,0.104819,-0.030525,0.006628,-0.032377,-0.044731,0.007791,0.088181,1.000000,-0.000153,0.000033,-0.000162,0.962407,0.073828,0.229957,-0.124264,5.493489,27.449855,-13.371745
17090,-4.521449,0.567510,8.780417,-0.021785,-0.276473,0.075911,-0.026382,0.022456,-0.023869,-0.045204,0.005692,0.087808,1.000000,-0.000132,0.000112,-0.000119,0.962392,0.073664,0.230071,-0.124271,5.471371,27.461019,-13.377652
17091,-4.436931,0.520190,8.827019,0.060679,-0.347369,0.074115,0.009885,0.030080,-0.018946,-0.044356,0.005202,0.088277,1.000000,0.000049,0.000150,-0.000095,0.962356,0.073685,0.230200,-0.124293,5.471737,27.476523,-13.379882
17092,-4.467315,0.543390,8.743762,0.008318,-0.305615,0.016457,0.065530,0.050479,-0.018837,-0.044651,0.005409,0.087451,1.000000,0.000328,0.000252,-0.000094,0.962278,0.073987,0.230390,-0.124371,5.504548,27.503389,-13.380835
17093,-4.569569,0.723467,8.809906,0.000978,-0.132038,0.137256,0.076287,0.058681,-0.010137,-0.045669,0.007203,0.088115,1.000000,0.000381,0.000293,-0.000051,0.962190,0.074355,0.230611,-0.124417,5.546404,27.534720,-13.375606
17094,-4.574848,0.817846,8.740998,-0.003909,-0.035053,0.086904,0.095968,0.051283,-0.005539,-0.045726,0.008138,0.087426,1.000000,0.000480,0.000256,-0.000028,0.962107,0.074819,0.230781,-0.124466,5.600638,27.561304,-13.367919
17095,-4.576589,1.097387,8.717853,0.063984,0.229360,0.091538,0.078840,0.047348,-0.007408,-0.045745,0.010941,0.087194,1.000000,0.000394,0.000237,-0.000037,0.962033,0.075196,0.230946,-0.124505,5.644471,27.586012,-13.361589
17096,-4.559939,1.041961,8.671722,0.045605,0.176474,0.038417,0.044806,0.028993,-0.010974,-0.045586,0.010403,0.086726,1.000000,0.000224,0.000145,-0.000055,0.961992,0.075393,0.231042,-0.124530,5.667149,27.600185,-13.358769
17097,-4.566631,0.944688,8.683287,0.019499,0.079445,0.043242,0.026109,0.019714,-0.016815,-0.045657,0.009439,0.086839,1.000000,0.000131,0.000099,-0.000084,0.961963,0.075488,0.231110,-0.124564,5.677162,27.609665,-13.360232
17098,-4.596281,1.008567,8.692305,0.016339,0.143016,0.070553,0.029440,0.015476,-0.021269,-0.045955,0.010078,0.086928,1.000000,0.000147,0.000077,-0.000106,0.961936,0.075592,0.231155,-0.124625,5.687578,27.616716,-13.364888
17099,-4.603794,1.081869,8.697239,0.032814,0.213016,0.084831,0.006383,0.006685,-0.022496,-0.046034,0.010821,0.086974,1.000000,0.000032,0.000033,-0.000112,0.961927,0.075577,0.231175,-0.124669,5.684208,27.619090,-13.370838
