PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41635,1.881739,5.061282,8.487770,-0.058630,0.215983,0.244631,0.012664,-0.026869,-0.003763,0.018807,0.050607,0.084883,1.000000,0.000063,-0.000134,-0.000019,-0.032887,-0.102784,-0.268907,-0.957101,32.010182,-10.315153,173.097850
41636,1.780535,5.031479,8.411071,0.026867,0.191116,0.146979,0.014281,-0.028865,-0.017332,0.017798,0.050307,0.084117,1.000000,0.000071,-0.000144,-0.000087,-0.032952,-0.102933,-0.268942,-0.957073,32.016993,-10.329252,173.085225
41637,1.699712,5.085178,8.302927,0.084397,0.081762,0.070270,0.016809,-0.027326,-0.026379,0.016992,0.050843,0.083036,1.000000,0.000084,-0.000137,-0.000132,-0.033058,-0.103059,-0.268990,-0.957042,32.025409,-10.339449,173.068702
41638,1.673188,5.133034,8.216355,0.092429,-0.004983,0.018260,0.013650,-0.012103,-0.035405,0.016736,0.051322,0.082168,1.000000,0.000068,-0.000061,-0.000177,-0.033187,-0.103104,-0.269035,-0.957021,32.032535,-10.339910,173.052326
41639,1.624142,5.097042,8.161914,0.128234,-0.007366,-0.054715,-0.000782,0.003352,-0.038443,0.016253,0.050968,0.081619,1.000000,-0.000004,0.000017,-0.000192,-0.033318,-0.103063,-0.269010,-0.957027,32.030233,-10.331500,173.039325
41640,1.601220,5.085913,8.154651,0.147055,-0.003990,-0.070660,0.008659,0.021926,-0.038197,0.016031,0.050853,0.081547,1.000000,0.000043,0.000110,-0.000191,-0.033418,-0.102940,-0.269038,-0.957029,32.032858,-10.314583,173.032083
41641,1.664545,5.135948,8.216290,0.094716,-0.007730,0.018236,-0.004171,0.031396,-0.036218,0.016668,0.051358,0.082159,1.000000,-0.000021,0.000157,-0.000181,-0.033502,-0.102769,-0.269000,-0.957055,32.026880,-10.293265,173.028811
41642,1.760608,5.182145,8.273123,0.008200,-0.007224,0.106930,-0.003360,0.050665,-0.035784,0.017636,0.051820,0.082726,1.000000,-0.000017,0.000253,-0.000179,-0.033558,-0.102509,-0.268974,-0.957089,32.020817,-10.263122,173.031633
41643,1.642488,5.178551,8.342281,0.133416,0.015902,0.141747,-0.010759,0.048415,-0.022353,0.016451,0.051788,0.083416,1.000000,-0.000054,0.000242,-0.000112,-0.033558,-0.102274,-0.268901,-0.957134,32.008946,-10.237735,173.040320
41644,1.706843,5.212426,8.424713,0.083888,0.034713,0.239688,-0.016731,0.041794,-0.008777,0.017088,0.052131,0.084239,1.000000,-0.000084,0.000209,-0.000044,-0.033503,-0.102091,-0.268795,-0.957186,31.993345,-10.220101,173.053726
