PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
46148,-6.733894,6.606818,1.030807,0.687378,0.265570,-0.351459,0.297025,0.018304,0.211361,-0.067408,0.065982,0.010412,0.999998,0.001485,0.000092,0.001057,-0.227766,0.265870,-0.621313,-0.701004,83.415662,40.978796,-179.161477
46149,-6.636440,7.335560,1.034177,0.156108,0.197727,0.130088,0.206342,0.034646,0.110909,-0.066403,0.073308,0.010429,0.999999,0.001032,0.000173,0.000555,-0.227531,0.265361,-0.622225,-0.700463,83.554208,40.912257,-179.130045
46150,-6.478392,7.914708,1.065281,-0.334655,0.168902,0.463813,0.080674,0.020021,0.022348,-0.064792,0.079136,0.010691,1.000000,0.000403,0.000100,0.000112,-0.227484,0.265217,-0.622564,-0.700232,83.608496,40.894938,-179.117316
46151,-6.337500,8.077495,1.150485,-0.554518,0.232300,0.500992,-0.072540,-0.006411,-0.045020,-0.063357,0.080793,0.011474,1.000000,-0.000363,-0.000032,-0.000225,-0.227554,0.265366,-0.622245,-0.700436,83.558212,40.914507,-179.130202
46152,-6.299868,7.771613,0.920356,-0.370053,0.026817,0.227017,-0.241292,-0.012440,-0.100446,-0.062960,0.077759,0.009106,0.999999,-0.001206,-0.000062,-0.000502,-0.227611,0.265856,-0.621256,-0.701110,83.405107,40.964994,-179.152461
46153,-6.427142,7.117124,0.849991,0.147024,0.017563,-0.186572,-0.313181,0.005121,-0.141305,-0.064221,0.071230,0.008390,0.999999,-0.001566,0.000026,-0.000707,-0.227661,0.266618,-0.619978,-0.701935,83.216948,41.040056,-179.165313
46154,-6.579351,6.618148,1.007837,0.558406,0.215556,-0.445450,-0.339277,0.008497,-0.163242,-0.065739,0.066252,0.009969,0.999998,-0.001696,0.000042,-0.000816,-0.227742,0.267487,-0.618582,-0.702810,83.013969,41.127593,-179.177970
46155,-6.532344,6.107754,1.042494,0.836960,0.292943,-0.852967,-0.333753,0.002738,-0.183830,-0.065267,0.061155,0.010324,0.999998,-0.001669,0.000014,-0.000919,-0.227920,0.268393,-0.617168,-0.703649,82.809693,41.226612,-179.197345
46156,-6.431992,5.860435,0.894379,0.921948,0.157653,-1.115548,-0.279160,-0.003174,-0.179190,-0.064268,0.058674,0.008861,0.999999,-0.001396,-0.000016,-0.000896,-0.228172,0.269200,-0.615944,-0.704331,82.633737,41.322297,-179.221205
46157,-6.322202,6.007492,0.721439,0.747272,-0.052020,-1.093770,-0.207040,-0.017236,-0.151851,-0.063177,0.060130,0.007147,0.999999,-0.001035,-0.000086,-0.000759,-0.228469,0.269792,-0.614993,-0.704839,82.493533,41.401616,-179.253401
