PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
55174,-9.161166,-3.016840,-0.489151,0.183415,0.002951,-0.156917,0.014149,-0.019331,0.036763,-0.091606,-0.030185,-0.004903,1.000000,0.000071,-0.000097,0.000184,-0.476818,0.647065,-0.321644,-0.500497,-98.536509,72.638092,11.803906
55175,-9.162129,-2.883710,-0.373260,0.029870,0.065964,-0.200483,0.034975,-0.007393,0.040649,-0.091615,-0.028855,-0.003741,1.000000,0.000175,-0.000037,0.000203,-0.476816,0.646872,-0.321856,-0.500611,-98.507122,72.668094,11.815417
55176,-9.187290,-2.856534,-0.414244,0.017190,0.015997,-0.182676,0.033025,-0.011156,0.034537,-0.091868,-0.028581,-0.004152,1.000000,0.000165,-0.000056,0.000173,-0.476839,0.646680,-0.322038,-0.500721,-98.468406,72.694587,11.836523
55177,-9.214327,-2.883740,-0.539972,0.081317,-0.095321,-0.143373,0.038519,-0.007637,0.037383,-0.092138,-0.028854,-0.005409,1.000000,0.000193,-0.000038,0.000187,-0.476856,0.646484,-0.322246,-0.500823,-98.435578,72.722680,11.849881
55178,-9.226460,-2.856438,-0.560319,0.065216,-0.125171,-0.138969,0.060609,-0.001098,0.038753,-0.092259,-0.028581,-0.005612,1.000000,0.000303,-0.000005,0.000194,-0.476941,0.646244,-0.322534,-0.500866,-98.400367,72.750711,11.850761
55179,-9.245548,-2.726630,-0.519653,-0.065419,-0.132575,-0.160597,0.084169,0.005268,0.037453,-0.092451,-0.027281,-0.005206,1.000000,0.000421,0.000026,0.000187,-0.477086,0.645971,-0.322890,-0.500852,-98.365041,72.777854,11.838952
55180,-9.120634,-2.584722,-0.483131,-0.164000,-0.139481,-0.323018,0.102695,0.004746,0.035493,-0.091202,-0.025861,-0.004842,1.000000,0.000513,0.000024,0.000177,-0.477305,0.645650,-0.323287,-0.500800,-98.315413,72.803551,11.829680
55181,-9.111213,-2.461139,-0.488877,-0.265989,-0.187147,-0.367867,0.117689,0.009044,0.024335,-0.091109,-0.024620,-0.004899,1.000000,0.000588,0.000045,0.000122,-0.477587,0.645325,-0.323695,-0.500687,-98.263442,72.822986,11.814724
55182,-9.185687,-2.382764,-0.528035,-0.341672,-0.256160,-0.317906,0.085170,0.005744,0.013546,-0.091855,-0.023832,-0.005288,1.000000,0.000426,0.000029,0.000068,-0.477803,0.645084,-0.323979,-0.500608,-98.219732,72.836160,11.809769
55183,-9.296923,-2.496210,-0.542018,-0.264912,-0.239008,-0.177838,0.016383,-0.003057,0.014458,-0.092967,-0.024968,-0.005424,1.000000,0.000082,-0.000015,0.000072,-0.477801,0.644987,-0.324072,-0.500674,-98.201395,72.850986,11.820618
