PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
60190,-3.375967,1.842916,9.116312,0.048767,-0.015202,0.081655,-0.005357,-0.004381,-0.007876,-0.033761,0.018433,0.091162,1.000000,-0.000027,-0.000022,-0.000039,-0.230300,0.144274,-0.133082,-0.953119,11.467676,19.652656,154.824992
60191,-3.360434,1.804455,9.153175,0.046564,0.034385,0.103251,-0.005198,-0.010100,-0.009313,-0.033608,0.018048,0.091530,1.000000,-0.000026,-0.000051,-0.000047,-0.230288,0.144220,-0.133011,-0.953140,11.460794,19.644668,154.824820
60192,-3.324080,1.845189,9.149374,-0.001930,0.010964,0.095145,-0.004878,-0.017511,-0.006933,-0.033248,0.018455,0.091490,1.000000,-0.000024,-0.000088,-0.000035,-0.230270,0.144129,-0.132932,-0.953169,11.453916,19.632133,154.825128
60193,-3.263256,1.767922,9.177071,-0.021552,0.108683,0.085835,-0.005471,-0.013710,-0.010952,-0.032638,0.017684,0.091768,1.000000,-0.000027,-0.000069,-0.000055,-0.230269,0.144060,-0.132855,-0.953191,11.446403,19.622305,154.823545
60194,-3.319709,1.833110,9.204007,-0.009318,0.036955,0.141862,-0.002385,-0.012144,-0.012431,-0.033202,0.018334,0.092038,1.000000,-0.000012,-0.000061,-0.000062,-0.230274,0.143996,-0.132789,-0.953208,11.440060,19.613432,154.821404
60195,-3.341168,1.764050,9.191759,0.045551,0.082396,0.124860,0.001971,-0.011391,-0.013665,-0.033416,0.017642,0.091916,1.000000,0.000010,-0.000057,-0.000068,-0.230290,0.143931,-0.132748,-0.953220,11.436364,19.605214,154.818486
60196,-3.342538,1.774435,9.138561,0.054160,0.054828,0.078143,0.004081,-0.010911,-0.013379,-0.033429,0.017745,0.091384,1.000000,0.000020,-0.000055,-0.000067,-0.230306,0.143866,-0.132715,-0.953231,11.433600,19.597106,154.815652
60197,-3.326603,1.853983,9.198534,-0.009054,0.011051,0.143033,0.003242,-0.012205,-0.013418,-0.033270,0.018541,0.091984,1.000000,0.000016,-0.000061,-0.000067,-0.230321,0.143795,-0.132679,-0.953243,11.430650,19.588403,154.812784
60198,-3.296177,1.793837,9.141437,0.007041,0.055260,0.068881,-0.000276,-0.015690,-0.017392,-0.032967,0.017941,0.091412,1.000000,-0.000001,-0.000078,-0.000087,-0.230354,0.143715,-0.132616,-0.953256,11.424374,19.578119,154.807344
60199,-3.327816,1.741339,9.199924,0.048116,0.104703,0.123708,0.001592,-0.020303,-0.013125,-0.033286,0.017415,0.091996,1.000000,0.000008,-0.000102,-0.000066,-0.230372,0.143608,-0.132563,-0.953275,11.420211,19.564834,154.803678
60200,-3.296714,1.798715,9.166169,0.003262,0.055528,0.092830,0.002729,-0.020908,-0.011073,-0.032976,0.017988,0.091658,1.000000,0.000014,-0.000105,-0.000055,-0.230378,0.143495,-0.132512,-0.953297,11.416633,19.550808,154.801575
60201,-3.330062,1.757014,9.171273,0.052545,0.077968,0.100930,0.001051,-0.023497,-0.011150,-0.033310,0.017572,0.091709,1.000000,0.000005,-0.000117,-0.000056,-0.230389,0.143372,-0.132454,-0.953321,11.412429,19.535505,154.798704
60202,-3.299922,1.750835,9.203083,0.025342,0.103814,0.119091,0.004732,-0.025728,-0.008609,-0.033010,0.017508,0.092027,1.000000,0.000024,-0.000129,-0.000043,-0.230388,0.143233,-0.132409,-0.953349,11.410319,19.518551,154.797447
60203,-3.348015,1.805849,9.183351,0.046858,0.029508,0.127190,0.006139,-0.026749,-0.010167,-0.033492,0.018057,0.091830,1.000000,0.000031,-0.000134,-0.000051,-0.230400,0.143088,-0.132372,-0.953373,11.409096,19.501310,154.794772
60204,-3.303407,1.836503,9.132698,0.007552,0.003366,0.071206,0.005301,-0.028043,-0.010203,-0.033046,0.018364,0.091323,1.000000,0.000027,-0.000140,-0.000051,-0.230403,0.142938,-0.132324,-0.953401,11.406835,19.483217,154.792851
60205,-3.300965,1.895208,9.145140,-0.022464,-0.043841,0.092833,0.002218,-0.029610,-0.008716,-0.033022,0.018953,0.091447,1.000000,0.000011,-0.000148,-0.000044,-0.230407,0.142783,-0.132267,-0.953431,11.403541,19.464205,154.790699
60206,-3.260875,1.867144,9.183659,-0.048723,0.006365,0.109848,-0.002574,-0.032283,-0.012925,-0.032622,0.018675,0.091831,1.000000,-0.000013,-0.000161,-0.000065,-0.230431,0.142623,-0.132178,-0.953462,11.396246,19.444104,154.785520
60207,-3.249066,1.786254,9.179562,-0.016960,0.076964,0.087074,-0.001765,-0.025478,-0.013258,-0.032501,0.017866,0.091791,1.000000,-0.000009,-0.000127,-0.000066,-0.230451,0.142495,-0.132103,-0.953486,11.389938,19.427926,154.781163
60208,-3.231885,1.748046,9.216834,-0.019269,0.126462,0.108725,-0.001493,-0.021867,-0.011620,-0.032328,0.017483,0.092165,1.000000,-0.000007,-0.000109,-0.000058,-0.230467,0.142382,-0.132033,-0.953509,11.383965,19.413457,154.777506
60209,-3.286442,1.759916,9.155502,0.036351,0.073227,0.072379,0.002161,-0.018588,-0.009457,-0.032872,0.017600,0.091552,1.000000,0.000011,-0.000093,-0.000047,-0.230467,0.142279,-0.131987,-0.953531,11.380937,19.400719,154.776243
60210,-3.282644,1.749576,9.209499,0.028512,0.099641,0.119125,0.006822,-0.015705,-0.003443,-0.032833,0.017493,0.092093,1.000000,0.000034,-0.000079,-0.000017,-0.230436,0.142182,-0.131967,-0.953556,11.381454,19.388793,154.779310
60211,-3.252092,1.807841,9.175335,-0.016284,0.050494,0.088239,0.008100,-0.012492,0.002045,-0.032527,0.018074,0.091752,1.000000,0.000041,-0.000062,0.000010,-0.230382,0.142094,-0.131965,-0.953582,11.384345,19.378178,154.785627
60212,-3.245308,1.792538,9.205505,-0.019544,0.075617,0.111044,0.008334,-0.007399,-0.001939,-0.032456,0.017922,0.092055,1.000000,0.000042,-0.000037,-0.000010,-0.230346,0.142033,-0.131965,-0.953600,11.386479,19.370799,154.789825
60213,-3.241258,1.846266,9.193618,-0.044941,0.027067,0.108720,0.005789,-0.005774,-0.002426,-0.032415,0.018460,0.091936,1.000000,0.000029,-0.000029,-0.000012,-0.230306,0.141983,-0.131956,-0.953618,11.387427,19.364462,154.794284
60214,-3.263296,1.836710,9.192631,-0.020579,0.025824,0.113338,0.005890,-0.000473,-0.004608,-0.032633,0.018365,0.091927,1.000000,0.000029,-0.000002,-0.000023,-0.230272,0.141960,-0.131949,-0.953631,11.387850,19.361258,154.798252
60215,-3.285472,1.827067,9.191614,0.003795,0.024647,0.117954,0.004082,-0.002854,-0.002877,-0.032856,0.018269,0.091916,1.000000,0.000020,-0.000014,-0.000014,-0.230232,0.141926,-0.131936,-0.953647,11.387847,19.356613,154.802792
60216,-3.285375,1.768536,9.180069,0.034569,0.070871,0.096342,0.002640,-0.000351,-0.006936,-0.032853,0.017685,0.091801,1.000000,0.000013,-0.000002,-0.000035,-0.230215,0.141907,-0.131914,-0.953657,11.386036,19.353647,154.804374
60217,-3.291359,1.843375,9.161561,0.008291,-0.002055,0.095148,0.002110,0.000482,0.000281,-0.032913,0.018433,0.091616,1.000000,0.000011,0.000002,0.000001,-0.230156,0.141889,-0.131897,-0.953676,11.385658,19.350518,154.811194
60218,-3.268810,1.853574,9.162599,-0.015267,-0.001940,0.090536,0.001039,-0.005905,0.004230,-0.032691,0.018535,0.091625,1.000000,0.000005,-0.000030,0.000021,-0.230082,0.141839,-0.131867,-0.953706,11.384819,19.343215,154.819518
60219,-3.290334,1.843312,9.161942,0.009110,-0.003105,0.095147,-0.007844,-0.009753,-0.002342,-0.032908,0.018437,0.091617,1.000000,-0.000039,-0.000049,-0.000012,-0.230036,0.141786,-0.131789,-0.953736,11.377813,19.334634,154.823550
60220,-3.276351,1.815488,9.145430,0.015004,0.019419,0.070063,-0.005569,-0.014988,-0.003488,-0.032770,0.018158,0.091451,1.000000,-0.000028,-0.000075,-0.000017,-0.230002,0.141704,-0.131711,-0.953767,11.371313,19.322984,154.825955
60221,-3.268957,1.798592,9.176129,0.011736,0.044581,0.092878,-0.010193,-0.019354,-0.003877,-0.032698,0.017991,0.091757,1.000000,-0.000051,-0.000097,-0.000019,-0.229967,0.141609,-0.131610,-0.953803,11.362278,19.309185,154.827926
60222,-3.270633,1.802977,9.200524,0.007571,0.045321,0.116829,-0.011869,-0.021943,-0.003948,-0.032716,0.018036,0.092001,1.000000,-0.000059,-0.000110,-0.000020,-0.229938,0.141502,-0.131496,-0.953842,11.351895,19.293834,154.828958
60223,-3.290892,1.791976,9.200470,0.031944,0.044168,0.121437,-0.007081,-0.023293,-0.004984,-0.032919,0.017924,0.092000,1.000000,-0.000035,-0.000116,-0.000025,-0.229913,0.141385,-0.131404,-0.953878,11.344271,19.277947,154.829804
60224,-3.257143,1.720598,9.197276,0.039576,0.115445,0.094099,-0.012443,-0.023652,-0.007588,-0.032582,0.017213,0.091968,1.000000,-0.000062,-0.000118,-0.000038,-0.229898,0.141273,-0.131281,-0.953915,11.332667,19.261945,154.828880
60225,-3.299419,1.758455,9.207898,0.057611,0.066832,0.124914,-0.003089,-0.027420,-0.000435,-0.033007,0.017586,0.092074,1.000000,-0.000015,-0.000137,-0.000002,-0.229857,0.141129,-0.131207,-0.953957,11.328060,19.243227,154.831946
60226,-3.284246,1.848148,9.214914,0.002877,-0.004278,0.143042,-0.008180,-0.024171,-0.001405,-0.032853,0.018485,0.092144,1.000000,-0.000041,-0.000121,-0.000007,-0.229812,0.141006,-0.131107,-0.953999,11.320034,19.226268,154.835105
60227,-3.250208,1.718430,9.200134,0.040759,0.113899,0.094112,-0.007745,-0.026277,-0.001195,-0.032514,0.017188,0.091996,1.000000,-0.000039,-0.000131,-0.000006,-0.229771,0.140873,-0.131011,-0.954042,11.312656,19.208279,154.837859
60228,-3.212772,1.759688,9.196446,-0.007652,0.090238,0.086041,0.000436,-0.023932,0.003528,-0.032139,0.017596,0.091961,1.000000,0.000002,-0.000120,0.000018,-0.229708,0.140739,-0.130955,-0.954085,11.310499,19.190849,154.844057
60229,-3.201235,1.738170,9.203618,-0.006386,0.114116,0.084922,-0.001272,-0.021013,0.003080,-0.032022,0.017382,0.092033,1.000000,-0.000006,-0.000105,0.000015,-0.229648,0.140620,-0.130899,-0.954124,11.307870,19.175337,154.849982
60230,-3.253174,1.740058,9.195959,0.041089,0.087917,0.095248,0.004093,-0.020653,0.005683,-0.032542,0.017398,0.091957,1.000000,0.000020,-0.000103,0.000028,-0.229585,0.140494,-0.130870,-0.954162,11.308572,19.159572,154.856605
60231,-3.238384,1.830626,9.202649,-0.013599,0.016844,0.113370,0.001099,-0.020945,-0.000248,-0.032393,0.018306,0.092023,1.000000,0.000005,-0.000105,-0.000001,-0.229542,0.140376,-0.130823,-0.954196,11.306651,19.144473,154.860558
60232,-3.197782,1.866965,9.175178,-0.057427,-0.008082,0.081346,0.004788,-0.023174,0.002285,-0.031989,0.018667,0.091749,1.000000,0.000024,-0.000116,0.000011,-0.229494,0.140240,-0.130790,-0.954232,11.306914,19.127672,154.865323
60233,-3.247296,1.799657,9.209436,0.012045,0.039527,0.116849,0.001631,-0.017751,-0.002223,-0.032481,0.017996,0.092092,1.000000,0.000008,-0.000089,-0.000011,-0.229459,0.140138,-0.130748,-0.954261,11.305036,19.114589,154.868482
60234,-3.226623,1.756697,9.222916,0.014145,0.087715,0.114617,0.003646,-0.022569,0.000241,-0.032277,0.017565,0.092226,1.000000,0.000018,-0.000113,0.000001,-0.229414,0.140008,-0.130708,-0.954297,11.304225,19.098423,154.872696
60235,-3.186121,1.792983,9.195398,-0.029689,0.062841,0.082597,0.003598,-0.021085,-0.005378,-0.031870,0.017929,0.091951,1.000000,0.000018,-0.000105,-0.000027,-0.229398,0.139890,-0.130670,-0.954323,11.302729,19.083822,154.873582
60236,-3.184440,1.734609,9.184354,0.000917,0.109152,0.061013,0.005982,-0.016993,-0.003471,-0.031852,0.017344,0.091841,1.000000,0.000030,-0.000085,-0.000017,-0.229370,0.139787,-0.130645,-0.954348,11.302757,19.071237,154.876170
60237,-3.186716,1.799353,9.219746,-0.033460,0.063033,0.106559,0.009026,-0.009917,-0.005347,-0.031871,0.017990,0.092197,1.000000,0.000045,-0.000050,-0.000027,-0.229349,0.139716,-0.130645,-0.954364,11.304810,19.062907,154.878401
60238,-3.217675,1.811704,9.212519,-0.009931,0.037505,0.112266,0.012232,-0.008556,-0.008645,-0.032180,0.018113,0.092125,1.000000,0.000061,-0.000043,-0.000043,-0.229355,0.139648,-0.130659,-0.954371,11.307921,19.055642,154.877789
60239,-3.293511,1.804040,9.203394,0.061548,0.010786,0.127148,0.008557,-0.002303,-0.005938,-0.032936,0.018037,0.092034,1.000000,0.000043,-0.000012,-0.000030,-0.229332,0.139614,-0.130665,-0.954380,11.309885,19.051656,154.880574
60240,-3.216893,1.813065,9.212524,-0.009119,0.036430,0.112271,0.011652,-0.010266,-0.012285,-0.032173,0.018127,0.092125,1.000000,0.000058,-0.000051,-0.000061,-0.229345,0.139541,-0.130669,-0.954387,11.311671,19.043710,154.878726
60241,-3.197555,1.770338,9.225487,-0.007051,0.084680,0.110056,0.005994,-0.004703,-0.011658,-0.031977,0.017702,0.092255,1.000000,0.000030,-0.000024,-0.000058,-0.229349,0.139502,-0.130656,-0.954394,11.310964,19.039018,154.877825
60242,-3.136669,1.816650,9.198160,-0.074857,0.060317,0.073455,0.009200,-0.003342,-0.014956,-0.031367,0.018165,0.091982,1.000000,0.000046,-0.000017,-0.000075,-0.229369,0.139468,-0.130654,-0.954394,11.311114,19.035360,154.875221
60243,-3.206857,1.733729,9.207452,0.023082,0.106145,0.089592,0.006782,-0.001927,-0.017243,-0.032068,0.017337,0.092075,1.000000,0.000034,-0.000010,-0.000086,-0.229399,0.139445,-0.130644,-0.954392,11.309883,19.032855,154.871331
60244,-3.210665,1.798359,9.242311,-0.011253,0.059939,0.135130,0.013386,0.003132,-0.014788,-0.032104,0.017980,0.092425,1.000000,0.000067,0.000016,-0.000074,-0.229422,0.139437,-0.130672,-0.954383,11.312855,19.032888,154.869014
60245,-3.248996,1.767845,9.193140,0.046192,0.055765,0.096391,0.009565,0.005567,-0.015514,-0.032486,0.017677,0.091933,1.000000,0.000048,0.000028,-0.000078,-0.229440,0.139446,-0.130685,-0.954376,11.313845,19.034400,154.867042
