PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
64725,-9.687293,-2.147738,1.246587,0.339592,0.324394,0.176781,0.497202,0.088995,-0.734401,-0.096945,-0.021152,0.012456,0.999990,0.002486,0.000445,-0.003672,0.734588,-0.195327,0.648673,0.038102,-70.924433,75.443152,-51.767313
64726,-9.949559,-2.382706,0.981696,0.098785,0.133084,0.463833,0.624564,0.145645,-0.736870,-0.099575,-0.023491,0.009816,0.999988,0.003123,0.000728,-0.003684,0.734875,-0.195419,0.648586,0.033271,-71.365940,75.074707,-52.593388
64727,-10.159051,-2.536177,0.914428,0.023637,0.077920,0.697669,0.770020,0.163015,-0.771828,-0.101680,-0.025005,0.009130,0.999985,0.003850,0.000815,-0.003859,0.735238,-0.195085,0.648532,0.027824,-71.749448,74.688814,-53.447313
64728,-10.065345,-2.578713,0.815064,-0.071999,0.057695,0.609222,0.877634,0.173710,-0.855316,-0.100756,-0.025392,0.008126,0.999981,0.004388,0.000869,-0.004277,0.735654,-0.194623,0.648432,0.021709,-72.116130,74.257981,-54.349288
64729,-9.776841,-2.486654,0.926478,0.023041,0.189187,0.316061,0.988421,0.223920,-0.902802,-0.097869,-0.024471,0.009253,0.999977,0.004942,0.001120,-0.004514,0.735993,-0.193903,0.648453,0.015011,-72.506616,73.808312,-55.344161
64730,-9.799892,-2.463062,0.939196,-0.000406,0.296491,0.331187,1.060397,0.285785,-0.905549,-0.098096,-0.024236,0.009403,0.999975,0.005302,0.001429,-0.004528,0.736163,-0.192924,0.648676,0.008007,-72.936181,73.365781,-56.424856
64731,-10.054062,-2.565734,0.812462,-0.154723,0.303343,0.589751,1.077897,0.340983,-0.888688,-0.100640,-0.025254,0.008159,0.999974,0.005389,0.001705,-0.004443,0.736136,-0.191817,0.649083,0.000957,-73.404534,72.939244,-57.559188
64732,-10.431242,-2.984699,0.872718,-0.068755,0.104986,1.071456,1.128976,0.385434,-0.840728,-0.104420,-0.029458,0.008761,0.999973,0.005645,0.001927,-0.004204,0.735972,-0.190358,0.649670,-0.006127,-73.860916,72.543636,-58.713946
64733,-10.453914,-3.476469,0.313241,-0.511001,-0.419550,1.188702,1.205721,0.400680,-0.782449,-0.104668,-0.034374,0.003134,0.999972,0.006029,0.002003,-0.003912,0.735797,-0.188415,0.650328,-0.013258,-74.234537,72.180078,-59.830613
64734,-9.945851,-3.642497,-0.310720,-1.018328,-0.797003,0.704519,1.310145,0.442441,-0.653753,-0.099584,-0.036079,-0.003124,0.999971,0.006551,0.002212,-0.003269,0.735549,-0.185657,0.651220,-0.020295,-74.533009,71.891986,-60.933015
