PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
64725,-2.262878,2.784473,10.186907,0.237710,0.380758,0.978300,0.013632,0.202548,-0.385854,-0.022472,0.027881,0.101894,0.999998,0.000068,0.001013,-0.001929,0.833028,0.044553,0.178531,0.521734,15.612521,14.533916,66.121694
64726,-2.292977,2.554394,9.810720,0.298501,0.238798,0.574165,0.007761,0.183811,-0.444446,-0.022783,0.025591,0.098129,0.999997,0.000039,0.000919,-0.002222,0.833994,0.043700,0.179380,0.519969,15.558035,14.699954,65.903584
64727,-2.492981,2.273143,9.738797,0.438145,-0.042566,0.484517,0.016601,0.196170,-0.522341,-0.024775,0.022788,0.097414,0.999996,0.000083,0.000981,-0.002612,0.835142,0.042779,0.180313,0.517876,15.496322,14.884154,65.642971
64728,-2.880097,2.361391,9.958972,0.287345,-0.282138,0.812281,0.016871,0.192106,-0.631205,-0.028631,0.023696,0.099619,0.999995,0.000084,0.000961,-0.003156,0.836569,0.041774,0.181258,0.515318,15.418247,15.082820,65.318656
64729,-2.987553,2.339543,10.257884,0.363170,-0.310908,1.114087,-0.022306,0.168446,-0.794166,-0.029696,0.023525,0.102601,0.999992,-0.000112,0.000842,-0.003971,0.838434,0.040514,0.182028,0.512107,15.290289,15.292175,64.897014
64730,-2.974525,2.197016,10.622982,0.601926,-0.277298,1.415980,-0.094624,0.108877,-1.030155,-0.029574,0.022173,0.106235,0.999986,-0.000473,0.000544,-0.005151,0.840955,0.038892,0.182413,0.507944,15.081447,15.503212,64.329319
64731,-2.400616,2.355035,10.896215,0.782833,0.375087,1.557579,-0.057428,-0.018655,-1.273149,-0.023866,0.023734,0.108953,0.999980,-0.000287,-0.000093,-0.006366,0.844173,0.037523,0.182392,0.502689,14.848154,15.677089,63.601408
64732,-1.978595,3.153042,10.981028,0.318954,1.171742,1.718347,0.220579,-0.229298,-1.418387,-0.019688,0.031549,0.109822,0.999974,0.001103,-0.001146,-0.007092,0.847859,0.037728,0.182205,0.496500,14.741801,15.753853,62.756535
64733,-0.717642,5.076526,10.239147,-0.949751,3.150635,1.155335,0.408156,-0.395461,-1.484844,-0.007003,0.050609,0.102481,0.999968,0.002041,-0.001977,-0.007424,0.851776,0.039073,0.181775,0.489804,14.724395,15.746850,61.848414
64734,-0.676934,4.866694,9.547278,-0.953608,3.015796,0.448349,0.414355,-0.375244,-1.496840,-0.006585,0.048519,0.095561,0.999968,0.002072,-0.001876,-0.007484,0.855651,0.040385,0.181444,0.483020,14.710259,15.753052,60.936047
64735,-1.605323,4.816710,9.608769,-1.280755,2.232311,0.745838,0.513668,-0.354102,-1.458287,-0.015873,0.048036,0.096183,0.999969,0.002568,-0.001770,-0.007291,0.859339,0.042103,0.181417,0.476289,14.759234,15.764929,60.049394
64736,-1.812796,5.794962,9.492690,-2.162753,2.599327,0.936487,0.496698,-0.391918,-1.357958,-0.017921,0.057836,0.095035,0.999972,0.002483,-0.001960,-0.006790,0.862777,0.043928,0.181162,0.469964,14.813233,15.742642,59.214427
64737,-1.155256,6.232395,9.196904,-2.250562,3.378186,0.593229,0.351494,-0.413239,-1.148231,-0.011385,0.062228,0.092055,0.999980,0.001757,-0.002066,-0.005741,0.865732,0.045365,0.180413,0.464652,14.816198,15.677427,58.497346
64738,-0.757325,6.420539,8.680793,-2.347022,3.770421,0.057892,0.382410,-0.468582,-0.773129,-0.007529,0.064068,0.086913,0.999988,0.001912,-0.002343,-0.003866,0.867831,0.047400,0.179412,0.460905,14.894296,15.527742,57.987552
64739,0.868406,7.469604,7.897289,-2.585914,5.610687,-0.826627,0.420929,-0.526349,-0.269290,0.008576,0.074518,0.079153,0.999993,0.002105,-0.002632,-0.001346,0.868796,0.050191,0.178120,0.459291,15.070733,15.271615,57.758477
64740,1.858068,6.591078,7.270081,-1.597124,5.820387,-1.855259,0.447282,-0.475417,0.291146,0.018312,0.065775,0.072892,0.999994,0.002236,-0.002377,0.001456,0.868411,0.053474,0.176973,0.460091,15.348906,14.961214,57.857371
64741,1.403805,5.995905,7.410886,-1.312964,5.048580,-1.711456,0.631759,-0.388399,0.857246,0.013637,0.059784,0.074325,0.999984,0.003159,-0.001942,0.004286,0.866577,0.057866,0.176466,0.463201,15.818070,14.609869,58.291076
64742,0.060894,5.462031,7.971485,-1.372710,3.578949,-0.942084,0.732019,-0.337043,1.353312,0.000106,0.054330,0.079915,0.999969,0.003660,-0.001685,0.006766,0.863479,0.063000,0.176269,0.468363,16.412718,14.205236,59.010934
64743,-0.937126,4.309881,7.917317,-0.967585,1.990394,-1.024177,0.794806,-0.268568,1.750978,-0.009853,0.042699,0.079330,0.999953,0.003974,-0.001343,0.008755,0.859302,0.068602,0.176368,0.475172,17.094539,13.763293,59.961242
64744,-1.987007,1.431572,7.876507,0.839847,-0.553418,-1.625862,0.953758,-0.088833,2.041238,-0.020047,0.013736,0.078823,0.999936,0.004769,-0.000444,0.010206,0.854126,0.074696,0.177505,0.483095,17.903896,13.359046,61.098875
64745,-4.168977,0.992761,9.106085,0.745024,-2.694053,-0.144688,1.244656,0.025459,2.193350,-0.041780,0.008903,0.091124,0.999920,0.006223,0.000127,0.010966,0.848250,0.081892,0.179742,0.491385,18.895134,12.970584,62.334090
64746,-5.638691,2.074731,9.688065,-0.403952,-3.532147,1.018489,1.038752,-0.046119,2.140510,-0.056623,0.019639,0.096972,0.999929,0.005194,-0.000231,0.010702,0.842524,0.088319,0.181172,0.499530,19.747688,12.535650,63.517560
64747,-5.444584,0.916399,9.175250,0.558665,-4.068418,0.076806,0.611161,-0.104351,1.957908,-0.054578,0.008350,0.091750,0.999947,0.003056,-0.000522,0.009789,0.837390,0.092924,0.181340,0.507207,20.321205,12.089567,64.581042
64748,-5.679823,0.768693,8.973740,0.609885,-4.448170,-0.157668,0.397690,-0.181840,1.842115,-0.056946,0.006984,0.089700,0.999955,0.001988,-0.000909,0.009210,0.832637,0.096708,0.180685,0.514505,20.746139,11.617459,65.559341
64749,-4.621935,1.291478,7.955735,0.280065,-3.379450,-1.162606,0.157211,-0.220621,1.771570,-0.046419,0.012442,0.079516,0.999960,0.000786,-0.001103,0.008858,0.828145,0.099524,0.179262,0.521666,21.015375,11.132170,66.486437
64750,-4.201808,0.961317,6.849695,0.329284,-3.234719,-2.401525,-0.005746,-0.068857,1.738196,-0.042123,0.009249,0.068482,0.999962,-0.000029,-0.000344,0.008691,0.823620,0.101226,0.178051,0.528867,21.185991,10.732441,67.423927
64751,-5.173387,1.747096,6.914085,-0.608138,-3.838818,-1.906121,-0.028724,0.119767,1.755240,-0.051843,0.017026,0.069169,0.999961,-0.000144,0.000599,0.008776,0.818830,0.102346,0.177529,0.536215,21.346413,10.426423,68.408324
