// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08483,-9.536338,-1.291656,-0.135932,0.483477,0.050683,-0.200597,0.076592,0.029335,-0.020158,-0.095365,-0.012906,-0.001350,1.000000,0.000383,0.000147,-0.000101,-0.523814,-0.367106,-0.614384,0.461935,-97.615118,79.359387,-169.752835
08484,-9.532143,-1.458236,-0.090318,0.342586,-0.044171,-0.175414,0.071859,0.029276,-0.028998,-0.095324,-0.014568,-0.000894,1.000000,0.000359,0.000146,-0.000145,-0.523571,-0.367288,-0.614314,0.462159,-97.636506,79.347123,-169.815953
08485,-9.510067,-1.445072,-0.124680,0.343227,-0.008718,-0.198777,0.063176,0.032294,-0.040565,-0.095104,-0.014431,-0.001236,1.000000,0.000316,0.000161,-0.000203,-0.523305,-0.367417,-0.614295,0.462384,-97.666713,79.327599,-169.883019
08486,-9.526449,-1.419555,-0.123291,0.374209,-0.002583,-0.187536,0.047771,0.036220,-0.047412,-0.095268,-0.014173,-0.001219,1.000000,0.000239,0.000181,-0.000237,-0.523042,-0.367495,-0.614333,0.462569,-97.714985,79.304354,-169.959459
08487,-9.533391,-1.398083,-0.210065,0.373903,0.085583,-0.182673,0.026298,0.040738,-0.054066,-0.095338,-0.013955,-0.002083,1.000000,0.000131,0.000204,-0.000270,-0.522786,-0.367505,-0.614446,0.462700,-97.785680,79.276492,-170.046237
08488,-9.540800,-1.486509,-0.225066,0.292836,0.071657,-0.158862,0.004218,0.042335,-0.050381,-0.095412,-0.014841,-0.002231,1.000000,0.000021,0.000212,-0.000252,-0.522577,-0.367475,-0.614605,0.462748,-97.875308,79.251076,-170.139384
08489,-9.589990,-1.694693,-0.274107,0.097128,0.055229,-0.070893,-0.022233,0.035525,-0.051482,-0.095905,-0.016923,-0.002722,1.000000,-0.000111,0.000178,-0.000257,-0.522433,-0.367353,-0.614812,0.462732,-97.958465,79.225044,-170.210557
08490,-9.592686,-1.942028,-0.275372,-0.129839,-0.019837,-0.022403,-0.041808,0.024665,-0.043255,-0.095931,-0.019400,-0.002738,1.000000,-0.000209,0.000123,-0.000216,-0.522380,-0.367184,-0.615019,0.462652,-98.024020,79.205042,-170.252366
08491,-9.565723,-2.193991,-0.258917,-0.361884,-0.113618,-0.002498,-0.027327,0.016878,-0.039920,-0.095662,-0.021921,-0.002578,1.000000,-0.000137,0.000084,-0.000200,-0.522329,-0.367042,-0.615167,0.462625,-98.058941,79.187035,-170.271473
08492,-9.495520,-2.307116,-0.344622,-0.503761,-0.068993,-0.048062,-0.007978,0.016460,-0.033736,-0.094959,-0.023055,-0.003437,1.000000,-0.000040,0.000082,-0.000169,-0.522260,-0.366971,-0.615257,0.462640,-98.084468,79.173060,-170.292270
08493,-9.415205,-2.212119,-0.280155,-0.408239,-0.104876,-0.146231,0.018953,0.024945,-0.021331,-0.094155,-0.022111,-0.002792,1.000000,0.000095,0.000125,-0.000107,-0.522143,-0.367025,-0.615285,0.462692,-98.124487,79.164943,-170.343566
08494,-9.423497,-2.096081,-0.301306,-0.303461,-0.050586,-0.159088,0.029584,0.030258,-0.013501,-0.094237,-0.020954,-0.003002,1.000000,0.000148,0.000151,-0.000068,-0.522009,-0.367146,-0.615287,0.462744,-98.177823,79.161280,-170.414592
08495,-9.487946,-2.041510,-0.244484,-0.222919,-0.087745,-0.107469,0.036488,0.029560,-0.001755,-0.094880,-0.020414,-0.002435,1.000000,0.000182,0.000148,-0.000009,-0.521891,-0.367317,-0.615251,0.462790,-98.229722,79.163870,-170.488214
08496,-9.445082,-2.118486,-0.238695,-0.301278,-0.119232,-0.135418,0.051110,0.029082,-0.004410,-0.094452,-0.021182,-0.002379,1.000000,0.000256,0.000145,-0.000022,-0.521742,-0.367520,-0.615183,0.462887,-98.271112,79.165412,-170.559634
08497,-9.542438,-2.090802,-0.272691,-0.267836,-0.076777,-0.044049,0.079238,0.036174,0.001554,-0.095425,-0.020908,-0.002718,1.000000,0.000396,0.000181,0.000008,-0.521532,-0.367828,-0.615059,0.463044,-98.319600,79.169309,-170.654720
