PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
50271,-5.221941,4.413998,6.862917,0.038697,0.030070,-0.125103,-0.006995,-0.024158,0.017597,-0.052232,0.044138,0.068621,1.000000,-0.000035,-0.000121,0.000088,-0.498844,-0.376090,0.050704,0.779192,32.537849,32.378250,-105.059052
50272,-5.201534,4.370030,6.890388,-0.014618,0.029788,-0.136456,-0.003137,-0.024763,0.017425,-0.052028,0.043697,0.068897,1.000000,-0.000016,-0.000124,0.000087,-0.498918,-0.375981,0.050777,0.779193,32.535824,32.361287,-105.057420
50273,-5.250898,4.350286,6.870341,-0.004272,0.088483,-0.133294,-0.007314,-0.029905,0.014069,-0.052522,0.043502,0.068694,1.000000,-0.000037,-0.000150,0.000070,-0.498984,-0.375843,0.050839,0.779213,32.529366,32.343153,-105.059589
50274,-5.239222,4.360323,6.813926,0.038186,0.093381,-0.175194,-0.004674,-0.031739,0.009809,-0.052405,0.043602,0.068130,1.000000,-0.000023,-0.000159,0.000049,-0.499028,-0.375705,0.050909,0.779246,32.522771,32.325166,-105.064851
50275,-5.173983,4.370143,6.765597,0.063367,0.051825,-0.240078,-0.002432,-0.025047,0.005288,-0.051749,0.043701,0.067649,1.000000,-0.000012,-0.000125,0.000026,-0.499052,-0.375601,0.050961,0.779278,32.517376,32.312089,-105.070264
50276,-5.192052,4.365830,6.681376,0.119063,0.095506,-0.292426,-0.003908,-0.023652,0.006068,-0.051930,0.043658,0.066807,1.000000,-0.000020,-0.000118,0.000030,-0.499083,-0.375497,0.051007,0.779305,32.511658,32.299161,-105.074712
50277,-5.161572,4.380065,6.709844,0.105894,0.056597,-0.281980,-0.003232,-0.014695,0.003944,-0.051622,0.043801,0.067094,1.000000,-0.000016,-0.000073,0.000020,-0.499106,-0.375432,0.051028,0.779321,32.507422,32.291505,-105.077113
50278,-5.160474,4.380340,6.710509,0.105976,0.056513,-0.281980,-0.001770,-0.006843,0.013186,-0.051610,0.043801,0.067103,1.000000,-0.000009,-0.000034,0.000066,-0.499165,-0.375397,0.051053,0.779298,32.508375,32.284507,-105.071367
50279,-5.199632,4.377071,6.755190,0.083902,0.077751,-0.230703,-0.005532,-0.000407,0.012569,-0.051999,0.043769,0.067551,1.000000,-0.000028,-0.000002,0.000063,-0.499229,-0.375379,0.051045,0.779266,32.508243,32.281103,-105.063628
50280,-5.252184,4.335333,6.811582,0.028674,0.125192,-0.181399,-0.002570,0.003507,0.011839,-0.052523,0.043351,0.068116,1.000000,-0.000013,0.000018,0.000059,-0.499287,-0.375383,0.051040,0.779228,32.510338,32.279520,-105.054884
50281,-5.241937,4.303374,6.817775,-0.001457,0.131165,-0.196982,0.001455,0.001151,0.008417,-0.052421,0.043031,0.068178,1.000000,0.000007,0.000006,0.000042,-0.499322,-0.375390,0.051047,0.779201,32.513248,32.278156,-105.048949
50282,-5.249847,4.316052,6.797833,0.021825,0.137390,-0.201217,0.005574,0.004621,0.004200,-0.052498,0.043158,0.067981,1.000000,0.000028,0.000023,0.000021,-0.499335,-0.375420,0.051056,0.779178,32.517895,32.279463,-105.044164
50283,-5.235970,4.312560,6.850138,-0.017511,0.112209,-0.172923,0.005013,-0.001053,-0.003665,-0.052359,0.043125,0.068502,1.000000,0.000025,-0.000005,-0.000018,-0.499316,-0.375431,0.051061,0.779184,32.518724,32.280764,-105.045938
50284,-5.248223,4.365670,6.856757,0.019768,0.093596,-0.137519,0.007315,0.007307,-0.000618,-0.052480,0.043654,0.068571,1.000000,0.000037,0.000037,-0.000003,-0.499308,-0.375477,0.051060,0.779167,32.523421,32.284852,-105.042928
50285,-5.230828,4.321408,6.882090,-0.033563,0.093250,-0.148865,-0.000566,0.010273,0.002982,-0.052305,0.043213,0.068823,1.000000,-0.000003,0.000051,0.000015,-0.499328,-0.375516,0.051027,0.779138,32.525285,32.289584,-105.036778
50286,-5.187491,4.353608,6.883641,-0.020540,0.040646,-0.156269,-0.003263,0.010439,-0.000327,-0.051871,0.043537,0.068838,1.000000,-0.000016,0.000052,-0.000002,-0.499341,-0.375548,0.050979,0.779117,32.524621,32.295096,-105.032460
