PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
53073,-9.059224,3.355575,-1.263463,0.094367,0.048026,-0.070278,-0.045330,0.010398,0.029724,-0.090598,0.033539,-0.012638,1.000000,-0.000227,0.000052,0.000149,-0.114642,0.643721,-0.385255,-0.651199,109.525914,67.928074,-112.691686
53074,-9.049897,3.341009,-1.291694,0.125692,0.038172,-0.080566,-0.030178,0.008936,0.022855,-0.090503,0.033398,-0.012918,1.000000,-0.000151,0.000045,0.000114,-0.114476,0.643720,-0.385241,-0.651236,109.511298,67.915395,-112.691374
53075,-9.057241,3.376913,-1.293591,0.106573,0.016937,-0.060821,-0.013986,0.006397,0.024552,-0.090577,0.033757,-0.012935,1.000000,-0.000070,0.000032,0.000123,-0.114361,0.643699,-0.385285,-0.651252,109.501847,67.902221,-112.695498
53076,-9.094502,3.406168,-1.279778,0.083895,0.020825,-0.017673,-0.000210,0.005255,0.021906,-0.090949,0.034052,-0.012795,1.000000,-0.000001,0.000026,0.000110,-0.114301,0.643671,-0.385364,-0.651243,109.499964,67.890759,-112.699976
53077,-9.069745,3.468982,-1.247919,0.016565,-0.008221,-0.022331,0.018698,-0.004344,0.016170,-0.090700,0.034684,-0.012478,1.000000,0.000093,-0.000022,0.000081,-0.114340,0.643613,-0.385481,-0.651225,109.498920,67.884169,-112.715239
53078,-9.058609,3.457892,-1.196367,-0.016438,0.029984,-0.043064,0.025192,0.000654,0.013299,-0.090588,0.034574,-0.011959,1.000000,0.000126,0.000003,0.000066,-0.114399,0.643572,-0.385612,-0.651177,109.509529,67.878235,-112.721944
53079,-9.047252,3.494696,-1.236708,-0.011753,-0.024019,-0.035448,0.019803,-0.000955,0.010924,-0.090474,0.034943,-0.012364,1.000000,0.000099,-0.000005,0.000055,-0.114451,0.643534,-0.385717,-0.651143,109.516093,67.873831,-112.729680
53080,-9.082400,3.575931,-1.233878,-0.061078,-0.064285,0.025598,0.010898,-0.004552,0.009448,-0.090825,0.035756,-0.012339,1.000000,0.000054,-0.000023,0.000047,-0.114487,0.643492,-0.385787,-0.651137,109.513410,67.870974,-112.741893
53081,-9.017462,3.632079,-1.165556,-0.157676,-0.080057,-0.023210,-0.001777,-0.000019,0.006853,-0.090176,0.036318,-0.011656,1.000000,-0.000009,-0.000000,0.000034,-0.114481,0.643477,-0.385810,-0.651140,109.510770,67.868588,-112.746217
53082,-9.033051,3.538386,-1.195356,-0.071762,-0.030305,-0.038283,-0.029862,0.003300,0.011068,-0.090333,0.035377,-0.011957,1.000000,-0.000149,0.000016,0.000055,-0.114365,0.643480,-0.385756,-0.651188,109.494403,67.863353,-112.747992
53083,-9.043284,3.536171,-1.215862,-0.051692,-0.038116,-0.027000,-0.058469,0.007646,0.014198,-0.090436,0.035352,-0.012166,1.000000,-0.000292,0.000038,0.000071,-0.114139,0.643509,-0.385622,-0.651279,109.466006,67.855531,-112.745055
53084,-9.018004,3.469658,-1.269532,0.030080,-0.036600,-0.067309,-0.069767,0.005459,0.008359,-0.090182,0.034688,-0.012705,1.000000,-0.000349,0.000027,0.000042,-0.113899,0.643547,-0.385431,-0.651396,109.430924,67.851348,-112.742350
53085,-9.068803,3.457702,-1.294976,0.066851,-0.026937,-0.021331,-0.066271,0.009389,0.020253,-0.090692,0.034564,-0.012957,1.000000,-0.000331,0.000047,0.000101,-0.113624,0.643574,-0.385292,-0.651500,109.397558,67.839922,-112.739950
53086,-9.106209,3.487056,-1.279552,0.044164,-0.023047,0.021812,-0.053421,0.007948,0.012768,-0.091065,0.034861,-0.012801,1.000000,-0.000267,0.000040,0.000064,-0.113418,0.643603,-0.385170,-0.651580,109.373096,67.832884,-112.735892
53087,-9.045854,3.501666,-1.310562,0.051079,-0.073474,-0.025006,-0.035760,0.003693,0.013980,-0.090461,0.035008,-0.013110,1.000000,-0.000179,0.000018,0.000070,-0.113272,0.643605,-0.385107,-0.651640,109.352607,67.825932,-112.738464
53088,-9.037061,3.454127,-1.277762,0.057299,-0.021848,-0.054185,0.002479,0.000112,0.027267,-0.090375,0.034529,-0.012777,1.000000,0.000012,0.000001,0.000136,-0.113214,0.643549,-0.385209,-0.651645,109.343041,67.812544,-112.752907
53089,-9.033314,3.510201,-1.288770,0.030456,-0.066167,-0.036293,0.021596,-0.004882,0.034395,-0.090339,0.035088,-0.012886,1.000000,0.000108,-0.000024,0.000172,-0.113203,0.643452,-0.385394,-0.651634,109.334574,67.796182,-112.777990
53090,-8.988757,3.560803,-1.264236,-0.025640,-0.097221,-0.062546,0.036017,-0.001066,0.041968,-0.089895,0.035591,-0.012636,1.000000,0.000180,-0.000005,0.000210,-0.113207,0.643344,-0.385652,-0.651586,109.335863,67.775068,-112.801466
53091,-8.987451,3.693966,-1.178241,-0.174953,-0.127893,-0.026935,0.045595,0.007498,0.053647,-0.089885,0.036918,-0.011771,1.000000,0.000228,0.000037,0.000268,-0.113187,0.643237,-0.385983,-0.651500,109.348630,67.745947,-112.818471
53092,-8.990750,3.769472,-1.162463,-0.233311,-0.162519,0.001230,0.010019,0.014325,0.057546,-0.089919,0.037669,-0.011616,1.000000,0.000050,0.000072,0.000288,-0.113027,0.643164,-0.386215,-0.651462,109.348169,67.713492,-112.827752
53093,-8.991145,3.705674,-1.122601,-0.219373,-0.087775,-0.026109,-0.013164,0.021290,0.069413,-0.089925,0.037025,-0.011219,1.000000,-0.000066,0.000106,0.000347,-0.112739,0.643104,-0.386414,-0.651453,109.338193,67.673225,-112.832957
53094,-9.066437,3.616332,-1.233532,-0.063694,-0.066661,0.025566,-0.051676,0.031545,0.074273,-0.090680,0.036126,-0.012330,1.000000,-0.000258,0.000158,0.000371,-0.112293,0.643090,-0.386509,-0.651488,109.317374,67.628460,-112.826034
53095,-9.039131,3.539119,-1.258973,0.005548,-0.034408,-0.024172,-0.066469,0.027413,0.069296,-0.090405,0.035356,-0.012589,1.000000,-0.000332,0.000137,0.000346,-0.111823,0.643080,-0.386537,-0.651562,109.285030,67.587092,-112.822400
53096,-9.072097,3.433244,-1.221678,0.055168,0.078834,-0.036525,-0.063729,0.028706,0.073642,-0.090735,0.034295,-0.012215,1.000000,-0.000319,0.000144,0.000368,-0.111345,0.643064,-0.386588,-0.651630,109.253960,67.543207,-112.819092
53097,-9.122507,3.454005,-1.391029,0.181290,-0.021151,0.038806,-0.068258,0.027828,0.065951,-0.091238,0.034505,-0.013909,1.000000,-0.000341,0.000139,0.000330,-0.110879,0.643062,-0.386600,-0.651704,109.222757,67.503573,-112.813112
53098,-9.016669,3.504421,-1.367770,0.119740,-0.071689,-0.043727,-0.032127,0.027280,0.068553,-0.090181,0.035011,-0.013671,1.000000,-0.000161,0.000136,0.000343,-0.110522,0.643033,-0.386737,-0.651711,109.210332,67.462711,-112.809220
53099,-8.984388,3.484839,-1.324939,0.098031,-0.035474,-0.086027,0.013430,0.029247,0.073745,-0.089859,0.034816,-0.013234,1.000000,0.000067,0.000146,0.000369,-0.110291,0.642976,-0.387040,-0.651627,109.224267,67.418594,-112.805042
53100,-8.922010,3.471605,-1.298680,0.079868,-0.024395,-0.151740,0.020412,0.021352,0.080292,-0.089235,0.034682,-0.012974,1.000000,0.000102,0.000107,0.000401,-0.110076,0.642876,-0.387383,-0.651558,109.228890,67.372501,-112.815288
53101,-8.905025,3.535498,-1.291055,0.032755,-0.061034,-0.145152,0.052254,0.023538,0.081689,-0.089066,0.035322,-0.012891,1.000000,0.000261,0.000118,0.000408,-0.109955,0.642763,-0.387835,-0.651421,109.254018,67.325164,-112.823083
53102,-8.881044,3.517247,-1.191057,-0.032975,0.015640,-0.186616,0.057458,0.028848,0.083003,-0.088827,0.035139,-0.011888,1.000000,0.000287,0.000144,0.000415,-0.109836,0.642662,-0.388311,-0.651257,109.288293,67.276190,-112.824203
53103,-8.989375,3.497964,-1.190811,-0.003292,0.075521,-0.093792,0.046168,0.026728,0.077135,-0.089909,0.034948,-0.011888,1.000000,0.000231,0.000134,0.000386,-0.109703,0.642571,-0.388731,-0.651119,109.316020,67.230715,-112.825404
53104,-8.985387,3.552251,-1.286136,0.034101,-0.016928,-0.065464,0.033383,0.025339,0.065391,-0.089867,0.035495,-0.012844,1.000000,0.000167,0.000127,0.000327,-0.109571,0.642506,-0.389069,-0.651004,109.339823,67.191928,-112.822920
53105,-8.940089,3.572150,-1.202904,-0.047054,0.013592,-0.110624,0.021407,0.025612,0.054775,-0.089412,0.035698,-0.012014,1.000000,0.000107,0.000128,0.000274,-0.109434,0.642468,-0.389336,-0.650905,109.361930,67.158754,-112.814828
53106,-8.978215,3.583129,-1.241686,-0.018015,0.000113,-0.066477,-0.005956,0.024771,0.050900,-0.089793,0.035808,-0.012407,1.000000,-0.000030,0.000124,0.000255,-0.109224,0.642450,-0.389499,-0.650860,109.368928,67.127908,-112.806120
53107,-8.968100,3.569883,-1.271925,0.013298,-0.009757,-0.076754,-0.026583,0.024197,0.038845,-0.089689,0.035680,-0.012713,1.000000,-0.000133,0.000121,0.000194,-0.108987,0.642465,-0.389557,-0.650850,109.368849,67.103612,-112.792261
53108,-8.958883,3.539551,-1.271221,0.032090,0.011118,-0.096471,-0.018257,0.020403,0.027504,-0.089595,0.035382,-0.012706,1.000000,-0.000091,0.000102,0.000138,-0.108822,0.642485,-0.389604,-0.650830,109.373708,67.086242,-112.778221
53109,-8.998017,3.548605,-1.308274,0.061126,-0.002357,-0.052321,-0.028008,0.015205,0.024887,-0.089986,0.035473,-0.013081,1.000000,-0.000140,0.000076,0.000124,-0.108643,0.642499,-0.389607,-0.650844,109.367568,67.071200,-112.770052
53110,-9.006408,3.535525,-1.219131,0.004406,0.068703,-0.060926,-0.011598,0.012304,0.007569,-0.090066,0.035351,-0.012188,1.000000,-0.000058,0.000062,0.000038,-0.108580,0.642528,-0.389607,-0.650826,109.374833,67.066144,-112.757538
53111,-9.001696,3.449448,-1.206860,0.049913,0.133724,-0.098503,-0.014888,0.006625,0.009475,-0.090019,0.034489,-0.012068,1.000000,-0.000074,0.000033,0.000047,-0.108511,0.642537,-0.389599,-0.650834,109.372167,67.061065,-112.753759
53112,-9.055760,3.399864,-1.253595,0.125895,0.156686,-0.060920,-0.025875,-0.000578,0.008368,-0.090559,0.033993,-0.012541,1.000000,-0.000129,-0.000003,0.000042,-0.108424,0.642530,-0.389547,-0.650886,109.354438,67.058025,-112.759504
53113,-9.055630,3.400486,-1.252848,0.125714,0.156518,-0.060915,-0.013621,-0.001094,-0.000095,-0.090556,0.034004,-0.012531,1.000000,-0.000068,-0.000005,-0.000000,-0.108405,0.642531,-0.389509,-0.650911,109.346936,67.059590,-112.761764
53114,-9.062966,3.450028,-1.285161,0.119057,0.104527,-0.031758,0.000580,0.004407,-0.006279,-0.090629,0.034503,-0.012850,1.000000,0.000003,0.000022,-0.000031,-0.108442,0.642555,-0.389499,-0.650887,109.357304,67.063521,-112.753458
53115,-9.112579,3.441009,-1.232214,0.091569,0.162284,0.003792,-0.005994,0.007237,-0.008132,-0.091125,0.034413,-0.012320,1.000000,-0.000030,0.000036,-0.000041,-0.108457,0.642595,-0.389464,-0.650866,109.368427,67.067852,-112.740241
53116,-9.123161,3.452296,-1.284950,0.124131,0.123656,0.024529,-0.004896,0.009644,-0.019710,-0.091229,0.034532,-0.012846,1.000000,-0.000024,0.000048,-0.000099,-0.108510,0.642665,-0.389396,-0.650829,109.388395,67.078046,-112.718106
53117,-9.098969,3.511150,-1.253255,0.056754,0.094722,0.019803,0.009365,0.007368,-0.021215,-0.090986,0.035122,-0.012528,1.000000,0.000047,0.000037,-0.000106,-0.108617,0.642723,-0.389369,-0.650770,109.414397,67.089424,-112.698291
53118,-9.097611,3.514085,-1.173649,-0.007668,0.142716,0.009346,0.018001,0.008213,-0.019759,-0.090973,0.035151,-0.011730,1.000000,0.000090,0.000041,-0.000099,-0.108746,0.642775,-0.389374,-0.650693,109.445719,67.099909,-112.678075
53119,-9.087131,3.531774,-1.183669,-0.015583,0.119468,0.007493,0.017819,0.003178,-0.022477,-0.090868,0.035329,-0.011832,1.000000,0.000089,0.000016,-0.000112,-0.108892,0.642817,-0.389368,-0.650631,109.471820,67.112765,-112.663415
53120,-9.054368,3.589276,-1.210850,-0.038963,0.050044,0.001925,0.010896,-0.002120,-0.017022,-0.090540,0.035901,-0.012108,1.000000,0.000054,-0.000011,-0.000085,-0.109009,0.642835,-0.389354,-0.650603,109.484650,67.123739,-112.658857
53121,-9.043888,3.607413,-1.219733,-0.046883,0.026796,0.000068,0.002265,-0.002967,-0.018481,-0.090435,0.036083,-0.012198,1.000000,0.000011,-0.000015,-0.000092,-0.109105,0.642857,-0.389307,-0.650592,109.492186,67.135611,-112.654676
53122,-9.060523,3.657011,-1.192615,-0.097564,0.015305,0.030045,-0.008650,-0.002796,-0.014201,-0.090602,0.036576,-0.011929,1.000000,-0.000043,-0.000014,-0.000071,-0.109152,0.642878,-0.389238,-0.650606,109.491682,67.145190,-112.652434
53123,-9.030981,3.662066,-1.207665,-0.094224,-0.009979,0.006621,-0.020917,-0.003263,-0.012109,-0.090307,0.036625,-0.012082,1.000000,-0.000105,-0.000016,-0.000061,-0.109152,0.642900,-0.389135,-0.650645,109.482665,67.153676,-112.651804
53124,-9.023251,3.643836,-1.234894,-0.062917,-0.019880,-0.003650,-0.033067,-0.006075,-0.012692,-0.090230,0.036442,-0.012358,1.000000,-0.000165,-0.000030,-0.000063,-0.109122,0.642920,-0.388990,-0.650717,109.463275,67.163066,-112.654874
53125,-9.023701,3.643279,-1.233248,-0.063106,-0.020044,-0.003652,-0.030356,-0.004801,-0.008319,-0.090235,0.036435,-0.012340,1.000000,-0.000152,-0.000024,-0.000042,-0.109083,0.642935,-0.388868,-0.650782,109.445143,67.169798,-112.658265
53126,-9.004676,3.645371,-1.269181,-0.039537,-0.053029,-0.015781,-0.029823,-0.005827,-0.007251,-0.090045,0.036455,-0.012700,1.000000,-0.000149,-0.000029,-0.000036,-0.109045,0.642944,-0.388751,-0.650850,109.425450,67.176200,-112.663680
53127,-8.994345,3.648618,-1.246249,-0.059957,-0.045501,-0.027079,-0.012979,-0.005446,-0.008076,-0.089942,0.036489,-0.012467,1.000000,-0.000065,-0.000027,-0.000040,-0.109062,0.642946,-0.388686,-0.650883,109.416321,67.182921,-112.668104
53128,-8.975349,3.650379,-1.283044,-0.036391,-0.078487,-0.039209,0.002102,-0.006048,-0.008460,-0.089752,0.036508,-0.012833,1.000000,0.000011,-0.000030,-0.000042,-0.109131,0.642939,-0.388669,-0.650889,109.415175,67.190018,-112.673243
53129,-8.946015,3.639788,-1.267980,-0.045544,-0.072995,-0.072071,0.005865,-0.006831,-0.001938,-0.089459,0.036399,-0.012682,1.000000,0.000029,-0.000034,-0.000010,-0.109192,0.642915,-0.388684,-0.650893,109.412276,67.193684,-112.682620
53130,-8.924333,3.663037,-1.255039,-0.073704,-0.088552,-0.085231,0.010208,-0.003203,-0.001698,-0.089243,0.036632,-0.012550,1.000000,0.000051,-0.000016,-0.000008,-0.109259,0.642899,-0.388716,-0.650878,109.416366,67.196585,-112.687117
53131,-8.905362,3.649419,-1.262033,-0.062627,-0.090752,-0.106797,0.009514,-0.005270,0.007258,-0.089055,0.036492,-0.012621,1.000000,0.000048,-0.000026,0.000036,-0.109299,0.642860,-0.388774,-0.650875,109.413396,67.194981,-112.698837
53132,-8.945822,3.640372,-1.267669,-0.046113,-0.073504,-0.072077,0.008170,-0.004936,0.011442,-0.089460,0.036399,-0.012677,1.000000,0.000041,-0.000025,0.000057,-0.109320,0.642815,-0.388841,-0.650877,109.408141,67.191112,-112.712205
53133,-8.915354,3.647569,-1.283321,-0.042778,-0.098784,-0.095505,-0.001508,-0.002759,0.014212,-0.089156,0.036469,-0.012835,1.000000,-0.000008,-0.000014,0.000071,-0.109297,0.642777,-0.388887,-0.650891,109.398938,67.185269,-112.723837
53134,-8.944364,3.659238,-1.297576,-0.034009,-0.104618,-0.062648,-0.005548,-0.002726,0.020390,-0.089447,0.036583,-0.012978,1.000000,-0.000028,-0.000014,0.000102,-0.109241,0.642728,-0.388939,-0.650917,109.384626,67.176141,-112.738505
53135,-8.995446,3.631764,-1.294032,-0.009749,-0.064287,-0.026061,-0.010645,-0.000637,0.024423,-0.089959,0.036306,-0.012943,1.000000,-0.000053,-0.000003,0.000122,-0.109150,0.642682,-0.388989,-0.650948,109.368317,67.164371,-112.752167
53136,-8.994039,3.650438,-1.324155,0.002540,-0.095242,-0.016630,-0.010224,0.000680,0.028165,-0.089946,0.036491,-0.013243,1.000000,-0.000051,0.000003,0.000141,-0.109047,0.642633,-0.389053,-0.650976,109.352219,67.150390,-112.765869
53137,-9.030837,3.680506,-1.309990,-0.020187,-0.091326,0.026493,-0.003474,0.001918,0.026362,-0.090313,0.036793,-0.013100,1.000000,-0.000017,0.000010,0.000132,-0.108969,0.642587,-0.389134,-0.650986,109.342455,67.137082,-112.776889
53138,-8.999720,3.689114,-1.326012,-0.016859,-0.116618,0.003063,-0.003582,0.004263,0.029032,-0.090003,0.036878,-0.013259,1.000000,-0.000018,0.000021,0.000145,-0.108877,0.642543,-0.389224,-0.650990,109.334394,67.121951,-112.786001
53139,-9.042746,3.628677,-1.321417,0.026420,-0.055258,0.019959,0.001002,0.004171,0.030293,-0.090433,0.036273,-0.013212,1.000000,0.000005,0.000021,0.000151,-0.108796,0.642495,-0.389333,-0.650986,109.328340,67.106086,-112.795781
53140,-9.020257,3.638586,-1.278481,-0.014218,-0.040023,-0.002639,0.003405,0.001781,0.028251,-0.090208,0.036373,-0.012783,1.000000,0.000017,0.000009,0.000141,-0.108734,0.642441,-0.389442,-0.650985,109.321478,67.091847,-112.807939
53141,-8.969752,3.649577,-1.332124,0.012853,-0.098124,-0.038199,0.000184,0.002511,0.029170,-0.089703,0.036483,-0.013320,1.000000,0.000001,0.000013,0.000146,-0.108657,0.642390,-0.389544,-0.650987,109.313360,67.076903,-112.819454
53142,-8.912920,3.578560,-1.292450,0.021529,-0.042852,-0.121745,0.001544,0.003147,0.031354,-0.089135,0.035772,-0.012923,1.000000,0.000008,0.000016,0.000157,-0.108577,0.642336,-0.389658,-0.650986,109.305812,67.060726,-112.831200
53143,-8.874498,3.537527,-1.276320,0.031413,-0.016310,-0.174298,-0.005024,0.005982,0.029498,-0.088751,0.035362,-0.012761,1.000000,-0.000025,0.000030,0.000147,-0.108475,0.642298,-0.389746,-0.650987,109.299024,67.044944,-112.838034
53144,-8.862160,3.560004,-1.285738,0.023473,-0.039558,-0.176167,-0.006714,0.011411,0.028953,-0.088627,0.035587,-0.012854,1.000000,-0.000034,0.000057,0.000145,-0.108360,0.642280,-0.389830,-0.650975,109.298389,67.028499,-112.837137
53145,-8.912885,3.533373,-1.283471,0.047745,0.000758,-0.139567,-0.008576,0.012778,0.032057,-0.089135,0.035319,-0.012831,1.000000,-0.000043,0.000064,0.000160,-0.108225,0.642261,-0.389918,-0.650962,109.297105,67.010046,-112.835782
53146,-8.919298,3.569835,-1.286168,0.028533,-0.020450,-0.119876,-0.008166,0.013125,0.029428,-0.089199,0.035685,-0.012857,1.000000,-0.000041,0.000066,0.000147,-0.108100,0.642248,-0.389999,-0.650947,109.297609,66.993020,-112.832745
53147,-8.999612,3.553410,-1.298579,0.061755,0.014189,-0.050412,-0.013673,0.013907,0.029711,-0.090002,0.035520,-0.012982,1.000000,-0.000068,0.000070,0.000149,-0.107955,0.642240,-0.390064,-0.650940,109.295889,66.975622,-112.828692
53148,-9.016777,3.586127,-1.322739,0.062757,-0.014735,-0.019421,-0.003773,0.007993,0.027971,-0.090173,0.035848,-0.013224,1.000000,-0.000019,0.000040,0.000140,-0.107859,0.642211,-0.390152,-0.650932,109.293028,66.960356,-112.832045
53149,-9.064645,3.596465,-1.300546,0.047782,0.012254,0.025572,-0.004826,0.010050,0.025828,-0.090652,0.035953,-0.013002,1.000000,-0.000024,0.000050,0.000129,-0.107762,0.642193,-0.390232,-0.650918,109.293204,66.945790,-112.831441
53150,-9.015296,3.574552,-1.293547,0.049919,0.015711,-0.028848,-0.000566,0.006289,0.020684,-0.090157,0.035736,-0.012933,1.000000,-0.000003,0.000031,0.000103,-0.107703,0.642171,-0.390306,-0.650905,109.293262,66.934786,-112.833619
53151,-9.025745,3.556526,-1.285318,0.057491,0.038619,-0.026973,0.002130,0.006584,0.018693,-0.090261,0.035557,-0.012850,1.000000,0.000011,0.000033,0.000093,-0.107659,0.642153,-0.390383,-0.650885,109.296194,66.924736,-112.834349
53152,-9.021906,3.595509,-1.266040,0.018052,0.025130,-0.018588,-0.008891,0.008154,0.019263,-0.090223,0.035946,-0.012658,1.000000,-0.000044,0.000041,0.000096,-0.107574,0.642144,-0.390426,-0.650881,109.294481,66.914148,-112.833267
53153,-9.031855,3.593504,-1.288400,0.038081,0.017247,-0.007285,-0.003728,0.012461,0.014259,-0.090322,0.035928,-0.012879,1.000000,-0.000019,0.000062,0.000071,-0.107514,0.642156,-0.390473,-0.650851,109.303481,66.905384,-112.823753
53154,-8.972159,3.574254,-1.260023,0.020007,0.028429,-0.073007,-0.005084,0.011829,0.012072,-0.089724,0.035737,-0.012596,1.000000,-0.000025,0.000059,0.000060,-0.107458,0.642171,-0.390508,-0.650825,109.311797,66.897988,-112.814140
53155,-8.941409,3.581494,-1.276758,0.023330,0.003155,-0.096440,-0.006945,0.013197,0.015174,-0.089418,0.035808,-0.012763,1.000000,-0.000035,0.000066,0.000076,-0.107383,0.642186,-0.390548,-0.650799,109.319468,66.888589,-112.804067
53156,-8.930048,3.586544,-1.255789,0.002927,0.010703,-0.107743,-0.011298,0.009582,0.014929,-0.089304,0.035858,-0.012556,1.000000,-0.000056,0.000048,0.000075,-0.107302,0.642191,-0.390570,-0.650793,109.320096,66.880074,-112.798940
53157,-8.980808,3.575005,-1.283797,0.039659,0.020206,-0.061701,-0.009938,0.010215,0.017113,-0.089812,0.035742,-0.012835,1.000000,-0.000050,0.000051,0.000086,-0.107216,0.642194,-0.390605,-0.650784,109.321406,66.870193,-112.793918
53158,-8.931155,3.568741,-1.306855,0.054255,-0.007122,-0.106693,-0.018869,0.006703,0.015598,-0.089315,0.035679,-0.013069,1.000000,-0.000094,0.000034,0.000078,-0.107115,0.642193,-0.390603,-0.650803,109.313754,66.861861,-112.793077
53159,-8.968842,3.581721,-1.262428,0.019069,0.027592,-0.073003,-0.010665,0.006209,0.013327,-0.089691,0.035811,-0.012623,1.000000,-0.000053,0.000031,0.000067,-0.107047,0.642190,-0.390621,-0.650806,109.311259,66.854788,-112.791739
53160,-8.949489,3.569016,-1.269774,0.030158,0.025376,-0.094560,-0.006736,0.008508,0.009834,-0.089497,0.035685,-0.012695,1.000000,-0.000034,0.000043,0.000049,-0.107000,0.642200,-0.390642,-0.650792,109.315397,66.849231,-112.785637
53161,-8.997420,3.594014,-1.278055,0.027630,0.021569,-0.040139,0.001993,0.006983,0.008636,-0.089976,0.035936,-0.012777,1.000000,0.000010,0.000035,0.000043,-0.106987,0.642202,-0.390686,-0.650765,109.323211,66.844548,-112.780976
53162,-8.985807,3.614391,-1.287565,0.019672,-0.001675,-0.042018,0.009889,0.003796,0.006322,-0.089859,0.036142,-0.012872,1.000000,0.000049,0.000019,0.000032,-0.107013,0.642194,-0.390747,-0.650732,109.332470,66.841783,-112.779664
53163,-8.995737,3.724189,-1.190535,-0.122012,-0.008889,-0.004768,-0.010672,-0.003515,0.005277,-0.089958,0.037239,-0.011909,1.000000,-0.000053,-0.000018,0.000026,-0.106991,0.642175,-0.390734,-0.650762,109.321245,66.840907,-112.787814
53164,-8.925401,3.583161,-1.145303,-0.075152,0.088464,-0.127644,-0.045514,-0.010449,-0.007008,-0.089252,0.035832,-0.011466,1.000000,-0.000228,-0.000052,-0.000035,-0.106911,0.642177,-0.390564,-0.650876,109.286655,66.848048,-112.799668
53165,-9.028286,3.669583,-1.078390,-0.163212,0.108289,-0.009609,-0.076482,-0.011763,-0.013777,-0.090280,0.036698,-0.010803,1.000000,-0.000382,-0.000059,-0.000069,-0.106755,0.642204,-0.390271,-0.651050,109.235703,66.859034,-112.810017
53166,-8.861951,3.635676,-1.065908,-0.171906,0.072932,-0.176630,-0.209480,-0.031944,-0.044186,-0.088610,0.036365,-0.010711,0.999999,-0.001047,-0.000160,-0.000221,-0.106311,0.642295,-0.389436,-0.651533,109.096247,66.890328,-112.833742
53167,-9.087162,2.943785,-0.725341,0.052239,0.831632,-0.269409,-0.156936,-0.034635,-0.052448,-0.090863,0.029456,-0.007292,1.000000,-0.000785,-0.000173,-0.000262,-0.106068,0.642365,-0.388744,-0.651916,108.986960,66.926518,-112.857388
53168,-9.381487,2.938561,-0.819797,0.174839,0.870450,0.012344,-0.058316,-0.092475,-0.073501,-0.093800,0.029418,-0.008250,1.000000,-0.000292,-0.000462,-0.000368,-0.106323,0.642235,-0.388275,-0.652283,108.869411,66.984912,-112.951414
