PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
61412,-4.191659,1.673686,8.164150,-0.038277,0.219249,-0.486647,0.037825,0.007531,0.077937,-0.041920,0.016705,0.081646,1.000000,0.000189,0.000038,0.000390,-0.420408,-0.246224,-0.005162,0.873272,12.699429,25.745895,-125.672552
61413,-4.260505,1.534185,7.970108,-0.026842,0.406950,-0.655072,0.056131,-0.013313,0.069221,-0.042616,0.015305,0.079703,1.000000,0.000281,-0.000067,0.000346,-0.420646,-0.246285,-0.004812,0.873142,12.748610,25.730137,-125.631053
61414,-4.313725,1.767888,8.149251,0.093283,0.263423,-0.428347,0.045499,-0.032993,0.084930,-0.043158,0.017642,0.081489,1.000000,0.000227,-0.000165,0.000425,-0.420965,-0.246238,-0.004442,0.873004,12.795349,25.700909,-125.582508
61415,-4.133065,1.728760,8.170499,-0.041315,0.160007,-0.496005,0.037141,-0.053674,0.085089,-0.041360,0.017255,0.081697,1.000000,0.000186,-0.000268,0.000425,-0.421296,-0.246084,-0.004071,0.872889,12.835388,25.660525,-125.536912
61416,-4.247942,1.936387,8.329301,0.103719,0.085247,-0.265236,0.033549,-0.060999,0.074608,-0.042512,0.019334,0.083283,1.000000,0.000168,-0.000305,0.000373,-0.421579,-0.245889,-0.003704,0.872809,12.870721,25.616861,-125.499745
61417,-4.449750,2.136169,8.350854,0.348095,0.109407,-0.119025,0.022377,-0.071502,0.085762,-0.044537,0.021333,0.083495,1.000000,0.000112,-0.000358,0.000429,-0.421931,-0.245625,-0.003359,0.872715,12.901288,25.566382,-125.456348
61418,-4.416367,1.985228,8.540391,0.139335,0.151814,0.002669,0.024232,-0.069726,0.094757,-0.044203,0.019821,0.085391,1.000000,0.000121,-0.000349,0.000474,-0.422319,-0.245373,-0.002993,0.872599,12.935972,25.515313,-125.407256
61419,-4.207655,1.728546,8.791951,-0.266053,0.120441,0.082025,0.038091,-0.073984,0.086004,-0.042116,0.017251,0.087907,1.000000,0.000190,-0.000370,0.000430,-0.422653,-0.245132,-0.002573,0.872507,12.975339,25.463370,-125.364168
61420,-4.051952,2.178569,8.881886,-0.055266,-0.291389,0.185532,0.084241,-0.053530,0.070861,-0.040551,0.021734,0.088817,1.000000,0.000421,-0.000268,0.000354,-0.422872,-0.245077,-0.002011,0.872417,13.038937,25.424447,-125.326353
61421,-3.898946,2.348362,8.856093,-0.002685,-0.498086,0.132104,0.070722,-0.036205,0.045526,-0.039011,0.023443,0.088562,1.000000,0.000354,-0.000181,0.000228,-0.422989,-0.245069,-0.001579,0.872364,13.088481,25.398758,-125.302995
