PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
31669,-5.563981,4.257424,7.528310,0.344571,-0.298824,0.461108,-0.192909,0.113733,-0.217244,-0.055551,0.042707,0.075274,0.999999,-0.000965,0.000569,-0.001086,-0.352398,-0.344510,0.074973,0.866895,26.388211,32.988317,-127.813893
31670,-5.935182,4.167460,7.615934,0.442090,-0.028562,0.694461,-0.308239,0.040287,-0.209799,-0.059293,0.041854,0.076107,0.999998,-0.001541,0.000201,-0.001049,-0.352040,-0.344223,0.073194,0.867307,26.147356,33.062894,-127.929651
31671,-6.134360,3.382548,7.505571,0.202594,0.666899,0.430342,-0.352761,-0.066721,-0.204096,-0.061334,0.034020,0.074975,0.999998,-0.001764,-0.000334,-0.001020,-0.351744,-0.343388,0.071421,0.867905,25.865292,33.080255,-128.074184
31672,-5.934216,2.746056,7.115053,0.025982,1.031493,-0.204620,-0.263512,-0.180411,-0.187088,-0.059381,0.027610,0.071061,0.999998,-0.001318,-0.000902,-0.000935,-0.351325,-0.342211,0.070262,0.868634,25.621432,33.034399,-128.242338
31673,-5.278719,2.632726,6.447526,0.080272,0.752136,-1.106683,-0.141548,-0.205825,-0.185579,-0.052829,0.026422,0.064402,0.999999,-0.000708,-0.001029,-0.000928,-0.350695,-0.341135,0.069683,0.869358,25.444401,32.974268,-128.416475
31674,-4.780056,2.935553,6.067382,0.254400,0.235725,-1.556828,-0.082395,-0.133126,-0.214347,-0.047809,0.029432,0.060630,0.999999,-0.000412,-0.000666,-0.001072,-0.349863,-0.340489,0.069181,0.869987,25.303186,32.958696,-128.587101
31675,-4.639040,3.216825,5.969991,0.412624,-0.069093,-1.606934,-0.100124,-0.003849,-0.268200,-0.046348,0.032260,0.059683,0.999999,-0.000501,-0.000019,-0.001341,-0.348872,-0.340392,0.068287,0.870493,25.154368,33.022654,-128.753075
31676,-4.991051,3.440232,6.298257,0.520110,-0.069603,-1.086956,-0.173769,0.092121,-0.312128,-0.049828,0.034535,0.062976,0.999998,-0.000869,0.000461,-0.001561,-0.347845,-0.340598,0.066827,0.870937,24.962991,33.146939,-128.919153
31677,-5.432121,3.351331,6.722027,0.441196,0.199031,-0.555766,-0.245279,0.086304,-0.352406,-0.054233,0.033691,0.067202,0.999998,-0.001226,0.000432,-0.001762,-0.346763,-0.340667,0.065000,0.871479,24.715498,33.277091,-129.112459
31678,-5.114432,2.638623,6.979625,-0.275067,0.460813,-0.782362,-0.249487,0.029172,-0.354214,-0.051087,0.026564,0.069771,0.999998,-0.001247,0.000146,-0.001771,-0.345659,-0.340479,0.063248,0.872121,24.454950,33.377467,-129.324414
