// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
25610,-9.311834,-0.944791,-2.583371,-0.166173,1.123604,-0.169733,-0.052086,0.007033,-0.145520,-0.093126,-0.009387,-0.025828,1.000000,-0.000260,0.000035,-0.000728,-0.276132,-0.689818,-0.343689,0.574265,-175.807704,79.137823,56.432742
25611,-9.715924,-0.781430,-2.219671,-0.286790,0.669625,0.157572,0.077482,-0.011683,-0.146508,-0.097164,-0.007735,-0.022205,1.000000,0.000387,-0.000058,-0.000733,-0.275460,-0.689636,-0.343956,0.574646,-175.320943,79.138563,56.882794
25612,-9.871254,-0.500860,-1.433628,-0.540575,-0.144051,0.159013,0.153418,-0.021197,-0.141726,-0.098715,-0.004928,-0.014351,0.999999,0.000767,-0.000106,-0.000709,-0.274552,-0.689535,-0.343978,0.575189,-174.797476,79.144444,57.325664
25613,-9.757652,-0.481062,-1.736995,-0.315546,0.090385,0.104599,0.062133,-0.046343,-0.134693,-0.097576,-0.004740,-0.017394,1.000000,0.000311,-0.000232,-0.000673,-0.274026,-0.689251,-0.344200,0.575647,-174.343435,79.164124,57.751289
25614,-9.597458,-0.553909,-1.858250,-0.270488,0.250490,-0.028252,-0.020184,-0.053254,-0.116658,-0.095973,-0.005485,-0.018608,1.000000,-0.000101,-0.000266,-0.000583,-0.273844,-0.688862,-0.344591,0.575966,-173.982540,79.188433,58.129857
25615,-9.405580,-1.055124,-1.592856,-0.797289,0.380234,-0.255745,0.018167,-0.044583,-0.089993,-0.094057,-0.010507,-0.015950,1.000000,0.000091,-0.000223,-0.000450,-0.273594,-0.688599,-0.344788,0.576281,-173.684134,79.208835,58.422592
25616,-9.339409,-1.157363,-1.356506,-1.006001,0.268742,-0.361767,0.083821,-0.025706,-0.055723,-0.093396,-0.011542,-0.013582,1.000000,0.000419,-0.000129,-0.000279,-0.273181,-0.688536,-0.344706,0.576601,-173.452392,79.220630,58.608976
25617,-9.354805,-0.917071,-1.339131,-0.822088,0.104416,-0.354361,0.105550,-0.015124,-0.031636,-0.093548,-0.009149,-0.013403,1.000000,0.000528,-0.000076,-0.000158,-0.272746,-0.688576,-0.344492,0.576886,-173.285715,79.227736,58.716555
25618,-9.555140,-0.489820,-1.155311,-0.612347,-0.332902,-0.200738,0.116615,0.003398,-0.005265,-0.095552,-0.004889,-0.011554,1.000000,0.000583,0.000017,-0.000026,-0.272315,-0.688728,-0.344182,0.577093,-173.195820,79.226175,58.739411
25619,-9.725424,-0.223854,-1.480937,-0.220373,-0.273183,0.021130,0.017277,0.010254,-0.003715,-0.097255,-0.002235,-0.014805,1.000000,0.000086,0.000051,-0.000019,-0.272221,-0.688769,-0.344161,0.577102,-173.171308,79.220802,58.753727
25620,-9.676333,-0.312353,-1.915353,-0.021699,0.124209,0.055528,-0.041484,0.000994,0.003599,-0.096763,-0.003129,-0.019152,1.000000,-0.000207,0.000005,0.000018,-0.272364,-0.688714,-0.344273,0.577033,-173.197650,79.221207,58.750472
25621,-9.553088,-0.693665,-2.255806,-0.104365,0.642302,0.006064,-0.020834,-0.008499,0.012645,-0.095529,-0.006945,-0.022561,1.000000,-0.000104,-0.000042,0.000063,-0.272480,-0.688676,-0.344280,0.577019,-173.237087,79.227646,58.721917
25622,-9.398665,-1.121600,-2.466796,-0.298666,1.094793,-0.097225,0.063831,-0.013240,0.026999,-0.093984,-0.011221,-0.024678,1.000000,0.000319,-0.000066,0.000135,-0.272353,-0.688764,-0.343988,0.577148,-173.268068,79.237725,58.652517
25623,-9.423996,-1.195271,-2.489251,-0.343120,1.154925,-0.066654,0.209130,-0.005792,0.029508,-0.094237,-0.011941,-0.024908,0.999999,0.001046,-0.000029,0.000148,-0.271720,-0.689076,-0.343278,0.577497,-173.226355,79.243588,58.572374
25624,-9.562939,-0.922571,-2.463248,-0.152316,0.945436,0.059064,0.332369,-0.017650,0.035613,-0.095626,-0.009202,-0.024656,0.999999,0.001662,-0.000088,0.000178,-0.270699,-0.689530,-0.342174,0.578090,-173.127748,79.256779,58.478271
25625,-9.584815,-0.449604,-2.112599,0.008911,0.379231,0.005154,0.433305,-0.010686,0.038507,-0.095846,-0.004469,-0.021141,0.999998,0.002167,-0.000053,0.000193,-0.269324,-0.690144,-0.340778,0.578824,-172.981759,79.265899,58.373448
25626,-9.625091,0.197618,-1.751422,0.294506,-0.308523,-0.036851,0.457837,-0.020460,0.034097,-0.096249,0.002000,-0.017520,0.999997,0.002289,-0.000102,0.000170,-0.267868,-0.690750,-0.339310,0.579638,-172.805522,79.280667,58.285196
25627,-9.625145,0.849499,-1.316871,0.536572,-1.050985,-0.132464,0.395553,-0.020662,0.027322,-0.096251,0.008508,-0.013162,0.999998,0.001978,-0.000103,0.000137,-0.266605,-0.691259,-0.338046,0.580351,-172.643863,79.294736,58.218350
25628,-9.764093,1.318987,-0.819025,0.578874,-1.749792,-0.099234,0.251748,-0.014840,0.004788,-0.097641,0.013198,-0.008181,0.999999,0.001259,-0.000074,0.000024,-0.265766,-0.691552,-0.337282,0.580832,-172.499564,79.304231,58.217772
25629,-9.767225,1.318200,-0.795341,0.564798,-1.769542,-0.100910,0.039410,-0.013811,-0.024796,-0.097670,0.013196,-0.007958,1.000000,0.000197,-0.000069,-0.000124,-0.265573,-0.691516,-0.337238,0.580988,-172.389381,79.310783,58.306337
25630,-9.781023,0.951127,-1.217351,0.546544,-1.220031,-0.001071,-0.140876,-0.018170,-0.055362,-0.097806,0.009530,-0.012189,1.000000,-0.000704,-0.000091,-0.000277,-0.265922,-0.691176,-0.337817,0.580897,-172.287476,79.317575,58.491545
25631,-9.622722,0.202162,-1.769609,0.329943,-0.303265,-0.036782,-0.217498,-0.021661,-0.079732,-0.096224,0.002041,-0.017709,0.999999,-0.001087,-0.000108,-0.000399,-0.266474,-0.690682,-0.338696,0.580719,-172.157378,79.324520,58.750299
25632,-9.555685,-0.708152,-2.228649,-0.081435,0.627568,0.004593,-0.186198,-0.018020,-0.090186,-0.095558,-0.007059,-0.022289,0.999999,-0.000931,-0.000090,-0.000451,-0.266877,-0.690221,-0.339527,0.580597,-171.976269,79.328310,59.042522
25633,-9.431454,-1.415173,-2.472550,-0.464394,1.273926,-0.054101,-0.076879,-0.020091,-0.077501,-0.094318,-0.014125,-0.024730,1.000000,-0.000384,-0.000100,-0.000388,-0.266947,-0.689922,-0.339992,0.580648,-171.772516,79.334201,59.294224
25634,-9.338583,-1.737430,-2.320221,-0.794114,1.371662,-0.163898,0.110197,-0.020634,-0.060241,-0.093389,-0.017333,-0.023221,1.000000,0.000551,-0.000103,-0.000301,-0.266419,-0.689900,-0.339856,0.580997,-171.510135,79.341566,59.496330
25635,-9.399121,-1.440471,-2.117570,-0.684903,1.018937,-0.148569,0.237808,-0.010644,-0.042196,-0.093993,-0.014360,-0.021198,0.999999,0.001189,-0.000053,-0.000211,-0.265486,-0.690107,-0.339299,0.581503,-171.234397,79.344516,59.637676
25636,-9.587657,-0.761878,-1.755042,-0.392231,0.283791,-0.047985,0.281090,-0.003347,-0.021454,-0.095877,-0.007584,-0.017563,0.999999,0.001405,-0.000017,-0.000107,-0.264451,-0.690426,-0.338554,0.582029,-170.998452,79.345184,59.713246
25637,-9.660818,-0.206232,-1.375560,-0.199839,-0.368997,-0.061277,0.257241,0.000683,-0.004619,-0.096608,-0.002042,-0.013758,0.999999,0.001286,0.000003,-0.000023,-0.263539,-0.690754,-0.337826,0.582478,-170.828758,79.344842,59.735283
25638,-9.728191,0.026546,-1.150345,-0.164233,-0.698716,-0.043014,0.181239,-0.014201,0.008117,-0.097281,0.000272,-0.011510,1.000000,0.000906,-0.000071,0.000041,-0.262953,-0.690957,-0.337254,0.582832,-170.733603,79.354281,59.725806
