PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
25610,-4.058795,1.803022,8.525419,0.038618,0.058319,-0.200062,0.078905,0.053007,-0.027746,-0.040563,0.018002,0.085272,1.000000,0.000395,0.000265,-0.000139,-0.825002,-0.193468,-0.133694,0.513875,11.553892,24.798735,-61.287243
25611,-4.084769,1.808041,8.572332,0.030311,0.052113,-0.146479,0.075875,0.043759,-0.036195,-0.040826,0.018055,0.085739,1.000000,0.000379,0.000219,-0.000181,-0.824805,-0.193869,-0.133721,0.514034,11.589698,24.828149,-61.304451
25612,-4.150188,1.699078,8.542880,-0.098690,0.067833,-0.165025,0.063532,0.042502,-0.038835,-0.041480,0.016972,0.085443,1.000000,0.000318,0.000213,-0.000194,-0.824612,-0.194211,-0.133781,0.514198,11.617301,24.857319,-61.323580
25613,-4.198309,1.688674,8.568800,-0.130177,0.084115,-0.123635,0.065175,0.035657,-0.031986,-0.041965,0.016866,0.085701,1.000000,0.000326,0.000178,-0.000160,-0.824441,-0.194549,-0.133799,0.514340,11.647628,24.881737,-61.339192
25614,-4.291721,1.875952,8.457809,-0.005842,0.278003,-0.148564,0.045099,0.035101,-0.026623,-0.042900,0.018746,0.084590,1.000000,0.000225,0.000176,-0.000133,-0.824303,-0.194804,-0.133863,0.514448,11.667447,24.905357,-61.351688
25615,-4.156180,1.805654,8.467116,-0.009777,0.134322,-0.210181,0.008330,0.025365,-0.015183,-0.041550,0.018056,0.084677,1.000000,0.000042,0.000127,-0.000076,-0.824236,-0.194893,-0.133968,0.514494,11.669026,24.922113,-61.358209
25616,-4.097146,1.918851,8.492599,0.119622,0.118495,-0.191643,-0.001463,0.012497,-0.013668,-0.040965,0.019192,0.084928,1.000000,-0.000007,0.000062,-0.000068,-0.824192,-0.194907,-0.134047,0.514539,11.664321,24.931550,-61.365576
25617,-4.113093,1.635462,8.473144,-0.140643,0.028122,-0.254138,-0.036132,0.008284,0.001881,-0.041128,0.016370,0.084730,1.000000,-0.000181,0.000041,0.000009,-0.824224,-0.194780,-0.134180,0.514501,11.643979,24.936767,-61.363715
25618,-4.115329,1.589588,8.531622,-0.179745,-0.014813,-0.209627,-0.007213,0.005175,0.004429,-0.041151,0.015898,0.085317,1.000000,-0.000036,0.000026,0.000022,-0.824237,-0.194764,-0.134225,0.514475,11.640305,24.940000,-61.360821
25619,-4.184311,1.743440,8.502935,-0.071577,0.113678,-0.177860,0.001279,0.002693,0.009104,-0.041843,0.017432,0.085030,1.000000,0.000006,0.000013,0.000046,-0.824255,-0.194782,-0.134232,0.514438,11.642938,24.941267,-61.355221
25620,-4.139609,1.763098,8.498189,-0.034841,0.087736,-0.197326,0.004862,-0.000119,0.004562,-0.041397,0.017628,0.084982,1.000000,0.000024,-0.000001,0.000023,-0.824259,-0.194801,-0.134224,0.514424,11.645932,24.941513,-61.352920
