PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
30651,-9.692489,0.180404,-1.122778,0.185133,0.056043,-0.055635,0.120097,0.012286,-0.196207,-0.096924,0.001906,-0.011221,0.999999,0.000600,0.000061,-0.000981,-0.446909,-0.552662,-0.498304,0.496518,-179.544292,83.829402,84.487481
30652,-9.760809,0.238189,-1.101523,0.260506,0.018444,0.009493,0.126720,0.008740,-0.205243,-0.097606,0.002489,-0.011009,0.999999,0.000634,0.000044,-0.001026,-0.446019,-0.552456,-0.498567,0.497282,-178.378132,83.823200,85.585553
30653,-9.785398,0.260785,-1.039071,0.298185,-0.051176,0.026526,0.128339,0.000576,-0.214463,-0.097851,0.002719,-0.010389,0.999999,0.000642,0.000003,-0.001072,-0.445120,-0.552205,-0.498836,0.498096,-177.156284,83.819071,86.738853
30654,-9.786696,0.261251,-0.989707,0.316307,-0.102363,0.021774,0.120403,-0.007646,-0.227315,-0.097864,0.002730,-0.009899,0.999999,0.000602,-0.000038,-0.001137,-0.444233,-0.551887,-0.499138,0.498938,-175.877122,83.816440,87.954244
30655,-9.677139,0.361856,-1.034582,0.445858,-0.058766,-0.084068,0.115955,-0.011639,-0.243404,-0.096766,0.003742,-0.010349,0.999999,0.000580,-0.000058,-0.001217,-0.443325,-0.551504,-0.499488,0.499817,-174.508618,83.812324,89.262211
30656,-9.674031,0.409270,-1.007609,0.515330,-0.091697,-0.091801,0.098315,-0.017130,-0.254059,-0.096734,0.004221,-0.010082,0.999999,0.000492,-0.000086,-0.001270,-0.442454,-0.551045,-0.499896,0.500687,-173.100623,83.807260,90.619937
30657,-9.750317,0.373735,-0.990495,0.504541,-0.113806,-0.018716,0.066058,-0.025492,-0.264642,-0.097497,0.003870,-0.009916,0.999999,0.000330,-0.000127,-0.001323,-0.441664,-0.550462,-0.500397,0.501525,-171.645337,83.802467,92.043975
30658,-9.713094,0.164022,-1.032542,0.327666,-0.045095,-0.049093,0.036902,-0.038839,-0.275183,-0.097127,0.001776,-0.010344,0.999999,0.000185,-0.000194,-0.001376,-0.440962,-0.549757,-0.500966,0.502346,-170.150734,83.800365,93.524233
30659,-9.676964,-0.061053,-1.054033,0.133984,0.006056,-0.079225,0.007720,-0.049834,-0.283279,-0.096768,-0.000473,-0.010564,0.999999,0.000039,-0.000249,-0.001416,-0.440344,-0.548935,-0.501610,0.503144,-168.613989,83.799303,95.063845
30660,-9.663068,-0.307902,-1.125428,-0.075842,0.106993,-0.080318,-0.021584,-0.051295,-0.281624,-0.096632,-0.002944,-0.011279,0.999999,-0.000108,-0.000256,-0.001408,-0.439816,-0.548053,-0.502314,0.503865,-167.110183,83.794944,96.587077
