PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
06668,-6.196314,7.567661,0.230040,-0.070881,0.017695,-0.029468,0.003184,0.004729,0.000362,-0.061963,0.075676,0.002303,1.000000,0.000016,0.000024,0.000002,0.021491,-0.430018,0.553339,0.713049,88.676679,39.570789,-144.717478
06669,-6.214369,7.624478,0.235058,-0.090059,0.008245,0.025916,-0.007255,0.004602,0.001747,-0.062144,0.076244,0.002349,1.000000,-0.000036,0.000023,0.000009,0.021429,-0.429977,0.553336,0.713078,88.671093,39.563205,-144.718336
06670,-6.271286,7.625586,0.253800,-0.064662,0.048301,0.063369,-0.009478,0.008315,-0.002992,-0.062712,0.076257,0.002537,1.000000,-0.000047,0.000042,-0.000015,0.021373,-0.429965,0.553315,0.713103,88.666176,39.558896,-144.716598
06671,-6.207421,7.566870,0.197929,-0.041059,-0.003113,-0.023557,-0.017355,0.004499,-0.007800,-0.062071,0.075671,0.001974,1.000000,-0.000087,0.000022,-0.000039,0.021320,-0.429954,0.553252,0.713160,88.654592,39.556793,-144.717105
06672,-6.205562,7.453192,0.181163,0.026073,0.025670,-0.112659,-0.004763,-0.001185,-0.008819,-0.062052,0.074535,0.001809,1.000000,-0.000024,-0.000006,-0.000044,0.021322,-0.429924,0.553235,0.713192,88.647817,39.555694,-144.722527
06673,-6.229429,7.453328,0.206757,0.026262,0.056624,-0.096888,0.004562,0.003698,-0.012173,-0.062290,0.074537,0.002070,1.000000,0.000023,0.000018,-0.000061,0.021333,-0.429920,0.553241,0.713189,88.648388,39.556086,-144.723668
06674,-6.228964,7.537277,0.204443,-0.015305,0.022394,-0.032523,0.008536,0.006655,-0.007582,-0.062287,0.075375,0.002050,1.000000,0.000043,0.000033,-0.000038,0.021338,-0.429913,0.553274,0.713167,88.652957,39.554384,-144.723243
06675,-6.222006,7.608099,0.254802,-0.085059,0.032942,0.018545,0.000730,0.004936,-0.008019,-0.062217,0.076083,0.002550,1.000000,0.000004,0.000025,-0.000040,0.021324,-0.429902,0.553277,0.713172,88.651956,39.552414,-144.723569
06676,-6.133261,7.521505,0.244790,-0.090896,0.018723,-0.104895,-0.002133,0.003021,-0.009840,-0.061329,0.075218,0.002448,1.000000,-0.000011,0.000015,-0.000049,0.021323,-0.429889,0.553267,0.713188,88.648667,39.551957,-144.725883
06677,-6.149677,7.464443,0.232767,-0.044063,0.037795,-0.138637,-0.012806,0.005184,-0.011299,-0.061492,0.074648,0.002324,1.000000,-0.000064,0.000026,-0.000056,0.021287,-0.429892,0.553211,0.713230,88.639968,39.551883,-144.725365
06678,-6.197905,7.534697,0.211343,-0.035985,0.014279,-0.054161,-0.005251,0.006188,-0.005031,-0.061977,0.075349,0.002113,1.000000,-0.000026,0.000031,-0.000025,0.021253,-0.429878,0.553200,0.713248,88.636445,39.548713,-144.725241
06679,-6.197666,7.576696,0.210186,-0.056108,-0.002682,-0.021957,0.008611,0.002957,-0.004008,-0.061975,0.075768,0.002106,1.000000,0.000043,0.000015,-0.000020,0.021250,-0.429846,0.553241,0.713236,88.639110,39.544412,-144.727313
06680,-6.240457,7.549379,0.242184,-0.033655,0.053015,-0.015181,-0.004531,0.002318,-0.005176,-0.062403,0.075495,0.002421,1.000000,-0.000023,0.000012,-0.000026,0.021229,-0.429818,0.553232,0.713260,88.634168,39.541273,-144.730066
06681,-6.222182,7.534510,0.236413,-0.033459,0.045748,-0.038381,-0.003331,0.002669,-0.007507,-0.062219,0.075347,0.002364,1.000000,-0.000017,0.000013,-0.000038,0.021211,-0.429798,0.553220,0.713282,88.629789,39.538983,-144.731957
06682,-6.165487,7.575065,0.217035,-0.078002,-0.011045,-0.043566,0.005285,-0.000171,-0.012315,-0.061650,0.075754,0.002172,1.000000,0.000026,-0.000001,-0.000062,0.021244,-0.429780,0.553231,0.713283,88.629214,39.539899,-144.736685
06683,-6.200197,7.574642,0.209552,-0.051477,-0.001670,-0.021931,0.000663,0.002838,-0.012389,-0.061997,0.075750,0.002097,1.000000,0.000003,0.000014,-0.000062,0.021250,-0.429775,0.553223,0.713293,88.627147,39.540409,-144.738468
06684,-6.233764,7.658755,0.200918,-0.067644,-0.026752,0.064125,-0.006427,0.003044,-0.012172,-0.062333,0.076591,0.002008,1.000000,-0.000032,0.000015,-0.000061,0.021248,-0.429769,0.553193,0.713320,88.621383,39.541287,-144.740806
06685,-6.215244,7.531851,0.269400,-0.055130,0.068343,-0.044223,-0.009516,-0.002379,-0.017636,-0.062146,0.075324,0.002690,1.000000,-0.000048,-0.000012,-0.000088,0.021268,-0.429758,0.553138,0.713368,88.610947,39.544726,-144.746860
06686,-6.139272,7.513520,0.154758,-0.025839,-0.052642,-0.108866,-0.015406,-0.001822,-0.019750,-0.061385,0.075141,0.001541,1.000000,-0.000077,-0.000009,-0.000099,0.021288,-0.429757,0.553058,0.713430,88.597649,39.549875,-144.752950
06687,-6.197294,7.513625,0.173723,-0.000274,-0.012569,-0.071485,0.001218,0.003360,-0.011003,-0.061969,0.075140,0.001739,1.000000,0.000006,0.000017,-0.000055,0.021291,-0.429748,0.553056,0.713437,88.596148,39.549594,-144.754617
06688,-6.157032,7.583834,0.231343,-0.095381,-0.011106,-0.041921,0.015014,-0.001961,-0.014353,-0.061565,0.075843,0.002319,1.000000,0.000075,-0.000010,-0.000072,0.021357,-0.429728,0.553097,0.713415,88.600275,39.551650,-144.760714
06689,-6.172484,7.611182,0.216988,-0.091158,-0.026480,-0.011273,0.002821,-0.002972,-0.012022,-0.061720,0.076115,0.002170,1.000000,0.000014,-0.000015,-0.000060,0.021382,-0.429701,0.553097,0.713431,88.596681,39.551872,-144.766743
06690,-6.134990,7.624090,0.204605,-0.113399,-0.058515,-0.025429,-0.004850,-0.000500,-0.003717,-0.061348,0.076242,0.002044,1.000000,-0.000024,-0.000002,-0.000019,0.021363,-0.429659,0.553090,0.713463,88.590242,39.547855,-144.771560
06691,-6.173352,7.610463,0.217525,-0.088840,-0.025974,-0.011251,-0.007166,0.003902,-0.003353,-0.061732,0.076106,0.002174,1.000000,-0.000036,0.000020,-0.000017,0.021317,-0.429633,0.553072,0.713493,88.584284,39.543208,-144.772240
06692,-6.159817,7.539706,0.232759,-0.069480,0.007111,-0.074113,-0.019828,0.007474,-0.006707,-0.061596,0.075399,0.002322,1.000000,-0.000099,0.000037,-0.000034,0.021255,-0.429630,0.553006,0.713548,88.573001,39.541016,-144.771188
06693,-6.177859,7.509845,0.149333,0.007583,-0.041776,-0.087246,-0.027798,0.010138,-0.005614,-0.061776,0.075100,0.001486,1.000000,-0.000139,0.000051,-0.000028,0.021158,-0.429633,0.552914,0.713621,88.558188,39.537741,-144.767771
06694,-6.189448,7.466811,0.117730,0.056261,-0.045927,-0.113661,-0.003667,0.011448,-0.004443,-0.061893,0.074670,0.001179,1.000000,-0.000018,0.000057,-0.000022,0.021111,-0.429635,0.552911,0.713623,88.558070,39.534310,-144.763724
06695,-6.266902,7.551302,0.067920,0.091936,-0.083450,-0.000174,0.014968,0.012429,-0.003273,-0.062668,0.075514,0.000689,1.000000,0.000075,0.000062,-0.000016,0.021094,-0.429633,0.552977,0.713573,88.568852,39.529723,-144.758945
06696,-6.257372,7.637578,0.188266,-0.029323,-0.022114,0.062604,0.031954,0.006046,-0.007056,-0.062571,0.076378,0.001897,1.000000,0.000160,0.000030,-0.000035,0.021148,-0.429620,0.553095,0.713488,88.586558,39.527711,-144.758959
06697,-6.202880,7.637740,0.258894,-0.106079,0.012243,0.029386,0.026480,-0.005881,-0.008660,-0.062026,0.076380,0.002597,1.000000,0.000132,-0.000029,-0.000043,0.021227,-0.429565,0.553190,0.713445,88.595238,39.525946,-144.768220
06698,-6.205719,7.664067,0.185099,-0.074677,-0.055444,0.050095,0.014851,0.002431,-0.012818,-0.062052,0.076645,0.001857,1.000000,0.000074,0.000012,-0.000064,0.021275,-0.429556,0.553234,0.713415,88.601368,39.527184,-144.771025
06699,-6.151530,7.663984,0.257257,-0.151439,-0.021091,0.016900,-0.001968,0.004422,-0.010567,-0.061511,0.076643,0.002573,1.000000,-0.000010,0.000022,-0.000053,0.021268,-0.429550,0.553222,0.713428,88.598536,39.526671,-144.772003
06700,-6.144636,7.606217,0.219994,-0.103833,-0.032790,-0.032726,-0.025877,0.006613,-0.008100,-0.061443,0.076065,0.002192,1.000000,-0.000129,0.000033,-0.000040,0.021200,-0.429547,0.553131,0.713502,88.583362,39.525264,-144.771616
06701,-6.142485,7.492506,0.204315,-0.036892,-0.004119,-0.122067,-0.037430,0.011223,-0.008686,-0.061421,0.074928,0.002033,1.000000,-0.000187,0.000056,-0.000043,0.021090,-0.429564,0.552997,0.713599,88.563450,39.523770,-144.767407
06702,-6.202456,7.477682,0.152950,0.040200,-0.014808,-0.096322,-0.029232,0.012065,-0.006131,-0.062022,0.074779,0.001522,1.000000,-0.000146,0.000060,-0.000031,0.020993,-0.429576,0.552899,0.713671,88.548954,39.521315,-144.762934
