PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
10082,-0.031516,5.544975,8.067983,-0.002500,-0.122856,-0.023663,0.002045,-0.000618,-0.008401,-0.000313,0.055449,0.080680,1.000000,0.000010,-0.000003,-0.000042,0.555665,0.177800,-0.235142,-0.777387,34.280991,0.866211,-108.619562
10083,-0.036838,5.562128,8.139064,-0.024934,-0.110746,0.044802,-0.002749,0.015304,-0.004510,-0.000361,0.055622,0.081390,1.000000,-0.000014,0.000077,-0.000023,0.555723,0.177809,-0.235077,-0.777364,34.275416,0.869182,-108.611478
10084,-0.115118,5.554157,8.220230,-0.049091,-0.021611,0.108563,-0.003155,0.018372,-0.000234,-0.001144,0.055543,0.082202,1.000000,-0.000016,0.000092,-0.000001,0.555795,0.177826,-0.235008,-0.777330,34.269854,0.872430,-108.601037
10085,-0.288545,5.536302,8.239053,-0.017153,0.150490,0.116711,0.002183,0.009928,0.005700,-0.002883,0.055362,0.082391,1.000000,0.000011,0.000050,0.000028,0.555881,0.177816,-0.234986,-0.777277,34.267154,0.869559,-108.589853
10086,-0.318224,5.547125,8.226184,0.008722,0.174695,0.112603,-0.001612,-0.014444,0.005432,-0.003190,0.055472,0.082261,1.000000,-0.000008,-0.000072,0.000027,0.555936,0.177703,-0.235018,-0.777254,34.262354,0.855441,-108.587316
10087,-0.352037,5.455587,8.095326,0.020399,0.212312,-0.046614,-0.005423,-0.032816,0.004513,-0.003535,0.054558,0.080951,1.000000,-0.000027,-0.000164,0.000023,0.555974,0.177507,-0.235085,-0.777251,34.255077,0.832725,-108.590473
10088,-0.347830,5.341080,7.997587,-0.015329,0.226470,-0.191980,-0.005936,-0.041923,0.002158,-0.003496,0.053413,0.079974,1.000000,-0.000030,-0.000210,0.000011,0.555987,0.177279,-0.235174,-0.777267,34.247650,0.806649,-108.598347
10089,-0.150137,5.300044,7.877091,-0.043305,0.033115,-0.317500,-0.005378,-0.033709,-0.009295,-0.001512,0.053003,0.078769,1.000000,-0.000027,-0.000169,-0.000046,0.555971,0.177096,-0.235231,-0.777303,34.240303,0.787976,-108.608314
10090,0.036241,5.309469,7.819213,-0.062892,-0.155148,-0.362616,-0.005214,0.005006,-0.026084,0.000371,0.053097,0.078191,1.000000,-0.000026,0.000025,-0.000130,0.555929,0.177085,-0.235167,-0.777355,34.233318,0.793232,-108.614431
10091,0.103363,5.356785,7.971430,-0.129316,-0.208568,-0.211162,0.006386,0.038696,-0.041521,0.001060,0.053565,0.079716,1.000000,0.000032,0.000193,-0.000208,0.555862,0.177255,-0.235040,-0.777402,34.232823,0.819239,-108.616317
