PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
19999,-9.647421,-0.174212,-0.568874,-0.044237,0.026019,-0.147075,0.010616,-0.001938,-0.022154,-0.096474,-0.001731,-0.005690,1.000000,0.000053,-0.000010,-0.000111,0.420515,-0.584801,0.435089,0.540252,-160.862244,86.201304,-55.368305
20000,-9.660506,-0.158574,-0.643075,-0.040953,-0.049435,-0.129715,-0.009600,0.006414,-0.020950,-0.096605,-0.001576,-0.006428,1.000000,-0.000048,0.000032,-0.000105,0.420508,-0.584849,0.435030,0.540254,-160.788231,86.199070,-55.287569
20001,-9.711086,-0.217521,-0.680435,0.022819,-0.067200,-0.075621,-0.004118,0.004015,-0.023795,-0.097111,-0.002164,-0.006802,1.000000,-0.000021,0.000020,-0.000119,0.420533,-0.584882,0.434973,0.540243,-160.676881,86.197746,-55.173030
20002,-9.749774,-0.320818,-0.666062,0.115780,-0.023937,-0.035639,0.001802,0.007343,-0.024366,-0.097498,-0.003196,-0.006657,1.000000,0.000009,0.000037,-0.000122,0.420561,-0.584921,0.434930,0.540214,-160.569685,86.194288,-55.064405
20003,-9.756629,-0.250618,-0.672283,0.048118,-0.048652,-0.029953,0.023800,0.007691,-0.025135,-0.097567,-0.002493,-0.006719,1.000000,0.000119,0.000038,-0.000126,0.420664,-0.584909,0.434952,0.540130,-160.442281,86.190693,-54.949806
20004,-9.752702,-0.174073,-0.606599,-0.044607,-0.006234,-0.039692,0.005932,0.011964,-0.027953,-0.097528,-0.001727,-0.006060,1.000000,0.000030,0.000060,-0.000140,0.420699,-0.584963,0.434915,0.540074,-160.318822,86.183893,-54.826263
20005,-9.671111,-0.267643,-0.611752,0.048217,0.009550,-0.118677,0.001548,0.013039,-0.027925,-0.096712,-0.002663,-0.006111,1.000000,0.000008,0.000065,-0.000140,0.420732,-0.585019,0.434880,0.540016,-160.197738,86.176841,-54.705219
20006,-9.714171,-0.245695,-0.559572,0.009798,0.056828,-0.079482,0.008045,0.020680,-0.024596,-0.097143,-0.002445,-0.005586,1.000000,0.000040,0.000103,-0.000123,0.420757,-0.585074,0.434889,0.539929,-160.126180,86.166200,-54.637485
20007,-9.731888,-0.118209,-0.446276,-0.145502,0.133090,-0.071851,0.016323,0.009964,-0.026589,-0.097319,-0.001169,-0.004458,1.000000,0.000082,0.000050,-0.000133,0.420837,-0.585087,0.434892,0.539851,-159.999292,86.161037,-54.519106
20008,-9.711278,-0.043928,-0.432380,-0.221539,0.125278,-0.095022,-0.001490,0.007099,-0.027145,-0.097113,-0.000426,-0.004320,1.000000,-0.000007,0.000035,-0.000136,0.420871,-0.585131,0.434839,0.539818,-159.873682,86.157182,-54.391699
20009,-9.684849,-0.068787,-0.434663,-0.197492,0.127626,-0.120697,-0.013669,0.000419,-0.028923,-0.096849,-0.000674,-0.004346,1.000000,-0.000068,0.000002,-0.000145,0.420890,-0.585186,0.434734,0.539829,-159.717745,86.156653,-54.226982
20010,-9.665636,-0.175103,-0.527160,-0.071175,0.065006,-0.131583,-0.031484,-0.002448,-0.029477,-0.096657,-0.001738,-0.005273,1.000000,-0.000157,-0.000012,-0.000147,0.420863,-0.585273,0.434573,0.539885,-159.562257,86.157422,-54.052263
20011,-9.633065,-0.208818,-0.652862,-0.005374,-0.049900,-0.155397,-0.031685,-0.003876,-0.030767,-0.096331,-0.002074,-0.006530,1.000000,-0.000158,-0.000019,-0.000154,0.420844,-0.585359,0.434404,0.539943,-159.389059,86.158766,-53.859900
20012,-9.568085,-0.209683,-0.712098,0.012363,-0.111312,-0.216502,-0.031649,-0.001013,-0.031080,-0.095681,-0.002083,-0.007121,1.000000,-0.000158,-0.000005,-0.000155,0.420812,-0.585458,0.434236,0.539996,-159.225280,86.158298,-53.675782
20013,-9.559652,-0.258569,-0.684458,0.051009,-0.072978,-0.225490,-0.022308,0.001162,-0.027230,-0.095597,-0.002573,-0.006844,1.000000,-0.000112,0.000006,-0.000136,0.420800,-0.585530,0.434113,0.540026,-159.090099,86.157594,-53.526906
20014,-9.593101,-0.320149,-0.773721,0.131549,-0.140877,-0.185041,-0.016009,0.007370,-0.025199,-0.095932,-0.003190,-0.007733,1.000000,-0.000080,0.000037,-0.000126,0.420778,-0.585607,0.434021,0.540033,-158.990639,86.153735,-53.415980
20015,-9.663959,-0.225388,-0.698178,0.016020,-0.090235,-0.121353,-0.010180,0.004998,-0.025123,-0.096640,-0.002242,-0.006979,1.000000,-0.000051,0.000025,-0.000126,0.420787,-0.585659,0.433946,0.540030,-158.877257,86.151374,-53.295916
20016,-9.692627,-0.258108,-0.741438,0.056931,-0.121586,-0.089245,-0.003385,0.009797,-0.018559,-0.096927,-0.002572,-0.007410,1.000000,-0.000017,0.000049,-0.000093,0.420788,-0.585694,0.433922,0.540011,-158.831612,86.147714,-53.247944
