PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
23793,-2.558825,4.232383,8.552172,0.056222,0.067968,0.066201,-0.036137,-0.250433,0.152204,-0.025728,0.042320,0.085482,0.999999,-0.000181,-0.001252,0.000761,0.196128,0.171954,-0.192988,-0.945897,26.530940,14.453949,-153.147168
23794,-2.449086,4.177428,8.672573,-0.076120,0.113505,0.119266,-0.023894,-0.241650,0.161517,-0.024629,0.041765,0.086691,0.999999,-0.000119,-0.001208,0.000808,0.196740,0.170598,-0.193231,-0.945966,26.519990,14.284005,-153.119875
23795,-2.440299,4.130498,8.799450,-0.122836,0.199171,0.206873,-0.011114,-0.217942,0.160536,-0.024532,0.041290,0.087966,0.999999,-0.000056,-0.001090,0.000803,0.197357,0.169367,-0.193510,-0.946001,26.517743,14.126372,-153.086999
23796,-2.328041,4.221764,8.853647,-0.190100,0.100569,0.266194,-0.006141,-0.185166,0.161315,-0.023396,0.042202,0.088514,0.999999,-0.000031,-0.000926,0.000807,0.198004,0.168295,-0.193781,-0.946002,26.520401,13.985434,-153.045254
23797,-2.100827,4.206641,8.910223,-0.393136,0.040966,0.254344,-0.012006,-0.153261,0.155788,-0.021109,0.042055,0.089084,0.999999,-0.000060,-0.000766,0.000779,0.198662,0.167372,-0.193988,-0.945985,26.520974,13.862175,-152.997884
23798,-2.018915,4.055426,8.953772,-0.510487,0.155047,0.207686,-0.004404,-0.126707,0.144623,-0.020275,0.040542,0.089524,1.000000,-0.000022,-0.000634,0.000723,0.199286,0.166594,-0.194194,-0.945949,26.525998,13.755461,-152.949495
23799,-2.150323,4.276800,8.925508,-0.302366,0.025513,0.310925,-0.008658,-0.075201,0.149791,-0.021569,0.042756,0.089245,1.000000,-0.000043,-0.000376,0.000749,0.199988,0.166049,-0.194333,-0.945868,26.532432,13.673745,-152.884787
23800,-1.890845,4.363462,8.961896,-0.503587,-0.144231,0.319255,0.011848,-0.033749,0.154236,-0.018957,0.043615,0.089618,1.000000,0.000059,-0.000169,0.000771,0.200735,0.165717,-0.194531,-0.945728,26.553567,13.612180,-152.806834
23801,-1.908120,4.314227,8.857490,-0.456751,-0.119909,0.211563,0.007378,0.003944,0.145423,-0.019111,0.043125,0.088577,1.000000,0.000037,0.000020,0.000727,0.201480,0.165567,-0.194663,-0.945568,26.573397,13.572106,-152.723650
23802,-2.200988,4.406833,8.711849,-0.113812,-0.106713,0.194135,-0.000258,0.033177,0.130748,-0.022024,0.044054,0.087122,1.000000,-0.000001,0.000166,0.000654,0.202189,0.165562,-0.194717,-0.945407,26.588704,13.550774,-152.640593
23803,-2.362553,4.409483,8.533708,0.098319,-0.086483,0.078330,0.007781,0.025188,0.104680,-0.023638,0.044079,0.085342,1.000000,0.000039,0.000126,0.000523,0.202762,0.165552,-0.194796,-0.945270,26.604968,13.531988,-152.573317
23804,-2.524885,4.420083,8.477608,0.266069,-0.036090,0.072146,-0.001592,0.007985,0.083089,-0.025264,0.044191,0.084777,1.000000,-0.000008,0.000040,0.000415,0.203223,0.165472,-0.194829,-0.945178,26.612028,13.509941,-152.521913
23805,-2.731155,4.411322,8.476796,0.444760,0.066967,0.115693,0.004637,-0.009467,0.070899,-0.027331,0.044102,0.084768,1.000000,0.000023,-0.000047,0.000354,0.203605,0.165328,-0.194900,-0.945106,26.620146,13.482052,-152.481599
23806,-2.721833,4.370021,8.509315,0.414743,0.111244,0.123586,0.008082,-0.023011,0.064591,-0.027242,0.043688,0.085092,1.000000,0.000040,-0.000115,0.000323,0.203940,0.165130,-0.194995,-0.945049,26.628533,13.448884,-152.448197
23807,-2.557594,4.367276,8.496206,0.281641,0.040092,0.072603,0.020566,-0.034146,0.043215,-0.025600,0.043658,0.084962,1.000000,0.000103,-0.000171,0.000216,0.204154,0.164913,-0.195144,-0.945010,26.640829,13.415454,-152.428998
23808,-2.555365,4.371525,8.461930,0.298943,0.029736,0.043992,0.021321,-0.045552,0.032991,-0.025580,0.043702,0.084618,1.000000,0.000107,-0.000228,0.000165,0.204306,0.164653,-0.195299,-0.944990,26.651530,13.378870,-152.418270
23809,-2.411110,4.551500,8.441115,0.245418,-0.188338,0.070951,0.023636,-0.055689,0.012898,-0.024138,0.045503,0.084410,1.000000,0.000118,-0.000278,0.000064,0.204353,0.164366,-0.195459,-0.944997,26.660556,13.342195,-152.420737
23810,-2.522199,4.390312,8.496072,0.273190,0.018503,0.073899,0.034641,-0.075727,0.001646,-0.025255,0.043888,0.084959,1.000000,0.000173,-0.000379,0.000008,0.204318,0.164008,-0.195681,-0.945021,26.673246,13.298231,-152.434405
23811,-2.452701,4.435895,8.562185,0.207610,-0.025614,0.135184,0.044223,-0.081824,-0.019187,-0.024558,0.044342,0.085622,1.000000,0.000221,-0.000409,-0.000096,0.204170,0.163650,-0.195939,-0.945061,26.688604,13.256432,-152.460673
23812,-2.669147,4.172057,8.604349,0.298165,0.311873,0.105934,0.055458,-0.087511,-0.036963,-0.026721,0.041702,0.086043,1.000000,0.000277,-0.000438,-0.000185,0.203923,0.163295,-0.196240,-0.945114,26.707882,13.216395,-152.497796
23813,-2.646000,4.118462,8.652286,0.246971,0.367432,0.118531,0.065417,-0.085617,-0.033782,-0.026490,0.041161,0.086525,1.000000,0.000327,-0.000428,-0.000169,0.203686,0.162956,-0.196590,-0.945151,26.733434,13.176432,-152.532760
23814,-2.617663,4.136919,8.685277,0.220259,0.356154,0.148483,0.059897,-0.083956,-0.019503,-0.026209,0.041346,0.086854,1.000000,0.000299,-0.000420,-0.000098,0.203522,0.162605,-0.196922,-0.945177,26.757593,13.133767,-152.559766
23815,-2.455628,4.261328,8.710777,0.114742,0.193563,0.188114,0.050970,-0.062244,0.006135,-0.024585,0.042590,0.087111,1.000000,0.000255,-0.000311,0.000031,0.203507,0.162322,-0.197212,-0.945169,26.781074,13.095489,-152.567595
23816,-2.283438,4.215510,8.762514,-0.065698,0.176792,0.173838,0.049272,-0.037420,0.008268,-0.022853,0.042133,0.087631,1.000000,0.000246,-0.000187,0.000041,0.203528,0.162153,-0.197470,-0.945139,26.805255,13.069490,-152.567729
23817,-2.339265,4.298610,8.838303,-0.019713,0.160675,0.288778,0.053354,0.000736,0.004703,-0.023393,0.042962,0.088395,1.000000,0.000267,0.000004,0.000024,0.203567,0.162171,-0.197705,-0.945079,26.833709,13.063791,-152.559629
