PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
63248,-9.655231,-0.586346,-0.290053,0.020548,-0.017151,-0.135358,0.039797,0.001503,-0.053038,-0.096554,-0.005837,-0.002901,1.000000,0.000199,0.000008,-0.000265,0.423393,-0.594344,0.400661,0.554043,-114.911489,86.250120,-6.236038
63249,-9.662497,-0.514778,-0.124145,-0.103914,0.114847,-0.136930,0.057446,-0.000180,-0.048597,-0.096626,-0.005124,-0.001243,1.000000,0.000287,-0.000001,-0.000243,0.423681,-0.594275,0.400684,0.553881,-114.668688,86.233041,-6.024625
63250,-9.720259,-0.610420,-0.034090,-0.049284,0.229067,-0.076039,0.019859,-0.002033,-0.050149,-0.097204,-0.006080,-0.000342,1.000000,0.000099,-0.000010,-0.000251,0.423867,-0.594288,0.400605,0.553781,-114.448281,86.214355,-5.815379
63251,-9.693158,-0.676886,-0.198507,0.064488,0.092176,-0.094548,-0.007707,-0.000142,-0.050307,-0.096933,-0.006745,-0.001985,1.000000,-0.000039,-0.000001,-0.000252,0.423965,-0.594361,0.400442,0.553747,-114.241023,86.196266,-5.602020
63252,-9.684445,-0.769462,-0.222070,0.156799,0.097461,-0.096939,-0.000436,-0.003984,-0.048140,-0.096846,-0.007671,-0.002223,1.000000,-0.000002,-0.000020,-0.000241,0.424089,-0.594408,0.400308,0.553697,-114.028058,86.178986,-5.388570
63253,-9.685277,-0.808344,-0.270487,0.206176,0.061663,-0.092355,0.021800,-0.004095,-0.043561,-0.096854,-0.008062,-0.002708,1.000000,0.000109,-0.000020,-0.000218,0.424264,-0.594393,0.400239,0.553629,-113.800108,86.165233,-5.171488
63254,-9.660778,-0.801333,-0.302828,0.208825,0.026561,-0.116288,0.052046,-0.000207,-0.040694,-0.096609,-0.007993,-0.003030,1.000000,0.000260,-0.000001,-0.000203,0.424517,-0.594324,0.400280,0.553479,-113.615685,86.150884,-5.016775
63255,-9.661051,-0.728905,-0.258343,0.123963,0.043153,-0.121624,0.072479,-0.005443,-0.037701,-0.096612,-0.007270,-0.002589,1.000000,0.000362,-0.000027,-0.000189,0.424829,-0.594187,0.400366,0.553326,-113.371082,86.140389,-4.812069
63256,-9.703126,-0.602699,-0.226412,-0.010612,0.031339,-0.088282,0.062800,0.000374,-0.037538,-0.097032,-0.006008,-0.002266,1.000000,0.000314,0.000002,-0.000188,0.425103,-0.594090,0.400448,0.553160,-113.198139,86.127493,-4.675031
63257,-9.644436,-0.526343,-0.173827,-0.097461,0.054407,-0.152980,0.048923,-0.006077,-0.034475,-0.096445,-0.005246,-0.001742,1.000000,0.000245,-0.000030,-0.000172,0.425337,-0.593994,0.400476,0.553062,-112.975133,86.118737,-4.478481
