PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28694,-9.608450,-0.748736,-0.319591,0.187306,0.176865,-0.173254,-0.082181,0.010008,-0.163045,-0.096091,-0.007410,-0.003188,1.000000,-0.000411,0.000050,-0.000815,0.383148,-0.621284,0.366900,0.576704,-127.923976,86.154627,-12.024527
28695,-9.614204,-0.780953,-0.195475,0.148616,0.297222,-0.170563,-0.047052,0.008919,-0.156987,-0.096148,-0.007735,-0.001949,1.000000,-0.000235,0.000045,-0.000785,0.383415,-0.621654,0.366312,0.576502,-127.217504,86.086978,-11.288753
28696,-9.667947,-0.767188,-0.134300,0.093599,0.341378,-0.119881,-0.034548,0.013287,-0.150974,-0.096685,-0.007599,-0.001335,1.000000,-0.000173,0.000066,-0.000755,0.383697,-0.621984,0.365786,0.576293,-126.569471,86.022630,-10.618778
28697,-9.683792,-0.796917,-0.144070,0.111064,0.341359,-0.101726,-0.038321,0.020839,-0.140802,-0.096844,-0.007901,-0.001429,1.000000,-0.000192,0.000104,-0.000704,0.383923,-0.622341,0.365296,0.576068,-126.060182,85.957334,-10.085571
28698,-9.656635,-0.781640,-0.107663,0.072011,0.362900,-0.130938,-0.035328,0.018501,-0.133443,-0.096572,-0.007752,-0.001066,1.000000,-0.000177,0.000093,-0.000667,0.384142,-0.622655,0.364831,0.575877,-125.566725,85.898490,-9.569983
28699,-9.651323,-0.869378,-0.196078,0.178657,0.318465,-0.127185,-0.052472,0.021416,-0.124582,-0.096519,-0.008634,-0.001948,1.000000,-0.000262,0.000107,-0.000623,0.384275,-0.623011,0.364351,0.575707,-125.174338,85.839975,-9.145773
28700,-9.642147,-0.853768,-0.270371,0.187780,0.241581,-0.133876,-0.050890,0.021067,-0.118360,-0.096427,-0.008481,-0.002691,1.000000,-0.000254,0.000105,-0.000592,0.384398,-0.623334,0.363893,0.575564,-124.799129,85.786811,-8.739713
28701,-9.605823,-0.750541,-0.349967,0.122890,0.121564,-0.172784,-0.036799,0.021351,-0.113916,-0.096063,-0.007451,-0.003488,1.000000,-0.000184,0.000107,-0.000570,0.384549,-0.623640,0.363491,0.575386,-124.465350,85.732957,-8.383217
28702,-9.643279,-0.717446,-0.281929,0.051566,0.165668,-0.140204,-0.018836,0.024581,-0.108532,-0.096437,-0.007122,-0.002807,1.000000,-0.000094,0.000123,-0.000543,0.384737,-0.623894,0.363163,0.575193,-124.154378,85.682912,-8.059977
28703,-9.707712,-0.722429,-0.306364,0.052754,0.144314,-0.074524,-0.013127,0.025019,-0.104046,-0.097081,-0.007174,-0.003051,1.000000,-0.000066,0.000125,-0.000520,0.384927,-0.624147,0.362867,0.574978,-123.887633,85.632291,-7.784262
28704,-9.674170,-0.710687,-0.346470,0.053886,0.100031,-0.106928,0.010241,0.020388,-0.102601,-0.096746,-0.007057,-0.003455,1.000000,0.000051,0.000102,-0.000513,0.385196,-0.624321,0.362632,0.574756,-123.572294,85.586138,-7.473320
28705,-9.678091,-0.596934,-0.360177,-0.051213,0.035179,-0.109717,0.017271,0.027254,-0.105448,-0.096785,-0.005918,-0.003589,1.000000,0.000086,0.000136,-0.000527,0.385480,-0.624524,0.362423,0.574477,-123.308876,85.533933,-7.218375
28706,-9.656547,-0.454695,-0.335170,-0.196577,-0.008085,-0.141635,0.010957,0.019378,-0.106189,-0.096568,-0.004495,-0.003343,1.000000,0.000055,0.000097,-0.000531,0.385764,-0.624701,0.362177,0.574250,-122.985652,85.486110,-6.899894
28707,-9.668924,-0.344490,-0.325652,-0.309641,-0.050991,-0.137238,-0.012481,0.018936,-0.114293,-0.096691,-0.003390,-0.003247,1.000000,-0.000062,0.000095,-0.000571,0.385996,-0.624953,0.361838,0.574033,-122.666997,85.432021,-6.572403
28708,-9.692236,-0.315841,-0.356668,-0.332753,-0.094664,-0.114919,-0.030890,0.019928,-0.114295,-0.096924,-0.003104,-0.003557,1.000000,-0.000154,0.000100,-0.000571,0.386170,-0.625227,0.361448,0.573864,-122.354036,85.379850,-6.240105
28709,-9.662690,-0.466017,-0.366900,-0.201083,-0.041172,-0.133987,-0.048329,0.016087,-0.117225,-0.096630,-0.004604,-0.003660,1.000000,-0.000242,0.000080,-0.000586,0.386303,-0.625545,0.360992,0.573715,-122.042757,85.324929,-5.899359
28710,-9.658339,-0.645083,-0.415833,-0.028397,-0.009846,-0.123949,-0.046908,0.015776,-0.119431,-0.096588,-0.006394,-0.004149,1.000000,-0.000235,0.000079,-0.000597,0.386450,-0.625846,0.360531,0.573577,-121.710539,85.271233,-5.538529
28711,-9.698069,-0.657399,-0.405580,-0.035146,0.001397,-0.083969,-0.041712,0.011732,-0.124028,-0.096985,-0.006515,-0.004049,1.000000,-0.000209,0.000059,-0.000620,0.386631,-0.626151,0.360064,0.573416,-121.360940,85.213978,-5.163080
28712,-9.673314,-0.684315,-0.427013,-0.009366,-0.010193,-0.105812,-0.043342,0.015838,-0.122446,-0.096738,-0.006785,-0.004261,1.000000,-0.000217,0.000079,-0.000612,0.386797,-0.626451,0.359604,0.573265,-121.032669,85.158421,-4.808147
28713,-9.632544,-0.729337,-0.445299,0.032326,-0.010807,-0.142375,-0.044720,0.009416,-0.123496,-0.096330,-0.007235,-0.004447,1.000000,-0.000224,0.000047,-0.000617,0.386971,-0.626753,0.359126,0.573117,-120.689877,85.101746,-4.437738
28714,-9.704718,-0.764023,-0.396862,0.026398,0.044085,-0.069991,-0.046360,0.008493,-0.120222,-0.097052,-0.007583,-0.003963,1.000000,-0.000232,0.000042,-0.000601,0.387133,-0.627033,0.358649,0.572999,-120.344531,85.049045,-4.063884
28715,-9.679689,-0.814882,-0.369053,0.052171,0.087371,-0.092283,-0.041390,0.008282,-0.117132,-0.096802,-0.008093,-0.003685,1.000000,-0.000207,0.000041,-0.000586,0.387301,-0.627314,0.358198,0.572861,-120.030146,84.995483,-3.723844
28716,-9.685441,-0.761023,-0.337454,-0.019548,0.087546,-0.091950,-0.041705,0.008759,-0.119469,-0.096859,-0.007553,-0.003369,1.000000,-0.000209,0.000044,-0.000597,0.387476,-0.627584,0.357738,0.572734,-119.700840,84.942694,-3.368708
28717,-9.683769,-0.762685,-0.284855,-0.050663,0.131365,-0.095776,-0.047883,0.007520,-0.116871,-0.096842,-0.007571,-0.002843,1.000000,-0.000239,0.000038,-0.000584,0.387624,-0.627875,0.357266,0.572610,-119.400570,84.889153,-3.039050
28718,-9.675449,-0.804512,-0.313944,-0.008550,0.119819,-0.099517,-0.059931,0.009584,-0.111027,-0.096759,-0.007992,-0.003132,1.000000,-0.000300,0.000048,-0.000555,0.387715,-0.628168,0.356782,0.572529,-119.126078,84.840006,-2.728402
28719,-9.634186,-0.872469,-0.283591,0.033479,0.173805,-0.136540,-0.064005,0.012088,-0.107610,-0.096347,-0.008674,-0.002827,1.000000,-0.000320,0.000060,-0.000538,0.387777,-0.628485,0.356302,0.572437,-118.900613,84.789564,-2.464528
28720,-9.651287,-1.059388,-0.264989,0.182295,0.271007,-0.105310,-0.062085,0.017946,-0.095715,-0.096518,-0.010549,-0.002638,1.000000,-0.000310,0.000090,-0.000479,0.387804,-0.628778,0.355875,0.572362,-118.729235,84.745549,-2.256179
28721,-9.659220,-1.115510,-0.302982,0.240418,0.259778,-0.090990,-0.053024,0.011896,-0.097694,-0.096598,-0.011109,-0.003021,1.000000,-0.000265,0.000059,-0.000488,0.387872,-0.629056,0.355458,0.572270,-118.534158,84.699989,-2.029102
28722,-9.681459,-1.041312,-0.275001,0.152412,0.249255,-0.075889,-0.041081,0.018633,-0.089087,-0.096819,-0.010371,-0.002739,1.000000,-0.000205,0.000093,-0.000445,0.387944,-0.629299,0.355113,0.572169,-118.380036,84.658957,-1.850130
28723,-9.637582,-0.868102,-0.209872,-0.034091,0.228164,-0.136562,-0.042755,0.017708,-0.085841,-0.096380,-0.008640,-0.002088,1.000000,-0.000214,0.000089,-0.000429,0.388001,-0.629552,0.354773,0.572063,-118.250899,84.617682,-1.695162
28724,-9.659991,-0.758855,-0.177017,-0.154749,0.206909,-0.124764,-0.049972,0.021254,-0.080325,-0.096603,-0.007550,-0.001758,1.000000,-0.000250,0.000106,-0.000402,0.388015,-0.629804,0.354435,0.571986,-118.145419,84.580260,-1.559911
28725,-9.644398,-0.744315,-0.327777,-0.105781,0.064527,-0.134852,-0.075272,0.023461,-0.077477,-0.096447,-0.007407,-0.003264,1.000000,-0.000376,0.000117,-0.000387,0.387935,-0.630121,0.354040,0.571935,-118.092863,84.541608,-1.463135
28726,-9.660964,-0.869952,-0.354169,0.010033,0.096416,-0.106655,-0.084932,0.023736,-0.075147,-0.096613,-0.008665,-0.003527,1.000000,-0.000425,0.000119,-0.000376,0.387820,-0.630438,0.353623,0.571922,-118.037761,84.506098,-1.358365
28727,-9.662044,-0.997724,-0.480322,0.173693,0.040842,-0.089035,-0.087629,0.024261,-0.070631,-0.096625,-0.009945,-0.004787,1.000000,-0.000438,0.000121,-0.000353,0.387679,-0.630770,0.353215,0.571904,-118.017492,84.470679,-1.286901
28728,-9.669067,-1.066312,-0.417021,0.200248,0.127785,-0.078965,-0.067067,0.020493,-0.064755,-0.096695,-0.010633,-0.004157,1.000000,-0.000335,0.000102,-0.000324,0.387596,-0.631024,0.352875,0.571889,-117.965836,84.441252,-1.195852
28729,-9.692795,-1.032947,-0.448513,0.176846,0.084411,-0.056663,-0.044147,0.025069,-0.065720,-0.096932,-0.010299,-0.004471,1.000000,-0.000221,0.000125,-0.000329,0.387577,-0.631265,0.352608,0.571801,-117.939645,84.408093,-1.143463
28730,-9.634060,-0.909552,-0.385349,0.039516,0.084462,-0.128567,-0.033338,0.023285,-0.060904,-0.096344,-0.009067,-0.003841,1.000000,-0.000167,0.000116,-0.000305,0.387585,-0.631455,0.352383,0.571724,-117.894972,84.379803,-1.078866
28731,-9.632327,-0.862424,-0.275406,-0.056552,0.161418,-0.139420,-0.045088,0.029799,-0.054377,-0.096326,-0.008599,-0.002738,1.000000,-0.000225,0.000149,-0.000272,0.387523,-0.631691,0.352158,0.571645,-117.925230,84.351114,-1.082653
28732,-9.681148,-0.856890,-0.346367,-0.038884,0.095872,-0.088071,-0.046445,0.026720,-0.053806,-0.096814,-0.008544,-0.003449,1.000000,-0.000232,0.000134,-0.000269,0.387463,-0.631904,0.351923,0.571594,-117.925398,84.325480,-1.055537
28733,-9.623282,-0.868976,-0.304380,-0.045984,0.139125,-0.146569,-0.054046,0.027398,-0.052343,-0.096236,-0.008665,-0.003028,1.000000,-0.000270,0.000137,-0.000262,0.387370,-0.632147,0.351675,0.571542,-117.953888,84.298465,-1.052388
28734,-9.655307,-0.998946,-0.286072,0.053952,0.214918,-0.104156,-0.067852,0.028439,-0.043309,-0.096556,-0.009970,-0.002844,1.000000,-0.000339,0.000142,-0.000217,0.387209,-0.632388,0.351416,0.571544,-118.003269,84.277674,-1.062349
28735,-9.679705,-1.134091,-0.344604,0.193809,0.225195,-0.065210,-0.051191,0.028450,-0.043408,-0.096800,-0.011321,-0.003429,1.000000,-0.000256,0.000142,-0.000217,0.387098,-0.632612,0.351206,0.571500,-118.058979,84.254895,-1.088201
28736,-9.646682,-1.012451,-0.369474,0.096810,0.148771,-0.107609,-0.055679,0.031428,-0.042374,-0.096470,-0.010105,-0.003677,1.000000,-0.000278,0.000157,-0.000212,0.386968,-0.632836,0.350989,0.571472,-118.118202,84.233719,-1.115141
28737,-9.630105,-0.906517,-0.402791,0.015901,0.072662,-0.131912,-0.060492,0.034850,-0.035344,-0.096303,-0.009049,-0.004008,1.000000,-0.000302,0.000174,-0.000177,0.386793,-0.633082,0.350791,0.571440,-118.232001,84.213275,-1.194025
28738,-9.678204,-0.812682,-0.356099,-0.096283,0.073366,-0.094651,-0.056306,0.034003,-0.033691,-0.096784,-0.008112,-0.003542,1.000000,-0.000282,0.000170,-0.000168,0.386632,-0.633300,0.350605,0.571422,-118.326697,84.195749,-1.256291
28739,-9.653498,-0.795973,-0.374353,-0.103603,0.051365,-0.119887,-0.056285,0.033996,-0.033677,-0.096537,-0.007945,-0.003725,1.000000,-0.000281,0.000170,-0.000168,0.386467,-0.633532,0.350422,0.571388,-118.437080,84.176350,-1.334168
28740,-9.677409,-0.818835,-0.363522,-0.093657,0.073025,-0.094623,-0.050725,0.032892,-0.034266,-0.096776,-0.008173,-0.003617,1.000000,-0.000254,0.000164,-0.000171,0.386326,-0.633737,0.350248,0.571363,-118.520708,84.158810,-1.388449
28741,-9.644010,-0.985153,-0.329354,0.038261,0.181191,-0.114665,-0.048285,0.036143,-0.031047,-0.096442,-0.009837,-0.003274,1.000000,-0.000241,0.000181,-0.000155,0.386175,-0.633956,0.350100,0.571313,-118.642939,84.140118,-1.482849
28742,-9.676138,-1.054403,-0.355168,0.105222,0.191672,-0.075247,-0.028532,0.033468,-0.029934,-0.096764,-0.010530,-0.003534,1.000000,-0.000143,0.000167,-0.000150,0.386092,-0.634112,0.350005,0.571255,-118.727274,84.124553,-1.550658
28743,-9.651222,-0.994271,-0.313845,0.032940,0.202799,-0.107486,-0.025403,0.034078,-0.027020,-0.096514,-0.009930,-0.003121,1.000000,-0.000127,0.000170,-0.000135,0.386006,-0.634273,0.349931,0.571180,-118.835946,84.108420,-1.644613
28744,-9.618519,-0.973261,-0.354520,0.033839,0.158577,-0.139914,-0.025736,0.032881,-0.026046,-0.096187,-0.009721,-0.003528,1.000000,-0.000129,0.000164,-0.000130,0.385921,-0.634415,0.349854,0.571126,-118.925222,84.094922,-1.719001
28745,-9.634958,-0.830111,-0.392880,-0.079533,0.061056,-0.134578,-0.024343,0.034253,-0.023254,-0.096351,-0.008290,-0.003911,1.000000,-0.000122,0.000171,-0.000116,0.385827,-0.634568,0.349796,0.571055,-119.043224,84.080593,-1.822951
28746,-9.650870,-0.848498,-0.405105,-0.061646,0.060774,-0.116510,-0.036117,0.040774,-0.025073,-0.096511,-0.008474,-0.004030,1.000000,-0.000181,0.000204,-0.000125,0.385693,-0.634751,0.349708,0.570996,-119.178247,84.065335,-1.937377
28747,-9.617936,-0.775361,-0.333187,-0.158319,0.093813,-0.159552,-0.048895,0.038678,-0.022356,-0.096181,-0.007744,-0.003311,1.000000,-0.000244,0.000193,-0.000112,0.385511,-0.634962,0.349590,0.570956,-119.332805,84.050166,-2.063943
28748,-9.625974,-0.798380,-0.422128,-0.100194,0.027738,-0.145000,-0.077912,0.032676,-0.018874,-0.096261,-0.007976,-0.004202,1.000000,-0.000390,0.000163,-0.000094,0.385240,-0.635191,0.349387,0.571008,-119.468574,84.040216,-2.154999
28749,-9.666035,-0.903940,-0.431142,-0.008785,0.071180,-0.095174,-0.084802,0.034006,-0.016017,-0.096662,-0.009033,-0.004291,1.000000,-0.000424,0.000170,-0.000080,0.384934,-0.635447,0.349178,0.571058,-119.637321,84.029460,-2.275152
28750,-9.657574,-0.935397,-0.463264,0.033256,0.059672,-0.099106,-0.078193,0.029760,-0.014546,-0.096577,-0.009349,-0.004615,1.000000,-0.000391,0.000149,-0.000073,0.384655,-0.635661,0.348982,0.571127,-119.770405,84.022428,-2.363355
28751,-9.624460,-1.006485,-0.466894,0.099482,0.091803,-0.125433,-0.057792,0.034534,-0.016977,-0.096246,-0.010058,-0.004649,1.000000,-0.000289,0.000173,-0.000085,0.384437,-0.635868,0.348848,0.571126,-119.922675,84.010980,-2.482506
28752,-9.648834,-0.925402,-0.439713,0.011486,0.081262,-0.109957,-0.034637,0.037025,-0.012214,-0.096490,-0.009249,-0.004378,1.000000,-0.000173,0.000185,-0.000061,0.384277,-0.636015,0.348797,0.571101,-120.070852,84.002946,-2.610988
28753,-9.657430,-0.726046,-0.387010,-0.191210,0.038763,-0.122238,-0.031161,0.033883,-0.016993,-0.096576,-0.007253,-0.003853,1.000000,-0.000156,0.000169,-0.000085,0.384144,-0.636169,0.348738,0.571055,-120.203811,83.991614,-2.726066
28754,-9.632696,-0.733115,-0.356692,-0.197945,0.071085,-0.147839,-0.063622,0.036108,-0.018714,-0.096328,-0.007323,-0.003547,1.000000,-0.000318,0.000181,-0.000094,0.383912,-0.636381,0.348582,0.571070,-120.345725,83.980556,-2.831547
28755,-9.640121,-0.840390,-0.354807,-0.106757,0.125214,-0.130901,-0.082590,0.032676,-0.013473,-0.096402,-0.008399,-0.003529,1.000000,-0.000413,0.000163,-0.000067,0.383608,-0.636623,0.348385,0.571125,-120.511224,83.971252,-2.949721
28756,-9.663446,-1.039874,-0.426714,0.098807,0.156718,-0.085854,-0.093260,0.029279,-0.008277,-0.096636,-0.010397,-0.004248,1.000000,-0.000466,0.000146,-0.000041,0.383264,-0.636854,0.348165,0.571233,-120.666146,83.967273,-3.051278
28757,-9.679583,-1.022481,-0.433309,0.083772,0.145991,-0.071064,-0.080803,0.030190,-0.009990,-0.096797,-0.010222,-0.004314,1.000000,-0.000404,0.000151,-0.000050,0.382959,-0.637079,0.347979,0.571299,-120.827961,83.960343,-3.166780
28758,-9.621761,-1.166284,-0.414566,0.207373,0.231958,-0.116628,-0.061477,0.031297,-0.001175,-0.096218,-0.011664,-0.004127,1.000000,-0.000307,0.000156,-0.000006,0.382693,-0.637242,0.347876,0.571359,-120.993432,83.959164,-3.297252
28759,-9.646231,-1.126181,-0.446556,0.184073,0.188582,-0.094250,-0.031472,0.034091,0.005782,-0.096463,-0.011265,-0.004447,1.000000,-0.000157,0.000170,0.000029,0.382493,-0.637357,0.347889,0.571356,-121.188678,83.958746,-3.474794
28760,-9.646585,-1.023622,-0.433314,0.087543,0.156072,-0.103921,-0.017332,0.044324,0.000966,-0.096467,-0.010237,-0.004311,1.000000,-0.000087,0.000222,0.000005,0.382339,-0.637469,0.347943,0.571302,-121.394784,83.954616,-3.671458
28761,-9.646782,-0.955065,-0.425837,0.023387,0.134580,-0.110357,-0.013188,0.036742,0.007525,-0.096468,-0.009555,-0.004240,1.000000,-0.000066,0.000184,0.000038,0.382188,-0.637554,0.348018,0.571263,-121.596544,83.954124,-3.866087
28762,-9.597991,-0.965064,-0.361566,0.008394,0.199535,-0.161592,-0.003219,0.042566,0.019379,-0.095980,-0.009660,-0.003595,1.000000,-0.000016,0.000213,0.000097,0.382029,-0.637602,0.348168,0.571224,-121.838552,83.959312,-4.107052
