PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36672,-9.687510,-0.346159,-0.386329,-0.266768,-0.430791,-0.124541,-0.089971,0.012821,-0.080984,-0.096877,-0.003424,-0.003856,1.000000,-0.000450,0.000064,-0.000405,-0.140484,0.720108,-0.085780,-0.674055,-120.873894,84.203339,40.689387
36673,-9.664175,-0.473889,-0.364008,-0.249157,-0.307424,-0.138146,-0.114394,0.009413,-0.086436,-0.096644,-0.004699,-0.003633,1.000000,-0.000572,0.000047,-0.000432,-0.140323,0.720234,-0.085119,-0.674038,-120.737941,84.164824,40.892576
36674,-9.627133,-0.637549,-0.485225,-0.083171,-0.194755,-0.154595,-0.126354,0.005203,-0.089439,-0.096274,-0.006335,-0.004846,1.000000,-0.000632,0.000026,-0.000447,-0.140124,0.720345,-0.084410,-0.674050,-120.576886,84.127866,41.127937
36675,-9.637613,-0.574840,-0.542539,-0.052237,-0.279891,-0.146908,-0.125506,0.005703,-0.102232,-0.096379,-0.005703,-0.005419,1.000000,-0.000628,0.000029,-0.000511,-0.139978,0.720472,-0.083652,-0.674039,-120.389916,84.082515,41.388844
36676,-9.670075,-0.503254,-0.604346,-0.021483,-0.377040,-0.118038,-0.156389,0.007659,-0.112266,-0.096704,-0.004983,-0.006036,1.000000,-0.000782,0.000038,-0.000561,-0.139746,0.720621,-0.082761,-0.674038,-120.200271,84.033413,41.670265
36677,-9.700128,-0.602094,-0.649075,0.045537,-0.307808,-0.077213,-0.161100,0.000384,-0.114261,-0.097005,-0.005971,-0.006486,1.000000,-0.000805,0.000002,-0.000571,-0.139514,0.720759,-0.081836,-0.674051,-119.982832,83.983444,41.982359
36678,-9.654026,-0.659529,-0.708943,0.120550,-0.277434,-0.114941,-0.140251,-0.000852,-0.120804,-0.096544,-0.006542,-0.007085,1.000000,-0.000701,-0.000004,-0.000604,-0.139373,0.720871,-0.080963,-0.674067,-119.729547,83.932313,42.318533
36679,-9.674746,-0.785292,-0.584647,0.035947,-0.130850,-0.089479,-0.092258,-0.001910,-0.127488,-0.096752,-0.007794,-0.005844,1.000000,-0.000461,-0.000010,-0.000637,-0.139434,0.720957,-0.080221,-0.674050,-119.436438,83.876115,42.667120
36680,-9.643236,-0.749982,-0.497756,-0.057428,-0.145731,-0.128800,-0.065258,-0.010261,-0.130747,-0.096437,-0.007438,-0.004980,1.000000,-0.000326,-0.000051,-0.000654,-0.139600,0.720988,-0.079558,-0.674061,-119.081907,83.822275,43.061988
36681,-9.678542,-0.635745,-0.444002,-0.148488,-0.251570,-0.107527,-0.069348,-0.009333,-0.139093,-0.096790,-0.006292,-0.004442,1.000000,-0.000347,-0.000047,-0.000695,-0.139786,0.721037,-0.078846,-0.674054,-118.724359,83.761876,43.462264
36682,-9.676509,-0.741014,-0.380275,-0.179701,-0.143621,-0.103125,-0.105900,-0.009118,-0.139525,-0.096770,-0.007345,-0.003803,1.000000,-0.000529,-0.000046,-0.000698,-0.139835,0.721103,-0.078016,-0.674070,-118.389965,83.702803,43.860380
36683,-9.658512,-0.981401,-0.419857,-0.071167,0.062087,-0.095828,-0.109143,-0.015533,-0.135260,-0.096591,-0.009751,-0.004201,1.000000,-0.000546,-0.000078,-0.000676,-0.139866,0.721157,-0.077179,-0.674102,-118.050350,83.645507,44.265645
36684,-9.589947,-1.008271,-0.516906,0.032592,0.051945,-0.156233,-0.115699,-0.023679,-0.135631,-0.095906,-0.010021,-0.005175,1.000000,-0.000578,-0.000118,-0.000678,-0.139872,0.721178,-0.076319,-0.674176,-117.678412,83.591780,44.707276
36685,-9.607515,-1.162996,-0.459873,0.020901,0.203686,-0.126282,-0.109487,-0.016094,-0.130323,-0.096082,-0.011570,-0.004600,1.000000,-0.000547,-0.000080,-0.000652,-0.139886,0.721227,-0.075498,-0.674213,-117.361230,83.536601,45.090250
36686,-9.625299,-1.275630,-0.446268,0.037825,0.302932,-0.097773,-0.083937,-0.014021,-0.122919,-0.096260,-0.012699,-0.004464,1.000000,-0.000420,-0.000070,-0.000615,-0.139959,0.721253,-0.074798,-0.674248,-117.056310,83.486228,45.446190
36687,-9.645919,-1.277227,-0.449926,0.038201,0.291590,-0.076621,-0.046959,-0.017354,-0.113882,-0.096466,-0.012718,-0.004505,1.000000,-0.000235,-0.000087,-0.000569,-0.140144,0.721247,-0.074246,-0.674278,-116.746052,83.439316,45.786211
36688,-9.671501,-1.141063,-0.402623,-0.050322,0.164791,-0.067311,-0.038710,-0.015669,-0.112140,-0.096721,-0.011357,-0.004032,1.000000,-0.000194,-0.000078,-0.000561,-0.140344,0.721231,-0.073736,-0.674309,-116.441521,83.394409,46.115749
36689,-9.540907,-1.130354,-0.327744,-0.115684,0.178849,-0.201826,-0.033949,-0.013078,-0.101215,-0.095415,-0.011256,-0.003282,1.000000,-0.000170,-0.000065,-0.000506,-0.140531,0.721225,-0.073276,-0.674326,-116.179180,83.352520,46.400087
36690,-9.590453,-1.260722,-0.332932,-0.077145,0.288795,-0.138614,-0.022754,-0.010834,-0.093059,-0.095910,-0.012563,-0.003333,1.000000,-0.000114,-0.000054,-0.000465,-0.140724,0.721207,-0.072892,-0.674347,-115.935428,83.315839,46.659270
36691,-9.594212,-1.108243,-0.369455,-0.088559,0.124768,-0.148828,-0.018894,-0.014398,-0.090580,-0.095947,-0.011039,-0.003700,1.000000,-0.000094,-0.000072,-0.000453,-0.140930,0.721182,-0.072521,-0.674370,-115.687581,83.279480,46.920374
36692,-9.662304,-1.019877,-0.356006,-0.133376,0.031505,-0.091153,-0.029533,-0.011666,-0.088482,-0.096627,-0.010157,-0.003564,1.000000,-0.000148,-0.000058,-0.000442,-0.141083,0.721164,-0.072129,-0.674400,-115.458884,83.245088,47.168348
36693,-9.682372,-1.036442,-0.405001,-0.084370,0.023614,-0.066976,-0.066829,-0.013450,-0.082223,-0.096828,-0.010326,-0.004053,1.000000,-0.000334,-0.000067,-0.000411,-0.141087,0.721173,-0.071627,-0.674443,-115.264978,83.212586,47.402827
36694,-9.711581,-1.090699,-0.491415,0.011306,0.040419,-0.027793,-0.088120,-0.021548,-0.073909,-0.097119,-0.010873,-0.004920,1.000000,-0.000441,-0.000108,-0.000370,-0.140984,0.721158,-0.071083,-0.674539,-115.060905,83.187940,47.659830
36695,-9.673425,-1.214109,-0.522426,0.079685,0.146111,-0.050801,-0.096946,-0.017085,-0.068846,-0.096738,-0.012110,-0.005227,1.000000,-0.000485,-0.000085,-0.000344,-0.140836,0.721170,-0.070525,-0.674615,-114.899177,83.163081,47.879305
36696,-9.627185,-1.256360,-0.558894,0.130280,0.174712,-0.090239,-0.072968,-0.014326,-0.060098,-0.096275,-0.012537,-0.005591,1.000000,-0.000365,-0.000072,-0.000300,-0.140738,0.721163,-0.070087,-0.674689,-114.748358,83.143669,48.073955
36697,-9.654702,-1.139629,-0.422951,-0.035458,0.096977,-0.082309,-0.048673,-0.019768,-0.060945,-0.096550,-0.011368,-0.004236,1.000000,-0.000243,-0.000099,-0.000305,-0.140738,0.721129,-0.069718,-0.674763,-114.565569,83.123419,48.286805
36698,-9.669824,-1.061521,-0.297334,-0.178409,0.054321,-0.082017,-0.037223,-0.015177,-0.048458,-0.096701,-0.010592,-0.002979,1.000000,-0.000186,-0.000076,-0.000242,-0.140730,0.721090,-0.069442,-0.674835,-114.415457,83.110109,48.460125
36699,-9.707731,-1.184395,-0.356271,-0.089255,0.146519,-0.027989,-0.042989,-0.011917,-0.046190,-0.097080,-0.011822,-0.003566,1.000000,-0.000215,-0.000060,-0.000231,-0.140698,0.721074,-0.069151,-0.674889,-114.293945,83.095572,48.607985
36700,-9.613840,-1.344908,-0.344766,-0.045883,0.308058,-0.104106,-0.028140,-0.007039,-0.036755,-0.096141,-0.013432,-0.003449,1.000000,-0.000141,-0.000035,-0.000184,-0.140681,0.721051,-0.068954,-0.674937,-114.197427,83.086358,48.722083
36701,-9.613268,-1.324020,-0.432201,0.031893,0.259657,-0.102574,-0.009931,-0.010960,-0.036638,-0.096135,-0.013223,-0.004327,1.000000,-0.000050,-0.000055,-0.000183,-0.140735,0.721011,-0.068810,-0.674983,-114.080454,83.076524,48.846297
36702,-9.663930,-1.162805,-0.365806,-0.081345,0.118996,-0.073247,0.004103,-0.003411,-0.030919,-0.096641,-0.011613,-0.003660,1.000000,0.000021,-0.000017,-0.000155,-0.140814,0.720976,-0.068744,-0.675010,-113.992720,83.069424,48.932938
36703,-9.692936,-1.245396,-0.387444,-0.038570,0.186640,-0.034251,0.003007,-0.006384,-0.022487,-0.096931,-0.012443,-0.003878,1.000000,0.000015,-0.000032,-0.000112,-0.140866,0.720938,-0.068698,-0.675045,-113.915621,83.065887,49.009521
36704,-9.616533,-1.221404,-0.447042,0.018649,0.151802,-0.109802,0.033111,-0.005958,-0.019356,-0.096166,-0.012204,-0.004475,1.000000,0.000166,-0.000030,-0.000097,-0.141010,0.720870,-0.068770,-0.675080,-113.822507,83.065380,49.084837
36705,-9.555339,-1.122815,-0.405110,-0.044154,0.074989,-0.183474,0.044112,0.002202,-0.013914,-0.095554,-0.011221,-0.004053,1.000000,0.000221,0.000011,-0.000070,-0.141179,0.720829,-0.068899,-0.675076,-113.775268,83.064328,49.107615
36706,-9.655394,-1.089997,-0.368147,-0.095557,0.045167,-0.089566,0.042397,-0.004284,-0.008040,-0.096554,-0.010895,-0.003686,1.000000,0.000212,-0.000021,-0.000040,-0.141318,0.720756,-0.069045,-0.675109,-113.705496,83.069325,49.154058
36707,-9.687682,-1.102270,-0.364098,-0.097360,0.055003,-0.056343,0.027839,0.002538,-0.005321,-0.096877,-0.011020,-0.003641,1.000000,0.000139,0.000013,-0.000027,-0.141399,0.720724,-0.069150,-0.675116,-113.685309,83.072698,49.158978
36708,-9.704273,-1.221499,-0.396549,-0.031800,0.157723,-0.025128,0.015160,-0.003017,0.001377,-0.097043,-0.012215,-0.003968,1.000000,0.000076,-0.000015,0.000007,-0.141408,0.720672,-0.069238,-0.675161,-113.654298,83.082327,49.182091
36709,-9.605420,-1.237567,-0.386793,-0.027129,0.185761,-0.121969,0.027247,-0.004853,0.005548,-0.096054,-0.012378,-0.003872,1.000000,0.000136,-0.000024,0.000028,-0.141452,0.720612,-0.069376,-0.675201,-113.623008,83.093102,49.198536
36710,-9.623095,-1.078697,-0.369598,-0.089095,0.039497,-0.122763,0.036634,-0.004615,0.009189,-0.096230,-0.010791,-0.003700,1.000000,0.000183,-0.000023,0.000046,-0.141513,0.720536,-0.069563,-0.675250,-113.587331,83.107168,49.213955
36711,-9.651564,-0.931384,-0.322362,-0.177847,-0.087450,-0.112955,0.038561,0.005072,0.012263,-0.096515,-0.009319,-0.003223,1.000000,0.000193,0.000025,0.000061,-0.141572,0.720499,-0.069770,-0.675256,-113.605327,83.119191,49.174225
36712,-9.659971,-0.977619,-0.382831,-0.106039,-0.060239,-0.096594,0.035158,0.004785,0.015312,-0.096599,-0.009783,-0.003828,1.000000,0.000176,0.000024,0.000077,-0.141604,0.720454,-0.069982,-0.675275,-113.623034,83.134315,49.136727
36713,-9.606048,-1.233153,-0.385289,-0.023306,0.189123,-0.122024,0.041644,0.000315,0.024440,-0.096059,-0.012342,-0.003855,1.000000,0.000208,0.000002,0.000122,-0.141635,0.720394,-0.070240,-0.675306,-113.642000,83.153819,49.094244
36714,-9.709932,-1.363772,-0.414595,0.036646,0.297884,-0.003280,0.059481,0.008764,0.022247,-0.097098,-0.013647,-0.004146,1.000000,0.000297,0.000044,0.000111,-0.141729,0.720343,-0.070560,-0.675307,-113.676763,83.171650,49.025533
36715,-9.667795,-1.353261,-0.337587,-0.034668,0.317664,-0.050033,0.081816,0.003926,0.030723,-0.096676,-0.013546,-0.003380,1.000000,0.000409,0.000020,0.000154,-0.141882,0.720265,-0.070979,-0.675315,-113.701062,83.193615,48.954502
36716,-9.584970,-1.258888,-0.292046,-0.096883,0.252935,-0.144783,0.093956,0.011198,0.041158,-0.095847,-0.012607,-0.002921,1.000000,0.000470,0.000056,0.000206,-0.142036,0.720190,-0.071486,-0.675309,-113.763906,83.220749,48.837622
36717,-9.633425,-1.158702,-0.252671,-0.165732,0.170003,-0.109443,0.097582,0.014702,0.047069,-0.096332,-0.011608,-0.002525,1.000000,0.000488,0.000074,0.000235,-0.142187,0.720131,-0.072025,-0.675283,-113.859605,83.248772,48.685602
36718,-9.636142,-1.070699,-0.338680,-0.107952,0.065590,-0.112153,0.089265,0.014450,0.053033,-0.096359,-0.010731,-0.003385,1.000000,0.000446,0.000072,0.000265,-0.142283,0.720066,-0.072560,-0.675275,-113.964472,83.281306,48.529128
36719,-9.683250,-0.987686,-0.345474,-0.128162,-0.013873,-0.073921,0.093661,0.019430,0.050758,-0.096830,-0.009900,-0.003450,1.000000,0.000468,0.000097,0.000254,-0.142405,0.720024,-0.073102,-0.675235,-114.093074,83.310088,48.346259
36720,-9.657683,-1.102175,-0.324282,-0.110445,0.109542,-0.088152,0.086444,0.018592,0.063254,-0.096574,-0.011051,-0.003239,1.000000,0.000432,0.000093,0.000316,-0.142455,0.719970,-0.073668,-0.675220,-114.241269,83.346906,48.147808
36721,-9.653627,-1.192158,-0.418221,0.007909,0.173365,-0.078287,0.093150,0.020907,0.066379,-0.096533,-0.011952,-0.004178,1.000000,0.000466,0.000105,0.000332,-0.142522,0.719927,-0.074266,-0.675187,-114.411695,83.383384,47.923154
36722,-9.655930,-1.135274,-0.439446,0.013040,0.119857,-0.081069,0.102537,0.021442,0.071583,-0.096556,-0.011385,-0.004390,1.000000,0.000513,0.000107,0.000358,-0.142600,0.719869,-0.074918,-0.675160,-114.584671,83.423715,47.690505
36723,-9.584268,-1.016704,-0.430741,-0.023347,0.023489,-0.165080,0.111968,0.021384,0.073726,-0.095839,-0.010200,-0.004303,1.000000,0.000560,0.000107,0.000369,-0.142710,0.719810,-0.075605,-0.675123,-114.766395,83.463745,47.443662
36724,-9.565275,-0.982747,-0.336882,-0.119135,0.029472,-0.191944,0.115631,0.024607,0.078109,-0.095649,-0.009863,-0.003363,1.000000,0.000578,0.000123,0.000391,-0.142812,0.719750,-0.076327,-0.675084,-114.965278,83.506513,47.177433
36725,-9.590126,-0.906445,-0.340578,-0.138949,-0.037921,-0.174876,0.114767,0.028449,0.080530,-0.095898,-0.009101,-0.003397,1.000000,0.000574,0.000142,0.000403,-0.142906,0.719710,-0.077054,-0.675024,-115.197968,83.548157,46.877724
36726,-9.634810,-0.912239,-0.285433,-0.191255,-0.010296,-0.132475,0.098865,0.029775,0.085775,-0.096345,-0.009162,-0.002845,1.000000,0.000494,0.000149,0.000429,-0.142920,0.719676,-0.077750,-0.674978,-115.453463,83.593389,46.564249
36727,-9.636105,-0.895093,-0.264965,-0.214730,-0.011251,-0.133861,0.076972,0.031134,0.084303,-0.096358,-0.008991,-0.002638,1.000000,0.000385,0.000156,0.000422,-0.142864,0.719670,-0.078365,-0.674925,-115.735981,83.636014,46.236242
36728,-9.638004,-0.868559,-0.222312,-0.262257,-0.013875,-0.136637,0.053498,0.033710,0.087277,-0.096377,-0.008727,-0.002209,1.000000,0.000267,0.000169,0.000436,-0.142708,0.719680,-0.078916,-0.674884,-116.047375,83.680692,45.892721
36729,-9.625802,-0.908683,-0.257949,-0.214634,0.023589,-0.143061,0.033435,0.036545,0.087202,-0.096255,-0.009128,-0.002563,1.000000,0.000167,0.000183,0.000436,-0.142483,0.719722,-0.079398,-0.674830,-116.395436,83.723036,45.523925
36730,-9.637490,-0.847526,-0.362185,-0.134718,-0.057946,-0.132337,0.030051,0.035999,0.088720,-0.096372,-0.008517,-0.003606,1.000000,0.000150,0.000180,0.000444,-0.142237,0.719755,-0.079877,-0.674790,-116.743817,83.767421,45.156780
36731,-9.596887,-0.747784,-0.375285,-0.149399,-0.143544,-0.181626,0.023655,0.035770,0.088413,-0.095966,-0.007520,-0.003737,1.000000,0.000118,0.000179,0.000442,-0.141973,0.719800,-0.080330,-0.674743,-117.106655,83.810084,44.778817
36732,-9.596182,-0.757915,-0.423857,-0.099676,-0.139227,-0.178816,0.013051,0.037939,0.087401,-0.095959,-0.007621,-0.004221,1.000000,0.000065,0.000190,0.000437,-0.141670,0.719852,-0.080748,-0.674702,-117.481041,83.852789,44.395354
36733,-9.618279,-0.781406,-0.388651,-0.127543,-0.097866,-0.156235,0.018313,0.039641,0.085787,-0.096180,-0.007855,-0.003868,1.000000,0.000092,0.000198,0.000429,-0.141394,0.719915,-0.081176,-0.674641,-117.869080,83.892551,43.995184
36734,-9.626123,-0.913209,-0.387900,-0.088095,0.036367,-0.136037,0.024728,0.039867,0.086120,-0.096258,-0.009173,-0.003861,1.000000,0.000124,0.000199,0.000431,-0.141135,0.719965,-0.081630,-0.674587,-118.253259,83.933542,43.595239
