PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
36672,-3.964417,3.689935,8.321461,0.059724,-0.123311,0.115059,-0.023507,-0.017557,-0.013065,-0.039649,0.036912,0.083207,1.000000,-0.000118,-0.000088,-0.000065,-0.552675,-0.282965,0.031189,0.783268,23.344379,24.129504,-104.529822
36673,-3.981120,3.637527,8.307934,0.029333,-0.084151,0.091592,-0.031792,-0.010319,-0.016483,-0.039812,0.036392,0.083072,1.000000,-0.000159,-0.000052,-0.000082,-0.552710,-0.282805,0.031069,0.783306,23.319758,24.123322,-104.535807
36674,-4.044146,3.600080,8.296919,0.021463,-0.010595,0.094581,-0.035597,-0.015592,-0.012766,-0.040446,0.036018,0.082960,1.000000,-0.000178,-0.000078,-0.000064,-0.552766,-0.282612,0.030960,0.783340,23.293864,24.112797,-104.540674
36675,-4.015167,3.607927,8.269284,0.039145,-0.031212,0.062395,-0.037104,-0.016483,-0.007971,-0.040157,0.036096,0.082683,1.000000,-0.000186,-0.000082,-0.000040,-0.552841,-0.282412,0.030849,0.783364,23.267584,24.101438,-104.543273
36676,-4.002471,3.710979,8.302963,0.112486,-0.090121,0.122581,-0.043934,-0.020130,-0.008935,-0.040031,0.037130,0.083017,1.000000,-0.000220,-0.000101,-0.000045,-0.552924,-0.282177,0.030726,0.783395,23.237362,24.087659,-104.547046
36677,-3.924379,3.706171,8.297591,0.098851,-0.155033,0.084416,-0.052360,-0.022515,-0.016154,-0.039250,0.037087,0.082962,1.000000,-0.000262,-0.000113,-0.000081,-0.552987,-0.281912,0.030559,0.783452,23.199813,24.074970,-104.555843
36678,-3.961029,3.662946,8.310530,0.070917,-0.108643,0.094633,-0.057287,-0.023524,-0.018973,-0.039617,0.036657,0.083090,1.000000,-0.000286,-0.000118,-0.000095,-0.553048,-0.281629,0.030379,0.783518,23.159262,24.061656,-104.566219
36679,-3.958856,3.580954,8.325555,0.000655,-0.082489,0.076894,-0.058002,-0.025751,-0.028061,-0.039594,0.035839,0.083240,1.000000,-0.000290,-0.000129,-0.000140,-0.553072,-0.281338,0.030183,0.783613,23.115367,24.049931,-104.582662
36680,-3.988231,3.559836,8.334261,-0.007494,-0.050313,0.088612,-0.055533,-0.028225,-0.034149,-0.039888,0.035628,0.083327,1.000000,-0.000278,-0.000141,-0.000171,-0.553071,-0.281043,0.030002,0.783727,23.071798,24.037532,-104.602929
36681,-3.972246,3.599786,8.328595,0.032544,-0.078013,0.091632,-0.051150,-0.030342,-0.032586,-0.039729,0.036026,0.083271,1.000000,-0.000256,-0.000152,-0.000163,-0.553067,-0.280753,0.029839,0.783839,23.030321,24.024379,-104.623090
36682,-3.955246,3.563433,8.334783,0.001827,-0.080135,0.076913,-0.055610,-0.028347,-0.035678,-0.039558,0.035665,0.083332,1.000000,-0.000278,-0.000142,-0.000178,-0.553059,-0.280458,0.029655,0.783957,22.986353,24.012230,-104.644248
36683,-4.066513,3.534967,8.303600,0.025234,0.037591,0.085809,-0.055131,-0.026488,-0.031198,-0.040671,0.035379,0.083021,1.000000,-0.000276,-0.000132,-0.000156,-0.553067,-0.280172,0.029468,0.784062,22.943323,24.000772,-104.662638
36684,-4.027488,3.567121,8.296771,0.053938,-0.007105,0.075612,-0.059654,-0.026905,-0.026320,-0.040281,0.035701,0.082952,1.000000,-0.000298,-0.000135,-0.000132,-0.553102,-0.279870,0.029278,0.784152,22.899394,23.987271,-104.678016
36685,-3.997807,3.560798,8.346774,0.025610,-0.043619,0.103351,-0.061629,-0.029668,-0.026000,-0.039986,0.035639,0.083451,1.000000,-0.000308,-0.000148,-0.000130,-0.553138,-0.279553,0.029081,0.784247,22.853565,23.972951,-104.694156
36686,-3.982841,3.520549,8.329173,0.003623,-0.035741,0.068159,-0.057558,-0.033405,-0.025845,-0.039838,0.035235,0.083275,1.000000,-0.000288,-0.000167,-0.000129,-0.553171,-0.279230,0.028917,0.784345,22.810324,23.955895,-104.710816
36687,-3.964958,3.484594,8.335433,-0.027044,-0.038041,0.053444,-0.049987,-0.035773,-0.021296,-0.039661,0.034871,0.083339,1.000000,-0.000250,-0.000179,-0.000106,-0.553208,-0.278921,0.028789,0.784433,22.771686,23.937284,-104.725691
36688,-3.984878,3.567370,8.352113,0.046593,-0.055446,0.104869,-0.043106,-0.029697,-0.028296,-0.039856,0.035697,0.083508,1.000000,-0.000216,-0.000148,-0.000141,-0.553211,-0.278653,0.028669,0.784530,22.736532,23.922712,-104.742843
36689,-3.958909,3.478587,8.365113,-0.034982,-0.046566,0.073932,-0.047624,-0.030123,-0.023416,-0.039598,0.034810,0.083637,1.000000,-0.000238,-0.000151,-0.000117,-0.553238,-0.278373,0.028532,0.784616,22.699325,23.907539,-104.757547
36690,-4.010442,3.466353,8.374959,-0.031896,0.002763,0.098829,-0.042258,-0.036758,-0.018424,-0.040117,0.034685,0.083735,1.000000,-0.000211,-0.000184,-0.000092,-0.553277,-0.278079,0.028448,0.784696,22.666293,23.887034,-104.770676
36691,-3.974759,3.481181,8.396290,-0.031643,-0.037921,0.107624,-0.039532,-0.040018,-0.015159,-0.039762,0.034831,0.083948,1.000000,-0.000198,-0.000200,-0.000076,-0.553323,-0.277780,0.028381,0.784771,22.634707,23.864790,-104.782969
36692,-3.975865,3.550069,8.363771,0.048193,-0.052410,0.104877,-0.037705,-0.038642,-0.013797,-0.039772,0.035519,0.083623,1.000000,-0.000189,-0.000193,-0.000069,-0.553374,-0.277490,0.028327,0.784840,22.605193,23.842260,-104.793852
36693,-3.919661,3.554059,8.359564,0.045920,-0.100240,0.079998,-0.037241,-0.035636,-0.014066,-0.039209,0.035559,0.083582,1.000000,-0.000186,-0.000178,-0.000070,-0.553422,-0.277216,0.028259,0.784906,22.575623,23.822083,-104.804429
36694,-3.917496,3.550292,8.362179,0.046298,-0.099415,0.080005,-0.037993,-0.029610,-0.017637,-0.039184,0.035522,0.083609,1.000000,-0.000190,-0.000148,-0.000088,-0.553460,-0.276961,0.028173,0.784972,22.545946,23.805163,-104.815332
36695,-3.989786,3.550044,8.397066,0.051969,-0.043048,0.138562,-0.036166,-0.028234,-0.016276,-0.039907,0.035519,0.083959,1.000000,-0.000181,-0.000141,-0.000081,-0.553498,-0.276718,0.028086,0.785034,22.517209,23.789378,-104.825386
36696,-3.946972,3.523976,8.348640,0.047250,-0.056549,0.071206,-0.034737,-0.028591,-0.017856,-0.039479,0.035258,0.083475,1.000000,-0.000174,-0.000143,-0.000089,-0.553531,-0.276477,0.028010,0.785099,22.489464,23.773036,-104.836151
36697,-3.901118,3.489424,8.400288,-0.012097,-0.096118,0.084295,-0.032785,-0.024664,-0.022918,-0.039018,0.034912,0.083992,1.000000,-0.000164,-0.000123,-0.000115,-0.553539,-0.276258,0.027916,0.785173,22.461472,23.760587,-104.849173
36698,-3.897344,3.489699,8.426188,-0.020429,-0.105317,0.104793,-0.024536,-0.021360,-0.023545,-0.038978,0.034912,0.084253,1.000000,-0.000123,-0.000107,-0.000118,-0.553536,-0.276074,0.027852,0.785243,22.438954,23.749307,-104.861482
36699,-3.922588,3.490788,8.405083,-0.000030,-0.077436,0.097496,-0.021726,-0.012692,-0.025933,-0.039227,0.034922,0.084045,1.000000,-0.000109,-0.000063,-0.000130,-0.553518,-0.275934,0.027765,0.785307,22.417757,23.743848,-104.873376
36700,-4.030769,3.392781,8.407612,-0.056381,0.055714,0.108992,-0.015281,-0.011924,-0.023172,-0.040309,0.033939,0.084071,1.000000,-0.000076,-0.000060,-0.000116,-0.553505,-0.275812,0.027712,0.785361,22.401538,23.737471,-104.883209
36701,-4.025833,3.410430,8.380248,-0.027419,0.052254,0.090011,-0.005875,-0.012914,-0.017292,-0.040261,0.034110,0.083799,1.000000,-0.000029,-0.000065,-0.000086,-0.553500,-0.275713,0.027700,0.785400,22.391418,23.730002,-104.890152
36702,-3.914533,3.508602,8.403371,0.021001,-0.089268,0.099028,-0.001680,-0.007039,-0.013306,-0.039146,0.035089,0.084032,1.000000,-0.000008,-0.000035,-0.000067,-0.553507,-0.275647,0.027700,0.785418,22.385748,23.724070,-104.893115
36703,-3.914455,3.508072,8.403629,0.021435,-0.088590,0.099033,0.001573,-0.006016,-0.013531,-0.039145,0.035083,0.084035,1.000000,0.000008,-0.000030,-0.000068,-0.553507,-0.275596,0.027703,0.785436,22.381434,23.719433,-104.896234
36704,-3.954824,3.465913,8.389585,0.002069,-0.032280,0.088690,0.007510,-0.005928,-0.020000,-0.039547,0.034660,0.083896,1.000000,0.000038,-0.000030,-0.000100,-0.553476,-0.275560,0.027727,0.785469,22.379580,23.715546,-104.902804
36705,-3.954932,3.465888,8.389544,0.002496,-0.031605,0.088692,0.007848,-0.005473,-0.013848,-0.039549,0.034658,0.083896,1.000000,0.000039,-0.000027,-0.000069,-0.553466,-0.275528,0.027752,0.785487,22.378841,23.711266,-104.905977
