PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28961,-7.611515,6.945187,-0.003207,0.110666,-0.007789,0.490636,0.134147,-0.019376,0.142419,-0.076165,0.069398,0.000007,1.000000,0.000671,-0.000097,0.000712,0.235214,0.647136,-0.275961,-0.670622,89.140507,47.573927,-94.401685
28962,-7.632631,6.908616,0.254890,-0.151217,0.067877,0.484084,0.183612,-0.042585,0.163705,-0.076383,0.069021,0.002596,0.999999,0.000918,-0.000213,0.000819,0.235138,0.646947,-0.277196,-0.670323,89.216300,47.473721,-94.441127
28963,-7.463161,6.789405,0.278089,-0.185897,0.062792,0.278576,0.212811,-0.062039,0.184799,-0.074695,0.067822,0.002830,0.999999,0.001064,-0.000310,0.000924,0.235009,0.646698,-0.278618,-0.670018,89.297306,47.361611,-94.496560
28964,-7.412643,6.634050,0.160622,-0.073618,0.156526,0.134861,0.261016,-0.061420,0.208515,-0.074196,0.066261,0.001670,0.999999,0.001305,-0.000307,0.001043,0.234806,0.646471,-0.280278,-0.669616,89.405965,47.235689,-94.551771
28965,-7.271708,6.649595,0.516734,-0.446142,0.099458,0.043928,0.232896,-0.081528,0.229429,-0.072795,0.066406,0.005215,0.999999,0.001164,-0.000408,0.001147,0.234732,0.646114,-0.281934,-0.669291,89.486659,47.098026,-94.623547
28966,-7.211041,6.205452,0.905613,-0.822708,0.436941,-0.301690,0.276375,-0.092016,0.220318,-0.072183,0.061962,0.009109,0.999998,0.001382,-0.000460,0.001102,0.234474,0.645782,-0.283717,-0.668948,89.585285,46.965326,-94.704725
28967,-7.332272,6.565132,0.248534,-0.187869,0.229716,0.027884,0.209825,-0.050879,0.190940,-0.073386,0.065579,0.002536,0.999999,0.001049,-0.000254,0.000955,0.234389,0.645552,-0.285134,-0.668598,89.671386,46.849985,-94.751298
28968,-7.496528,7.060354,0.248391,-0.213733,0.002031,0.485978,0.219008,-0.064702,0.175319,-0.075028,0.070535,0.002537,0.999999,0.001095,-0.000324,0.000877,0.234203,0.645305,-0.286546,-0.668298,89.753685,46.743336,-94.810063
28969,-7.193242,7.369390,0.743161,-0.746102,-0.369989,0.478539,0.088980,-0.064659,0.163131,-0.071995,0.073632,0.007441,1.000000,0.000445,-0.000323,0.000816,0.234394,0.644924,-0.287484,-0.668195,89.762076,46.643967,-94.868440
28970,-6.914710,6.618321,0.488855,-0.458571,-0.021609,-0.239622,-0.177443,-0.010696,0.130681,-0.069191,0.066142,0.004826,0.999999,-0.000887,-0.000053,0.000653,0.235415,0.644455,-0.287364,-0.668341,89.650093,46.563039,-94.882120
28971,-7.096844,5.922991,-0.020632,0.110689,0.574977,-0.587473,-0.203043,0.040693,0.075636,-0.070991,0.059203,-0.000252,0.999999,-0.001015,0.000203,0.000378,0.236406,0.644208,-0.286920,-0.668420,89.555007,46.514110,-94.852694
28972,-7.500167,5.775104,-0.232754,0.362189,0.947202,-0.398330,-0.167743,0.046228,0.030264,-0.075011,0.057738,-0.002359,1.000000,-0.000839,0.000231,0.000151,0.237141,0.644084,-0.286441,-0.668485,89.482736,46.490970,-94.819329
28973,-7.471665,5.750594,-0.067974,0.203616,0.960418,-0.435275,-0.100648,0.015311,0.003633,-0.074718,0.057504,-0.000703,1.000000,-0.000503,0.000077,0.000018,0.237525,0.643976,-0.286137,-0.668583,89.430681,46.483207,-94.811439
28974,-7.220098,5.443410,-0.228504,0.369648,0.997751,-0.830450,-0.076413,0.001890,-0.018370,-0.072196,0.054440,-0.002305,1.000000,-0.000382,0.000009,-0.000092,0.237740,0.643880,-0.285859,-0.668717,89.383730,46.487764,-94.815317
28975,-6.974546,5.208399,-0.535539,0.675901,0.974051,-1.172497,-0.003337,-0.003390,-0.041981,-0.069734,0.052099,-0.005357,1.000000,-0.000017,-0.000017,-0.000210,0.237631,0.643890,-0.285756,-0.668790,89.375856,46.506026,-94.823385
28976,-6.985460,4.918350,-0.459635,0.613727,1.192776,-1.362912,0.108545,-0.018887,-0.080997,-0.069834,0.049214,-0.004576,1.000000,0.000543,-0.000094,-0.000405,0.237010,0.644035,-0.285919,-0.668801,89.421956,46.546391,-94.845085
28977,-7.124743,4.984716,-0.185272,0.336814,1.253239,-1.212710,0.247515,-0.009312,-0.133036,-0.071214,0.049897,-0.001794,0.999999,0.001238,-0.000047,-0.000665,0.235780,0.644452,-0.286368,-0.668642,89.553751,46.616802,-94.858730
28978,-7.219407,5.175779,-0.593789,0.727467,1.133888,-1.012338,0.207547,0.000163,-0.199448,-0.072142,0.051836,-0.005884,0.999999,0.001038,0.000001,-0.000997,0.234472,0.644946,-0.286457,-0.668588,89.667764,46.725220,-94.865027
28979,-6.967481,5.245425,-0.595588,0.698643,0.892877,-1.144954,0.229058,-0.010648,-0.236720,-0.069612,0.052543,-0.005899,0.999999,0.001145,-0.000053,-0.001184,0.232952,0.645482,-0.286510,-0.668579,89.788110,46.855072,-94.879824
28980,-6.734400,4.855169,-0.102034,0.203490,1.037904,-1.577610,0.245492,-0.010741,-0.281296,-0.067276,0.048648,-0.000964,0.999998,0.001227,-0.000054,-0.001406,0.231229,0.646098,-0.286473,-0.668598,89.917548,47.010441,-94.894763
28981,-6.823903,4.567225,-0.113053,0.222297,1.283361,-1.704577,0.278367,0.037921,-0.358372,-0.068157,0.045796,-0.001054,0.999997,0.001392,0.000190,-0.001792,0.229211,0.647024,-0.286240,-0.668498,90.096672,47.210039,-94.867818
28982,-7.191516,4.702351,-0.512157,0.612492,1.367923,-1.336498,0.343969,0.053680,-0.432954,-0.071814,0.047188,-0.005021,0.999996,0.001720,0.000268,-0.002165,0.226753,0.648179,-0.285964,-0.668335,90.323830,47.452283,-94.826512
28983,-7.158092,5.359105,-0.018560,0.049499,0.870390,-0.913339,0.444742,0.004047,-0.466383,-0.071456,0.053758,-0.000065,0.999995,0.002224,0.000020,-0.002332,0.223784,0.649325,-0.285971,-0.668220,90.579596,47.713769,-94.825078
28984,-6.753179,5.698771,0.226971,-0.267719,0.332291,-0.983720,0.361052,-0.009212,-0.488455,-0.067392,0.057148,0.002370,0.999995,0.001805,-0.000046,-0.002442,0.220991,0.650358,-0.285638,-0.668287,90.779917,47.988053,-94.833528
28985,-6.525668,5.631636,0.065338,-0.136982,0.174451,-1.195579,0.291644,0.023085,-0.513429,-0.065112,0.056483,0.000743,0.999996,0.001458,0.000115,-0.002567,0.218384,0.651454,-0.284955,-0.668369,90.962749,48.276312,-94.812254
28986,-6.695157,5.650136,0.030934,-0.116050,0.226854,-1.055691,0.252029,0.042388,-0.539535,-0.066799,0.056681,0.000395,0.999996,0.001260,0.000212,-0.002698,0.215845,0.652600,-0.284030,-0.668469,91.136378,48.579356,-94.772819
28987,-7.011354,5.703113,0.078807,-0.172430,0.354060,-0.782989,0.241799,0.059787,-0.569181,-0.069951,0.057229,0.000878,0.999995,0.001209,0.000299,-0.002846,0.213264,0.653832,-0.282954,-0.668550,91.317776,48.899007,-94.715660
28988,-7.288245,5.858072,-0.100671,-0.012646,0.350568,-0.468046,0.161187,0.059364,-0.599206,-0.072707,0.058799,-0.000938,0.999995,0.000806,0.000297,-0.002996,0.210842,0.655011,-0.281506,-0.668775,91.454266,49.235856,-94.656839
28989,-7.470293,5.974528,-0.038883,-0.093089,0.332628,-0.253285,0.173066,0.033939,-0.615537,-0.074519,0.059975,-0.000324,0.999995,0.000865,0.000170,-0.003078,0.208290,0.656136,-0.280070,-0.669075,91.582750,49.582254,-94.618078
28990,-7.401172,6.206936,0.015521,-0.188770,0.060168,-0.155355,0.156263,0.015973,-0.631226,-0.073815,0.062302,0.000210,0.999995,0.000781,0.000080,-0.003156,0.205712,0.657198,-0.278541,-0.669469,91.690536,49.937997,-94.593752
28991,-7.406492,6.131541,-0.073118,-0.107899,0.052397,-0.197983,0.081291,0.020154,-0.645686,-0.073867,0.061554,-0.000699,0.999995,0.000406,0.000101,-0.003228,0.203337,0.658211,-0.276707,-0.669960,91.759856,50.301806,-94.563972
28992,-7.638570,6.376744,-0.443749,0.237346,-0.087114,0.144383,0.081954,0.022190,-0.651866,-0.076178,0.064018,-0.004403,0.999995,0.000410,0.000111,-0.003259,0.200939,0.659231,-0.274849,-0.670444,91.831482,50.669249,-94.531556
28993,-7.986648,9.188308,-3.257968,2.769347,-2.379820,2.249348,0.234526,0.060162,-0.490435,-0.079651,0.092117,-0.032448,0.999996,0.001173,0.000301,-0.002452,0.198630,0.660306,-0.273996,-0.670424,92.015142,50.943318,-94.467820
28994,-11.214593,15.638273,-3.628591,2.603304,-5.375676,8.837054,0.684491,0.157514,0.197989,-0.112329,0.156394,-0.035662,0.999993,0.003422,0.000788,0.000990,0.197274,0.661204,-0.276823,-0.668776,92.507787,50.820886,-94.337998
28995,-13.359587,18.025550,5.848529,-7.120992,-4.645531,11.758189,1.959834,-0.794896,0.795169,-0.134545,0.179141,0.059711,0.999936,0.009799,-0.003974,0.003976,0.192367,0.659302,-0.286809,-0.667875,93.045387,50.382324,-95.095286
28996,-2.460685,16.883475,10.770971,-12.646866,-9.761927,2.511022,1.134632,-1.139493,0.644549,-0.025766,0.168139,0.108520,0.999962,0.005673,-0.005697,0.003223,0.189165,0.655602,-0.293847,-0.669370,92.884596,50.041535,-96.150157
28997,0.950726,6.074865,-5.381603,4.562926,-5.911530,-6.496472,-3.016426,1.310268,-0.126656,0.009189,0.059921,-0.054785,0.999865,-0.015081,0.006551,-0.000633,0.200553,0.657197,-0.282095,-0.669547,92.051248,50.076131,-94.982746
28998,-7.409101,-1.528509,-8.580693,9.059866,4.960701,-4.896521,-0.560992,0.846958,-0.198782,-0.074469,-0.015451,-0.085449,0.999987,-0.002805,0.004235,-0.000994,0.202953,0.659703,-0.278752,-0.667757,92.310198,50.165293,-94.225916
28999,-11.412046,2.611575,1.225747,-0.941163,5.428767,0.589248,1.179498,-0.118197,-0.116565,-0.114113,0.026110,0.012344,0.999982,0.005897,-0.000591,-0.000583,0.198531,0.660622,-0.282459,-0.666619,92.903941,50.229520,-94.332587
29000,-11.099729,4.415670,2.483491,-2.390851,4.003933,1.462157,-0.089978,-0.276920,0.059566,-0.111045,0.044135,0.024661,0.999999,-0.000450,-0.001385,0.000298,0.198663,0.659488,-0.282669,-0.667612,92.655087,50.197248,-94.588956
29001,-7.440664,4.705978,-0.235015,0.133097,1.144359,-1.081282,-0.570898,-0.284333,0.197666,-0.074450,0.046979,-0.002590,0.999994,-0.002854,-0.001422,0.000988,0.200828,0.657655,-0.281735,-0.669166,92.122895,50.085298,-94.855987
29002,-5.543210,4.393862,-1.601538,1.442263,0.025096,-2.705130,0.251140,-0.096178,0.156399,-0.055459,0.043915,-0.015987,0.999999,0.001256,-0.000481,0.000782,0.200417,0.657327,-0.283224,-0.668983,92.192040,49.992026,-94.953080
29003,-5.661537,4.910826,-0.331886,0.118772,-0.138567,-2.312954,0.576713,-0.022426,0.032531,-0.056623,0.049108,-0.003184,0.999996,0.002884,-0.000112,0.000163,0.198624,0.657747,-0.285320,-0.668214,92.501822,49.968342,-94.979901
29004,-6.466854,5.327298,0.785985,-1.009402,0.196377,-1.460406,0.166005,0.012551,-0.078813,-0.064647,0.053292,0.007908,1.000000,0.000830,0.000063,-0.000394,0.197860,0.658029,-0.285641,-0.668025,92.602910,50.007364,-94.971695
29005,-7.417605,5.596649,0.772818,-0.968769,0.586925,-0.557552,-0.398051,0.015292,-0.182221,-0.074124,0.056049,0.007622,0.999998,-0.001990,0.000076,-0.000911,0.198608,0.657911,-0.283734,-0.668732,92.386242,50.105710,-94.956684
29006,-7.674060,4.901644,-0.001833,-0.088778,1.165596,-0.782144,-0.541081,-0.003705,-0.232863,-0.076683,0.049105,-0.000153,0.999996,-0.002705,-0.000019,-0.001164,0.199630,0.657652,-0.281200,-0.669752,92.074862,50.233336,-94.958025
29007,-7.754438,4.855728,-1.721317,1.644695,1.035761,-0.708047,-0.314130,0.071171,-0.235964,-0.077493,0.048622,-0.017262,0.999998,-0.001571,0.000356,-0.001180,0.199998,0.657873,-0.279339,-0.670204,91.945211,50.361411,-94.892462
29008,-8.145355,5.406600,-2.433526,2.320893,0.768957,-0.039135,0.035930,0.015019,-0.149653,-0.081415,0.054131,-0.024319,1.000000,0.000180,0.000075,-0.000748,0.199427,0.658132,-0.278990,-0.670266,91.974745,50.441073,-94.880445
29009,-8.257100,6.882656,-1.333471,1.073713,-0.173743,0.964405,0.432478,-0.098290,0.008507,-0.082567,0.068852,-0.013226,0.999998,0.002162,-0.000491,0.000043,0.197920,0.658186,-0.280603,-0.669986,92.149715,50.432623,-94.974761
29010,-8.418652,8.895775,-0.032643,-0.449539,-1.447240,2.341028,0.599150,-0.119627,0.160180,-0.084258,0.088891,-0.000110,0.999995,0.002996,-0.000598,0.000801,0.196343,0.658114,-0.283293,-0.669388,92.400952,50.337945,-95.093912
29011,-8.270298,9.930965,1.234127,-1.871832,-2.144812,2.853831,0.616976,-0.124112,0.207237,-0.082814,0.099185,0.012596,0.999995,0.003085,-0.000621,0.001036,0.194855,0.657973,-0.286198,-0.668725,92.658126,50.216886,-95.219008
29012,-7.343225,9.315779,1.562608,-2.218083,-2.192905,1.738052,0.412851,-0.062843,0.132565,-0.073499,0.093077,0.015795,0.999998,0.002064,-0.000314,0.000663,0.193877,0.657937,-0.288114,-0.668222,92.842169,50.136990,-95.286990
29013,-6.911217,7.303720,-0.299825,-0.173176,-1.170184,0.177299,-0.053440,0.111620,-0.009590,-0.069110,0.073040,-0.002979,1.000000,-0.000267,0.000558,-0.000048,0.194207,0.658238,-0.287833,-0.667951,92.883832,50.133729,-95.192677
29014,-7.491105,5.395223,-1.334992,1.110282,0.512898,-0.565445,-0.079054,0.122933,-0.091336,-0.074895,0.053981,-0.013325,1.000000,-0.000395,0.000615,-0.000457,0.194367,0.658665,-0.287188,-0.667761,92.920921,50.176597,-95.084952
29015,-7.826838,4.971609,-0.413407,0.261138,1.160876,-0.607723,0.078545,0.005114,-0.075768,-0.078250,0.049747,-0.004113,1.000000,0.000393,0.000026,-0.000379,0.193888,0.658833,-0.287234,-0.667715,92.967557,50.214252,-95.082684
29016,-7.370364,5.221814,0.136705,-0.340739,0.746694,-0.816319,0.015246,-0.046121,-0.022873,-0.073698,0.052226,0.001354,1.000000,0.000076,-0.000231,-0.000114,0.193723,0.658690,-0.287293,-0.667879,92.940352,50.222920,-95.129051
29017,-6.706936,5.254803,-0.122597,-0.121842,0.265213,-1.296480,-0.039337,-0.030104,0.006080,-0.067071,0.052546,-0.001246,1.000000,-0.000197,-0.000151,0.000030,0.193855,0.658508,-0.287249,-0.668038,92.892356,50.214767,-95.162034
29018,-6.573790,5.658745,-0.270497,-0.029198,-0.145031,-1.135857,0.017671,0.005497,-0.008212,-0.065736,0.056590,-0.002698,1.000000,0.000088,0.000027,-0.000041,0.193804,0.658519,-0.287314,-0.668015,92.901477,50.213545,-95.162938
29019,-6.873650,5.992677,-0.189001,-0.133945,-0.198382,-0.694701,-0.021865,0.045140,-0.042152,-0.068724,0.059941,-0.001881,1.000000,-0.000109,0.000226,-0.000211,0.193826,0.658674,-0.287097,-0.667949,92.916893,50.230801,-95.126435
29020,-7.210718,6.277025,-0.148147,-0.189018,-0.197724,-0.255355,-0.084350,0.048367,-0.048758,-0.072092,0.062787,-0.001491,1.000000,-0.000422,0.000242,-0.000244,0.194038,0.658787,-0.286646,-0.667969,92.898460,50.251527,-95.087138
29021,-7.467673,6.532190,-0.306286,-0.044195,-0.250686,0.110249,-0.111516,0.026658,-0.016647,-0.074672,0.065326,-0.003089,1.000000,-0.000558,0.000133,-0.000083,0.194413,0.658757,-0.286231,-0.668068,92.848928,50.254734,-95.068314
29022,-7.643085,6.640515,-0.612991,0.262555,-0.258536,0.324036,-0.047445,-0.012552,0.035445,-0.076442,0.066390,-0.006150,1.000000,-0.000237,-0.000063,0.000177,0.194697,0.658582,-0.286240,-0.668154,92.806835,50.229020,-95.087307
29023,-7.884911,6.571163,-0.661298,0.332676,-0.051161,0.467197,0.131819,-0.034754,0.081365,-0.078875,0.065684,-0.006583,1.000000,0.000659,-0.000174,0.000407,0.194511,0.658443,-0.287020,-0.668011,92.851183,50.177884,-95.127743
29024,-7.982634,6.575184,-0.495852,0.166514,0.039449,0.539706,0.238233,-0.043833,0.096033,-0.079857,0.065719,-0.004898,0.999999,0.001191,-0.000219,0.000480,0.194012,0.658353,-0.288213,-0.667731,92.949260,50.118419,-95.177392
29025,-7.860061,6.514426,-0.318982,-0.018317,0.040274,0.400936,0.218316,-0.043702,0.070857,-0.078623,0.065120,-0.003136,0.999999,0.001092,-0.000219,0.000354,0.193492,0.658282,-0.289256,-0.667501,93.037364,50.073638,-95.225457
29026,-7.658493,6.351509,-0.050754,-0.283024,0.076953,0.132700,0.136028,-0.031642,0.029817,-0.076594,0.063504,-0.000476,1.000000,0.000680,-0.000158,0.000149,0.193125,0.658228,-0.289877,-0.667391,93.087557,50.051776,-95.261249
29027,-7.672195,6.081320,0.093740,-0.398002,0.311117,-0.035233,0.105399,0.011169,-0.034764,-0.076711,0.060826,0.000974,1.000000,0.000527,0.000056,-0.000174,0.192704,0.658382,-0.290142,-0.667245,93.152318,50.065779,-95.255403
29028,-7.880564,6.019870,-0.609527,0.313406,0.393222,0.110054,-0.045005,0.069637,-0.081075,-0.078783,0.060229,-0.006081,1.000000,-0.000225,0.000348,-0.000405,0.192710,0.658652,-0.289696,-0.667171,93.172142,50.104205,-95.195541
29029,-7.955478,6.023553,-0.691194,0.395305,0.421106,0.173151,-0.001607,0.028781,-0.078833,-0.079532,0.060267,-0.006901,1.000000,-0.000008,0.000144,-0.000394,0.192519,0.658826,-0.289441,-0.667165,93.189358,50.142854,-95.171763
