PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
37331,-10.738351,-1.555071,-1.361094,-0.354855,-0.006872,1.116953,-0.104277,0.026820,0.019316,-0.107384,-0.015568,-0.013588,1.000000,-0.000521,0.000134,0.000097,-0.049931,0.758773,0.051313,-0.647408,-137.781618,77.781430,42.331007
37332,-10.430345,-1.528273,-1.638409,-0.035194,0.012631,0.855522,-0.053915,0.014243,0.027300,-0.104303,-0.015301,-0.016373,1.000000,-0.000270,0.000071,0.000136,-0.049607,0.758823,0.051345,-0.647372,-137.900819,77.792243,42.240845
37333,-10.214338,-1.535814,-1.575132,-0.066036,0.056956,0.635511,-0.044553,0.023685,0.043556,-0.102142,-0.015384,-0.015736,1.000000,-0.000223,0.000118,0.000218,-0.049265,0.758906,0.051281,-0.647306,-138.064908,77.805518,42.099367
37334,-10.374591,-1.809232,-1.746504,0.072231,0.309930,0.857573,-0.025339,0.016790,0.049607,-0.103743,-0.018120,-0.017454,1.000000,-0.000127,0.000084,0.000248,-0.048977,0.758963,0.051135,-0.647273,-138.216796,77.823673,41.959025
37335,-10.277834,-2.154548,-1.970088,0.302782,0.670787,0.846373,0.022325,0.006772,0.065821,-0.102772,-0.021577,-0.019700,1.000000,0.000112,0.000034,0.000329,-0.048811,0.758980,0.050775,-0.647294,-138.357648,77.852430,41.802425
37336,-10.327778,-2.154554,-1.812246,0.141342,0.673452,0.869813,0.115078,-0.006763,0.096705,-0.103267,-0.021585,-0.018138,1.000000,0.000575,-0.000034,0.000484,-0.048898,0.758937,0.050002,-0.647397,-138.482474,77.898444,41.607505
37337,-10.334038,-2.181397,-1.856075,0.188789,0.708146,0.885851,0.187664,-0.018737,0.112715,-0.103326,-0.021855,-0.018591,0.999999,0.000938,-0.000094,0.000564,-0.049203,0.758842,0.048933,-0.647567,-138.579016,77.955885,41.398997
37338,-10.167255,-1.991505,-1.648405,0.019513,0.555652,0.663346,0.229540,-0.029419,0.131806,-0.101657,-0.019963,-0.016522,0.999999,0.001148,-0.000147,0.000659,-0.049605,0.758705,0.047662,-0.647792,-138.671522,78.024786,41.170155
37339,-10.035395,-1.733025,-1.646687,0.049052,0.329253,0.498146,0.263424,-0.031064,0.151844,-0.100338,-0.017385,-0.016505,0.999999,0.001317,-0.000155,0.000759,-0.050067,0.758558,0.046203,-0.648034,-138.785745,78.102127,40.899441
37340,-10.047921,-1.340250,-1.434088,-0.152412,-0.044975,0.423929,0.252533,-0.039525,0.165878,-0.100465,-0.013468,-0.014378,0.999999,0.001263,-0.000198,0.000829,-0.050443,0.758387,0.044730,-0.648308,-138.921273,78.188044,40.613309
37341,-10.174617,-1.147571,-1.337463,-0.259241,-0.236002,0.507469,0.212561,-0.039818,0.171027,-0.101734,-0.011548,-0.013407,0.999999,0.001063,-0.000199,0.000855,-0.050649,0.758225,0.043363,-0.648574,-139.094265,78.276171,40.312258
37342,-10.047321,-1.023664,-1.509383,-0.062856,-0.328973,0.393320,0.128434,-0.039412,0.183620,-0.100461,-0.010319,-0.015120,0.999999,0.000642,-0.000197,0.000918,-0.050497,0.758087,0.042225,-0.648822,-139.345366,78.368301,39.980901
