PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
37331,-1.364196,2.806429,9.737908,-0.022521,-0.171411,0.411497,-0.003417,0.335625,-0.045609,-0.013472,0.028069,0.097401,0.999999,-0.000017,0.001678,-0.000228,-0.684797,-0.152115,0.047253,0.711113,16.186404,8.721044,-90.917526
37332,-1.260537,2.761561,9.824005,-0.091760,-0.319533,0.464258,-0.002782,0.382161,-0.054700,-0.012410,0.027620,0.098264,0.999998,-0.000014,0.001911,-0.000274,-0.684744,-0.153437,0.045888,0.710969,16.186389,8.936192,-90.879597
37333,-1.369674,2.745479,9.691699,-0.070738,-0.232702,0.350156,0.034327,0.434257,-0.066220,-0.013477,0.027443,0.096951,0.999998,0.000172,0.002171,-0.000331,-0.684632,-0.155073,0.044469,0.710812,16.208354,9.181689,-90.839478
37334,-1.350698,2.786933,9.634703,-0.019932,-0.292234,0.303283,0.042149,0.499872,-0.084423,-0.013254,0.027855,0.096386,0.999997,0.000211,0.002499,-0.000422,-0.684458,-0.156972,0.042838,0.710663,16.234847,9.466297,-90.798973
37335,-1.502315,2.847709,9.683171,0.019851,-0.207222,0.389596,0.075110,0.558743,-0.099602,-0.014738,0.028448,0.096884,0.999996,0.000376,0.002794,-0.000498,-0.684213,-0.159196,0.041111,0.710506,16.280898,9.785579,-90.756896
37336,-1.655996,2.835692,9.591152,0.027228,-0.100646,0.324494,0.082516,0.628460,-0.120991,-0.016241,0.028327,0.095975,0.999995,0.000413,0.003142,-0.000605,-0.683894,-0.161695,0.039154,0.710360,16.331147,10.146715,-90.715217
37337,-1.754753,2.780711,9.583103,-0.032097,-0.066002,0.318530,0.090743,0.698034,-0.132329,-0.017195,0.027775,0.095904,0.999994,0.000454,0.003490,-0.000662,-0.683535,-0.164470,0.036979,0.710185,16.387617,10.547783,-90.667910
37338,-1.778910,2.810815,9.470281,0.018877,-0.098357,0.224289,0.082531,0.760721,-0.142744,-0.017409,0.028082,0.094781,0.999992,0.000413,0.003804,-0.000714,-0.683145,-0.167439,0.034551,0.709988,16.440378,10.985017,-90.615972
37339,-1.612055,2.911023,9.543430,0.082792,-0.361243,0.287407,0.074553,0.815706,-0.154339,-0.015709,0.029087,0.095510,0.999991,0.000373,0.004079,-0.000772,-0.682722,-0.170576,0.031898,0.709773,16.489844,11.454228,-90.560621
37340,-1.873009,2.609673,9.450464,-0.185619,-0.153633,0.165845,0.063004,0.883149,-0.154866,-0.018292,0.026081,0.094594,0.999990,0.000315,0.004416,-0.000774,-0.682301,-0.173907,0.028972,0.709494,16.535126,11.960484,-90.494498
37341,-1.960271,2.719027,9.291203,-0.045111,-0.134672,0.063613,0.105521,0.936093,-0.157549,-0.019146,0.027156,0.093017,0.999989,0.000528,0.004680,-0.000788,-0.681830,-0.177570,0.026014,0.709154,16.607403,12.496231,-90.419729
37342,-1.888259,2.913905,9.564838,0.050889,-0.371090,0.355956,0.076708,0.995332,-0.158958,-0.018383,0.029117,0.095752,0.999987,0.000384,0.004977,-0.000795,-0.681369,-0.181339,0.022749,0.708756,16.665695,13.064580,-90.335620
37343,-2.106419,2.848106,9.385242,0.031726,-0.218592,0.216357,0.048369,1.059930,-0.163720,-0.020543,0.028475,0.093969,0.999986,0.000242,0.005300,-0.000819,-0.680908,-0.185238,0.019159,0.708297,16.711050,13.669156,-90.241927
37344,-1.974566,2.808336,9.432102,-0.026822,-0.463404,0.213961,0.018941,1.125416,-0.169964,-0.019191,0.028091,0.094433,0.999984,0.000095,0.005627,-0.000850,-0.680436,-0.189262,0.015235,0.707781,16.742223,14.310624,-90.140322
37345,-2.312895,2.982895,9.466119,0.125059,-0.272456,0.373748,0.037760,1.184691,-0.174461,-0.022542,0.029831,0.094802,0.999982,0.000189,0.005923,-0.000872,-0.679914,-0.193555,0.011172,0.707198,16.787726,14.985297,-90.030049
37346,-1.941579,2.912397,9.618344,0.010844,-0.788099,0.392296,-0.056757,1.278458,-0.179585,-0.018774,0.029168,0.096297,0.999979,-0.000284,0.006392,-0.000898,-0.679443,-0.197851,0.006450,0.706520,16.783800,15.712254,-89.906158
37347,-2.454731,2.816520,9.375296,-0.012798,-0.358074,0.273176,0.001202,1.393434,-0.191002,-0.023866,0.028188,0.093921,0.999975,0.000006,0.006967,-0.000955,-0.678849,-0.202742,0.001531,0.705732,16.818768,16.504095,-89.768124
37348,-2.534925,3.099240,9.612960,0.185984,-0.514723,0.586284,-0.028867,1.488802,-0.214441,-0.024599,0.031033,0.096310,0.999972,-0.000144,0.007444,-0.001072,-0.678166,-0.207856,-0.003842,0.704891,16.839364,17.352080,-89.626171
37349,-2.885162,3.024520,9.333829,0.192953,-0.251721,0.409321,-0.073172,1.589235,-0.244499,-0.028072,0.030314,0.093552,0.999968,-0.000366,0.007946,-0.001222,-0.677382,-0.213162,-0.009742,0.704003,16.837193,18.260090,-89.483029
37350,-2.579396,2.758119,9.267181,-0.036494,-0.664528,0.172094,-0.098330,1.678293,-0.268089,-0.024978,0.027661,0.092870,0.999964,-0.000492,0.008391,-0.001340,-0.676490,-0.218679,-0.016057,0.703053,16.823437,19.220871,-89.337483
37351,-2.755206,2.612661,9.112026,-0.132029,-0.610484,0.038878,-0.011180,1.818705,-0.300529,-0.026683,0.026172,0.091364,0.999958,-0.000056,0.009093,-0.001503,-0.675325,-0.224966,-0.022575,0.702009,16.864603,20.264005,-89.184758
37352,-3.700329,2.403386,9.116986,-0.351827,0.105438,0.309074,0.016803,1.910742,-0.313972,-0.036092,0.024083,0.091520,0.999953,0.000084,0.009554,-0.001570,-0.674011,-0.231647,-0.029318,0.700849,16.928017,21.359665,-89.021650
37353,-3.867400,2.390107,8.893251,-0.314553,0.147067,0.169073,0.095667,1.927254,-0.329590,-0.037775,0.023921,0.089311,0.999952,0.000478,0.009636,-0.001648,-0.672485,-0.238630,-0.035856,0.699667,17.038561,22.466792,-88.861559
37354,-4.020983,2.509350,8.648270,-0.147733,0.174546,0.046431,0.098898,1.961857,-0.340182,-0.039316,0.025118,0.086884,0.999950,0.000494,0.009809,-0.001701,-0.670846,-0.245718,-0.042508,0.698414,17.155047,23.594329,-88.697984
37355,-3.955353,2.035754,8.199092,-0.487056,0.147184,-0.498581,0.120185,1.924838,-0.310117,-0.038730,0.020369,0.082379,0.999952,0.000601,0.009624,-0.001551,-0.669230,-0.252732,-0.048921,0.697040,17.293151,24.696196,-88.518893
37356,-3.276045,2.823674,8.879043,0.064179,-1.007544,0.011810,0.307883,1.876244,-0.311203,-0.031881,0.028150,0.089136,0.999954,0.001539,0.009381,-0.001556,-0.667321,-0.260179,-0.054514,0.695714,17.539829,25.771111,-88.344261
37357,-4.221194,2.650088,8.443208,-0.022611,-0.141398,-0.009336,0.065599,1.927465,-0.300137,-0.041356,0.026536,0.084842,0.999952,0.000328,0.009637,-0.001501,-0.665690,-0.266977,-0.061100,0.694152,17.660743,26.871588,-88.147279
37358,-5.129416,1.820628,8.032458,-0.737036,0.751851,-0.167240,0.051310,1.880259,-0.259498,-0.050512,0.018251,0.080807,0.999955,0.000257,0.009401,-0.001297,-0.664172,-0.273549,-0.067520,0.692451,17.785849,27.938782,-87.930306
37359,-4.956388,2.620056,7.902794,0.051964,0.394181,-0.131571,0.163159,1.790954,-0.238059,-0.048822,0.026194,0.079489,0.999959,0.000816,0.008955,-0.001190,-0.662549,-0.280169,-0.073220,0.690778,17.979230,28.953018,-87.712158
37360,-4.744590,2.996194,8.550007,0.215887,-0.313577,0.407065,-0.015035,1.770518,-0.204072,-0.046656,0.030016,0.085913,0.999960,-0.000075,0.008852,-0.001020,-0.661246,-0.286116,-0.079415,0.688901,18.084508,29.949576,-87.472035
37361,-4.193178,2.640980,7.963510,0.062219,-0.632814,-0.454880,-0.057463,1.718106,-0.223171,-0.041216,0.026479,0.079984,0.999962,-0.000287,0.008590,-0.001116,-0.659909,-0.291715,-0.085604,0.687091,18.159889,30.920678,-87.250305
37362,-4.441034,4.105574,8.299115,1.352645,-0.921493,0.324992,0.031860,1.719625,-0.267226,-0.043640,0.041101,0.083375,0.999962,0.000159,0.008598,-0.001336,-0.658239,-0.297571,-0.091549,0.685413,18.277096,31.900137,-87.052470
37363,-4.329205,3.244244,7.689274,0.721078,-0.770963,-0.470569,-0.407674,1.868961,-0.339106,-0.042516,0.032672,0.077226,0.999953,-0.002038,0.009345,-0.001696,-0.656854,-0.302436,-0.099590,0.683489,18.138978,32.973813,-86.866994
37364,-5.829857,3.231939,7.753592,0.644772,0.271980,0.388197,-0.135331,1.861449,-0.445603,-0.057501,0.032501,0.078052,0.999954,-0.000677,0.009307,-0.002228,-0.654636,-0.308087,-0.106828,0.681999,18.120605,34.062507,-86.752421
37365,-6.183260,3.945065,7.537390,1.393730,0.406037,0.603550,-0.283970,1.815808,-0.504609,-0.061045,0.039713,0.075874,0.999955,-0.001420,0.009079,-0.002523,-0.652410,-0.313038,-0.114505,0.680630,17.991196,35.137031,-86.686705
37366,-6.200833,2.433046,7.268926,0.053059,0.572269,0.029779,-0.490094,1.783319,-0.518468,-0.061294,0.024669,0.073178,0.999954,-0.002450,0.008916,-0.002592,-0.650419,-0.317168,-0.122788,0.679178,17.732897,36.196376,-86.641123
