// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
46992,-3.794784,5.240198,9.673872,1.161348,1.243356,1.700311,-0.366389,0.164005,0.423685,-0.037980,0.052499,0.096674,0.999996,-0.001832,0.000820,0.002118,-0.714620,-0.216819,0.035876,0.664094,21.591974,13.691926,-83.179471
46993,-3.229714,3.926205,9.031310,0.247731,0.851384,0.513218,-0.539083,0.028891,0.431483,-0.032369,0.039436,0.090212,0.999994,-0.002695,0.000144,0.002157,-0.716688,-0.214871,0.034453,0.662572,21.337915,13.612269,-82.930058
46994,-2.431919,3.707257,8.942366,0.201108,0.117684,0.165765,-0.412108,0.044604,0.415125,-0.024376,0.037206,0.089353,0.999996,-0.002061,0.000223,0.002076,-0.718561,-0.213432,0.033395,0.661061,21.156554,13.543874,-82.686029
46995,-2.127131,3.713127,9.208723,0.187560,-0.227759,0.337456,-0.447451,0.022781,0.437242,-0.021342,0.037291,0.092006,0.999995,-0.002237,0.000114,0.002186,-0.720534,-0.211787,0.032304,0.659495,20.954900,13.461498,-82.434321
46996,-1.545093,3.000936,8.803665,-0.240128,-0.693545,-0.412757,-0.437758,0.042343,0.457453,-0.015501,0.030167,0.087974,0.999995,-0.002189,0.000212,0.002287,-0.722559,-0.210237,0.031214,0.657826,20.763581,13.384839,-82.167170
46997,-0.725894,2.257136,8.313435,-0.637681,-1.378097,-1.302170,-0.437413,0.104648,0.436209,-0.007265,0.022737,0.083089,0.999995,-0.002187,0.000523,0.002181,-0.724516,-0.208892,0.029858,0.656163,20.570997,13.348221,-81.898590
46998,-1.108093,1.580538,9.181601,-1.570994,-1.275515,-0.651205,-0.301487,0.204651,0.363349,-0.011016,0.015924,0.091803,0.999997,-0.001507,0.001023,0.001817,-0.726101,-0.208378,0.028529,0.654631,20.453239,13.379000,-81.649461
46999,-1.802781,2.090756,9.489965,-1.267691,-0.669014,-0.033829,-0.173851,0.156273,0.241456,-0.017979,0.020968,0.094895,0.999999,-0.000869,0.000781,0.001207,-0.727143,-0.208185,0.027647,0.653573,20.389393,13.410158,-81.477577
47000,-1.557433,1.653381,8.838607,-1.424207,-0.765155,-0.831241,-0.201356,0.140920,0.089812,-0.015520,0.016616,0.088380,0.999999,-0.001007,0.000705,0.000449,-0.727715,-0.207860,0.026592,0.653083,20.290969,13.461802,-81.392618
47001,-1.185383,2.585761,8.342186,-0.323302,-0.943270,-1.055459,-0.155676,0.141494,-0.060970,-0.011787,0.025926,0.083410,0.999999,-0.000778,0.000707,-0.000305,-0.727746,-0.207725,0.025509,0.653135,20.198105,13.545490,-81.390965
47002,-0.813669,2.259162,7.718689,-0.366857,-1.166513,-1.822153,-0.181966,0.220377,-0.158536,-0.008034,0.022668,0.077175,0.999999,-0.000910,0.001102,-0.000793,-0.727495,-0.207761,0.023969,0.653461,20.082337,13.689068,-81.427461
47003,-0.846668,2.413699,7.946325,-0.276980,-1.210221,-1.557664,-0.166388,0.327237,-0.222016,-0.008310,0.024212,0.079457,0.999998,-0.000832,0.001636,-0.001110,-0.727030,-0.208213,0.022008,0.653905,19.970927,13.904348,-81.477873
47004,-0.732619,1.379827,8.549787,-1.399672,-1.579196,-1.381412,-0.115377,0.462542,-0.251051,-0.007111,0.013857,0.085507,0.999996,-0.000577,0.002313,-0.001255,-0.726428,-0.209290,0.019710,0.654302,19.892206,14.196167,-81.517589
47005,-1.363702,1.155336,9.303711,-1.915594,-1.243151,-0.618214,-0.011120,0.540382,-0.303026,-0.013368,0.011579,0.093073,0.999995,-0.000056,0.002702,-0.001515,-0.725548,-0.211008,0.017397,0.654792,19.868554,14.541951,-81.570884
47006,-1.975252,1.076870,9.889749,-2.245679,-0.884287,0.038356,0.088998,0.566698,-0.400337,-0.019451,0.010764,0.098958,0.999994,0.000445,0.002833,-0.002002,-0.724241,-0.213176,0.015231,0.655591,19.890337,14.918798,-81.673186
47007,-3.253762,1.564977,12.447721,-2.728294,-0.445341,2.849835,0.087428,0.543493,-0.505055,-0.032160,0.015677,0.124572,0.999993,0.000437,0.002717,-0.002525,-0.722579,-0.215273,0.013015,0.656786,19.893220,15.305654,-81.838711
47008,-5.547667,3.213686,12.518453,-1.505938,1.737872,4.062753,0.299391,0.174068,-0.567288,-0.055277,0.032106,0.125281,0.999994,0.001497,0.000870,-0.002836,-0.720454,-0.216916,0.012779,0.658582,19.988187,15.503720,-82.113779
47009,-4.318270,3.888055,8.689343,0.465237,1.690442,0.492408,0.076245,-0.012025,-0.627226,-0.043066,0.038983,0.086906,0.999995,0.000381,-0.000060,-0.003136,-0.718352,-0.217153,0.012396,0.660803,19.934877,15.615501,-82.460259
47010,-5.902885,6.051534,8.779686,2.292347,3.218460,1.717037,0.319944,-0.017777,-0.569934,-0.058864,0.060543,0.087888,0.999995,0.001600,-0.000089,-0.002850,-0.716170,-0.218233,0.012917,0.662803,20.029426,15.711198,-82.776002
47011,-5.084978,7.403841,8.686601,3.715313,2.477824,1.857258,-0.105247,-0.152125,-0.402462,-0.050767,0.074186,0.086788,0.999998,-0.000526,-0.000761,-0.002012,-0.714991,-0.217339,0.012677,0.664373,19.897535,15.703573,-83.025461
