// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
49711,-9.536211,0.009919,-1.142767,-0.245694,-0.121370,-0.212154,0.089366,-0.054901,-0.017270,-0.095359,0.000113,-0.011454,1.000000,0.000447,-0.000275,-0.000086,-0.048729,0.754356,-0.044879,-0.653114,-174.017170,81.783519,-1.627285
49712,-9.603841,0.176080,-1.062620,-0.350678,-0.277335,-0.158982,0.084926,-0.037979,-0.018029,-0.096036,0.001774,-0.010644,1.000000,0.000425,-0.000190,-0.000090,-0.049076,0.754180,-0.045123,-0.653275,-173.927626,81.810582,-1.585674
49713,-9.660650,0.180020,-1.149527,-0.270745,-0.295407,-0.090475,0.040699,-0.027509,-0.037576,-0.096605,0.001821,-0.011508,1.000000,0.000203,-0.000138,-0.000188,-0.049325,0.754067,-0.045144,-0.653385,-173.782077,81.827954,-1.462059
49714,-9.644445,0.110188,-1.102378,-0.301550,-0.223127,-0.112070,0.018783,-0.041009,-0.035241,-0.096442,0.001120,-0.011043,1.000000,0.000094,-0.000205,-0.000176,-0.049479,0.753900,-0.045107,-0.653568,-173.659978,81.855672,-1.349276
49715,-9.557023,-0.009452,-1.156598,-0.216336,-0.115623,-0.189054,0.012039,-0.034260,-0.044383,-0.095568,-0.000073,-0.011582,1.000000,0.000060,-0.000171,-0.000222,-0.049644,0.753774,-0.045007,-0.653709,-173.499411,81.876367,-1.193917
49716,-9.572486,-0.048593,-1.199580,-0.167263,-0.086330,-0.167045,0.032023,-0.035835,-0.043723,-0.095723,-0.000463,-0.012013,1.000000,0.000160,-0.000179,-0.000219,-0.049874,0.753623,-0.044982,-0.653867,-173.336720,81.900524,-1.047806
49717,-9.630347,-0.043062,-1.159342,-0.212236,-0.090222,-0.115455,0.040934,-0.032396,-0.040112,-0.096302,-0.000409,-0.011609,1.000000,0.000205,-0.000162,-0.000201,-0.050134,0.753494,-0.044993,-0.653995,-173.175904,81.920321,-0.908935
49718,-9.663384,-0.040116,-1.241043,-0.133270,-0.107770,-0.071363,0.039513,-0.035619,-0.041443,-0.096632,-0.000379,-0.012428,1.000000,0.000198,-0.000178,-0.000207,-0.050384,0.753341,-0.045001,-0.654152,-173.016492,81.944410,-0.770488
49719,-9.617481,-0.091548,-1.217158,-0.139611,-0.057615,-0.119237,0.049984,-0.039953,-0.038362,-0.096173,-0.000894,-0.012191,1.000000,0.000250,-0.000200,-0.000192,-0.050674,0.753184,-0.045047,-0.654306,-172.852178,81.968518,-0.633338
49720,-9.634147,-0.006368,-1.262285,-0.104441,-0.152011,-0.097948,0.045789,-0.045057,-0.042850,-0.096339,-0.000040,-0.012645,1.000000,0.000229,-0.000225,-0.000214,-0.050955,0.752999,-0.045068,-0.654496,-172.676856,81.997763,-0.482474
49721,-9.587364,0.138277,-1.256050,-0.118507,-0.298541,-0.147743,0.020561,-0.056748,-0.037924,-0.095870,0.001402,-0.012588,1.000000,0.000103,-0.000284,-0.000190,-0.051136,0.752795,-0.045014,-0.654721,-172.520336,82.031333,-0.336190
49722,-9.556669,0.079835,-1.155514,-0.199342,-0.230166,-0.190900,0.007852,-0.048540,-0.033940,-0.095564,0.000815,-0.011578,1.000000,0.000039,-0.000243,-0.000170,-0.051246,0.752605,-0.044944,-0.654935,-172.398994,82.063115,-0.217905
49723,-9.678306,0.172161,-1.299405,-0.082397,-0.344250,-0.052441,-0.059061,-0.049367,-0.043643,-0.096779,0.001739,-0.013018,1.000000,-0.000295,-0.000247,-0.000218,-0.051144,0.752447,-0.044610,-0.655147,-172.266526,82.091962,-0.049867
49724,-9.644040,0.087359,-1.089511,-0.265959,-0.235295,-0.113406,-0.055340,-0.067112,-0.050564,-0.096437,0.000895,-0.010928,1.000000,-0.000277,-0.000336,-0.000253,-0.051074,0.752216,-0.044266,-0.655441,-172.101025,82.132921,0.149534
49725,-9.631894,0.364351,-1.170186,-0.216139,-0.524168,-0.119700,-0.106688,-0.047866,-0.045467,-0.096315,0.003659,-0.011727,1.000000,-0.000533,-0.000239,-0.000227,-0.050799,0.752075,-0.043770,-0.655658,-171.986668,82.160654,0.326809
49726,-9.654226,0.256717,-1.298302,-0.072571,-0.438102,-0.078297,-0.185898,-0.065888,-0.071422,-0.096537,0.002590,-0.013017,0.999999,-0.000929,-0.000329,-0.000357,-0.050306,0.751885,-0.042920,-0.655970,-171.807686,82.199123,0.615295
49727,-9.515665,0.312550,-0.995898,-0.350734,-0.457941,-0.257341,-0.154071,-0.074595,-0.065775,-0.095152,0.003149,-0.009997,1.000000,-0.000770,-0.000373,-0.000329,-0.049926,0.751671,-0.042185,-0.656291,-171.617214,82.240193,0.896762
49728,-9.554044,0.149746,-0.912960,-0.411173,-0.291016,-0.227182,-0.211525,-0.018598,-0.091380,-0.095539,0.001531,-0.009140,0.999999,-0.001058,-0.000093,-0.000457,-0.049391,0.751645,-0.041188,-0.656425,-171.395314,82.249931,1.243342
49729,-9.832439,-0.292996,-1.229010,-0.080921,0.100139,0.099758,-0.235872,-0.012780,-0.109826,-0.098325,-0.002890,-0.012293,0.999999,-0.001179,-0.000064,-0.000549,-0.048834,0.751662,-0.040034,-0.656518,-171.104419,82.251847,1.673436
49730,-9.827023,-0.477970,-1.238277,-0.045655,0.275740,0.099631,-0.135779,-0.046630,-0.093281,-0.098270,-0.004742,-0.012402,1.000000,-0.000679,-0.000233,-0.000466,-0.048596,0.751524,-0.039272,-0.656740,-170.811045,82.276855,2.048328
49731,-9.618390,-0.351569,-1.169552,-0.096483,0.153304,-0.118769,-0.069580,-0.054209,-0.076711,-0.096182,-0.003483,-0.011720,1.000000,-0.000348,-0.000271,-0.000384,-0.048564,0.751357,-0.038778,-0.656963,-170.532405,82.304686,2.369867
49732,-9.454225,-0.278219,-1.123160,-0.123788,0.081242,-0.289068,-0.017808,-0.053560,-0.070146,-0.094540,-0.002750,-0.011257,1.000000,-0.000089,-0.000268,-0.000351,-0.048695,0.751162,-0.038488,-0.657193,-170.258566,82.335320,2.656782
49733,-9.527046,-0.088063,-1.022842,-0.251351,-0.101171,-0.234318,-0.009322,-0.032696,-0.062243,-0.095269,-0.000851,-0.010244,1.000000,-0.000047,-0.000163,-0.000311,-0.048837,0.751048,-0.038252,-0.657327,-170.017717,82.352023,2.905314
49734,-9.796496,-0.142817,-1.037703,-0.262269,-0.056363,0.035997,-0.046027,-0.036175,-0.080890,-0.097964,-0.001391,-0.010394,1.000000,-0.000230,-0.000181,-0.000404,-0.048894,0.750919,-0.037833,-0.657494,-169.724200,82.371430,3.228362
49735,-9.760954,-0.280981,-0.820533,-0.450466,0.101005,-0.024157,-0.000660,-0.050632,-0.071865,-0.097608,-0.002775,-0.008230,1.000000,-0.000003,-0.000253,-0.000359,-0.049104,0.750745,-0.037585,-0.657692,-169.421378,82.396915,3.534388
49736,-9.632888,-0.342851,-0.829638,-0.412327,0.156248,-0.148116,-0.025606,-0.042637,-0.068966,-0.096328,-0.003396,-0.008316,1.000000,-0.000128,-0.000213,-0.000345,-0.049200,0.750587,-0.037277,-0.657882,-169.157769,82.420835,3.815417
49737,-9.583847,-0.543966,-0.799960,-0.406873,0.354346,-0.195263,0.008780,-0.041464,-0.058032,-0.095838,-0.005411,-0.008020,1.000000,0.000044,-0.000207,-0.000290,-0.049398,0.750438,-0.037114,-0.658046,-168.911915,82.442288,4.058485
49738,-9.658328,-0.426339,-0.811798,-0.415172,0.231007,-0.122571,0.009359,-0.031198,-0.048253,-0.096583,-0.004240,-0.008133,1.000000,0.000047,-0.000156,-0.000241,-0.049555,0.750305,-0.037001,-0.658193,-168.722222,82.461821,4.244704
49739,-9.680620,-0.313649,-0.965287,-0.277685,0.095911,-0.083440,-0.002830,-0.028288,-0.049739,-0.096806,-0.003113,-0.009667,1.000000,-0.000014,-0.000141,-0.000249,-0.049680,0.750201,-0.036834,-0.658312,-168.527146,82.476580,4.443240
49740,-9.591937,-0.162455,-0.926299,-0.318678,-0.052094,-0.180170,0.016312,-0.042675,-0.040224,-0.095918,-0.001604,-0.009284,1.000000,0.000082,-0.000213,-0.000201,-0.049839,0.750026,-0.036771,-0.658502,-168.355488,82.503353,4.607225
49741,-9.543859,-0.141061,-0.918996,-0.318931,-0.075018,-0.229246,-0.025627,-0.020881,-0.037300,-0.095438,-0.001394,-0.009200,1.000000,-0.000128,-0.000104,-0.000187,-0.049836,0.749949,-0.036578,-0.658600,-168.231384,82.515253,4.747334
49742,-9.628497,-0.306421,-1.103327,-0.126322,0.063174,-0.117368,-0.030283,-0.011630,-0.037169,-0.096285,-0.003048,-0.011038,1.000000,-0.000151,-0.000058,-0.000186,-0.049804,0.749888,-0.036380,-0.658683,-168.125600,82.524909,4.871790
