// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
24064,-4.329481,2.446562,8.617538,0.310350,-0.188725,0.130152,-0.191518,-0.102147,-0.047840,-0.043333,0.024558,0.086130,0.999999,-0.000958,-0.000511,-0.000239,-0.485786,-0.249794,-0.019875,0.837389,13.467726,25.954642,-116.644998
24065,-4.367835,2.260033,8.779263,0.131523,-0.105486,0.248760,-0.220008,-0.103166,-0.054195,-0.043717,0.022709,0.087745,0.999999,-0.001100,-0.000516,-0.000271,-0.485905,-0.248791,-0.020619,0.837600,13.319319,25.900699,-116.686603
24066,-4.343152,2.060010,8.825662,-0.036638,-0.035527,0.237003,-0.218818,-0.093553,-0.070739,-0.043465,0.020712,0.088214,0.999999,-0.001094,-0.000468,-0.000354,-0.485951,-0.247833,-0.021404,0.837838,13.167957,25.854640,-116.736841
24067,-4.097490,1.853022,8.920436,-0.321468,-0.154942,0.170794,-0.192344,-0.049428,-0.072810,-0.040990,0.018631,0.089176,0.999999,-0.000962,-0.000247,-0.000364,-0.485951,-0.247119,-0.022186,0.838028,13.033950,25.832912,-116.781898
24068,-4.067593,1.722408,9.013133,-0.460898,-0.143503,0.213055,-0.143798,0.010248,-0.068679,-0.040665,0.017303,0.090121,1.000000,-0.000719,0.000051,-0.000343,-0.485901,-0.246777,-0.022906,0.838139,12.932731,25.844326,-116.815763
24069,-4.128146,1.530006,8.978122,-0.572319,0.007314,0.170377,-0.070994,0.051671,-0.055139,-0.041254,0.015343,0.089786,1.000000,-0.000355,0.000258,-0.000276,-0.485813,-0.246784,-0.023403,0.838174,12.879329,25.876662,-116.835399
24070,-4.176777,1.505963,8.804018,-0.503594,0.099107,0.034174,0.006604,0.086811,-0.046080,-0.041726,0.015066,0.088059,1.000000,0.000033,0.000434,-0.000230,-0.485662,-0.247131,-0.023651,0.838152,12.875082,25.927880,-116.844416
24071,-4.295881,1.696335,8.701023,-0.263273,0.115501,0.034002,0.051584,0.101512,-0.040252,-0.042911,0.016950,0.087036,1.000000,0.000258,0.000508,-0.000201,-0.485480,-0.247646,-0.023738,0.838104,12.899019,25.986145,-116.847748
24072,-4.362916,1.894031,8.625421,-0.051800,0.079573,0.036742,0.070640,0.097107,-0.032706,-0.043584,0.018917,0.086282,1.000000,0.000353,0.000486,-0.000164,-0.485304,-0.248192,-0.023726,0.838044,12.935723,26.041402,-116.846966
24073,-4.414362,2.036502,8.594092,0.089811,0.049247,0.060602,0.073939,0.083303,-0.028026,-0.044105,0.020339,0.085967,1.000000,0.000370,0.000417,-0.000140,-0.485147,-0.248686,-0.023659,0.837990,12.974690,26.087932,-116.845229
24074,-4.473273,2.103527,8.591214,0.161704,0.057975,0.097633,0.066453,0.067063,-0.021267,-0.044702,0.021011,0.085934,1.000000,0.000332,0.000335,-0.000106,-0.485028,-0.249098,-0.023578,0.837939,13.010264,26.124944,-116.841565
24075,-4.478164,2.108285,8.587499,0.162111,0.058482,0.097623,0.063169,0.037956,-0.014836,-0.044764,0.021059,0.085890,1.000000,0.000316,0.000190,-0.000074,-0.484945,-0.249378,-0.023430,0.837908,13.043830,26.144456,-116.838084
24076,-4.421868,2.104483,8.582204,0.133003,0.016497,0.067496,0.048824,0.022762,-0.013872,-0.044207,0.021027,0.085832,1.000000,0.000244,0.000114,-0.000069,-0.484884,-0.249562,-0.023306,0.837892,13.068546,26.155788,-116.836160
24077,-4.414372,2.085096,8.629453,0.091846,0.007607,0.101609,0.032975,0.013885,-0.010374,-0.044137,0.020839,0.086301,1.000000,0.000165,0.000069,-0.000052,-0.484859,-0.249668,-0.023220,0.837877,13.084512,26.161284,-116.833362
24078,-4.374131,2.092893,8.635242,0.077382,-0.029973,0.090532,0.024844,0.008074,-0.004392,-0.043737,0.020919,0.086357,1.000000,0.000124,0.000040,-0.000022,-0.484870,-0.249734,-0.023149,0.837853,13.097160,26.163192,-116.827657
24079,-4.363400,1.929462,8.703110,-0.090170,0.029824,0.111888,0.020635,0.001281,0.005580,-0.043634,0.019284,0.087033,1.000000,0.000103,0.000006,0.000028,-0.484929,-0.249759,-0.023065,0.837814,13.109627,26.159582,-116.816760
24080,-4.302491,1.945436,8.672708,-0.091616,-0.017143,0.061690,0.032280,0.000235,0.010329,-0.043026,0.019438,0.086730,1.000000,0.000161,0.000001,0.000052,-0.484993,-0.249812,-0.022925,0.837765,13.130069,26.155198,-116.803039
24081,-4.358108,2.065552,8.650845,0.036324,-0.028048,0.091586,0.028678,0.001365,0.002528,-0.043581,0.020643,0.086512,1.000000,0.000143,0.000007,0.000013,-0.485029,-0.249856,-0.022812,0.837734,13.146311,26.152026,-116.794031
24082,-4.361883,2.122914,8.627376,0.092697,-0.047361,0.084462,0.020949,0.001434,0.001767,-0.043618,0.021220,0.086276,1.000000,0.000105,0.000007,0.000009,-0.485071,-0.249885,-0.022733,0.837703,13.157989,26.149419,-116.785461
24083,-4.334690,2.154976,8.696589,0.079744,-0.104688,0.139538,0.010356,0.004177,-0.005476,-0.043344,0.021546,0.086968,1.000000,0.000052,0.000021,-0.000027,-0.485097,-0.249896,-0.022713,0.837686,13.161718,26.148856,-116.781021
24084,-4.357083,2.157122,8.652680,0.107949,-0.075572,0.111467,0.002535,0.002987,-0.015173,-0.043568,0.021573,0.086528,1.000000,0.000013,0.000015,-0.000076,-0.485091,-0.249886,-0.022736,0.837692,13.158312,26.149322,-116.782752
24085,-4.321774,2.195395,8.663751,0.121937,-0.127913,0.113381,-0.012073,0.004116,-0.021751,-0.043214,0.021964,0.086637,1.000000,-0.000060,0.000021,-0.000109,-0.485076,-0.249840,-0.022830,0.837711,13.144729,26.150848,-116.788435
24086,-4.324595,2.170932,8.691099,0.094685,-0.122555,0.133482,-0.036133,0.010942,-0.029133,-0.043238,0.021731,0.086909,1.000000,-0.000181,0.000055,-0.000146,-0.485059,-0.249767,-0.023052,0.837737,13.115860,26.157566,-116.797687
24087,-4.326482,2.099364,8.661158,0.052281,-0.078110,0.093503,-0.045031,0.011207,-0.034623,-0.043256,0.021021,0.086609,1.000000,-0.000225,0.000056,-0.000173,-0.485030,-0.249670,-0.023317,0.837775,13.080315,26.164716,-116.810350
24088,-4.328377,2.093414,8.661651,0.052661,-0.077673,0.093504,-0.055433,0.014664,-0.039312,-0.043273,0.020967,0.086614,1.000000,-0.000277,0.000073,-0.000197,-0.484994,-0.249565,-0.023641,0.837818,13.037834,26.174815,-116.825401
24089,-4.325109,1.986000,8.627646,-0.018140,-0.018460,0.040554,-0.063891,0.010055,-0.043122,-0.043242,0.019897,0.086272,1.000000,-0.000319,0.000050,-0.000216,-0.484954,-0.249416,-0.023994,0.837876,12.989069,26.182402,-116.843530
24090,-4.350196,1.959405,8.611980,-0.017624,0.015555,0.032571,-0.063156,0.008482,-0.043534,-0.043494,0.019631,0.086115,1.000000,-0.000316,0.000042,-0.000218,-0.484910,-0.249265,-0.024341,0.837936,12.940602,26.189568,-116.862113
24091,-4.351634,2.018634,8.643370,0.025651,-0.027877,0.072554,-0.060828,0.006322,-0.049408,-0.043509,0.020223,0.086429,1.000000,-0.000304,0.000032,-0.000247,-0.484840,-0.249107,-0.024679,0.838014,12.891618,26.195847,-116.884704
24092,-4.362032,2.099754,8.626302,0.110422,-0.061899,0.078387,-0.076267,-0.001171,-0.040802,-0.043617,0.021039,0.086255,1.000000,-0.000381,-0.000006,-0.000204,-0.484825,-0.248885,-0.025054,0.838077,12.835775,26.197242,-116.902974
24093,-4.367481,1.960133,8.678664,-0.014957,-0.002828,0.098719,-0.089319,-0.001954,-0.039273,-0.043672,0.019649,0.086777,1.000000,-0.000447,-0.000010,-0.000196,-0.484834,-0.248624,-0.025478,0.838137,12.772728,26.197571,-116.920439
24094,-4.310398,1.921781,8.704752,-0.071624,-0.040044,0.088764,-0.083090,-0.001948,-0.039435,-0.043101,0.019262,0.087039,1.000000,-0.000415,-0.000010,-0.000197,-0.484833,-0.248382,-0.025879,0.838197,12.713304,26.198325,-116.937968
24095,-4.363451,1.974899,8.708233,0.000326,-0.031041,0.125737,-0.077316,0.002948,-0.041273,-0.043629,0.019792,0.087075,1.000000,-0.000387,0.000015,-0.000206,-0.484817,-0.248171,-0.026267,0.838256,12.656887,26.201612,-116.955993
24096,-4.376827,1.946237,8.714849,-0.013065,-0.011380,0.131796,-0.072860,-0.000306,-0.040264,-0.043764,0.019503,0.087141,1.000000,-0.000364,-0.000002,-0.000201,-0.484800,-0.247960,-0.026630,0.838317,12.603195,26.203353,-116.973810
24097,-4.354316,1.891283,8.701932,-0.055679,-0.000621,0.099807,-0.064634,0.003635,-0.039016,-0.043538,0.018949,0.087014,1.000000,-0.000323,0.000018,-0.000195,-0.484778,-0.247783,-0.026964,0.838372,12.554702,26.206714,-116.990341
24098,-4.362482,1.896589,8.734368,-0.054558,-0.010080,0.132885,-0.055857,0.005293,-0.040740,-0.043619,0.018999,0.087340,1.000000,-0.000279,0.000026,-0.000204,-0.484737,-0.247636,-0.027269,0.838429,12.510958,26.211617,-117.007684
24099,-4.342696,1.919952,8.671509,-0.013503,-0.023842,0.073644,-0.049717,0.005801,-0.034510,-0.043421,0.019229,0.086712,1.000000,-0.000249,0.000029,-0.000173,-0.484714,-0.247505,-0.027541,0.838472,12.472380,26.215608,-117.021113
24100,-4.354038,1.817464,8.726467,-0.110585,0.020294,0.106960,-0.038740,0.012082,-0.032252,-0.043532,0.018199,0.087264,1.000000,-0.000194,0.000060,-0.000161,-0.484687,-0.247430,-0.027780,0.838502,12.441188,26.223239,-117.032236
