PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
29525,-2.613382,4.043781,8.858544,0.116925,-0.265141,0.265594,0.113466,-0.038125,-0.103758,-0.026130,0.040401,0.088603,1.000000,0.000567,-0.000191,-0.000519,-0.608506,-0.238022,0.062947,0.754390,23.639709,16.410332,-98.762426
29526,-2.769494,4.275908,8.910138,0.317713,-0.183449,0.444479,0.065887,-0.047952,-0.056087,-0.027704,0.042737,0.089109,1.000000,0.000329,-0.000240,-0.000280,-0.608254,-0.238026,0.063271,0.754565,23.663352,16.394080,-98.798569
29527,-2.594964,4.100286,8.744089,0.206647,-0.268481,0.181835,0.022134,-0.044191,-0.011174,-0.025967,0.040995,0.087440,1.000000,0.000111,-0.000221,-0.000056,-0.608226,-0.237891,0.063474,0.754613,23.668856,16.368734,-98.809304
29528,-2.601716,3.831281,8.594542,0.032920,-0.161517,-0.051201,0.026192,-0.015315,0.020927,-0.026028,0.038299,0.085948,1.000000,0.000131,-0.000077,0.000105,-0.608322,-0.237873,0.063640,0.754527,23.683891,16.351874,-98.795493
29529,-2.664043,3.758366,8.621195,-0.037807,-0.086726,-0.038308,0.051841,0.012843,0.029817,-0.026640,0.037557,0.086223,1.000000,0.000259,0.000064,0.000149,-0.608431,-0.238030,0.063830,0.754373,23.716579,16.347016,-98.770141
29530,-2.724307,3.806331,8.644617,-0.002398,-0.046117,0.017738,0.056624,0.043475,0.021863,-0.027228,0.038036,0.086463,1.000000,0.000283,0.000217,0.000109,-0.608513,-0.238326,0.063934,0.754205,23.753167,16.360741,-98.741707
29531,-2.812338,3.796770,8.703001,-0.030439,0.027234,0.090103,0.067061,0.046884,0.028995,-0.028108,0.037934,0.087049,1.000000,0.000335,0.000234,0.000145,-0.608612,-0.238658,0.064077,0.754008,23.796765,16.373890,-98.708614
29532,-2.856473,3.916541,8.854589,0.009160,0.008028,0.281981,0.046107,0.050876,0.029134,-0.028548,0.039141,0.088562,1.000000,0.000231,0.000254,0.000146,-0.608736,-0.238947,0.064127,0.753812,23.828967,16.389769,-98.674400
29533,-2.848430,3.830165,8.863524,-0.076678,0.019023,0.254067,0.018499,0.032076,0.024889,-0.028475,0.038290,0.088643,1.000000,0.000092,0.000160,0.000124,-0.608872,-0.239077,0.064127,0.753661,23.843119,16.396075,-98.647105
29534,-2.882790,3.662962,8.812728,-0.199703,0.103259,0.154328,0.010918,0.010776,0.020568,-0.028827,0.036622,0.088131,1.000000,0.000055,0.000054,0.000103,-0.608993,-0.239111,0.064156,0.753550,23.851111,16.392903,-98.627243
29535,-2.723157,3.717185,8.765561,-0.155015,-0.051466,0.088900,0.014517,0.000461,0.010331,-0.027233,0.037164,0.087658,1.000000,0.000073,0.000002,0.000052,-0.609069,-0.239114,0.064220,0.753482,23.858582,16.386007,-98.615534
29536,-2.666514,3.784219,8.715902,-0.081917,-0.111938,0.055358,-0.007392,0.008600,-0.006935,-0.026660,0.037846,0.087159,1.000000,-0.000037,0.000043,-0.000035,-0.609107,-0.239093,0.064154,0.753464,23.851666,16.388061,-98.611228
29537,-2.737254,3.797075,8.787284,-0.090103,-0.062345,0.142949,-0.013019,0.003898,-0.013962,-0.027368,0.037978,0.087871,1.000000,-0.000065,0.000019,-0.000070,-0.609126,-0.239033,0.064075,0.753474,23.839850,16.388595,-98.611959
29538,-2.757230,3.866258,8.788280,-0.024416,-0.061026,0.176297,-0.013565,0.000242,-0.005417,-0.027571,0.038669,0.087880,1.000000,-0.000068,0.000001,-0.000027,-0.609175,-0.238960,0.064013,0.753463,23.829051,16.385901,-98.608844
29539,-2.856835,3.988768,8.817373,0.088338,-0.001864,0.277409,-0.025080,-0.009375,0.007015,-0.028574,0.039898,0.088167,1.000000,-0.000125,-0.000047,0.000035,-0.609283,-0.238807,0.063954,0.753429,23.812654,16.374623,-98.601316
29540,-2.830806,3.934509,8.752191,0.068549,0.002197,0.191810,-0.032820,-0.032421,0.012197,-0.028325,0.039358,0.087511,1.000000,-0.000164,-0.000162,0.000061,-0.609410,-0.238547,0.063940,0.753410,23.791319,16.350728,-98.596446
