PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
31817,-8.085552,5.580939,-1.489521,-0.256515,0.177602,0.119297,-0.358841,-0.051595,-0.029944,-0.080843,0.055795,-0.015016,0.999998,-0.001794,-0.000258,-0.000150,0.122157,-0.543081,0.542052,0.629540,107.893551,54.707484,-131.163593
31818,-8.016486,5.363063,-1.660432,-0.010694,0.071078,-0.026048,-0.373886,-0.074721,-0.039469,-0.080148,0.053615,-0.016735,0.999998,-0.001869,-0.000374,-0.000197,0.121453,-0.543131,0.540745,0.630755,107.623774,54.737555,-131.231616
31819,-7.894012,5.179358,-1.579952,0.050394,0.133043,-0.241003,-0.353140,-0.090494,-0.035490,-0.078924,0.051780,-0.015927,0.999998,-0.001766,-0.000452,-0.000177,0.120838,-0.543106,0.539502,0.631958,107.352313,54.768260,-131.316244
31820,-7.779340,5.008440,-1.591369,0.154639,0.120053,-0.426704,-0.329159,-0.094504,-0.039368,-0.077776,0.050073,-0.016033,0.999999,-0.001646,-0.000473,-0.000197,0.120308,-0.543063,0.538321,0.633102,107.092268,54.801266,-131.403670
31821,-7.766565,4.953771,-1.638407,0.230316,0.078793,-0.459374,-0.284657,-0.094474,-0.031897,-0.077650,0.049527,-0.016491,0.999999,-0.001423,-0.000472,-0.000159,0.119877,-0.542972,0.537299,0.634130,106.855550,54.830228,-131.493733
31822,-7.807951,5.015584,-1.539317,0.157597,0.135903,-0.408096,-0.226250,-0.094417,-0.027751,-0.078065,0.050149,-0.015487,0.999999,-0.001131,-0.000472,-0.000139,0.119589,-0.542833,0.536474,0.635001,106.651279,54.856441,-131.584999
31823,-7.826856,5.163619,-1.549734,0.072905,0.061582,-0.309258,-0.208144,-0.086263,-0.028843,-0.078254,0.051631,-0.015585,0.999999,-0.001041,-0.000431,-0.000144,0.119334,-0.542712,0.535705,0.635801,106.463656,54.882007,-131.668575
31824,-7.787735,5.179055,-1.501285,0.029293,0.063474,-0.340604,-0.194984,-0.076165,-0.032221,-0.077863,0.051788,-0.015093,0.999999,-0.000975,-0.000381,-0.000161,0.119096,-0.542623,0.534977,0.636534,106.292215,54.907391,-131.741555
31825,-7.752730,5.051022,-1.477294,0.104341,0.105661,-0.443697,-0.183321,-0.058670,-0.043649,-0.077512,0.050514,-0.014842,1.000000,-0.000917,-0.000293,-0.000218,0.118881,-0.542614,0.534262,0.637182,106.143458,54.936402,-131.794964
31826,-7.732049,4.861292,-1.597946,0.308877,0.063772,-0.546043,-0.157005,-0.029512,-0.056544,-0.077304,0.048622,-0.016029,1.000000,-0.000785,-0.000148,-0.000283,0.118698,-0.542715,0.533615,0.637672,106.035586,54.967561,-131.816823
31827,-7.699663,4.820765,-1.619950,0.340741,0.040037,-0.591456,-0.096514,-0.005305,-0.061407,-0.076981,0.048223,-0.016225,1.000000,-0.000483,-0.000027,-0.000307,0.118633,-0.542871,0.533160,0.637932,105.982267,54.997808,-131.814389
31828,-7.711734,4.785595,-1.628151,0.374430,0.047812,-0.599590,-0.043667,0.020495,-0.065254,-0.077103,0.047878,-0.016284,1.000000,-0.000218,0.000102,-0.000326,0.118652,-0.543087,0.532880,0.637979,105.980540,55.025864,-131.785939
31829,-7.781296,4.859313,-1.690481,0.377892,-0.004124,-0.491937,0.015622,0.045821,-0.065127,-0.077801,0.048620,-0.016883,1.000000,0.000078,0.000229,-0.000326,0.118767,-0.543349,0.532803,0.637799,106.032583,55.050082,-131.733342
31830,-7.858372,4.972915,-1.596858,0.263615,0.060327,-0.380789,0.075473,0.054187,-0.065353,-0.078572,0.049761,-0.015929,1.000000,0.000377,0.000271,-0.000327,0.119021,-0.543602,0.532923,0.637435,106.125823,55.072830,-131.672339
31831,-7.787384,5.009230,-1.572638,0.186369,0.038757,-0.422657,0.106956,0.066402,-0.067210,-0.077862,0.050127,-0.015674,1.000000,0.000535,0.000332,-0.000336,0.119335,-0.543881,0.533143,0.636955,106.247079,55.094812,-131.599182
31832,-7.861839,5.100240,-1.535162,0.114977,0.069934,-0.317449,0.143889,0.072806,-0.069179,-0.078606,0.051041,-0.015286,1.000000,0.000719,0.000364,-0.000346,0.119737,-0.544163,0.533481,0.636356,106.395309,55.116527,-131.518963
31833,-7.913406,5.328757,-1.426032,-0.108026,0.094837,-0.167454,0.169208,0.057280,-0.075319,-0.079118,0.053329,-0.014193,1.000000,0.000846,0.000286,-0.000377,0.120271,-0.544395,0.533871,0.635728,106.547191,55.144238,-131.451992
31834,-7.906333,5.494259,-1.346386,-0.290320,0.096748,-0.095894,0.160420,0.059813,-0.058756,-0.079051,0.054977,-0.013396,1.000000,0.000802,0.000299,-0.000294,0.120720,-0.544597,0.534281,0.635126,106.692468,55.162125,-131.386958
31835,-8.055067,5.633211,-1.441321,-0.294410,0.033872,0.117405,0.109859,0.049184,-0.062352,-0.080537,0.056365,-0.014362,1.000000,0.000549,0.000246,-0.000312,0.121072,-0.544805,0.534512,0.634685,106.801161,55.183873,-131.331211
31836,-8.180679,5.820386,-1.361508,-0.438997,0.080466,0.309314,0.069538,0.024154,-0.063479,-0.081790,0.058235,-0.013585,1.000000,0.000348,0.000121,-0.000317,0.121383,-0.544961,0.534599,0.634419,106.867524,55.210123,-131.298896
31837,-8.181382,5.889487,-1.253739,-0.556226,0.139474,0.329506,0.003106,0.000713,-0.060452,-0.081796,0.058920,-0.012536,1.000000,0.000016,0.000004,-0.000302,0.121568,-0.545074,0.534467,0.634397,106.876481,55.238820,-131.290141
31838,-8.186263,5.765386,-1.342935,-0.415215,0.113591,0.280516,-0.065402,-0.013761,-0.063151,-0.081843,0.057675,-0.013454,1.000000,-0.000327,-0.000069,-0.000316,0.121612,-0.545190,0.534103,0.634596,106.835514,55.271174,-131.294369
31839,-8.286506,5.743234,-1.370036,-0.345625,0.134519,0.355417,-0.098000,-0.038104,-0.065224,-0.082844,0.057453,-0.013744,1.000000,-0.000490,-0.000191,-0.000326,0.121640,-0.545254,0.533614,0.634947,106.756907,55.308922,-131.321671
31840,-8.283813,5.747248,-1.278791,-0.398428,0.193196,0.340717,-0.129553,-0.070275,-0.072179,-0.082813,0.057494,-0.012854,1.000000,-0.000648,-0.000351,-0.000361,0.121688,-0.545254,0.532987,0.635464,106.636318,55.355519,-131.378006
31841,-8.238482,5.789791,-1.220630,-0.474697,0.187435,0.317648,-0.165371,-0.099977,-0.073102,-0.082358,0.057918,-0.012295,0.999999,-0.000827,-0.000500,-0.000366,0.121723,-0.545183,0.532224,0.636158,106.471441,55.407629,-131.463203
31842,-8.270135,5.737473,-1.312206,-0.365079,0.127862,0.330583,-0.207712,-0.124979,-0.073681,-0.082672,0.057391,-0.013233,0.999999,-0.001039,-0.000625,-0.000368,0.121708,-0.545058,0.531310,0.637030,106.262169,55.463694,-131.572772
31843,-8.219002,5.669769,-1.258005,-0.355438,0.154644,0.243682,-0.233050,-0.142663,-0.074728,-0.082160,0.056714,-0.012705,0.999999,-0.001165,-0.000713,-0.000374,0.121676,-0.544895,0.530300,0.638017,106.023881,55.523149,-131.699881
