PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41782,-9.542849,-2.191135,-1.428550,0.260460,0.818431,0.044803,-0.195592,-0.060563,0.134439,-0.095409,-0.021989,-0.014293,0.999999,-0.000978,-0.000303,0.000672,0.453950,-0.632774,0.458783,0.427837,-140.636499,73.330892,-42.065281
41783,-9.447365,-2.339031,-1.274435,0.421041,0.975050,-0.054617,-0.259072,-0.046955,0.121813,-0.094456,-0.023464,-0.012736,0.999999,-0.001295,-0.000235,0.000609,0.452980,-0.632954,0.458505,0.428895,-140.908235,73.401389,-42.193473
41784,-9.149364,-2.635669,-1.399458,0.803666,0.850658,-0.260380,-0.300324,-0.055809,0.120961,-0.091474,-0.026433,-0.013980,0.999999,-0.001502,-0.000279,0.000605,0.451891,-0.633199,0.458134,0.430079,-141.201350,73.476545,-42.319598
41785,-8.858547,-2.360755,-1.375131,0.611530,0.773728,-0.595022,-0.284196,-0.077852,0.130594,-0.088565,-0.023685,-0.013752,0.999999,-0.001421,-0.000389,0.000653,0.450892,-0.633345,0.457757,0.431310,-141.466610,73.563673,-42.425947
41786,-8.827165,-2.074228,-1.582337,0.385711,0.518926,-0.630805,-0.350057,-0.086216,0.127172,-0.088252,-0.020826,-0.015825,0.999998,-0.001750,-0.000431,0.000636,0.449698,-0.633619,0.457227,0.432716,-141.764749,73.654339,-42.527496
41787,-8.907314,-2.251080,-2.018057,0.619457,0.148241,-0.427890,-0.460247,-0.077001,0.125891,-0.089051,-0.022613,-0.020163,0.999997,-0.002301,-0.000385,0.000629,0.448146,-0.634169,0.456453,0.434333,-142.128908,73.739092,-42.631697
41788,-8.990719,-2.700061,-2.258219,1.093746,0.022119,-0.219665,-0.481032,-0.054410,0.145134,-0.089881,-0.027120,-0.022542,0.999997,-0.002405,-0.000272,0.000726,0.446421,-0.634758,0.455762,0.435973,-142.573444,73.821240,-42.807468
41789,-8.872552,-2.995540,-2.497594,1.463849,-0.165550,-0.233382,-0.391599,-0.044690,0.183744,-0.088692,-0.030086,-0.024937,0.999998,-0.001958,-0.000223,0.000919,0.444882,-0.635087,0.455387,0.437455,-143.033437,73.910780,-43.052195
41790,-8.865682,-2.870519,-2.652994,1.394453,-0.330991,-0.230180,-0.232047,-0.019867,0.226192,-0.088622,-0.028836,-0.026505,0.999999,-0.001160,-0.000099,0.001131,0.443687,-0.635006,0.455570,0.438594,-143.512467,74.004038,-43.412139
41791,-9.152589,-2.376570,-2.719473,0.895598,-0.428377,-0.023518,-0.103966,0.002196,0.249991,-0.091496,-0.023894,-0.027181,0.999999,-0.000520,0.000011,0.001250,0.442807,-0.634645,0.456137,0.439416,-143.978063,74.093048,-43.833889
41792,-9.292529,-1.940664,-2.689362,0.468288,-0.450665,0.032489,-0.038771,0.013584,0.272202,-0.092901,-0.019538,-0.026884,0.999999,-0.000194,0.000068,0.001361,0.442047,-0.634101,0.456962,0.440109,-144.470637,74.184503,-44.322710
