PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41782,-3.969975,1.751347,8.945616,-0.334907,0.244449,0.121093,-0.064322,0.252220,0.061398,-0.039592,0.017530,0.089500,0.999999,-0.000322,0.001261,0.000307,-0.295118,-0.235044,0.040744,0.925203,13.583703,24.260024,-141.684451
41783,-4.134351,1.346003,8.817785,-0.390318,0.664843,-0.011488,-0.050580,0.265916,0.108290,-0.041234,0.013460,0.088229,0.999999,-0.000253,0.001330,0.000541,-0.295798,-0.236127,0.040228,0.924732,13.595517,24.387744,-141.572631
41784,-4.322041,1.364242,8.713483,-0.219044,0.752665,-0.022311,-0.029849,0.250008,0.171228,-0.043123,0.013618,0.087187,0.999999,-0.000149,0.001250,0.000856,-0.296740,-0.237174,0.039909,0.924176,13.635861,24.500224,-141.423752
41785,-4.282272,1.608841,8.693658,-0.128066,0.525426,-0.003844,-0.029178,0.225379,0.239200,-0.042744,0.016050,0.086982,0.999999,-0.000146,0.001127,0.001196,-0.297990,-0.238074,0.039705,0.923551,13.691166,24.587570,-141.237494
41786,-4.378033,1.951654,8.642354,0.127767,0.302140,0.064497,-0.025956,0.199248,0.299870,-0.043723,0.019462,0.086465,0.999998,-0.000130,0.000996,0.001499,-0.299510,-0.238866,0.039632,0.922858,13.763997,24.654042,-141.016994
41787,-4.440885,1.950272,8.643254,0.155789,0.341527,0.091349,-0.051979,0.177140,0.321459,-0.044364,0.019454,0.086467,0.999998,-0.000260,0.000886,0.001607,-0.301156,-0.239491,0.039493,0.922166,13.824750,24.702964,-140.787219
41788,-4.258493,2.075975,8.640078,0.083085,0.138241,0.039691,-0.025641,0.145690,0.302206,-0.042553,0.020707,0.086429,0.999999,-0.000128,0.000728,0.001511,-0.302674,-0.240035,0.039504,0.921527,13.895469,24.738858,-140.573036
41789,-4.242632,2.088306,8.708314,0.035161,0.118457,0.095915,-0.019342,0.140761,0.264778,-0.042393,0.020835,0.087111,0.999999,-0.000097,0.000704,0.001324,-0.304010,-0.240551,0.039501,0.920952,13.958462,24.774943,-140.383218
41790,-4.164855,2.137952,8.789322,-0.042001,0.031635,0.145538,0.021157,0.116791,0.211951,-0.041620,0.021326,0.087920,0.999999,0.000106,0.000584,0.001060,-0.305049,-0.241049,0.039663,0.920471,14.031296,24.806819,-140.228503
41791,-3.975878,2.312513,8.809292,-0.099951,-0.216156,0.122212,0.048580,0.112294,0.154973,-0.039727,0.023073,0.088121,1.000000,0.000243,0.000561,0.000775,-0.305791,-0.241560,0.039884,0.920082,14.103424,24.841979,-140.110096
41792,-4.016296,2.516182,8.775535,0.042180,-0.351074,0.154598,0.065392,0.116406,0.102876,-0.040125,0.025112,0.087787,1.000000,0.000327,0.000582,0.000514,-0.306274,-0.242145,0.040118,0.919757,14.173750,24.888554,-140.022054
41793,-4.111679,2.381339,8.815459,0.003860,-0.187105,0.200003,0.068854,0.114213,0.047094,-0.041072,0.023773,0.088186,1.000000,0.000344,0.000571,0.000235,-0.306495,-0.242716,0.040299,0.919525,14.230052,24.939666,-139.969234
41794,-4.151561,2.361179,8.714321,0.055195,-0.138826,0.123493,0.099227,0.100354,-0.008951,-0.041471,0.023570,0.087176,1.000000,0.000496,0.000502,-0.000045,-0.306419,-0.243301,0.040578,0.919383,14.290014,24.992941,-139.952009
41795,-4.282866,2.220349,8.660615,0.083523,0.056583,0.100382,0.098329,0.077003,-0.050096,-0.042790,0.022172,0.086634,1.000000,0.000492,0.000385,-0.000250,-0.306150,-0.243766,0.040833,0.919338,14.335752,25.037075,-139.964366
41796,-4.156775,2.227314,8.713391,-0.034790,-0.024931,0.094939,0.110667,0.039326,-0.069412,-0.041543,0.022239,0.087154,1.000000,0.000553,0.000197,-0.000347,-0.305770,-0.244100,0.041184,0.919360,14.382602,25.065040,-139.993643
41797,-4.125350,2.192578,8.660739,-0.057198,-0.007953,0.027585,0.112610,0.007156,-0.079089,-0.041242,0.021893,0.086621,1.000000,0.000563,0.000036,-0.000395,-0.305336,-0.244272,0.041577,0.919442,14.424365,25.074573,-140.034713
41798,-3.673612,2.498786,8.402619,-0.087113,-0.493861,-0.321014,0.133639,-0.048423,-0.071802,-0.036748,0.024945,0.084034,1.000000,0.000668,-0.000242,-0.000359,-0.304898,-0.244238,0.042165,0.919569,14.477903,25.054237,-140.079259
41799,-4.204832,2.610306,8.669893,0.217293,-0.288896,0.163819,0.025961,-0.085706,-0.078880,-0.042075,0.026108,0.086684,1.000000,0.000130,-0.000429,-0.000394,-0.304551,-0.243850,0.042302,0.919781,14.463919,25.012227,-140.134837
41800,-4.175564,2.763998,8.668612,0.287285,-0.427079,0.185058,0.047220,-0.113121,-0.112414,-0.041789,0.027643,0.086669,1.000000,0.000236,-0.000566,-0.000562,-0.304017,-0.243396,0.042541,0.920066,14.453193,24.961810,-140.214428
41801,-4.303621,2.156847,8.720433,0.036174,0.138446,0.147162,-0.016551,-0.144705,-0.141455,-0.043084,0.021606,0.087171,0.999999,-0.000083,-0.000724,-0.000707,-0.303422,-0.242685,0.042496,0.920453,14.395015,24.895969,-140.317402
