// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
46338,-9.502753,-1.509517,-2.311605,0.075815,-0.107684,0.082116,-0.011986,-0.035146,-0.092517,-0.095030,-0.015053,-0.023132,1.000000,-0.000060,-0.000176,-0.000463,0.460280,-0.608065,0.491358,0.420675,-146.646102,74.562002,-52.186988
46339,-9.375776,-1.215387,-2.218101,-0.206805,-0.076290,-0.104252,0.016716,-0.051659,-0.108494,-0.093759,-0.012101,-0.022206,1.000000,0.000084,-0.000258,-0.000542,0.460680,-0.608145,0.490959,0.420587,-146.399697,74.559007,-51.941112
46340,-9.217564,-1.157487,-2.177124,-0.249763,-0.080921,-0.274648,-0.000744,-0.043808,-0.122835,-0.092178,-0.011518,-0.021791,1.000000,-0.000004,-0.000219,-0.000614,0.461037,-0.608317,0.490498,0.420484,-146.148468,74.547279,-51.679788
46341,-9.189703,-1.128846,-2.206260,-0.283225,-0.123442,-0.299694,0.026046,-0.041893,-0.152918,-0.091901,-0.011215,-0.022083,1.000000,0.000130,-0.000209,-0.000765,0.461535,-0.608504,0.490006,0.420241,-145.832374,74.524822,-51.367104
46342,-9.046787,-0.969437,-2.101632,-0.436082,-0.071389,-0.485001,-0.013270,-0.030804,-0.170729,-0.090473,-0.009619,-0.021030,1.000000,-0.000066,-0.000154,-0.000854,0.461921,-0.608850,0.489403,0.420018,-145.522943,74.490744,-51.037879
46343,-8.995749,-0.755450,-2.165906,-0.648907,-0.167896,-0.553310,-0.058045,-0.005862,-0.197003,-0.089964,-0.007472,-0.021660,0.999999,-0.000290,-0.000029,-0.000985,0.462167,-0.609414,0.488683,0.419769,-145.225057,74.436066,-50.693978
46344,-9.186185,-0.559610,-2.072814,-0.895928,-0.057137,-0.421748,-0.174535,0.015174,-0.239117,-0.091870,-0.005504,-0.020716,0.999999,-0.000873,0.000076,-0.001196,0.462092,-0.610394,0.487638,0.419641,-144.950603,74.357057,-50.304957
46345,-9.260166,-0.550815,-1.901522,-0.946687,0.123313,-0.391520,-0.208109,-0.006627,-0.273117,-0.092608,-0.005401,-0.019013,0.999999,-0.001041,-0.000033,-0.001366,0.462039,-0.611487,0.486367,0.419584,-144.616411,74.276680,-49.833758
46346,-9.313783,-0.824871,-2.123458,-0.693433,-0.055867,-0.249632,-0.284536,-0.016088,-0.304731,-0.093149,-0.008137,-0.021230,0.999998,-0.001423,-0.000080,-0.001524,0.461839,-0.612812,0.484816,0.419666,-144.267041,74.189205,-49.301090
46347,-9.283631,-1.279675,-2.057590,-0.268272,0.047109,-0.221921,-0.246622,-0.031184,-0.316627,-0.092853,-0.012675,-0.020575,0.999998,-0.001233,-0.000156,-0.001583,0.461816,-0.614042,0.483272,0.419675,-143.863767,74.104082,-48.734706
46348,-9.124018,-1.574323,-2.134158,0.030254,-0.031261,-0.311168,-0.149364,-0.027047,-0.326941,-0.091263,-0.015610,-0.021342,0.999998,-0.000747,-0.000135,-0.001635,0.462101,-0.615081,0.481907,0.419408,-143.398345,74.012078,-48.161428
46349,-9.066267,-1.577194,-1.986517,0.006828,0.097608,-0.398797,-0.112635,-0.032224,-0.331917,-0.090685,-0.015633,-0.019871,0.999998,-0.000563,-0.000161,-0.001660,0.462520,-0.616033,0.480591,0.419059,-142.903944,73.919739,-47.579581
46350,-9.164070,-1.470399,-2.108024,-0.135389,-0.017036,-0.296001,-0.048263,-0.037076,-0.339185,-0.091662,-0.014554,-0.021094,0.999999,-0.000241,-0.000185,-0.001696,0.463163,-0.616843,0.479375,0.418550,-142.361563,73.825315,-46.985956
46351,-9.246374,-1.482310,-2.001096,-0.175590,0.096066,-0.238925,-0.021694,-0.103436,-0.327778,-0.092478,-0.014674,-0.020057,0.999999,-0.000108,-0.000517,-0.001639,0.464023,-0.617422,0.478094,0.418209,-141.747598,73.763540,-46.333373
46352,-9.086611,-1.945616,-1.854608,0.270343,0.246890,-0.343929,-0.045505,-0.095619,-0.322964,-0.090888,-0.019314,-0.018585,0.999999,-0.000228,-0.000478,-0.001615,0.464778,-0.618061,0.476796,0.417908,-141.168926,73.697782,-45.703163
46353,-9.120517,-2.242535,-1.921218,0.533264,0.212153,-0.243235,-0.085077,-0.107921,-0.298034,-0.091228,-0.022298,-0.019252,0.999999,-0.000425,-0.000540,-0.001490,0.465387,-0.618704,0.475462,0.417800,-140.640146,73.645122,-45.101094
46354,-9.190237,-2.632685,-1.833435,0.870229,0.346939,-0.123764,-0.103370,-0.098031,-0.287223,-0.091931,-0.026204,-0.018366,0.999999,-0.000517,-0.000490,-0.001436,0.465893,-0.619384,0.474144,0.417725,-140.153954,73.590224,-44.532356
46355,-9.142916,-2.857368,-1.788333,1.074089,0.399737,-0.135802,-0.108531,-0.093981,-0.248122,-0.091456,-0.028470,-0.017911,0.999999,-0.000543,-0.000470,-0.001241,0.466291,-0.619989,0.472946,0.417743,-139.736866,73.546990,-44.032444
