PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
14232,-9.262307,1.328586,0.583540,0.005179,0.053518,-0.437555,0.420220,-0.150216,0.049833,-0.092631,0.013251,0.005794,0.999997,0.002101,-0.000751,0.000249,0.139944,-0.645855,0.229588,0.714547,67.734783,80.839172,-142.658864
14233,-9.442731,1.311684,0.553038,0.074503,0.072570,-0.263828,0.475256,-0.149099,0.049216,-0.094435,0.013081,0.005491,0.999997,0.002376,-0.000745,0.000246,0.141437,-0.644890,0.231366,0.714550,67.573325,80.772835,-143.097440
14234,-9.521876,1.383690,0.559572,0.053819,0.024822,-0.174725,0.549882,-0.149679,0.035961,-0.095225,0.013804,0.005562,0.999996,0.002749,-0.000748,0.000180,0.143232,-0.643888,0.233364,0.714447,67.440710,80.714871,-143.551146
14235,-9.363272,1.540255,0.642941,-0.106844,-0.076890,-0.302731,0.590188,-0.156661,0.038303,-0.093641,0.015366,0.006401,0.999995,0.002951,-0.000783,0.000192,0.145141,-0.642817,0.235508,0.714322,67.313941,80.652303,-144.021462
14236,-9.198814,1.696387,0.778667,-0.313912,-0.149631,-0.432853,0.597204,-0.164636,0.033726,-0.091997,0.016925,0.007762,0.999995,0.002986,-0.000823,0.000169,0.147111,-0.641718,0.237653,0.714197,67.165152,80.591864,-144.519200
14237,-9.003295,1.734511,0.840982,-0.402905,-0.162272,-0.615599,0.580880,-0.155757,0.039798,-0.090043,0.017303,0.008390,0.999995,0.002904,-0.000779,0.000199,0.148981,-0.640644,0.239765,0.714068,67.046028,80.528341,-144.976532
14238,-8.975426,1.701769,0.841469,-0.381219,-0.131405,-0.647549,0.537614,-0.141983,0.045296,-0.089764,0.016975,0.008397,0.999996,0.002688,-0.000710,0.000226,0.150688,-0.639645,0.241747,0.713937,66.958004,80.466535,-145.378221
14239,-8.986449,1.613274,0.878213,-0.355316,-0.030338,-0.647372,0.504781,-0.126250,0.048942,-0.089874,0.016089,0.008766,0.999997,0.002524,-0.000631,0.000245,0.152244,-0.638711,0.243635,0.713801,66.907006,80.404578,-145.722416
14240,-9.116770,1.540914,0.861701,-0.277007,0.039762,-0.530764,0.479001,-0.108327,0.052822,-0.091176,0.015364,0.008604,0.999997,0.002395,-0.000542,0.000264,0.153695,-0.637859,0.245454,0.713629,66.905702,80.346259,-146.002229
14241,-9.240000,1.559761,0.844150,-0.247268,0.033098,-0.407328,0.460389,-0.095209,0.057229,-0.092408,0.015552,0.008433,0.999997,0.002302,-0.000476,0.000286,0.155039,-0.637052,0.247230,0.713446,66.940453,80.286889,-146.233746
14242,-9.418196,1.490261,0.766628,-0.113256,0.071715,-0.247488,0.445742,-0.087224,0.052585,-0.094189,0.014861,0.007658,0.999997,0.002229,-0.000436,0.000263,0.156357,-0.636294,0.248943,0.713239,66.987594,80.233472,-146.445167
