PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
14232,-4.350927,0.351944,8.672492,-0.043900,0.124035,-0.104483,0.151486,-0.115700,-0.462998,-0.043551,0.003555,0.086702,0.999997,0.000757,-0.000578,-0.002315,-0.542223,-0.199867,-0.106110,0.809190,2.871298,26.010255,-111.686140
14233,-4.311088,0.326841,8.698588,-0.075931,0.097502,-0.099683,0.179124,-0.123589,-0.479198,-0.043157,0.003294,0.086962,0.999997,0.000896,-0.000618,-0.002396,-0.540227,-0.199569,-0.105538,0.810671,2.837476,25.950807,-111.987500
14234,-4.356074,0.391508,8.704031,0.006128,0.115264,-0.072283,0.195700,-0.125439,-0.494447,-0.043606,0.003938,0.087017,0.999996,0.000978,-0.000627,-0.002472,-0.538152,-0.199300,-0.104907,0.812199,2.809614,25.890559,-112.298207
14235,-4.293427,0.455763,8.634651,0.066729,0.071839,-0.159252,0.193700,-0.127359,-0.498571,-0.042978,0.004581,0.086324,0.999996,0.000968,-0.000637,-0.002493,-0.536058,-0.199013,-0.104283,0.813733,2.779452,25.829211,-112.611628
14236,-4.255290,0.518515,8.570470,0.132863,0.046671,-0.230962,0.190671,-0.126266,-0.491384,-0.042594,0.005208,0.085683,0.999996,0.000953,-0.000631,-0.002457,-0.533993,-0.198725,-0.103665,0.815238,2.750310,25.768119,-112.920025
14237,-4.167847,0.456429,8.465693,0.076477,0.046596,-0.366037,0.184791,-0.129929,-0.492127,-0.041722,0.004589,0.084634,0.999996,0.000924,-0.000650,-0.002461,-0.531928,-0.198404,-0.103064,0.816741,2.717571,25.704825,-113.229029
14238,-4.077696,0.423434,8.380701,0.040423,0.025233,-0.483123,0.198540,-0.122710,-0.480804,-0.040818,0.004249,0.083786,0.999996,0.000993,-0.000614,-0.002404,-0.529889,-0.198155,-0.102411,0.818208,2.696662,25.645202,-113.530211
14239,-4.225129,0.467943,8.487545,0.117292,0.095594,-0.321312,0.207731,-0.118817,-0.470249,-0.042291,0.004691,0.084855,0.999997,0.001039,-0.000594,-0.002351,-0.527877,-0.197949,-0.101722,0.819643,2.683958,25.587466,-113.824631
14240,-4.323690,0.411865,8.551253,0.095076,0.184741,-0.223909,0.207570,-0.131509,-0.468064,-0.043283,0.004131,0.085488,0.999997,0.001038,-0.000658,-0.002340,-0.525879,-0.197692,-0.100995,0.821078,2.672311,25.522329,-114.117656
14241,-4.307386,0.309984,8.547575,0.004294,0.225260,-0.238768,0.220101,-0.128717,-0.463315,-0.043122,0.003106,0.085451,0.999997,0.001101,-0.000644,-0.002317,-0.523882,-0.197478,-0.100221,0.822500,2.669188,25.458652,-114.407642
14242,-4.385241,0.332951,8.618367,0.044011,0.262268,-0.140732,0.225705,-0.119885,-0.459534,-0.043896,0.003333,0.086161,0.999997,0.001129,-0.000599,-0.002298,-0.521888,-0.197318,-0.099440,0.823899,2.671116,25.399904,-114.694601
14243,-4.532047,0.377422,8.726159,0.120849,0.332693,0.021053,0.232615,-0.126197,-0.460188,-0.045367,0.003777,0.087237,0.999996,0.001163,-0.000631,-0.002301,-0.519883,-0.197147,-0.098617,0.825306,2.676721,25.337604,-114.982245
14244,-4.573446,0.315030,8.703865,0.091388,0.412027,0.015578,0.225677,-0.131322,-0.450501,-0.045784,0.003155,0.087012,0.999997,0.001128,-0.000657,-0.002253,-0.517925,-0.196941,-0.097797,0.826682,2.681618,25.272109,-115.263539
14245,-4.538068,0.264486,8.687824,0.042144,0.421654,-0.016631,0.232231,-0.132218,-0.455102,-0.045432,0.002647,0.086851,0.999997,0.001161,-0.000661,-0.002276,-0.515938,-0.196744,-0.096953,0.828070,2.689010,25.206287,-115.547854
14246,-4.645515,0.250540,8.722797,0.070132,0.513155,0.059623,0.230499,-0.131621,-0.466995,-0.046507,0.002513,0.087200,0.999996,0.001152,-0.000658,-0.002335,-0.513900,-0.196539,-0.096127,0.829481,2.692934,25.141116,-115.839299
14247,-4.720907,0.335413,8.729997,0.181316,0.542989,0.101171,0.224725,-0.131528,-0.477188,-0.047258,0.003369,0.087273,0.999996,0.001124,-0.000658,-0.002386,-0.511821,-0.196312,-0.095336,0.830910,2.690817,25.076323,-116.137263
