PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
54361,-9.380686,-0.916912,-2.334522,-0.228003,0.537873,-0.120077,-0.071861,-0.026062,-0.045435,-0.093806,-0.009156,-0.023354,1.000000,-0.000359,-0.000130,-0.000227,0.017901,-0.795046,-0.008983,0.606218,-171.532307,74.498018,7.738393
54362,-9.552977,-0.980253,-2.095925,-0.499632,0.597981,-0.014424,-0.051086,-0.047962,-0.028728,-0.095526,-0.009794,-0.020980,1.000000,-0.000255,-0.000240,-0.000144,0.017750,-0.794885,-0.009217,0.606431,-171.507812,74.527392,7.794403
54363,-9.376079,-1.004769,-2.081975,-0.460396,0.629207,-0.187347,0.049897,-0.042453,-0.005362,-0.093757,-0.010040,-0.020842,1.000000,0.000249,-0.000212,-0.000027,0.017895,-0.794708,-0.009031,0.606661,-171.489003,74.560780,7.786248
54364,-9.309658,-0.825947,-2.146466,-0.377217,0.451259,-0.241203,0.097153,-0.030422,0.007120,-0.093093,-0.008252,-0.021483,1.000000,0.000486,-0.000152,0.000036,0.018224,-0.794588,-0.008671,0.606814,-171.458273,74.583249,7.760601
54365,-9.452195,-0.770742,-2.175732,-0.381930,0.390419,-0.098082,0.152280,-0.024747,0.014496,-0.094519,-0.007698,-0.021775,1.000000,0.000761,-0.000124,0.000072,0.018717,-0.794455,-0.008095,0.606980,-171.426466,74.608359,7.705010
54366,-9.389350,-0.324148,-1.906323,-0.624582,-0.049112,-0.246783,0.210014,-0.049483,0.024025,-0.093888,-0.003233,-0.019090,0.999999,0.001050,-0.000247,0.000120,0.019443,-0.794266,-0.007327,0.607214,-171.359931,74.643085,7.649438
54367,-9.278467,-0.048287,-1.814396,-0.682472,-0.318629,-0.388409,0.114234,-0.018034,0.010102,-0.092783,-0.000477,-0.018153,1.000000,0.000571,-0.000090,0.000051,0.019799,-0.794156,-0.006884,0.607352,-171.342822,74.664125,7.601192
54368,-9.514400,0.013224,-1.956475,-0.607011,-0.391917,-0.126114,0.048243,0.009760,-0.004622,-0.095145,0.000139,-0.019560,1.000000,0.000241,0.000049,-0.000023,0.019972,-0.794161,-0.006715,0.607341,-171.328466,74.662836,7.587635
54369,-9.487216,-0.100128,-2.356186,-0.211429,-0.286732,-0.043246,-0.008720,-0.004621,-0.015503,-0.094872,-0.000995,-0.023564,1.000000,-0.000044,-0.000023,-0.000078,0.019918,-0.794103,-0.006745,0.607420,-171.333375,74.674220,7.589632
54370,-9.351798,-0.241082,-2.603328,0.067695,-0.145963,-0.103636,-0.104392,-0.051602,-0.014533,-0.093511,-0.002418,-0.026056,1.000000,-0.000522,-0.000258,-0.000073,0.019512,-0.793936,-0.007085,0.607647,-171.366671,74.706835,7.617343
