PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
53628,-1.563832,1.723053,9.636073,0.031434,-0.178482,0.098697,0.046939,0.009868,0.111762,-0.015643,0.017199,0.096366,1.000000,0.000235,0.000049,0.000559,-0.948442,-0.069480,-0.100501,-0.292454,11.113876,8.626916,35.115415
53629,-1.573661,1.728377,9.587377,0.012486,-0.184390,0.053787,0.100246,0.001569,0.133540,-0.015747,0.017225,0.095883,1.000000,0.000501,0.000008,0.000668,-0.948197,-0.069996,-0.100577,-0.293100,11.179495,8.609644,35.198277
53630,-1.578524,1.714924,9.513421,0.004582,-0.205553,-0.020059,0.150932,0.007942,0.156548,-0.015795,0.017065,0.095148,0.999999,0.000755,0.000040,0.000783,-0.947896,-0.070753,-0.100752,-0.293830,11.276082,8.593661,35.294828
53631,-1.662137,1.936063,9.539851,-0.167835,-0.091892,0.060668,0.204212,0.010036,0.168288,-0.016633,0.019249,0.095419,0.999999,0.001021,0.000050,0.000841,-0.947557,-0.071768,-0.101008,-0.294590,11.404303,8.576954,35.398330
53632,-1.698192,2.044576,9.639023,-0.223073,-0.051439,0.183435,0.193773,-0.003057,0.176165,-0.017001,0.020337,0.096410,0.999999,0.000969,-0.000015,0.000881,-0.947214,-0.072754,-0.101187,-0.295386,11.526828,8.552177,35.504671
53633,-1.693229,2.093800,9.582663,-0.251629,-0.024236,0.137916,0.179944,-0.023329,0.181322,-0.016962,0.020836,0.095843,0.999999,0.000900,-0.000117,0.000907,-0.946878,-0.073709,-0.101244,-0.296207,11.641560,8.514808,35.611602
53634,-1.567968,2.035619,9.481628,-0.137211,-0.010991,0.009968,0.167112,-0.025778,0.189471,-0.015711,0.020262,0.094831,0.999999,0.000836,-0.000129,0.000947,-0.946534,-0.074608,-0.101270,-0.297071,11.749398,8.475334,35.722700
53635,-1.609342,1.928878,9.399944,-0.125418,-0.134749,-0.084606,0.186397,-0.021128,0.202902,-0.016123,0.019185,0.094016,0.999999,0.000932,-0.000106,0.001015,-0.946159,-0.075601,-0.101339,-0.297991,11.869497,8.436254,35.841956
53636,-1.817587,1.724106,9.442894,-0.160597,-0.449651,-0.054801,0.277988,-0.024769,0.245794,-0.018209,0.017087,0.094451,0.999998,0.001390,-0.000124,0.001229,-0.945684,-0.077052,-0.101514,-0.299064,12.045366,8.390170,35.984878
53637,-1.870591,1.683096,9.384219,-0.179822,-0.545856,-0.113977,0.439316,-0.067547,0.318649,-0.018764,0.016595,0.093872,0.999996,0.002197,-0.000338,0.001593,-0.945055,-0.079369,-0.101696,-0.300382,12.318809,8.310331,36.163690
53638,-1.634016,2.129394,9.310684,-0.235252,-0.094409,-0.126173,0.595100,-0.108598,0.388857,-0.016432,0.020985,0.093161,0.999994,0.002975,-0.000543,0.001944,-0.944270,-0.082516,-0.101892,-0.301932,12.685977,8.198309,36.376447
53639,-1.203625,2.559744,9.084728,-0.162883,0.462937,-0.310474,0.645305,-0.086713,0.432850,-0.012131,0.025278,0.090924,0.999992,0.003227,-0.000434,0.002164,-0.943373,-0.085890,-0.102245,-0.303671,13.085431,8.091007,36.616122
53640,-0.868916,2.865728,8.913633,-0.084078,0.861238,-0.449402,0.640047,-0.014187,0.464968,-0.008762,0.028352,0.089227,0.999992,0.003200,-0.000071,0.002325,-0.942378,-0.089142,-0.102920,-0.305589,13.485182,8.018744,36.882623
53641,-0.881695,3.075524,8.934881,-0.176991,0.961804,-0.372794,0.624817,0.087834,0.500431,-0.008854,0.030454,0.089448,0.999992,0.003124,0.000439,0.002502,-0.941268,-0.092186,-0.104031,-0.307723,13.880724,7.996162,37.182569
53642,-1.035622,3.043864,8.989811,-0.232491,0.785500,-0.300436,0.612843,0.164431,0.554715,-0.010366,0.030134,0.089999,0.999991,0.003064,0.000822,0.002774,-0.940024,-0.095081,-0.105461,-0.310149,14.275094,8.006964,37.523516
53643,-1.099577,3.476174,9.168475,-0.443007,1.017523,-0.008512,0.569656,0.220769,0.602667,-0.010999,0.034467,0.091795,0.999991,0.002848,0.001104,0.003013,-0.938679,-0.097710,-0.107061,-0.312844,14.649744,8.039466,37.899627
53644,-1.177826,3.475056,9.274990,-0.439934,0.912949,0.110088,0.439630,0.271216,0.637213,-0.011763,0.034509,0.092842,0.999992,0.002198,0.001356,0.003186,-0.937301,-0.099667,-0.108678,-0.315790,14.954068,8.093043,38.302692
53645,-1.260056,3.201483,9.316634,-0.303441,0.611016,0.095457,0.341948,0.322054,0.667483,-0.012557,0.031813,0.093241,0.999992,0.001710,0.001610,0.003337,-0.935879,-0.101101,-0.110360,-0.318951,15.206289,8.167900,38.730708
53646,-1.562854,2.790850,9.379098,-0.249355,0.069538,0.093454,0.341904,0.335870,0.710157,-0.015570,0.027693,0.093865,0.999991,0.001710,0.001679,0.003551,-0.934365,-0.102534,-0.112086,-0.322312,15.462991,8.242412,39.185029
53647,-1.743335,2.909247,9.521068,-0.378816,-0.000380,0.287309,0.391406,0.320085,0.739255,-0.017388,0.028842,0.095295,0.999990,0.001957,0.001600,0.003696,-0.932770,-0.104238,-0.113797,-0.325769,15.750428,8.301223,39.653590
53648,-2.049414,3.412667,9.971239,-0.743860,0.102332,0.897495,0.315456,0.261361,0.711967,-0.020485,0.033896,0.099793,0.999992,0.001577,0.001307,0.003560,-0.931274,-0.105667,-0.115126,-0.329103,15.991429,8.330191,40.097929
53649,-1.803442,3.220544,9.881674,-0.448255,0.095646,0.725892,0.109109,0.175686,0.644993,-0.018051,0.032093,0.098850,0.999994,0.000546,0.000878,0.003225,-0.930034,-0.106235,-0.115747,-0.332195,16.106687,8.320841,40.491427
53650,-1.425611,2.685041,9.685210,0.104866,-0.055659,0.337732,-0.019624,0.147731,0.551285,-0.014259,0.026821,0.096860,0.999996,-0.000098,0.000739,0.002756,-0.929024,-0.106197,-0.116077,-0.334907,16.140201,8.310927,40.828233
53651,-1.230443,2.391701,9.651710,0.418482,-0.146332,0.196967,-0.084392,0.156699,0.443156,-0.012282,0.023931,0.096517,0.999997,-0.000422,0.000783,0.002216,-0.928218,-0.105778,-0.116393,-0.337158,16.127846,8.322685,41.106382
53652,-1.224107,2.184289,9.649531,0.548739,-0.288994,0.137105,-0.118175,0.175313,0.321660,-0.012192,0.021880,0.096493,0.999998,-0.000591,0.000877,0.001608,-0.927619,-0.105101,-0.116805,-0.338871,16.087140,8.364528,41.319895
53653,-1.412534,2.022927,9.886638,0.576663,-0.546555,0.346142,-0.126324,0.167209,0.205900,-0.014064,0.020277,0.098865,0.999999,-0.000632,0.000836,0.001030,-0.927222,-0.104331,-0.117223,-0.340048,16.032102,8.420036,41.467720
53654,-1.700497,2.057849,10.095912,0.404034,-0.718021,0.597647,-0.115943,0.122698,0.096453,-0.016953,0.020629,0.100958,1.000000,-0.000580,0.000613,0.000482,-0.927031,-0.103621,-0.117513,-0.340687,15.973324,8.468841,41.547413
53655,-1.839710,2.030906,10.179371,0.338431,-0.825160,0.691277,-0.132082,0.038663,-0.001775,-0.018377,0.020376,0.101784,1.000000,-0.000660,0.000193,-0.000009,-0.927064,-0.102921,-0.117433,-0.340837,15.895123,8.486513,41.559023
53656,-1.668040,1.967318,10.073150,0.464243,-0.736743,0.548911,-0.129307,-0.038198,-0.095671,-0.016690,0.019746,0.100716,1.000000,-0.000647,-0.000191,-0.000478,-0.927300,-0.102309,-0.117052,-0.340509,15.809088,8.476934,41.506061
