PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
63666,-2.000560,0.595882,9.744962,-0.106074,-0.047647,0.152657,0.026048,0.068476,-0.034891,-0.019971,0.005950,0.097457,1.000000,0.000130,0.000342,-0.000174,-0.944785,0.002544,-0.099647,-0.312162,3.351975,10.945712,36.888931
63667,-2.054240,0.639407,9.716437,-0.173974,-0.044011,0.137473,0.027054,0.046239,-0.036943,-0.020519,0.006385,0.097170,1.000000,0.000135,0.000231,-0.000185,-0.944802,0.002530,-0.099880,-0.312037,3.360811,10.970970,36.876191
63668,-1.915500,0.596317,9.701745,-0.038338,0.003212,0.094235,0.028140,0.035717,-0.043438,-0.019136,0.005954,0.097022,1.000000,0.000141,0.000179,-0.000217,-0.944834,0.002498,-0.100065,-0.311881,3.369428,10.990553,36.859417
63669,-1.963020,0.651276,9.726740,-0.099447,0.022198,0.130989,0.031937,0.042660,-0.053339,-0.019608,0.006502,0.097273,1.000000,0.000160,0.000213,-0.000267,-0.944878,0.002464,-0.100287,-0.311676,3.379207,11.014321,36.837006
63670,-2.015670,0.717427,9.693705,-0.183391,0.043937,0.112532,0.004829,0.020215,-0.055193,-0.020145,0.007177,0.096939,1.000000,0.000024,0.000101,-0.000276,-0.944935,0.002525,-0.100362,-0.311478,3.373009,11.025438,36.813016
63671,-2.055212,0.590094,9.701273,-0.138952,-0.079220,0.120149,-0.024223,-0.005796,-0.036082,-0.020554,0.005916,0.097011,1.000000,-0.000121,-0.000029,-0.000180,-0.944976,0.002671,-0.100269,-0.311382,3.352206,11.020906,36.798995
63672,-1.989515,0.478924,9.641190,-0.036146,-0.133112,0.042314,-0.009950,-0.024681,-0.021569,-0.019907,0.004796,0.096409,1.000000,-0.000050,-0.000123,-0.000108,-0.945003,0.002715,-0.100110,-0.311351,3.341036,11.005237,36.793079
63673,-1.788409,0.521581,9.795016,0.122842,0.029256,0.157110,0.002283,-0.022031,-0.011767,-0.017895,0.005216,0.097948,1.000000,0.000011,-0.000110,-0.000059,-0.945015,0.002699,-0.099981,-0.311358,3.338024,10.990601,36.792677
63674,-1.754783,0.520527,9.781734,0.145203,0.046313,0.137654,0.000521,-0.018114,-0.004754,-0.017557,0.005205,0.097816,1.000000,0.000003,-0.000091,-0.000024,-0.945013,0.002695,-0.099869,-0.311399,3.334749,10.978091,36.796503
63675,-1.794475,0.525737,9.817847,0.116174,0.029085,0.180926,0.001179,-0.004513,-0.001543,-0.017947,0.005257,0.098178,1.000000,0.000006,-0.000023,-0.000008,-0.945000,0.002706,-0.099822,-0.311454,3.332353,10.973135,36.802654
63676,-1.696545,0.475294,9.786905,0.216612,0.043734,0.129086,0.008277,0.002090,-0.005258,-0.016964,0.004749,0.097869,1.000000,0.000041,0.000010,-0.000026,-0.944989,0.002697,-0.099817,-0.311489,3.333555,10.972180,36.806974
63677,-1.817487,0.606284,9.847265,0.055891,0.082690,0.218738,-0.000438,0.014860,-0.005958,-0.018167,0.006064,0.098474,1.000000,-0.000002,0.000074,-0.000030,-0.944973,0.002749,-0.099859,-0.311524,3.329867,10.978452,36.811211
